"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"EW-13",0.0605733544310483,10522.3090624125,0.235977974299435,0,10522.3090624125
"CL-40",0.106575507496137,NA,4,70.0329310127533,0.17147112321411
"MHH-ES-1",0.410705404988411,0.0358915501151313,4,34.141518164923,0.0269348844396198
"C32 [Human melanoma]",0.0300118511881031,NA,2.97031236190926,85.5406681827187,0.479158307176423
"U2OS",0.107589572322766,NA,0.710539468507662,59.3087228228924,0.485439456065676
"TC-71",0.335560936381982,NA,4,52.0117978209083,0.0159731949697513
"RKO",0.11370011748976,26.3135418177541,0.37482041395336,0,26.3135418177541
"NCI-H747",0.139213086287197,NA,4,83.6308401572486,0.00559871570935678
"CL-11",0.326429933798234,0.204356272717005,1.21551338313261,44.3036068324069,0.0342199723878252
"COLO 320HSR",0.066241946187107,11.7530146106991,0.619490011074953,0,11.7530146106991
"PC-14",0.149987892170989,NA,4,72.9811541972966,0.0432301574555104
"A-549",0.0872424888696582,NA,4,85.9623986613537,0.0273334720131006
"A-375",0.18530671842781,NA,1.01233654916438,77.2045387844618,0.00535494776549665
"SW620",0.0269942428188978,NA,4,93.2920336290358,0.124125692151633
"HT-29",0.0374766826913598,NA,0,92.504663461728,0.0816177187251001
"HCT 15",0.116346991134609,2.80339960266786,0.714432975211929,0,2.80339960266786
"SNU-C2B",0.211015508962103,NA,0.581300757176476,70.3853569155985,0.00840628378400561
"MHH-ES-1.1",0.424038766747737,0.0328972212352485,4,33.1119594001068,0.0250790759394208
"MFM-223",0.296653162725448,0.341970045867818,0.754920377636578,0,0.341970045867818
"C32 [Human melanoma].1",0.124396583426253,NA,4,74.7805208667013,0.0662788588275431
"U2OS.1",0.16605958376343,NA,2.0540034829346,71.3837011354258,0.036289262265049
"DEL",0.56875639847685,0.0366815143241637,0.782913911907698,0,0.0366815143241637
"COLO 320HSR.1",0.0114297903856143,2.56203658395833,4,0,2.56203658395833
"DiFi",0.174367937003521,NA,4,69.019296940427,0.0409897697031972
"CCK-81",0.0100118633344085,NA,0,97.9976273331183,24.9536835768587
"RKO.1",0.0370399594677542,NA,4,83.8366626509466,0.410955474630828
"SK-CO-1",0.199372267232756,NA,1.63879629433908,64.8123302280662,0.0397955430555202
"LS411N",0.0796526466286049,NA,1.07312570311477,58.6235573092803,0.681745348069997
"LS123",0,NA,0,100,0.0209313252266555
"LS1034",0,NA,1,100,0.00632733265355942
"HCC2998",0.00110755966690168,NA,0,99.7784880666197,0.379147080892614
"NCI-H929",0.141073952497108,NA,4,72.9757839698609,0.0543332323085359
"CP66-MEL",0,NA,0,100,1e+06
"Ku812",0.296693080218301,0.175194460000789,3.77472784419441,20.3732516054328,0.152513332900875
"VAL",0.448587814081517,0.117098083628864,0.382342837406057,0,0.117098083628864
"RF-48",0.303592965881019,NA,4,55.0620543878243,0.0188114689293459
"L-540",0.219607179259257,6.54781355105858,0.293546451726515,0,6.54781355105858
"SR",0.586771190665011,0.0199473205888993,2.05896397860044,15.1604347468602,0.0167371888721671
"MDST8",0.00745758207821177,NA,4,98.7639037873979,0.0309894815009337
"DOK",0.299228963184859,0.0845575863471272,4,44.1144741751441,0.0495286389942548
"KM12",0,NA,0,100,0.0025297114155447
"HT115",0.21217782093674,NA,4,65.4357724631773,0.0288118961424441
"GP5d",0.219746021116541,NA,4,75.525018179912,0.0039908240944774
"Ca9-22",0.035925347407977,NA,1.28139172585935,56.4517070550722,1.88925523632769
"TC-71.1",0.281601759835967,NA,4,58.7842190259325,0.0178425124150277
"SW620.1",0.149231326339968,NA,4,73.9024649727857,0.0385208126406005
"HCT 116",0.243695811271808,NA,3.39041556807123,61.723437359185,0.0246114147121714
"PC-14.1",0.0792929412880861,NA,4,87.2456316834845,0.0272955496937375
"PC-14.2",0.17767662479498,NA,2.17439350757281,68.9059200194596,0.0386037365555154
"PC-14.3",0.195513124434046,NA,4,78.9090712818905,0.00319694443795018
"A-375.1",0.221659832166197,NA,1.7548614981089,77.8340138397334,1e-06
"A-375.2",0.15639245856538,NA,1.9316458446258,84.3607527312858,1.72577228602089e-06
"A-375.3",0.148539345782592,5.55475757196092,0.449975382503159,0,5.55475757196092
"SW620.2",0.0893760595413809,NA,4,88.8375677975083,0.00791977529411778
"SW620.3",0.121886194353604,NA,0.320107839684738,67.0253061847921,0.394339212998024
"SW620.4",0.126516099262738,NA,4,83.2546486320474,0.0108264779535622
"HT-29.1",0.14461815182814,NA,0.485528843760973,70.4565130596579,0.0703222108448974
"HT-29.2",0.0729512338827546,NA,4,82.2551758331054,0.116892616764469
"HT-29.3",0.0363235724127857,NA,4,64.3141556037783,1.00558335355006
"MHH-ES-1.2",0.379551977525375,0.0339851899579801,4,42.2798558641636,0.0213036271610328
"MHH-ES-1.3",0.354730277555552,0.0396879561521391,4,47.0469071433062,0.0195652548347748
"MHH-ES-1.4",0.365967137791815,0.0390554391642573,4,42.8265936407728,0.0240364531459692
"C32 [Human melanoma].2",0.116087065739306,NA,2.93721826103288,88.3912900730428,3.31089652240362e-05
"C32 [Human melanoma].3",0.196312236715959,2890686.82486835,0.0822875215828684,4.18207984598077,1e+06
"C32 [Human melanoma].4",0.211401376227428,1e+06,0.0798628529542677,0,1e+06
"U2OS.2",0.0632326963310773,NA,0,87.3534607337845,0.00218433120760858
"U2OS.3",0.0402055753085597,NA,2.63106508948245,95.5459942486595,0.00365018524588283
"U2OS.4",0.0437780938835177,NA,4,94.1634041636141,0.0112436265608019
"SNU-C5",0.127908324635886,8.76308146828191,0.445564107275913,0,8.76308146828191
"COLO 205",0.236089131048144,0.20189484076166,4,38.9232593687652,0.138511463062686
"KCL-22",0.207502618048379,114.594774097156,0.183819671476104,0,114.594774097156
"BICR 10",0.102916643419827,5.07965338162073,0.616872498276136,0,5.07965338162073
"SKN",0.0957424090171502,NA,4,71.5889398359146,0.195050541469821
"PEO1",0.0441733079754649,NA,4,92.9903795685433,0.0257410771478525
