"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"EW-13",0.0523174419962425,NA,4,84.7471903781029,0.467789859796961
"CL-40",0,NA,2.72601926649919,100,1e+06
"MHH-ES-1",0.210271541310058,NA,1.02907806878662,75.4861604178954,0.00862829549951096
"C32 [Human melanoma]",0.00844469933021585,6.98346183458478,4,0,6.98346183458478
"U2OS",0.090123152812807,NA,4,75.2336200627124,0.404928711409986
"TC-71",0.0430908315384009,NA,4,70.3961712261493,1.83777403628119
"RKO",0.0873969569107566,2814.30545195829,0.24996058338049,0,2814.30545195829
"NCI-H747",0.254206496375167,NA,0.672176854152598,57.1489110713422,0.0717661129577093
"CL-11",0.0895484452715007,NA,4,81.5613261072817,0.174628260779742
"COLO 320HSR",0.045690046034024,NA,0,90.8619907931952,0.100319254744337
"PC-14",0.0317971166885653,NA,4,84.4839240896941,1.21507888586355
"A-549",0.0688918061828127,NA,0,86.2216387634375,0.000594013104101524
"A-375",0.0632417047217343,NA,0.00702033680618267,87.0344262284096,168.674070464174
"SW620",0.055935025596293,NA,0,88.8129948807414,3.2142074978755
"HT-29",0.156683897085192,NA,0.0143206287591391,68.8527165005623,0.0676082874706879
"HCT 15",0.0579799461191645,NA,2.51571089188917,55.112397270838,2.14209500101212
"SNU-C2B",0.227920746255003,20.4442541205342,0.40845290792928,36.6321430075272,0.808986897895344
"MHH-ES-1.1",0.093640630530323,NA,1.03712088478428,66.3575574658568,0.837364594815761
"MFM-223",0.125973287990576,3.37893930806268,1.05828190690555,0,3.37893930806268
"C32 [Human melanoma].1",0.0839524904854898,NA,0.0672944750230118,67.6264839899225,1e+06
"U2OS.1",0.0730250187970628,NA,0.510971791245406,78.1113963715947,0.843632290440422
"DEL",0.0132342766131181,NA,0.0884907339238876,96.9440008469167,3.39912096365909
"COLO 320HSR.1",0,NA,0,100,180.961493670677
"DiFi",0.172821834178955,31.9975113253973,0.319145527007494,0,31.9975113253973
"CCK-81",0.183814681806395,338.664499345845,0.200921280479925,0,338.664499345845
"RKO.1",0.0325327243449625,17.9957270985335,1.04072771437746,0,17.9957270985335
"SK-CO-1",0.0118374636408914,NA,4,92.3768369991251,1.71654370584789
"LS411N",3.04134085562577e-16,NA,3.85565361706787,99.4190533957245,5940.88091709924
"LS123",0.00450201217444013,8.28809839619694,4,0,8.28809839619694
"LS1034",0,NA,0,100,1.56192123096728
"HCC2998",0,NA,0.697408326010358,100,0.0131388998690933
"NCI-H929",0.351351995544169,0.480793927448212,0.859642780739595,8.76051327020081,0.384275996540743
"CP66-MEL",0.0777483290186886,NA,4,89.303339945898,0.0330018786776901
"Ku812",0,NA,0,100,770.086582493675
"VAL",0.0340415044705428,NA,4,82.646769421154,1.29119649826561
"RF-48",0.0321430800594139,NA,4,73.9096686378491,2.15313591742459
"L-540",0,NA,0,100,855648.315513191
"SR",0.0319761845031266,NA,4,80.9533983679534,1.57185296316201
"MDST8",0.0365093470590873,NA,0,92.6981305881826,214.431751291763
"DOK",0.175637106439174,1.33005053642608,2.27283339895857,30.960350678985,0.869720869574255
"KM12",0,NA,0,100,0.0346181621156195
"HT115",0.0447444803621349,NA,4,83.8884193640852,0.734404395643757
"GP5d",0.121470463750322,2.79433235951136,1.41475364704443,0,2.79433235951136
"Ca9-22",0.00833057003033118,7.01012752534,4,0,7.01012752534
"TC-71.1",0.0102596495257786,NA,0,97.9480700948443,0.281847431403232
"SW620.1",0,NA,0.268222220170451,100,0.168361870589255
"HCT 116",0.0614770621095296,NA,2.7549693578028,84.9894280002248,0.295427815210952
"PC-14.1",0.030897116214986,12.2787469651794,1.28435462265533,0,12.2787469651794
"PC-14.2",0.0813136464970771,NA,2.1370815912836,78.5551774600147,0.364974181146428
"PC-14.3",0.107937568878534,31.2216521917093,0.471774777861055,6.3790340085634,23.378351486825
"A-375.1",0.0649493176676238,NA,0,87.0101364664752,2486.52461114091
"A-375.2",NA,NA,NA,NA,NA
"A-375.3",0.0986770173579049,4235912019953777664,0.0951277928342913,46.853726933566,1e+06
"SW620.2",0.03257984043008,NA,4,80.2032793308603,1.60860316160854
"SW620.3",0.0889858416110848,NA,0,82.202831677783,53.3055724825369
"SW620.4",0.128606100071748,NA,0,74.2787799856504,0.0296441120905252
"HT-29.1",0.159264622476438,NA,4,83.7549491667695,0.00460687991940958
"HT-29.2",0.0709760658489616,9.48856791337616,1.07590666699988,25.7973483797238,4.83420255298595
"HT-29.3",0.0955369590627016,NA,1.99191158848455,77.2221071204751,0.276304132931251
"MHH-ES-1.2",0.155585159850526,6943.34116328421,0.161549512053,0,6943.34116328421
"MHH-ES-1.3",0.112928593366037,NA,2.73387093647617,82.8191305821276,0.0533331385917332
"MHH-ES-1.4",0.0863931438169627,NA,0.261333732858294,84.1122478551615,0.077247280488939
"C32 [Human melanoma].2",0,NA,0,100,82.9379493473184
"C32 [Human melanoma].3",0.093814525766099,129668.977800401,0.169945131237053,0,129668.977800401
"C32 [Human melanoma].4",0.125318534813505,NA,4,82.4897007119496,0.0356481933969063
"U2OS.2",0,NA,0,100,0.248331659514996
"U2OS.3",0.010307977808646,NA,0,97.9384044382708,0.00689063109933719
"U2OS.4",0,NA,0,100,0.00428530476591423
"SNU-C5",0.0619283143265828,NA,4,83.0030721606329,0.403652682054391
"COLO 205",0.104781157218716,502.885042465067,0.281015388382807,0,502.885042465067
"KCL-22",0.0521081408279119,NA,4,67.483213205821,1.6579115786391
"BICR 10",0.151116328623652,53.5794613156997,0.319945478542997,0,53.5794613156997
"SKN",0.0588067991979889,1580.17444888107,0.319925483891775,0,1580.17444888107
"PEO1",0.118328552132093,63.7472158157525,0.367610993450268,0,63.7472158157525
"TE-12",0.0978274754239879,NA,1.9163719488173,72.4004540153852,0.43424526717993
"LP-1",0,NA,1.10445739455278,100,6.31373488154737
"LP-1.1",0.0207382350534265,NA,4,92.3260443277782,0.77333663894426
"LP-1.2",0,NA,0.782742955199575,100,0.115453165344211
"SKM-1",0.0175007978393614,NA,4,93.5707795620624,0.762903596467629
"HSC-3",0.0797461797605548,NA,4,76.0082243900417,0.503371066551195
"PCI-04B",0.0572109232702027,NA,4,71.7300911475945,1.23680225885435
"LS513",0.0810130184106471,NA,4,85.900424924343,0.094485995260424
"SNU-407",0.0699262342512564,NA,4,79.256449133166,0.487260170642164
"SNU-1040",0.0598997520920314,NA,0,88.0200495815937,0.0512326760487003
"A-427",0.0195885533553079,NA,2.38474498788578,90.3937554464371,1.24084492289682
"SK-GT-4",0.161894268721186,NA,0.818814102341679,63.8542108625841,0.237349440351169
"RCM-1 [Human rectum adenocarcinoma]",0.138581164651093,NA,4,76.4349535298319,0.0860726900300947
"COLO 678",0.0454806027567003,NA,4,86.3739792150235,0.498567952948629
"LoVo",0.0408487404759815,NA,4,94.2120899816478,0.0381786153096772
"SNU-175",0.0689526977950796,6004.10269797045,0.257380759518725,0,6004.10269797045
"LS180",0.0499484127745753,NA,4,78.2621400075142,1.02302042822735
"OACP4 C",0.278141573611285,4.46797659568608,0.310303225104916,0,4.46797659568608
"NCI-H2135",0,NA,0,100,650264.067869233
"CL-34",0,NA,0.433043790896035,100,0.0200522720943547
"ABC-1",0.0838612812873634,NA,4,83.8796777932477,0.137539132379822
"SK-MEL-5",0,NA,0,100,1e+06
"T84",0.124954985753283,18.8323747575606,0.472584247983922,0,18.8323747575606
"EM-2",0.125974684271756,939038414.657136,0.102799080598138,25.2610713451093,1e+06
"LP-1.3",0.00174991886377918,NA,4,53.2076305114421,8.70484091278731
"OVK18",0.0893035041445469,NA,0,82.1392991710906,1.27902505851463
"A-427.1",0.103402472123159,NA,2.07992897291202,88.5939760038273,0.00824674196778229
"NCI-H841",0.0304226921873612,NA,4,95.0849422293888,0.0695346414966794
"Lu-139",0,NA,0.233570135506734,100,0.575088499336739
"MRK-nu-1",0,NA,0,100,478315.298543276
"NCC010",0.0272002510677973,NA,0,94.5599497864405,0.696342910375911
"RKN",0.0350125100234983,NA,4,84.4189134661118,1.05951055270869
"TE-15",0.0627749165268811,NA,3.39449262937576,78.7815285692854,0.648053814010777
"HuTu 80",0.150597006019685,6123.40320123677,0.167411346563838,0,6123.40320123677
"OSC-20",0.0876049085225434,NA,0,82.4790182954913,0.0185624169817324
"5637",0.0891578772281302,NA,0.930709773732102,72.0327978442976,0.632586059467785
"CaR-1",0.0650799124009547,NA,4,81.7601733414748,0.42525933277702
"H-EMC-SS",0.136211554874813,25.5154299231702,0.408669120004651,0,25.5154299231702
"A2058",0.0244874651051149,NA,0,95.102506978977,12.3258561262779
"SW1116",0.0253061718093264,NA,4,85.2370820343594,1.53360858348796
"LS180.1",0.0444118056258078,NA,2.33400822085361,70.7820043158605,1.81879383476996
"786-O",0.0719465978359593,NA,0,85.6106804328081,2.97300173399092
"8505C",0,NA,0,100,865.004564924597
"42-MG-BA",0.13409109362396,1503.52793063418,0.274004021513851,31.8789765879191,37.0188053988676
"VMRC-RCZ",0.0311857754531101,NA,0,93.762844909378,11.1135213853764
"639V",0.108771585029201,NA,0,78.2456829941599,1000.69453849238
"BHT-101",0.085098861437173,NA,3.75594238447404,76.097011965873,0.427572446058549
"BPH-1",0.208007537295918,3.04901375173071,0.569534881932382,0,3.04901375173071
"UACC-257",0.035523947644948,NA,4,94.30553423779,0.0672373965991038
"LoVo.1",0.0591083270378379,4.55810898172393,1.92566267961426,0,4.55810898172393
"23132/87",0.104637002674054,5.0401904880909,0.951862917363166,0,5.0401904880909
"WM793",0.0954855204895126,NA,0,80.9028959020975,4.0473101107119e-05
"Panc 02.03",0.0391205038716251,NA,0,92.175899225675,6.95108848605214
"C2BBe1",0.0423692709938235,NA,4,76.7894537424898,1.41933502931838
"SW837",0,NA,1,100,0.0500175646263872
"AGS",0.108812295055434,2.13056823892478,4,38.3399908355853,1.48056565391236
"647V",0,NA,0,100,1.8035987172014
"BFTC-909",0.0826811911463114,NA,4,58.6946675970871,1.25584145430519
