"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"MDA-MB-436",0.0530253539959533,NA,2.2872259584425,76.2249266629036,2.15887931464378
"HDQ-P1",0.0262978627046057,37.3634388506693,1.12358661589555,0,37.3634388506693
"MDA-MB-361",0.018784849969335,77.6750248590717,0.974930953079941,0,77.6750248590717
"BT-474",0.0447749781622762,NA,2.50891254869303,60.7554700599528,4.81009288718401
"MDA-MB-157",0.0698781730416207,21.3530905184668,1.40004356998287,42.2750683558711,5.62521632066951
"CAL-85-1",0.00462568814295754,16.4417406831586,4,0,16.4417406831586
"AU565",0.116656681367561,2080.85154708279,0.239806628770135,0,2080.85154708279
"HCC1806",0.0235710034205362,26.2036744892027,1.40564068814296,0,26.2036744892027
"MDA-MB-175-VII",0.0885737022212636,NA,4,76.0038432959215,0.77420043562542
"HCC1187",0.0840242008619735,3511.85331733718,0.268716683131278,0,3511.85331733718
"MFM-223",0.344691291703728,1.21003755015588,0.791155782522599,37.7684709671502,0.2041233050535
"DU4475",0.176162090695237,1.97505465411297,4,38.8879592636082,1.35607925769623
"HCC1569",0.128869841205404,4.38052238784775,3.30986002499296,47.1244924756108,1.84846193849185
"UACC-893",0.0752248696819386,NA,0.0569728727508085,74.8639808160518,1e+06
"CAL-120",0.0219107549828204,NA,4,89.8911802341286,2.22734612594026
"HCC1937",0.0810567127375896,NA,0.575942101751194,79.5570288436569,0.810485552333561
"JIMT-1",0.00421795181751055,26.4850632550418,3.22115640536976,36.4062568435615,17.6767448673732
"CAMA-1",0.120613005683609,18347.0518008475,0.185642951888726,0,18347.0518008475
"HCC1419",0.0439807600947118,NA,1.36776445224796,52.2736007740333,7.83595177708257
"BT-483",0.0486683956328512,193.382501458193,0.536253597731206,0,193.382501458193
"COLO 824",0.12482813169843,NA,2.43151709645806,52.8088130945781,1.60623289415389
"EFM-192A",0.0109077458441041,NA,4,91.1268502473777,4.30128863940818
"HCC1428",0.066487235914632,24.3809782722384,0.838364348803271,0,24.3809782722384
"HCC1954",0.0337466901377917,22.5420379853174,1.47315028307918,23.4392393486116,14.6724292297144
"BT-20",0.0274166509413832,NA,2.69618464898259,85.8757119181038,2.63032824701965
