"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.260248528202247,NA,1.22423982018616,71.5685139143967,0.00103816054585902
"MES-SA",0.169653040889049,7.42027713834785,0.359375,19.6875000000001,1.84342299240911
"PL4",0.101600461785037,25976084296683624,0.0879068809520926,43.926246059571,999996.819637358
"OS-RC-2",0.0748225593265205,306220.805208743,0.158975266559881,0,306220.805208743
"WM793",0.0156358945518128,NA,4,90.5819722658997,0.318483267425369
"KYSE-50",0.0431534430948591,NA,0,91.3693113810282,0.00107879501280559
"KE-37",0.0769368108242187,NA,0,84.6126378351563,0.187378730937514
"Jurkat",0.120907737603892,583.171226421265,0.208565910220509,0,583.171226421265
"KM-H2",0.063186581405539,1675.33978091476,0.329328114462811,34.6217058767697,46.6911545707256
"697",0.0727328858384022,NA,1.17825683681406,62.7205330747421,0.315122130292056
"8-MG-BA",0.0557261026838438,NA,0,88.8547794632313,113.486192191758
"PaTu 8988t",0.113110638636614,NA,0,77.3778722726772,0.000116682344812635
"FTC-133",0.141591471773678,NA,4,85.6339043361996,0.000836609264948615
"KMRC-20",0.0979211821274573,32874.4062467579,0.163332510593326,0,32874.4062467579
"NCI-H1975",0.120068766489524,NA,0.0221994260477792,76.7164162612004,0.00187113711074031
"OVCA420",0.0672646358640801,8410661.48098216,0.145388292956496,13.3131412986231,1e+06
"HCC1954",0.114015747806647,NA,0.822168573023718,86.297118288738,0.0017851654366469
"ASH-3",0.134635485828973,NA,1.13673594661901,84.3778944018615,0.00180967157641945
"NCI-H1568",0.14821315173427,NA,0.710454794792925,82.0036993032282,0.00160894296915328
"NCI-H1563",0.11171132444738,NA,1.36671560810902,84.4443136364964,0.00665408721170829
"Daudi",0.0346377113018888,NA,0,93.0724577396223,0.00174346723438916
"CTV-1",0.0615597692896904,6.0761230439333,0.637593010673173,0,6.0761230439333
"EM-2",0.0306946147075777,NA,4,80.5441844630337,0.337393502088423
"WM278",0.0779824544576946,NA,0.347240530082446,85.2168601838563,0.0221942475147203
"GI-ME-N",0.137447874420797,NA,1.58931894287456,74.2718195002939,0.0249205182662581
"EJM",0.00356893944983122,1.762492463781,4,0,1.762492463781
"HT-3",0.105005554321262,NA,0,78.9988891357476,2.47137424347247e-05
"Hs 746.T",0.0993779085072271,NA,0,80.1244182985546,4.66533121126625e-05
"EW-18",0.0654462626575012,NA,0.088710167334338,63.4741923864471,999936.211005373
"RPMI-7951",0.0454397169947795,NA,1.81786613525051,87.6697566570901,0.0788458916824766
"CA46",0.0410161859524446,NA,4,71.8792391752948,0.366782708785471
"RCC10RGB",0.149803096567595,NA,4,84.5136450028776,0.00110104237778716
"U-251MG",0.107831644683381,NA,4,89.0062164032167,0.000914443317728349
"Karpas-231",0.037169216071513,1.3627221159176,1.77507132509837,0,1.3627221159176
"BALL-1",0.062569584269037,5.20755854782426,2.42328655817113,49.8704533054166,0.445927278304804
"IGR-1",0.064008211420313,NA,0,87.1983577159374,0.0575854817487658
"KP-1N",0.0694495861735093,NA,0,86.1100827652981,0.00470767955090256
"OVCAR-8",0.0691341330854658,59.8681271171487,0.375085736655082,0,59.8681271171487
"JJN-3",0.069748702488132,NA,0,86.0502595023736,79807.9493385568
"ALL-SIL",0.138224014410595,173213.029997197,0.119264261800143,0,173213.029997197
"HEY",0.0801046971808382,NA,0,83.9790605638324,0.000270423165881953
"HeLa",0.0445126505333669,NA,4,84.993802303113,0.128888004609809
"SCC-15",0.0918207513190856,NA,0,81.6358497361829,0.0316106456570232
"CAL-33",0.105856947963209,NA,0.153001217491445,79.3682442431631,0.0222923908002352
"JHH-6",0.0409372520340962,NA,0.139377238068436,51.8908727072564,1e+06
"ES4",0.151692387744902,249816.208249681,0.109425871504899,0,249816.208249681
"UACC-257",0.0944104731023567,NA,0,81.1179053795287,3.3168026264865e-05
"KCL-22",0.0956563804979723,NA,4,63.6952083290528,0.16206562274151
"CHP-134",0.0696767373791187,NA,0,86.0646525241763,0.00286247010531355
"KMS-12-BM",0.0615203442515848,NA,4,75.1964733160954,0.180334831240263
"OE19",0.064801650409109,NA,4,89.6691835514975,0.0131323751773386
"MDST8",0.108684435825656,268843.00146872,0.133613363196105,0,268843.00146872
"HCC2998",0.0932041219472008,NA,1.35901324858901,89.948527287787,0.000985351104872367
"G-401",0.372221905846826,0.0849097179417567,0.743824158432505,31.5855600167363,0.0221686679832069
"OAW28",0.11366173159342,25784.4250615614,0.153537025448168,0,25784.4250615614
"DMS 53",0.139604682030456,NA,2.14844315457892,86.039531459938,1e-06
"TOV-112D",0.114457810273734,3164888.05155643,0.115410216607147,6.22526371013082,1e+06
"AsPC-1",0.00253536805318587,1.92674319774394,4,0,1.92674319774394
"HSC-3",0.0212158305300619,3.43003478915515,1.28022108817166,0,3.43003478915515
"Evsa-T",0.101774241601169,NA,4,78.0918804960611,0.0404069014740907
"VA-ES-BJ",0.0455647990209843,NA,0,90.8870401958032,0.00927887453782657
"GOTO",0.107300119685553,NA,0,78.5399760628894,0.0028057468045843
"SNU-175",0.0761084066204135,NA,0,84.7783186759173,0.000462626244176636
"IM95",0.0907336110858817,32879.9530688221,0.169704974556087,0,32879.9530688221
"OVCAR-3",0.108998273938372,NA,1.52864090962003,88.6835665731239,0.00061487380007595
"LXF 289",0.0957119701048466,NA,1.13508258288675,88.9288106000201,0.00175713745741194
"AGS",0.00291080812669651,1.85891921053196,4,0,1.85891921053196
"AU565",0.0368138063442209,NA,4,94.2544435404892,0.0119656282879061
"LN-405",0.0177908901610997,NA,4,81.8081855913926,0.517811706297136
"TE-4",0.102734277749026,63000.6490085238,0.151910355484068,0,63000.6490085238
"42-MG-BA",0.162347743598478,1496.12480536317,0.155428348836984,0,1496.12480536317
"TUR",0.016359347853522,4.74391345681853,1.22501554753748,0,4.74391345681853
"EMC-BAC-2",0.0557443945431418,NA,4,80.5946175073384,0.137504501571304
"LC-1/sq",0.0455841380775851,NA,0,90.883172384483,0.0026799779962833
"Hep-G2/C3A",0.1009643667459,NA,0.0686889163411977,81.5380921317382,0.00202052194488305
"Karpas-45",0.0250523107883514,NA,1.57801922121631,85.0151047052431,0.352358421045916
"A-375",0.0265228858093517,161.133236190876,0.46669750459112,0,161.133236190876
"C32 [Human melanoma]",0.051373771229333,NA,0.106727762095503,88.9202735362357,0.12563515826493
"C32 [Human melanoma].1",0.00783185938136848,1.42637656506926,4,0,1.42637656506926
"C32 [Human melanoma].2",0.00997881874141477,NA,4,98.8788659930203,0.00211189917397621
"HT-29",0.125768986384493,30625929133555692,0.0749613588552754,41.8169166548518,999953.040293103
"HT-29.1",0.0754603417611917,NA,0,84.9079316477617,0.000653504806892055
"MHH-ES-1",0.0944411590579129,NA,0.00131347762642532,81.1050714596049,0.0542611043105283
"MHH-ES-1.1",0.0262670667628684,NA,0,94.7465866474263,0.010373377744632
"MHH-ES-1.2",0,NA,1.03521634134174,100,1.11609098213375
"SNU-C2B",0.1343122802079,NA,0.855792501924471,83.6263928507408,0.00212833331837449
"SNU-C2B.1",0.091668227551038,1039.5584133392,0.228535079445117,0,1039.5584133392
"SNU-C2B.2",0.0919638018740183,3894.42257773805,0.2008801584404,0,3894.42257773805
"U2OS",0.194226985830698,NA,3.83244953452025,75.5832155443631,0.00410469812079356
"U2OS.1",0.2130623586943,NA,1.21587442665885,67.6271689489458,0.0101458855058082
"U2OS.2",0.178055919851674,NA,0.496474332161615,72.688236227804,0.00671934379343963
"PC-14",0.0781524297541493,NA,4,86.2578544998995,0.0196793566095725
"PC-14.1",0.13106769895931,6017757445.44811,0.0886730497349889,26.8880810898207,1e+06
"PC-14.2",0.0630198481426479,NA,4,91.1318057469817,0.00738316842322431
"SW620",0.0704543804171584,NA,0.267147977937857,61.9693150462836,11.2292818474623
"SW620.1",0,NA,1,100,0.00100052698506632
"SW620.2",0.0116596447307568,NA,0,97.6680710538486,0.00550629991870992
"HCT 15",0.092129620216039,NA,4,83.9651178917597,0.018899837833353
"HCT 15.1",0.120622356221891,459983494.489375,0.0985356715914752,22.6731532688736,999874.108693048
"HCT 15.2",0.16785937398148,NA,1.48186557169287,83.214003869775,1e-06
"A-375.1",0.0140467435600932,NA,4,82.9432027435876,0.581746690198799
"HGC-27",0.103491418503811,NA,0,79.3017162992377,0.000171164493424281
"B-CPAP",0.0904260919124443,NA,0,81.9147816175111,0.000228939249961355
"SK-MG-1",0.0636893615113575,NA,0,87.2621276977285,0.0462512585323983
"NCI-H1650",0.1203125,NA,0,75.9375,1e-06
"786-O",0.158766056054176,NA,0.700995900220595,83.0347277818947,0.000240710396818419
"TGBC24TKB",0.007816283385575,NA,4,93.0498025724236,0.465168054784121
"KP-2",0.0497316597417756,NA,4,93.7956602395,0.00393589513653778
"HDQ-P1",0.145910416446253,NA,0,70.8179167107495,0.000582389703571672
"NCI-H716",0.633360586148145,0.00676648723025035,1.03467318274144,15.6126873166898,0.00471237107530786
"MHH-PREB-1",0.0894118768503842,NA,0,82.1176246299232,0.00103841451283009
"NCI-H513",0.117561177754321,NA,1.27018393350042,87.8592271910114,0.000408492512139649
"Huh-7",0.157873792159157,0.93101301150552,0.646048553929993,0,0.93101301150552
"HT-1197",0.0680313840234714,NA,0,86.3937231953057,3468.04088460325
"J82",0.160516132333128,71.8308553499337,0.222613736973358,0,71.8308553499337
"NCI-H1568.1",0.0903140514179538,NA,0,81.9371897164092,1e-06
"SK-N-DZ",0.135679960373681,NA,0.76646935272857,80.9183247499371,0.00552074795151016
"NCI-H322M",0.0829421916073979,NA,0,83.4115616785204,0.289040389716894
"LB996-RCC",0.113941313100244,NA,0,77.2117373799512,94.2917803643932
"NCI-H1944",0.103904299649062,NA,0.0082901357655198,79.2416639641785,0.024345655877326
"MCF-7",0.111180240394028,NA,0.00885355570758687,78.3069874618226,0.000110545782655563
"KYSE-180",0.0542624913606784,NA,4,90.0404093893838,0.0232083755422962
"NCI-H23",0.061520608208253,NA,0,87.6958783583494,0.00133449872663695
"L-428",0.105374110218461,NA,4,79.5251318424309,0.0285867455714012
"IGROV-1",0.141608816985364,NA,0,71.6782366029272,0.000197115464710008
"LN-229",0.106215685174316,57115.5621367027,0.150286898948943,0,57115.5621367027
"HSC-4",0.0462121754919651,NA,0,90.757564901607,1.07525722435224
"Mel JuSo",0,NA,0.83403944258429,100,0.0115691571723614
"639V",0.11565388487228,308058575277463,0.0832191201976374,40.1701385744366,999833.620586299
"SK-GT-2",0.0634135184173983,NA,4,91.4776523540083,0.0058589889669653
"NCI-H2373",0.130760366961205,241.160597576349,0.219720879429785,0,241.160597576349
"U-118MG",0.110785721215725,NA,1.56838751898383,87.6072732937052,0.00163217446069961
"TE-1",0.111500027246689,NA,0.0555870852694903,59.8107610352128,1e+06
"SKN-3",0.0485759377666829,5233564.10475174,0.16722952538736,12.0889483829387,1e+06
"SiSo",0.0806335247391599,150961130.977743,0.125390347473353,23.3460642057087,1e+06
"SNU-C5",0.11093319273161,NA,4,88.3797135412397,0.0012581743793044
"MFE-296",0.110313080643319,6.13993719384487e+30,0.074488787783615,49.2879217250051,999938.612509227
"NCI-H2170",0.073885852899031,NA,4,86.9441993204194,0.0200612565544167
"NCI-H1694",0.216326818489877,NA,1.18901594846449,78.3666050735933,1e-06
"8505C",0.118825307911144,NA,0,76.2349384177712,0.0303744754240837
"JHH-4",0.163130459021463,NA,1.78718204545913,83.6869374896695,1.81163409600483e-06
"TT2609-C02",0.116518655381178,NA,0.941325792490991,88.3454535601466,1e-06
"SW1573",0.0565108798459164,NA,4,93.8853370300765,0.00163451268926959
"LOU-NH91",0.147336251132224,NA,4,81.9631033560898,0.00353927869235426
"NCI-H1048",0.0727364709558326,NA,0.15099607716857,84.7886252950807,0.0571571975324393
"C-4-I",0.102743177219945,NA,0,79.4513645560111,0.0010065988806898
"Jiyoye",0.1625,NA,0,67.5,1e-06
"SUP-M2",0.163586784696836,1920812576.99867,0.0771275205942223,22.0924741271758,999951.874591562
"CAL-120",0.128945557981589,27294.2722276434,0.303099532616809,47.3162918079687,1.7589536349056
"SW756",0.0657747622999118,85302.5264315118,0.183059914471492,0,85302.5264315118
"G-402",0.197691741387811,NA,2.44554664122114,71.1127545177794,0.00883543715616734
"WM35",0.0780654511396922,316357422.672171,0.125453999385152,25.7164223154219,1e+06
"UMC-11",0.187756395522257,NA,2.241194012967,81.224360218837,1e-06
"HCC827",0.111752541699691,NA,4,87.6719653828164,0.00187158715547064
"HOP-92",0.111795436527437,NA,0.0111180024531659,77.6541898687498,0.0284242853614308
"SW780",0.134211273865735,12.8918751712351,0.336718709704968,0,12.8918751712351
"OVCAR-4",0.0733373973512075,NA,4,90.9766598761624,0.00364176972680216
"RERF-LC-KJ",0.166784184338851,NA,1.53426376207815,83.3215423202919,1e-06
"RL95-2",0.0463761303458551,NA,0,90.724773930829,0.00165305788516455
"DEL",0.166652398666886,81.4043138641595,0.344953208198028,40.5367900817403,0.652994415674834
"KOPN-8",0.191283614372555,NA,2.30692819548967,80.8716384188556,1e-06
"ETK-1",0.0519962271984664,NA,0,89.6007545603067,2.95417931121972
"GB-1",0.122924850784877,3.78617560165684,0.477644620994707,0,3.78617560165684
"Calu-6",0.00772166600871435,1.43200275529625,4,0,1.43200275529625
"BHT-101",0.0812759728625656,NA,0,83.7448054274869,0.000214965067901434
"Daoy",0.107048966750721,NA,1.29121053714721,85.5636701146719,0.00550438915838639
"CADO-ES1",0.135895066468963,NA,4,85.0120644209725,0.0018687190425438
"ESO-26",0.143264874076962,999354.954408166,0.104459668593747,0,999354.954408166
"NCI-H1623",0.123413717832515,NA,2.60126087645247,87.6586282059715,1e-06
