"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"EB3 [Human Burkitt lymphoma]",0,NA,0.686432227774976,100,46.0330291323926
"JHU-022",0.0483779497401409,NA,0,90.3244100519718,1.52830169087163
"IGR-37",0.0331854135495052,NA,0,93.362917290099,1886.50490072702
"HD-MY-Z",0.0828652308312506,NA,0,83.4269538337499,0.134268220096049
"H4",0,NA,1.33660465689245,100,90.394551821406
"Calu-3",0,NA,-2.77555756156289e-17,98.4443799328534,0.0299753330621602
"Becker",0,NA,0.202585401599018,100,1.1804157059014
"DU145",0.0671329933369653,NA,0,86.573401332607,0.00698145243219378
"NCI-H2595",0.0155588365865586,NA,0,96.8882326826883,0.301407113337043
"CaR-1",0.0375701545478649,NA,0,92.485969090427,0.000108051538388179
"DOK",0.00988466217687472,NA,4,95.435100469453,2.2424097872391
"CW-2",0,NA,1,100,0.0316366632677971
"22Rv1",0.00104518308842794,NA,0,99.7909633823144,1.38851260945667
"CAL-39",0,NA,1.26776572589105,100,1223.52783219533
"K5",0.00890144992342795,NA,0,98.2197100153144,0.0443820472977843
"COLO 679",0,NA,0,100,0.436158296290862
"769-P",0.0298408528315151,NA,0.922737940381218,79.1762682468175,6.44869089189643
"DOV13",0,NA,1.47622141481374,100,10905.6400835582
"A-375",0.0638869395335791,NA,0.067211233562826,86.833963910706,0.764572349587999
"A-375.1",0.0494136879006412,NA,0.0458514663187935,89.7323132742027,1.62985579351262
"A-375.2",0.125197532149682,NA,0.0530177741237577,78.4986900427128,0.000591440735781591
"A-549",0,NA,0,100,846.698509791824
"A-549.1",0.0169727115450603,NA,4,93.1733468424563,1.79596221832402
"A-549.2",0.00118533854130731,23.4107712678322,4,0,23.4107712678322
"C32 [Human melanoma]",0.0742100009429644,NA,4,82.7573379741741,0.511612616278106
"C32 [Human melanoma].1",0.0284053200213559,NA,4,96.6653319999903,0.0277277117993141
"HCT 15",0,NA,0,100,14.133580883185
"HCT 15.1",0,NA,1.18695839318106,100,4.32635714212356
"HCT 15.2",0.0420191302599799,NA,4,91.5091323538353,0.327710278755035
"HT-29",0,NA,0.609080848637094,100,218.75586760341
"HT-29.1",0,NA,1.06295452679048,100,0.199541932159378
"HT-29.2",0.130185261865701,NA,1.05367546213389,86.2685228826973,0.00478467424647604
"MHH-ES-1",0.0596088704431098,NA,4,90.7803854558111,0.114950142942028
"MHH-ES-1.1",0.00264902091760452,19.0497920849057,4,0,19.0497920849057
"MHH-ES-1.2",0,NA,0.946652436983934,100,0.195821587580789
"PC-14",0,NA,0.79286916966414,100,0.0124649648942354
"PC-14.1",0.0194930395554452,NA,4,96.553128899773,0.201160706356344
"PC-14.2",0.0133629159505091,NA,0.0654953813101652,95.1160759996422,1e+06
"SNU-C2B",0.00607220280360105,NA,0,98.7855594392798,0.115712443917974
"SNU-C2B.1",0.0274660267211431,NA,0,94.5067946557714,0.765252399041287
"SNU-C2B.2",0,NA,1.02094296673861,100,10.6843903137502
"SW620",0.0423709115321621,NA,0,91.5258176935676,0.0557101076551588
"SW620.1",0,NA,0.535285347482132,100,0.0281059385690366
"SW620.2",0.0322026759096572,NA,4,94.7715395061978,0.142037994912193
"U2OS",0,NA,0.692416655731728,100,0.834373102597502
"U2OS.1",0.0176463823180748,NA,4,95.1341386120557,0.816802565162287
"U2OS.2",0.017261657300043,NA,0,96.5476685399914,2.91230386524558
"MFM-223",0.0908498768988351,NA,0,81.830024620233,0.0262750759034075
"MFM-223.1",0.121147328814645,NA,0,75.770534237071,0.69570312809175
"MFM-223.2",0.0366131693506429,NA,4,79.5567561703801,2.90752950066411
"NY",0.0308400721970356,NA,0,93.8319855605929,0.0501988236843503
"BICR 78",0.0460750137168067,NA,0,90.7849972566387,0.317634442826062
"ES7",0.044876436043114,NA,1.44349009149559,82.6463400463968,1.7693916208476
"HLE",0.0751668868102485,NA,3.00109286829123,91.5729594832046,0.0203229017571435
"Kelly",0.0531939543286917,NA,0,89.3612091342617,382.236736034965
"KINGS-1",0.104109104312728,NA,4,89.1520256857163,0.0119632189089685
"KP-3",0.119465181175349,NA,1.07741124088722,86.3080631619037,0.0153394437336601
"MKN1",0.00833833179215147,14.0166010681726,4,0,14.0166010681726
"SJNB-13",0.0490049707649862,NA,4,77.4827996990627,2.22543689213666
"SJNB-7",0.0697304489524119,NA,4,90.5098735617562,0.0624872798087916
"NCI-H1993",0.0525177473397274,NA,4,82.7742234598015,1.21746671006837
"BxPC-3",0,NA,0.738200438187623,100,11.3308642152663
"CPC-N",0.0194960446001627,NA,0,96.1007910799675,1.32965561042991e-05
