"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"MDA-MB-231",0.547020420741404,0.155890178939081,0.294291093710318,0,0.155890178939081
"HCC1143",0.463820726660545,0.563893532954356,0.262253179816303,0,0.563893532954356
"T-47D",0.236887902644661,14.2348292564056,0.336745764228822,0,14.2348292564056
"MDA-MB-361",0.274865284402365,5.81218263524791,0.373519059895758,0,5.81218263524791
"CAL-120",0.395477856594271,3.55390356748309,0.180085853305647,0,3.55390356748309
"MDA-MB-157",0.339947854279223,2.57703917114506,0.561361064737564,38.2237678186036,0.19609937271923
"MDA-MB-415",0.21087012819931,NA,0.39633855483674,59.2442880751903,0.255224790493856
"HCC1806",0.553839588745408,0.0556808031753036,0.127353765329595,0,0.0556808031753036
"HCC70",0.157689132647471,3.97456891065659,1.4236571471491,8.07480157914756,3.51203456432327
"HCC1954",0.309663126936995,NA,1.62334636975826,69.0336863880058,1e-06
"MDA-MB-453",0.474887474371909,0.285124003830682,0.742412636282973,21.1133952087414,0.136172352746444
"HCC38",0.317789554315586,295.060587732121,0.112872855741863,0,295.060587732121
"HCC1569",0.188222714282769,3.09442925813452,1.41271451833941,28.2927365983427,1.71426505428564
"COLO 824",0.655569396630485,0.0127683292606473,0.209766828280634,0,0.0127683292606473
"CAMA-1",0.246875,NA,0,50.625,1e-06
"Evsa-T",0.7254331444859,0.0218813605502228,0.423940054349068,0,0.0218813605502228
"EFM-19",0.444111157967952,1.27008628000382,0.164385608509889,0,1.27008628000382
"JIMT-1",0.736022965027899,0.0193953133616758,1.08643050531644,16.7081389221414,0.0133387995540605
"HDQ-P1",0.214927671146355,6.96331937929073,0.505729023168699,0,6.96331937929073
"MRK-nu-1",0.835585492318639,1.30074732231054e-06,1.51643993282041,16.4414436856167,1e-06
"OCUB-M",0.754542112259685,5.73907753945019e-05,0.132616515692269,0,5.73907753945019e-05
"HCC1395",0.369915061846208,1.50574487149757,0.386724840711782,0,1.50574487149757
"MDA-MB-468",0.562566604714656,0.00422064955489319,0.0586454314283792,0,0.00422064955489319
"EFM-192A",0.141865741102012,239.19212141558,0.28860070571583,0,239.19212141558
"BT-549",0.553935006456129,0.09278344265735,0.184357591488395,0,0.09278344265735
"Hs 578T",0.820475763606942,0.00880449174467181,4,16.8634546692165,0.00794398831565204
"HCC1419",0.0729489187886994,1114.1565433585,0.333203553629687,0,1114.1565433585
"MDA-MB-436",0.232705834233447,NA,0.914168229601559,75.6656713895105,0.00280703235916154
"ZR-75-30",0.0739747440110304,19.1424270444488,0.873526408241111,0,19.1424270444488
"BT-474",0.078555987371518,8.28497482380411,1.56267216534192,0,8.28497482380411
"DU4475",0.729484278167092,0.0423671841072525,1.96611587502441,8.48998450548806,0.0385411476693777
"HCC1500",0.134561152254034,4.2940571259224,1.9750780186077,0,4.2940571259224
"HCC2218",0.11579482702778,20.5070821696129,0.608948825079868,0,20.5070821696129
"UACC-893",0.446473489075168,1.08150810228957,0.178590286736795,0,1.08150810228957
"BT-20",0.333139326303868,NA,1.54781575738166,66.6860652958892,1e-06
"HCC1187",0.259798171548297,NA,1.38497671088467,74.0201747493986,1.00259971318521e-06
"BT-483",0.1689504754191,NA,2.21837061165295,63.0493083801822,0.420455981596116
"CAL-85-1",0.501512204648627,0.301950550559836,0.181936905885862,0,0.301950550559836
"BT-474.1",0.261641107768113,338.852636452063,0.151566776023851,0,338.852636452063
"HCC2157",0.120619220236247,17.9016424783551,0.621033778309035,0,17.9016424783551
"MCF-7",0.518201737188379,0.23519838235374,0.275491043963075,0,0.23519838235374
"HCC1599",0.794327744768716,0.00169317418856354,0.275789604660254,0,0.00169317418856354
"CAL-51",0.804066942820368,0.0128377107864782,0.972578232328373,10.0921547942975,0.0101815816567491
"MDA-MB-175-VII",0.119518480089717,10.8384032095066,0.794121279800231,0,10.8384032095066
"HCC1428",0.242013459035008,2.84781257469964,0.748572687166629,0,2.84781257469964
"BT-474.2",0.0882427848310039,6.92300129441792,1.73762393510333,0,6.92300129441793
"MFM-223",NA,NA,NA,NA,NA
"CAL-148",0.59364089081745,2.23173665550151e-06,2.08667484582916,40.6359108988445,1e-06
"HCC1937",0.277016840238318,3.30960881595211,0.493821854216443,0,3.30960881595211
"AU565",0.497673870966629,Inf,0,0.465225806674181,1e-06
"MDA-MB-330",0.322809479588204,17.9554593167149,0.18910115202644,0,17.9554593167149
