"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"EW-13",0.0626742704051895,NA,1.77082286441507,65.8754556788966,2.9954236287409
"CL-40",0.0952915247562743,19.5393361132553,1.73658685093199,48.0541503000155,3.01337029853259
"MHH-ES-1",0.122866331085931,5.34500101827506,1.49098983576273,0,5.34500101827506
"C32 [Human melanoma]",0.038079650028271,11.0303287610073,2.24052028600934,0,11.0303287610073
"U2OS",0.108671533639245,4.93211805357342,2.853008989549,0,4.93211805357342
"TC-71",0.0740529439308045,7.13684387164024,2.22194789048194,0,7.13684387164024
"RKO",0.0804976263947988,7.27348107778725,1.85493236376793,0,7.27348107778725
"NCI-H747",0.174418997510104,603.540438779307,0.213520202703092,0,603.540438779307
"CL-11",0.0243205384506128,14.9354558500903,2.11860596375199,0,14.9354558500903
"COLO 320HSR",0.233320013755575,8.18566368698428,0.421003710973944,0,8.18566368698428
"PC-14",0.0876592296212118,154.826661203043,0.42306619245586,0,154.826661203043
"A-549",0.0567336266223259,NA,0,88.6532746755348,2.1367305148274
"A-375",0.0833669090877463,71.955628111943,0.517052297194946,0,71.955628111943
"SW620",0.131821137959007,2847.67873191312,0.214298919485022,0,2847.67873191312
"HT-29",0.0684170007121788,7.0426856214834,2.69349049509818,0,7.0426856214834
"HCT 15",0.0610396323414949,6.90165793885403,4,2.68808822536572,6.80696557367628
"SNU-C2B",0.166574717982519,3.91204954458062,1.25914155531827,0,3.91204954458062
"MHH-ES-1.1",0.0829098140752761,5.94332595957833,3.24254176866104,0,5.94332595957833
"MFM-223",0.0302570104419477,NA,4,68.5761308917395,5.23639844520217
"C32 [Human melanoma].1",0.154849974605158,NA,1.37292111072496,69.833353516323,0.288049319428618
"U2OS.1",0.0895092044090721,6.93224374200229,1.70333041385913,0,6.93224374200229
"DEL",0.147100823178443,3.65279150460642,3.4392557122101,0,3.65279150460642
"COLO 320HSR.1",0.0801197936780517,8.51401332686569,1.48037750077307,0,8.51401332686569
"DiFi",0.0275584521433751,9.67499305119577,4,0,9.67499305119577
"CCK-81",0.0666672564272148,7.2486015017629,2.59680524710008,0,7.2486015017629
"RKO.1",0.168298402955777,5.57515068610227,0.823003300824572,0,5.57515068610227
"SK-CO-1",0.0572610749792176,NA,0,88.5477850041565,0.0162993021996926
"LS411N",0.0444921471755135,8.01868339532966,4,0,8.01868339532966
"LS123",0.0191286235168843,NA,0,96.1742752966232,0.209446000851409
"LS1034",0.0181177398138435,NA,0,96.3764520372313,0.349803717033984
"HCC2998",0.0365505497601318,8.70039622439427,4,0,8.70039622439427
"NCI-H929",0.121443882167041,4.28052074530208,4,4.82092206502493,4.17338495289445
"CP66-MEL",0.0620379833351822,NA,3.52109651138074,59.7230774498198,3.47453168789573
"Ku812",0.0924110218534903,5.50532565952239,3.24683066893445,0,5.50532565952239
"VAL",0.079718099737098,5.93149274311026,4,0.803475554489862,5.9075187394815
"RF-48",0.161851568271251,477.886535094432,0.234599344434723,0,477.886535094432
"L-540",0.105482047756646,4.86863153181074,4,1.86880920152698,4.82248691609029
"SR",0.176780071980498,2.88474602153454,4,3.18348605691845,2.8376893483472
"MDST8",0.0369432913708835,9.79458727690409,2.83327031400945,0,9.79458727690409
"DOK",0.00745791956429403,14.4586114875661,4,0,14.4586114875661
"KM12",0.0261108611255518,NA,0,94.7778277748896,28634.6398890324
"HT115",0.0605094212821672,NA,0,87.8981157435666,0.00740499724106408
"GP5d",0.0261741666569519,17.3887527894462,1.76664916742199,0,17.3887527894462
"Ca9-22",0.142180020505363,NA,4,80.4011265866478,0.0666439834061171
"TC-71.1",0.0552544466360949,12.2773337011513,1.45424137997444,0,12.2773337011513
"SW620.1",0.0948584821384081,6.16731899575561,1.93010319939635,0,6.16731899575561
"HCT 116",0.104172040940633,4.86768267211097,4,5.45271052093628,4.72917166081034
"PC-14.1",0.190946696686977,17.1547191775417,0.411419727333025,0,17.1547191775417
"PC-14.2",0.163199420830994,10.9178984657695,0.577185639878246,0,10.9178984657695
"PC-14.3",0.121492761168151,9.79703540413449,0.832340739128523,0,9.79703540413449
"A-375.1",0.0281503233593846,9.6015870598728,4,0,9.6015870598728
"A-375.2",0.0314827713525739,9.21549651047967,4,0,9.21549651047967
"A-375.3",0.0267076184259926,9.78339755142693,4,0,9.78339755142693
"SW620.2",0.0585883817541025,7.90634664943732,2.56948477720464,0,7.90634664943732
"SW620.3",0.160863721848255,29.868605600587,0.411045879547276,0,29.868605600587
"SW620.4",0.0910274379017525,6.35468886613345,1.96243639874311,0,6.35468886613345
"HT-29.1",0.0631752911268002,7.05051604783237,3.22758169288867,0,7.05051604783237
"HT-29.2",0.118496984412785,4.91058169490569,2.00586653599154,0,4.91058169490569
"HT-29.3",0.155130693784532,4.56626664647701,1.16787215074031,0,4.56626664647701
"MHH-ES-1.2",0.163634127873243,4.1275943422836,1.20390333541872,0,4.1275943422836
"MHH-ES-1.3",0.210977266835253,5.07126388681601,0.621416282871768,0,5.07126388681601
"MHH-ES-1.4",0.140914211902688,4.37131834970554,1.60802864306577,0,4.37131834970554
"C32 [Human melanoma].2",0.0727146430594742,6.19519844490278,4,19.3925189147499,5.47986196094214
"C32 [Human melanoma].3",0.153522101627481,4.75385082420874,1.12975894879259,0,4.75385082420874
"C32 [Human melanoma].4",0.246827541693915,7.9148339671107,0.393030146082247,0,7.9148339671107
"U2OS.2",0.0459326433806589,7.9075952081179,4,0,7.9075952081179
"U2OS.3",0.0373745797728986,8.62334341468097,4,0,8.62334341468097
"U2OS.4",0.0519003856393935,7.47952512028767,4,0,7.47952512028767
"SNU-C5",0.130123602925749,18.3496880630892,0.578581631902347,0,18.3496880630892
"COLO 205",0.0613385483198677,7.43017422164951,2.83131515156363,0,7.43017422164951
"KCL-22",0.148257014448168,3.54159133795066,3.16420878198151,5.83779795832907,3.40532116886186
"BICR 10",0.139526740091749,NA,0.886125109214634,79.7332885657704,0.0729944347524948
"SKN",0.0535012141133023,8.5276106463244,2.45651822718343,0,8.5276106463244
"PEO1",0.0691494041768121,NA,2.47548455184767,56.4657559333718,3.43181884244794
"TE-12",0.173922843984257,279644826257.096,0.0740156904815743,30.2377839872447,1e+06
"LP-1",0.135622673502589,3.65986612350025,4,14.2092535444213,3.36639743568823
"LP-1.1",0.063821709199992,6.74485969899079,4,0,6.74485969899079
"LP-1.2",0.0644753233042714,6.70827445567102,4,0,6.70827445567102
"SKM-1",0.103556024166202,4.83557428468345,4,9.40383231511082,4.59014936343688
"HSC-3",0.0266456860473724,10.7657292184237,3.16811879961562,0,10.7657292184237
