"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"CW-2",0.153745454281443,NA,1.20683635066374,77.690640276355,0.07921559529429
"SK-CO-1",0.662317001197752,0.0363915189088191,0.563665340226418,14.3754293504866,0.0199441801087593
"LS411N",0.213483891240561,NA,2.23305415955753,54.7956954128988,0.378806254666999
"SW948",0.543074140662628,0.167740456793244,0.745830265915572,13.4876314882074,0.11004747632186
"HCT 116",0.251810171782624,3.5437843862396,0.672547880641376,23.8454491638577,1.35214918080635
"SNU-81",0.073048253304608,NA,1.66563255640698,85.132795143536,0.331961525537764
"LS180",0.198980299633558,NA,4,64.9710765770989,0.194989547640624
"SW1417",0.28001985543923,181.306758753734,0.151569237112596,0,181.306758753734
"LS123",0.104552134262923,5.76094438263149,2.31757924436797,35.9251413910539,3.33388141973721
"GP5d",0.45629477343054,0.583418619578286,0.306606421067004,0,0.583418619578286
"RKO",0.209849417334029,2.99457249312624,1.19730976055927,33.1747590114306,1.20579987484035
"KM12",0.647492498149158,0.0372905504079263,2.01698596615161,23.1750635288756,0.027385574472503
"NCI-H508",0.577810297233549,0.042749502470303,0.934995097102738,33.7659612792753,0.0128357717549955
"SNU-407",0.32118752686048,2.09667189241664,0.570554359051244,26.5428536758133,0.556458999184815
"NCI-H747",0.341029503971775,18.6304637265205,0.165366844442993,0,18.6304637265205
"SNU-175",0.539758112856565,0.217715408215466,0.813204133583599,2.76233255630869,0.203019691982301
"HT-29",0.530096227154192,0.133995405575733,0.482855733664068,27.640704021938,0.025307347274582
"HCT 15",0.263141216362096,2.58639816185481,0.803181407080278,29.3195661140408,0.86164981510989
"CL-40",0.379259884700497,1.10624650122737,0.47079368498729,0,1.10624650122737
"COLO 205",0.715183185020015,0.0219876675666832,0.636173205527836,12.7454230394607,0.0138454034500297
"DiFi",0.383200059735313,2.7024954370776,0.666543130105259,46.7616248020631,0.0445112977658637
"HCC2998",0.314389139703445,NA,2.43688062628447,66.4215614974337,0.0128003316353153
"LS513",0.529108941916694,0.16176952346311,0.327983574557889,18.4382396695913,0.0397825913315546
"MDST8",0.345430286213318,1.47999352595271,0.67199123845178,35.8900247735728,0.225229111039057
"RCM-1 [Human rectum adenocarcinoma]",0.256518177857604,NA,0.463112278360173,60.5086636919529,0.0632384494992724
"SNU-C1",0.571860304080107,0.06276704185537,1.10026790310678,29.7464907159866,0.027607550831698
"SNU-C5",0.168021432550141,NA,1.69060740291197,55.6146717426683,0.730011148225144
"SW1463",0.249553724263693,7.2882317594817,0.512225678254668,28.283690935201,1.43068239392728
"SW620",0.278070245576971,3.74900173870782,0.454466830046939,0,3.74900173870782
"SK-CO-1.1",0.665243241331094,0.0262662704135255,0.500282489048869,16.3464821369287,0.0119045645397594
"LS1034",0.343808791015631,10.0168950279612,0.668152227111434,48.0691952163388,0.0768420433477218
"SW837",0.307447585221962,122.956119066334,0.286328945804937,42.0978050323772,0.195655538079176
"SNU-C2B",0.236065901104542,42.6115269004256,0.252401708937029,0,42.6115269004256
"COLO 320HSR",0.493021293565776,0.160747914631588,0.635898882215429,43.1218912937521,0.00710180395485029
"HCT 15.1",0.275956620514174,1.23941646934993,1.45337674747797,29.5366294890115,0.670282204340092
"HT-29.1",0.524798692167838,0.211158517803466,0.271683267712409,0,0.211158517803466
"SK-CO-1.2",0.764508483964771,0.00511049866221413,0.487647228425319,12.8615197990747,0.00277733739327202
"SW620.1",0.336122412000208,1.4553623998639,0.573536222006824,0,1.4553623998639
"HT-55",0.666689258274743,8.61838038830547e-06,1.12497660572657,33.330030092074,3.24627690486302e-06
"LoVo",0.321457493327244,0.813231068056099,1.35487255819576,30.8515944930442,0.400457061911973
"CCK-81",0.382352217939192,3.03058226310583,0.221124341647142,0,3.03058226310583
"HT115",0.438750183260075,0.656320373724129,0.377658523028753,0,0.656320373724129
"SW48",0.684384558317737,0.0270143045966316,0.646022394446439,16.226490454734,0.0147175467855431
"T84",0.271253841712749,4.43292611847063,0.435254517845205,0,4.43292611847063
"COLO 678",0.212206111446328,NA,0.245702931346079,50.1273780993683,1.14026323510842
"NCI-H716",0.6636162772566,0.0525321827187272,0.794341992624937,12.2326550558797,0.0368997626932939
"SW620.2",0.324952720585624,2.27340617542364,0.431637931907145,0,2.27340617542364
"SK-CO-1.3",0.584364788913746,0.0874745521507728,0.460907784729079,15.1810863641557,0.0398945680137638
"HT-29.2",0.472215621774074,0.483721978857609,0.269911222230088,5.0058655164496,0.327233795536053
"HCT 15.2",0.281531281131478,0.797897964534304,2.82298561726868,32.9128349528038,0.545465932351237
"CaR-1",0.251585307827632,2.6981855683056,0.718818423772654,0,2.6981855683056
"CL-34",0.446329914776066,NA,2.36196591609874,53.616118514652,0.00913994318603515
"C2BBe1",0.166670964800036,1646.37908185193,0.193580692341188,0,1646.37908185193
"SNU-1040",0.241703577804107,NA,4,58.7934167783314,0.171498741505825
"SW1116",0.226213460230865,325.178702822561,0.583670976666976,48.8216836339515,0.528907265364579
"SW1116.1",0.234069051211308,13.7610586511873,0.533160224328754,37.1578621146134,1.07502532132189
"CL-11",0.388871768840617,2.29069327532498,0.711697483770035,47.1746289400898,0.0404167249041288
"CL-11.1",0.381608207123096,6.22516573565791,0.683921900107136,48.4970375588811,0.0370440646813804
