"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.165444307684107,0.0058381983151377,4,12.327925210336,0.00543927763713258
"MES-SA",0.237549086191161,0.00377743971209624,4,2.24386419339883,0.00373432691904396
"PL4",0.136671459892992,0.00938297958196337,1.49398704015088,0,0.00938297958196337
"OS-RC-2",0.144655844205168,0.00998940817041123,1.18913658284294,0,0.00998940817041123
"WM793",0.254459566987186,0.00344989277333246,4,0,0.00344989277333246
"KYSE-50",0.10663890459352,0.0105368041182672,2.23577049764883,0,0.0105368041182672
"KE-37",0.354590158380739,0.00173253671672207,2.05958128790097,0,0.00173253671672207
"Jurkat",0.22350179547312,0.00406494796273861,4,4.56773628484315,0.00396874854505782
"KM-H2",0.236380698141878,0.00370970690855975,4,4.41579118599908,0.00362493900299512
"697",0.22390963877406,0.00442487169652814,1.76589340971986,0,0.00442487169652814
"8-MG-BA",0.252112439938975,0.00339097539350353,4,2.62119828730932,0.00334563189211426
"PaTu 8988t",0.223571855303955,0.00402287396360613,3.1747887055484,6.27622338325498,0.00385645272961922
"FTC-133",0.187004513815171,0.00583045570094481,1.78291652093299,0,0.00583045570094481
"KMRC-20",0.211982462650614,0.0042292933808464,3.23685640755921,9.74414097644448,0.00395533943179812
"NCI-H1975",0.303537657916712,0.0022660547823105,4,4.83666034431195,0.00220914598513114
"OVCA420",0.16999277304846,0.00592626679975691,2.66937617668605,11.2377907561337,0.00538719538936651
"HCC1954",0.144327438362854,0.00806889947112104,1.87606183961478,0,0.00806889947112104
"ASH-3",0.239004800994859,0.00346576068866864,3.5057960492869,8.67367156269805,0.00328243962927274
"NCI-H1568",0.11568776198978,0.698709598438035,0.310707021231129,0,0.698709598438035
"NCI-H1563",0.125972830853962,11.4974638223226,0.203714349254343,0,11.4974638223226
"Daudi",0.188191698919291,0.00527020503771019,4,4.1802669039446,0.00515641840027348
"CTV-1",0.23882446409789,0.00378176998718725,4,1.39262762161177,0.00375515740407297
"EM-2",0.232778514556127,0.00384050504899345,4,3.7027214144585,0.00376733903183873
"WM278",0.244670811094456,0.00370362384440813,1.52721984167659,8.73777062229316,0.00326592720052165
"GI-ME-N",0.132901246521267,0.00825777303879635,2.67808885628402,0,0.00825777303879635
"EJM",0.204705137871831,0.00443059081808094,4,9.31921393962985,0.00420791032589801
"HT-3",0.0896810867478192,0.030829489125555,0.846893037766741,0,0.030829489125555
"Hs 746.T",0.268652166688538,0.00280012605237117,4,7.54299109716504,0.0026879576993785
"EW-18",0.146793258732315,0.00715431098312002,2.84132163131322,8.7172621447075,0.00668782859643931
"RPMI-7951",0.228312472559741,0.00393387312708056,3.08180401578529,5.21578298619741,0.00379573028962662
"CA46",0.200483021937222,0.00525773598913563,1.58886763335821,8.27666395801126,0.0046917542854949
"RCC10RGB",0.179911115539168,0.00702856669166698,1.25542159929681,12.1967427897838,0.00562514474240968
"U-251MG",0.157765341330942,0.00907436839853014,1.13729552518681,0,0.00907436839853014
"Karpas-231",0.0868672446134846,0.011417972580978,3.43984270993568,0,0.011417972580978
"BALL-1",0.245140200773992,0.00364303648772401,4,0.826638302948261,0.00362788485708617
"IGR-1",0.247053707293642,0.00334601344899774,3.47031694121401,6.77126521150695,0.00320860913388852
"KP-1N",0.224859342989102,0.00376610815590069,3.94867862523406,10.0583930247471,0.00355786710079788
"OVCAR-8",0.147455912379087,0.00764754405322639,2.12761266525421,0,0.00764754405322639
"JJN-3",0.297543820142017,0.00243183253529572,4,3.23190333143866,0.00239154516685149
"ALL-SIL",0.250297186313504,0.00355061433589725,4,0,0.00355061433589725
"HEY",0.188442789291857,0.0188027193358095,0.524092051063314,0,0.0188027193358095
"HeLa",0.0625360984878836,0.016639662964602,2.09294821915127,0,0.016639662964602
"SCC-15",0.163092734788505,0.00730134414460812,1.57088766181142,0,0.00730134414460812
"CAL-33",0.178550422032918,0.00599464827734626,2.17101685776743,1.07769835674601,0.00593478326194807
"JHH-6",0.0228234749516514,0.0436667162078447,1.59948911676586,0,0.0436667162078447
"ES4",0.148873836252901,0.0102317038580739,1.09306349819332,0,0.0102317038580739
"UACC-257",0.135684377539845,0.00938076141406222,1.52280401132174,0,0.00938076141406222
"KCL-22",0.247528557417533,0.00341293512019861,4,4.62283149010336,0.00333115529530053
