"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.456734404769818,0.482929724888,0.511004869055386,0,0.482929724888
"MES-SA",0.246419027896478,3.49183313167905,0.608473071831357,0,3.49183313167905
"PL4",0.0744757994769826,6.18627628187911,4,0,6.18627628187911
"OS-RC-2",0.126072644066054,6.19949313315673,1.15592344524846,0,6.19949313315673
"WM793",0.0801732225737319,5.91625168312953,4,0,5.91625168312953
"KYSE-50",0.0909819178263561,6.00689567760092,2.28595175470099,0,6.00689567760092
"KE-37",0.124789596757515,4.2921924357144,3.3982463307827,0,4.2921924357144
"Jurkat",0.08385918808609,5.75054777156524,4,0,5.75054777156524
"KM-H2",0.113459660586929,17.2315757525247,0.665332041728288,0,17.2315757525247
"697",0.133874274791173,4.1535999421375,2.4282557718687,0,4.1535999421375
"8-MG-BA",0.103227605632913,4.80356125156468,4,12.5208626297677,4.46959557533815
"PaTu 8988t",0.0992986492634787,6.7263910561338,1.51226603244037,0,6.7263910561338
"FTC-133",0.105250529158532,6.55293427680127,1.4314478576233,0,6.55293427680127
"KMRC-20",0.0954686257661306,5.78319489462556,2.26868289681804,0,5.78319489462556
"NCI-H1975",0.0643341980685678,7.96499288750708,2.1894687388985,0,7.96499288750708
"OVCA420",0.231276436785545,2.60062487980276,0.96064446682242,6.19160263114995,2.26627705858777
"HCC1954",0.0374720173287243,12.7706467087533,1.88807658948113,0,12.7706467087533
"ASH-3",0.113960458731076,474.683331461931,0.298633458045223,0,474.683331461931
"NCI-H1568",0.158344715443379,6.97132990421347,0.7617762871425,0,6.97132990421347
"NCI-H1563",0.120256337148127,5.82773368150096,1.35230250301782,0,5.82773368150096
"Daudi",0.0651922309724564,6.66852672461569,4,0,6.66852672461569
"CTV-1",0.333175781006718,0.913001238226952,2.62586883778068,5.69406986250117,0.871916471087793
"EM-2",0.0909940399234745,5.50093538415131,3.58884117981493,0,5.50093538415131
"WM278",0.100970794847147,5.21089409732499,2.96504377332,0,5.21089409732499
"GI-ME-N",0.104955194251754,5.01322331248785,3.14142227351513,0,5.01322331248785
"EJM",0.0300364017219769,9.37773659034693,4,0,9.37773659034693
"HT-3",0.202504188803722,524447373519.981,0.062759677070156,28.1223649169594,999890.483575824
"Hs 746.T",0.03744696120006,8.80415066921566,3.6958348412079,0,8.80415066921566
"EW-18",0.0741243410351281,6.20352992154806,4,0,6.20352992154806
"RPMI-7951",0.0691180718833018,6.4575594726719,4,0,6.4575594726719
"CA46",0.0857330787864752,5.66879239173363,4,0,5.66879239173363
"RCC10RGB",0.199294647501395,16.3815308014388,0.398509708193948,0,16.3815308014388
"U-251MG",0.0674691961059069,6.7465115932704,3.31366350667864,0,6.7465115932704
"Karpas-231",0,NA,0.00524503406518928,100,0.873163916192441
"BALL-1",0.103169405028271,4.96662811266673,4,0.821389079969337,4.94610356607218
"IGR-1",0.0771874117792723,6.05554617884886,4,0,6.05554617884886
"KP-1N",0.0357287043715494,9.18266037121816,3.44798148194245,0,9.18266037121816
"OVCAR-8",0.0613650056343367,7.49567796408007,2.75202412062339,0,7.49567796408007
"JJN-3",0.0728236106745196,6.2680255065666,4,0,6.2680255065666
"ALL-SIL",0.17617606855031,2.95518393369238,2.35658140313268,5.84999048880243,2.80319514640592
"HEY",0.0954368693653234,5.46751920943782,2.89518378777057,0,5.46751920943782
"HeLa",0.020161660890016,13.4316052436629,2.68338579293128,0,13.4316052436629
"SCC-15",0.10557650104325,8.86388388149607,1.03780616892819,0,8.86388388149607
"CAL-33",0.0878309737574731,8.08875949703145,1.40657608960244,0,8.08875949703145
"JHH-6",0.0341145536201372,NA,4,73.2039768280221,4.18180404566845
"ES4",0.11875896456781,4319.385040896,0.217937928978137,0,4319.385040896
"UACC-257",0.0608367331224088,7.13191771408017,3.37412205772807,0,7.13191771408017
"KCL-22",0.104764585391984,4.66316456268825,4,17.8227272008329,4.17662562770414
"CHP-134",0.170246128850878,3.52065381951765,1.47311950712332,0,3.52065381951765
"KMS-12-BM",0.110723082379342,5.40483434137938,1.85445043144879,0,5.40483434137938
"OE19",0.113386896731868,4.81902901695328,2.60934729386422,0,4.81902901695328
"MDST8",0.103829830638609,5.00824599681503,3.44345717426237,0,5.00824599681503
"HCC2998",0.10139697811289,5.44713264113061,2.33461042145403,0,5.44713264113061
"G-401",0.443546188630305,0.422339586392379,1.20403146889816,7.03567695779381,0.372357869214414
"OAW28",0.0785649800227954,6.35580132256227,4,43.0897755922629,3.87526003686045
"DMS 53",0.195073155683257,94.8376325383444,0.262953259146514,0,94.8376325383444
"TOV-112D",0.115724777260313,5.02000849989046,2.01762333974601,0,5.02000849989046
"AsPC-1",0.087431353880848,46.1337777520436,0.567080192473375,0,46.1337777520436
"HSC-3",0.119959642594689,4.50243856051824,2.95407886560628,0,4.50243856051824
"Evsa-T",0.135135624833617,4.09645742346266,2.49720347541238,0,4.09645742346266
"VA-ES-BJ",0.0520437761835644,8.10590177786415,2.90361357213526,0,8.10590177786415
"GOTO",0.187177353427645,3.32232270419459,1.21486068207517,0,3.32232270419459
"SNU-175",0.112917873158179,4.97795582429732,2.26842954038916,0,4.97795582429732
"IM95",0.0631154262060838,7.18723113553711,2.99340803344702,0,7.18723113553712
"OVCAR-3",0.122587016466448,5.32995766332634,1.50597523157669,0,5.32995766332634
"LXF 289",0.103884187753781,4.79476904708575,4,11.3562526115209,4.4956759604573
"AGS",0.111180509476459,4.49207352720678,3.9897732798907,13.1511878117796,4.16126421317367
"AU565",0.152023192666889,5.83039251237517,0.924154925386857,0,5.83039251237517
"LN-405",0.0493705043375336,NA,4,94.5832011003767,0.0180334905065175
"TE-4",0.144279681655169,3046000.23586704,0.115284725211134,6.02526014477986,999998.940853409
"42-MG-BA",0.354638563083925,1.23845230323728,0.565711522388821,0,1.23845230323728
"TUR",0.097132752978042,5.20362892779008,4,0,5.20362892779008
"EMC-BAC-2",0.233585705498554,3.31597071238224,0.707712489669855,0,3.31597071238224
"LC-1/sq",0.0713697660113851,18.7811022754777,1.49334169915812,42.4885360821921,5.27768847420202
"Hep-G2/C3A",0.0981624976816848,1e+06,0.150587504688826,0,1e+06
"Karpas-45",0.159805292191209,3.52473314310755,1.97205905262309,0,3.52473314310755
"A-375",0.0937745983853722,5.43868415641713,3.28316438393254,0,5.43868415641713
"C32 [Human melanoma]",0.0569426227135575,NA,1.17505881600443,57.1839807770134,5.67777426023419
"C32 [Human melanoma].1",0.0405069015902307,15.4502736654052,1.49877542236099,0,15.4502736654052
"C32 [Human melanoma].2",0.0614557626533426,22.1890681161058,0.921344326779515,0,22.1890681161058
"HT-29",0.196421790698122,3.3424888249348,1.04761733179994,0,3.3424888249348
"HT-29.1",0.128746195617849,4.32685431139404,2.41325005768343,0,4.32685431139404
"MHH-ES-1",0.0712325879100667,6.65162412897765,3.02876302659894,0,6.65162412897765
"MHH-ES-1.1",0.0765747649942261,6.70291874442937,2.4622021437496,0,6.70291874442937
"MHH-ES-1.2",0.0501456494447051,7.60044581031871,4,0,7.60044581031871
"SNU-C2B",0.174154826204186,21.4446586928319,0.421111262762438,0,21.4446586928319
"SNU-C2B.1",0.101925611919649,6.91957714827377,1.39583123831296,0,6.91957714827377
"SNU-C2B.2",0.212652692579792,15.4520110407397,0.376868456361127,0,15.4520110407397
