"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"EW-13",0,NA,0,100,154337.113044609
"CL-40",0.00287726868394246,1.8645317416809,4,0,1.8645317416809
"MHH-ES-1",0.148808822666952,NA,0.894914538534082,83.826364971181,0.000608869612325846
"C32 [Human melanoma]",0,NA,0,100,0.0278887554828548
"U2OS",0.0591305347567884,NA,1.63625584709851,70.5087539858197,0.267652954920277
"TC-71",0.00529157406379506,1.58755723920968,4,0,1.58755723920968
"RKO",0.0467427131211853,NA,0,90.651457375763,0.0936397151987572
"NCI-H747",0.113768460415739,NA,0,77.2463079168522,0.00167967820061924
"CL-11",0.0674283032859387,NA,0,86.5143393428122,0.00202981320377229
"COLO 320HSR",0,NA,0,100,0.183436400843532
"PC-14",0,NA,0.341459475574496,100,0.0101699833171549
"A-549",0,NA,0,100,0.0449846492826632
"A-375",0.0269029092977494,NA,0,94.6194181404501,0.328071298015111
"SW620",0.00497810977023222,1.61376677242539,4,0,1.61376677242539
"HT-29",0,NA,-5.55111512312578e-17,84.3846005196735,0.0851799763318215
"HCT 15",0.0479782017652038,NA,0,90.4043596469592,690.601797847267
"SNU-C2B",0.0143951996013615,1.20449858918342,3.94356412514069,0,1.20449858918342
"MHH-ES-1.1",0.0169215957191618,1.13810209310148,4,0,1.13810209310148
"MFM-223",0.034990820916518,NA,4,93.037437665767,0.0310774219379747
"C32 [Human melanoma].1",0.0345133302277805,NA,0,93.0973339544439,0.345140036372401
"U2OS.1",0,NA,0,100,0.283907670612589
"DEL",0.3683572142836,0.0694134464111182,4,5.6921239150368,0.0673474784360991
"COLO 320HSR.1",0.0181740412946587,NA,4,91.412812022354,0.231973455227129
"DiFi",0.00425469873568928,1.68266544244995,4,0,1.68266544244995
"CCK-81",0,NA,0,100,39199.6106003514
"RKO.1",0.0622786552532289,NA,0,87.5442689493542,0.00105048067121467
"SK-CO-1",0,NA,0,100,3.1516532053693
"LS411N",0.0092724192283676,1.36036818181811,4,0,1.36036818181811
"LS123",0,NA,0,100,0.00761344740791335
"LS1034",0,NA,0,100,6.12149257660398
"HCC2998",0,NA,0,100,0.0134370974244856
"NCI-H929",0,NA,0,100,119.032784199474
"CP66-MEL",0.016424005587087,NA,0,96.7151988825826,0.0769924792798949
"Ku812",0.103012237393239,0.475585862515085,4,16.3735274682153,0.430682041395613
"VAL",0,NA,2.90127754266012,100,964387.933334719
"RF-48",0,NA,0,100,14.5182621760219
"L-540",0.0522315889642514,NA,4,75.3066476464687,0.232167185057361
"SR",0.375139510344911,0.0749539280684927,2.74689794324041,0,0.0749539280684927
"MDST8",0,NA,4,100,21703.7361390862
"DOK",0.0898051844509306,NA,0,82.0389631098139,0.0126328144628875
"KM12",0,NA,0.10663174416319,100,0.00159300403429885
"HT115",0,NA,1,100,0.0100035129252774
"GP5d",0.0411677798268948,NA,4,74.5263828030406,0.32844660027765
"Ca9-22",0.0237482146972068,NA,0,95.2503570605586,0.00929326588663067
"TC-71.1",0,NA,1.30543861289756,100,55.5711514236903
"SW620.1",0.000515166812319565,2.8900041756665,4,0,2.8900041756665
"HCT 116",0,NA,0,100,168.111882864127
"PC-14.1",0.00135107452765535,NA,0.0756343347823529,99.6528305682695,12.6801547023191
"PC-14.2",0.0324053092112121,NA,4,94.9794065967322,0.0115823921873075
"PC-14.3",0.11506275610403,NA,0.473394398112045,79.4850604278508,0.0169033853747115
"A-375.1",0.0981227901087129,NA,0,80.3754419782574,0.00163131289012892
"A-375.2",NA,NA,NA,NA,NA
"A-375.3",0.075951631968169,NA,0,84.8096736063662,0.000979379919425345
"SW620.2",0.00388635189010795,1.72342457087993,4,0,1.72342457087993
"SW620.3",0,NA,0.139294134535218,100,0.00651468746957844
"SW620.4",0.0293231400746747,NA,0,94.135371985065,1.96642115991435
"HT-29.1",0.0510788230472867,NA,0,89.7842353905427,8.26465869724064
"HT-29.2",0,NA,0,100,210.888274329576
"HT-29.3",0,NA,0,100,1e+06
"MHH-ES-1.2",0.0128407333087466,1.23789312850436,4,0,1.23789312850436
"MHH-ES-1.3",0.0132674160771779,1.22590173384631,4,0,1.22590173384631
"MHH-ES-1.4",0.0727427135040783,NA,0,85.4514572991843,0.012019110767839
"C32 [Human melanoma].2",0,NA,0,100,0.158605154503032
"C32 [Human melanoma].3",0.155088136449333,NA,0.0269180852603033,59.8127236448423,999972.595725351
"C32 [Human melanoma].4",0.0837839118455133,NA,0,83.2432176308973,0.00180949760383421
"U2OS.2",0.0287829608287699,NA,0,94.243407834246,9.28201603499721e-05
"U2OS.3",0,NA,0.343741717845933,100,2.41604344413781
"U2OS.4",0,NA,0,100,0.0672066857365902
"SNU-C5",0.0424712204995708,NA,4,81.0183149605726,0.213319484929501
"COLO 205",0.0577187693573149,NA,1.32944496738859,73.4230289274775,0.248926718467838
"KCL-22",0.0713978381906122,NA,4,60.0416733356699,0.291595465378725
"BICR 10",0,NA,1,100,0.0100035129252774
"SKN",0.0846458222926628,NA,0,83.0708355414674,0.0104727931077178
"PEO1",0,NA,0,100,0.0548978200327061
"TE-12",0.0280735850048058,NA,4,83.4878412891002,0.309728060748568
"LP-1",0.0196679261298482,NA,4,96.585684363749,0.0187069047589211
"LP-1.1",0.0253044667888969,NA,4,95.5585511252193,0.0195400698365323
"LP-1.2",0,NA,0,100,209.621316347331
"SKM-1",0,NA,1,100,0.100017563084078
"HSC-3",0.0527509143658208,NA,0,89.4498171268358,199.195335308277
"PCI-04B",0.00310325711775103,1.82817102845371,4,0,1.82817102845371
"LS513",0.0148508564706378,NA,3.461102923054,91.1707300103559,0.314563488690147
"SNU-407",0.0328710546366139,NA,0.0124204849778551,93.3095150015828,0.519723310948416
"SNU-1040",0,NA,0.109149834186722,100,0.0079295789733502
"A-427",0,NA,0,100,4.64544544478253
"SK-GT-4",0.00703986026490427,NA,0,98.5920279470191,0.115709471347063
"RCM-1 [Human rectum adenocarcinoma]",0.035911807548173,NA,0,92.8176384903654,0.068561150034425
"COLO 678",0.000612367918298828,NA,0,99.8775264163402,35.3118865122322
"LoVo",0.0245333484886306,NA,0,95.0933303022739,7.8732570884624
"SNU-175",0.109357117362554,NA,0.103208576186538,77.6049119583803,0.050005473412639
"LS180",0.00753540543185657,1.44173063515626,4,0,1.44173063515626
"OACP4 C",0,NA,0.557928253808477,100,0.00307100048665638
"NCI-H2135",0,NA,0,100,154948.499327332
"CL-34",0,NA,0,100,1708.77754023672
"ABC-1",0,NA,0.224937963033259,100,0.00129006320436702
"SK-MEL-5",0,NA,0.0946311754487776,100,0.00616951660348716
"T84",0,NA,0,100,18711.0614126904
"EM-2",NA,NA,NA,NA,NA
"LP-1.3",0,NA,0,100,0.306713684286823
"OVK18",0,NA,0,100,124.544309181055
"A-427.1",0.0884105324857079,NA,4,84.132480306244,0.0213102787973336
"NCI-H841",0.053574457063515,NA,0,89.285108587297,0.00700570277023147
"Lu-139",0,NA,0,100,0.0104575740019066
"MRK-nu-1",NA,NA,NA,NA,NA
"NCC010",0,NA,0,100,0.000448921072377508
"RKN",0.0999547372960475,NA,2.46572090332806,90.0045262469082,1e-06
"TE-15",0.01452489353821,NA,4,93.4890376183788,0.214303274744098
"HuTu 80",0.0371656465384068,NA,4,81.7180622922987,0.245791702551451
"OSC-20",0.0389379839097485,NA,0,92.2124032180503,0.000929245725154384
"5637",0,NA,0,100,14608.4615742974
"CaR-1",0.0496969819159411,NA,0,90.0606036168118,0.0239837420189576
"H-EMC-SS",0.0183577730652809,NA,4,84.4239432749333,0.447420907137796
"A2058",0.0227418632492162,NA,0,95.4516273501568,0.0210104131649504
"SW1116",0,NA,0.485002050984236,100,9458.28988301832
"LS180.1",0.00619019036130442,NA,0,98.7619619277391,1.87740623738461
"786-O",0,NA,0,100,2227.61156603944
"8505C",0,NA,0,100,6.5080621233241
"42-MG-BA",0.0288071717666509,NA,0,94.2385656466698,4.81562128224321
"VMRC-RCZ",0.00439944306258545,1.6678006126834,4,0,1.6678006126834
"639V",0.0278762694738701,NA,0,94.424746105226,56.9255253777511
"BHT-101",0.0554353074552258,NA,4,91.6971690755563,0.00993433864829202
"BPH-1",0.0761867978935131,NA,0,84.7626404212974,4.89913420397592e-05
"UACC-257",0,NA,0.658087274774343,100,1057.616129492
"LoVo.1",0,NA,0,100,0.0443642574902851
"23132/87",0.0189210625886602,NA,4,96.7491505497306,0.017948530208736
"WM793",0.00426457370102798,1.68163203187611,4,0,1.68163203187611
"Panc 02.03",0,NA,0,100,0.0764427843001352
"C2BBe1",0.040861751323489,NA,0,91.8276497353022,0.0573174986065276
"SW837",0.0507355530298788,NA,4,89.1434938008981,0.0396388914994133
"AGS",0,NA,0,100,539.574509933347
"647V",0,NA,0,100,0.112513384307252
"BFTC-909",NA,NA,NA,NA,NA
"QGP-1",0.0174130813528969,NA,4,93.6207242407817,0.15178546405776
"A-172",0.0470772261386443,NA,0,90.5845547722711,0.000744027361534362
"A101D",0.0734095518932686,NA,0.083575980277553,61.8371338710993,1e+06
"8-MG-BA",0.0779201696512246,NA,0,84.4159660697551,0.038868652489839
"SW948",0.0384630913057009,NA,4,94.8065646160538,0.00600145042951948
"HuTu 80.1",0.0101230076860692,1.32676696527938,4,0,1.32676696527938
"RERF-LC-KJ",0.00423355720237843,NA,4,83.125,1
"SU.86.86",0,NA,0.963443246675131,100,0.0387755012260228
"NCI-H345",0.0687254248657827,NA,0,86.2549150268435,5.16207640168356e-05
"C-4-I",0,NA,0,100,117.082683913924
"CHP-134",0.00491677892397147,NA,0,99.0166442152057,1e+06
"CAL-120",0.0125819644778115,1.2453868919533,4,0,1.2453868919533
"HCC1806",0.106766051139946,NA,2.55988322013978,88.9578680555819,0.000915012435511025
"EW-18",0.0728126241376341,NA,0,85.4374751724732,6.64838830194353e-05
"FaDu",0.0441326314289088,NA,0,91.1734737142182,0.000944950133823678
"B-CPAP",0.0596937848047871,NA,0,88.0612430390426,0.000128396272328486
"BALL-1",0.0935967436984164,NA,0,81.2806512603167,418.517089863786
"Jiyoye",0.0308235480078249,NA,0,93.835290398435,0.919846892091235
"Panc 02.03.1",0.0552904288223685,NA,0.0859103468622191,70.3175844682501,1e+06
"SUIT-2",0.0023927902084088,1.95579895110163,4,0,1.95579895110163
"NCI-H2227",0.028568338879741,NA,0,94.2863322240518,7.60554415161855e-05
