"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.01432367208639,NA,0,97.135265582722,0.392295036446939
"MES-SA",0.0802061787747167,NA,0,83.9587642450567,0.00303554548467303
"PL4",0,NA,0,100,479.314796647516
"OS-RC-2",0,NA,0.989770836774225,100,0.0822839995885876
"WM793",0.00743934594187698,14.4685875439315,4,0,14.4685875439315
"KYSE-50",0.00232877228907623,19.6954392862443,4,0,19.6954392862443
"KE-37",0,NA,0,100,10497.6158160357
"Jurkat",0.0375371591288474,NA,4,88.8108880559125,0.985482627104934
"KM-H2",0,NA,0.973533453806685,100,4.83898105786229
"697",0.00694358948157276,14.746263891205,4,0,14.746263891205
"8-MG-BA",0.00568214630850469,NA,4,94.2230504042068,5.15659698571625
"PaTu 8988t",0.0232596955930047,NA,4,93.7101188832819,0.777503152804934
"FTC-133",0.00387938597657322,NA,0,99.2241228046854,4662.61617208368
"KMRC-20",0,NA,0,100,36.0863229119126
"NCI-H1975",0.0538834691685978,NA,0,89.2233061662805,0.366805635749856
"OVCA420",0.0234320491197801,NA,4,93.7223077857786,0.759122921142476
"HCC1954",0.0348844890769156,NA,0.13723575270183,70.072058325403,1e+06
"ASH-3",0.0196293029438485,NA,4,91.5051230334429,2.0277739993677
"NCI-H1568",0,NA,0.364457010395793,100,0.032224834499253
"NCI-H1563",0.0466153669194924,NA,0,90.6769266161015,0.115590968673988
"Daudi",0.038961201702921,NA,0,92.2077596594158,0.956478146797568
"CTV-1",0.078479531123507,5884617.96272863,0.157786427070693,12.1976404789734,1e+06
"EM-2",0.00215164305604285,20.1012602020536,4,0,20.1012602020536
"WM278",0,NA,0.714927782792237,100,0.0826991689650672
"GI-ME-N",0.0230559678645904,NA,0,95.3888064270819,0.558513497008907
"EJM",0,NA,0.85420863045245,100,0.0775040451414235
"HT-3",0.0732916924236981,999874.188301375,0.172879426558916,0,999874.188301375
"Hs 746.T",0.0709862180598386,NA,0.675748721519563,88.2078427075622,0.13338429997976
"EW-18",0.0763589142162042,NA,0,84.7282171567592,0.00100817058204599
"RPMI-7951",0.0155484824773219,NA,0,96.8903035045356,0.128052185341248
"CA46",0.0600188528170185,NA,2.77569490828251,84.0359220912667,0.74527268044652
"RCC10RGB",0.0240222578165127,NA,4,85.8627408864875,3.0993550573015
"U-251MG",0,NA,1.22014665888337,100,18.2701767037489
"Karpas-231",0,NA,1.24328100593821,100,1e+06
"BALL-1",0.0115732162245766,NA,2.3448393580186,78.3035901777889,8.73689153620784
"IGR-1",0,NA,0.868912461798646,100,0.142551896983931
"KP-1N",0.0102237814131924,NA,4,97.9612624288201,0.313102451893986
"OVCAR-8",0,NA,0,100,3.58624048247235
"JJN-3",0,NA,1,100,10
"ALL-SIL",0,NA,1.57788762662937,100,70.3209426941925
"HEY",0.0277940648643512,NA,0,94.4411870271298,0.0142187658549357
"HeLa",0,NA,0.95671869385562,100,0.562254908426405
"SCC-15",0.0186825519078403,NA,4,95.4220419700397,0.59676171999645
"CAL-33",0,NA,0.850108888598592,100,0.0737252221970172
"JHH-6",0,NA,1,100,3.16255534471853
"ES4",0.0410488030217585,NA,0.280618556268572,87.2087067961963,5.56517698209342
"UACC-257",0,NA,1.02578688983768,100,53.5676257114403
"KCL-22",0.019033475306586,NA,4,91.9281395948817,1.96251882846336
"CHP-134",0,NA,1.08321205762795,100,1.51745090719366
"KMS-12-BM",0.0429546599598769,2009736.39652735,0.207611742503608,6.74515420895567,1e+06
"OE19",0.0229079761449137,NA,4,85.5539357097438,3.35486725324016
"MDST8",0.0375987951193072,NA,0,92.4802409761385,0.311866094918021
"HCC2998",0,NA,0.74890353042583,100,0.998095284405356
