"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.131946181566687,NA,2.16472995534231,53.6717181208483,0.281531755438094
"MES-SA",0.131342445446228,NA,4,60.0080601638101,0.206942984595859
"PL4",0.201368437910052,22.2917189949145,0.247087862981518,0,22.2917189949145
"OS-RC-2",0.00873157076982888,NA,4,95.3082710190552,0.553850307542907
"WM793",0.38535365196137,0.134176887876233,0.808640336900296,34.1502156958416,0.0324084658021499
"KYSE-50",0.0115289702220088,NA,4,98.4132878028168,0.0132237481670445
"KE-37",0.766792781556888,0.00845505370593527,4,3.40144880279098,0.00830743540374844
"Jurkat",0.370352689546631,0.125550130545159,1.28186334211734,18.3428809299483,0.0878952790002934
"KM-H2",0.175032801404478,NA,0.89485088973195,58.2274800173933,0.117048579280658
"697",0.840426885977038,0.00451264980593873,1.29200849986494,1.21168993516458,0.00442777332220946
"8-MG-BA",0.210018435256758,0.411641711280421,1.89100493624729,31.0002813825467,0.246772868122159
"PaTu 8988t",0.149999072358119,1.90985983585407,0.674772748600005,0,1.90985983585407
"FTC-133",0.136615314086326,72862.1552106471,0.133947182797624,0,72862.1552106471
"KMRC-20",0.107679466582044,3.89493355737483,0.659559507670994,0,3.89493355737483
"NCI-H1975",0.0597092588631664,NA,4,73.6817770264907,0.417508467179646
"OVCA420",0.0172046000748924,NA,4,95.680038795001,0.127746290153721
"HCC1954",0,NA,0.696116142596332,100,0.00244020368618037
"ASH-3",0.0874212621558897,NA,4,89.4427384651767,0.00654747005834835
"NCI-H1568",0.046795257710153,428.967216685007,0.410640022119842,22.5454404252145,99.632347163386
"NCI-H1563",0.0455018640540594,NA,0,90.8996271891881,0.0013779546807586
"Daudi",0.100489608173742,NA,0.894896487202455,79.099993566602,0.0731484434580854
"CTV-1",0.705936555558907,0.0119232112556706,2.24001541161622,5.62211054180782,0.0113049044977571
"EM-2",0.382037806893653,0.123964614873801,1.97178601111237,8.13745030069137,0.113285323224496
"WM278",0.185323132186466,3.95445717007799,0.405769085638579,0,3.95445717007799
"GI-ME-N",0.185882569690851,36.109825870415,0.275756058972063,17.7092010430746,7.39613990183898
"EJM",0.107688565718026,99.4457744206239,0.306662384640204,0,99.4457744206239
"HT-3",0.136930846833694,1.2974449621676,1.34436036864063,35.5709670305817,0.514765822398188
"Hs 746.T",0.116425324077001,NA,4,87.3255652017902,0.00341498208947025
"EW-18",0.119265572303072,NA,2.78618775846096,79.1716004687728,0.0383081116577517
"RPMI-7951",0.146954113598213,0.793580540882072,2.7657341028068,46.63677698858,0.29905854634613
"CA46",0.223000923454328,NA,4,67.9558256990555,0.016346064866364
"RCC10RGB",0.0690751328245824,NA,4,68.4749290295779,0.440555089956956
"U-251MG",0.0917503881399664,NA,0,81.6499223720067,1.86213234268682
"Karpas-231",0.570832090230226,0.0309339683315979,1.82035974624118,7.24673676955224,0.0283844170254633
"BALL-1",0.677797136544299,0.0144133413067772,4,5.66203665775072,0.0139867272106419
"IGR-1",0.0833969515840524,12.4116257327413,0.537118474422152,0,12.4116257327413
"KP-1N",0.180793963914768,1727.35286976079,0.150725033624689,0,1727.35286976079
"OVCAR-8",0.370680911180883,0.176097809812405,0.746461613170001,33.6108527692567,0.0395191376625127
"JJN-3",0.445828697783813,0.0271916587506182,2.4419326059193,36.1121135156551,0.0160920167493886
"ALL-SIL",0.492030527051952,0.0501975270315354,1.27536984666983,13.1105035120218,0.0395485151299656
"HEY",0.350809154494864,0.230934756135889,0.652485444253844,4.0508654070479,0.202886930411708
"HeLa",0.063729656904628,NA,0.0650327976675725,86.3089901441764,0.535118552105221
"SCC-15",0.146947748978514,8021.42989477486,0.152432720526083,0,8021.42989477486
"CAL-33",0.197862470673905,NA,4,57.366792546773,0.0810632645798565
"JHH-6",0.0601082691732578,NA,4,80.993591214426,0.225092933120532
"ES4",0.174929449880443,0.604312756930097,1.88456500245912,36.0467382250273,0.307000142073478
"UACC-257",0.0949354836950124,NA,0.655274151809599,89.3407360170035,0.0010419272073192
"KCL-22",0.420384622868191,0.0826455038784026,0.860998469766522,32.9094424880825,0.0237541151213296
"CHP-134",0.150717599660756,0.728654898705445,2.02502407802354,30.0438055693371,0.462956717718132
"KMS-12-BM",0.109572963268109,NA,4,68.4490908801141,0.181655537956793
"OE19",0.0986282531534659,NA,4,86.2231600555635,0.0142381834356668
"MDST8",0.292536659859493,0.424148581074117,0.695226704637269,23.8162003879722,0.167272076886088
"HCC2998",0.297305082994649,1.17396694912976,0.61596644040652,42.4314699341323,0.0547623335078487
"G-401",0.323693653455827,0.185309263952238,1.13173683688598,32.4610396284665,0.0734328032189833
"OAW28",0.0518217026947941,NA,1.62076662939822,63.7530112740945,0.856115337249159
"DMS 53",0.117674173588267,17.142830931672,0.401294563026925,0,17.142830931672
"TOV-112D",0.222957829162526,0.369091312510725,2.08723548745714,22.1261962365209,0.278965274442768
"AsPC-1",0.127639159719691,NA,0.619338859760989,82.4933337397343,0.00761272447009838
"HSC-3",0.38550171618909,0.173354045262549,0.627143292295303,0,0.173354045262549
"Evsa-T",0.20123648366354,NA,0.603620133965672,73.0715523191186,0.00607362316363934
"VA-ES-BJ",0.193571277623851,0.373623964365821,3.56873514183674,31.8463820573489,0.281280634098573
"GOTO",0.180952174568812,15.200952233822,1.13376536798031,49.6829639198318,0.175113806355644
"SNU-175",0.405299613744469,0.04642950670006,1.73083162912719,40.7380724402102,0.0175275326060787
"IM95",0,NA,1.10887510698043,100,2.6378164605004
"OVCAR-3",0.0657071118358488,NA,0.0997811831622896,59.5343243346854,1e+06
"LXF 289",0.170199195918384,NA,4,58.9694996001708,0.113944094208723
"AGS",0.225300817195997,0.555209842937299,1.09121850855543,31.8537995592447,0.21931548436423
"AU565",0.0627975751372525,NA,3.98257218890411,75.136283972082,0.34953543033493
"LN-405",0,NA,0.955277714437911,100,0.00215040107022975
"TE-4",0.0586344346227139,148.610374700169,0.497077113151226,34.3498860388184,14.3618907510821
"42-MG-BA",0.148940153330471,24.839790611464,0.516207202600407,41.4161194563844,0.817768133880516
"TUR",0.267801319178836,0.2670613215329,2.31375399512202,14.5659693551814,0.230131470060993
"EMC-BAC-2",0.221244310758193,0.559773861502848,0.977453367346485,0,0.559773861502848
"LC-1/sq",0.130385417934314,NA,0.673809474911269,68.5333834248779,0.130503132408355
"Hep-G2/C3A",0.169219507116631,NA,0.817878973471577,60.4347807201917,0.111254900020956
"Karpas-45",0.042925670187776,NA,2.94470913376796,82.9350620586721,0.352651345365353
"A-375",0.277867742915605,0.267871091609474,1.31394567276105,25.6497061697235,0.154923965289871
"C32 [Human melanoma]",0.343631752613686,NA,1.21425019933555,54.8866987465029,0.00921705324423564
"C32 [Human melanoma].1",0.349341791787178,NA,3.36561748587727,53.5740102123759,0.0110504929638586
"C32 [Human melanoma].2",0.353198957494968,NA,4,51.2708113655602,0.013386940272378
"HT-29",0.101879183729644,11.6733013391113,0.483266396149592,0,11.6733013391113
"HT-29.1",0.136770584694868,NA,1.11356325045956,74.1194876943397,0.0515206448503757
"MHH-ES-1",0.210494438609797,2.1288284496653,0.435085203773735,0,2.1288284496653
"MHH-ES-1.1",0.225817157656254,0.878942821725791,0.731524081346745,25.7250010872776,0.327324457837115
"MHH-ES-1.2",0.239956136382239,0.883902233337097,0.851559951399553,39.5779215585117,0.140177082905525
"SNU-C2B",0.0314400185642968,NA,4,80.1946054059005,0.670181603544651
"SNU-C2B.1",0.0334286983878118,NA,4,86.3224630195536,0.369824156958816
"SNU-C2B.2",0.0302811426826452,NA,4,84.5462563215205,0.517271625387042
"U2OS",0.028189234137851,NA,4,91.4645644278671,0.204330741781097
"U2OS.1",0.0502795705206524,NA,4,82.8950631583145,0.262594954535435
"U2OS.2",0.0771566599527156,NA,0.436454822431852,76.8501189384393,0.40900138015697
"PC-14",0.128872700422364,6.29239025029821,0.486469258696333,0,6.29239025029821
"PC-14.1",0.0821402780490589,NA,2.31271467483681,70.0503550853083,0.302462358912965
"PC-14.2",0.0764801633035785,38623.5633582506,0.191576926419683,0,38623.5633582506
"SW620",0.186288349867996,NA,2.48169951386161,50.0733402098775,0.152065883805212
"SW620.1",0.148634466499239,NA,2.33428330510395,70.0185369303173,0.0651460109104594
"SW620.2",0.161231320630646,NA,1.82028877994476,54.4622420399806,0.174443974232519
"HCT 15",0.207848703770896,2.76283170805606,0.40196299241804,0,2.76283170805606
"HCT 15.1",0.227109489167197,NA,0.947623565523051,60.7942472845629,0.034965121161716
"HCT 15.2",0.209945068881964,1.19037463688491,0.862192779626364,38.4083561458148,0.218470319152405
"A-375.1",0.333815290575213,0.141940398564361,2.0796585910103,20.4973883778823,0.110138490343163
"HGC-27",0.153113658701281,46.5776338881357,0.274492222720621,0,46.5776338881357
