"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"EB3 [Human Burkitt lymphoma]",0.156159736967129,NA,4,75.1534712717681,0.130211225766672
"JHU-022",0.0136716799332036,NA,1.21297079256895,77.2698760844313,14.1656861155039
"IGR-37",0.626471071483485,0.0134620773688882,2.30673894556041,35.5159771808007,0.0078676923004779
"HD-MY-Z",0.0534292881652191,NA,4,87.3339020662467,0.542762853947286
"H4",0.158207757420156,NA,4,72.9420623627792,0.176210875428668
"Calu-3",0,NA,1.41216447267205,100,89.6413077232079
"Becker",0,NA,1.10636092429686,100,1.73219909459519
"DU145",0.00292943168202947,18.5583669609137,4,0,18.5583669609137
"NCI-H2595",0,NA,1.24510744215476,100,8.00142059562878
"CaR-1",0.0127404362320711,NA,4,94.0802315441951,2.26296655552692
"DOK",0,NA,0,100,1e+06
"CW-2",0.0656205885351488,NA,0.00563107926210361,86.9068885123863,0.136401742341751
"22Rv1",0,NA,0.375066616585643,100,4.40608155500684
"CAL-39",0.0384787365767276,NA,4,76.4480581253079,3.24413406212609
"K5",0.505544238707853,0.0549838301633006,1.64241325480462,44.2015854703805,0.0148097742071892
"COLO 679",0.562664285983997,0.0123248623590781,1.00692657569308,42.2901636797417,0.00192505173022013
"769-P",0.0989254613566935,NA,4,79.0823936358918,0.381347487108072
"DOV13",0.0321418116507376,NA,4,93.3815611191215,0.349293150843551
"A-375",0.630375647233679,0.0155374582499491,1.96512522347016,34.258462854913,0.00862908541012235
"A-375.1",0.546526384730499,2.60541074830351e-05,0.020619816825452,3.25072324247174,1e-06
"A-375.2",0.633121972262889,0.00834507904624317,1.19118657618438,34.9749381615449,0.00304146546007277
"A-549",0.201541192345099,NA,1.65913227794597,73.2159141094561,0.0533346112648661
"A-549.1",0.0732346484995691,28.9169631871506,0.738119389179237,0,28.9169631871506
"A-549.2",0.107214158705284,81.1703831236253,0.431691139770713,0,81.1703831236253
"C32 [Human melanoma]",0.736921737806132,0.0112802652311859,3.60520292833995,24.5536194259755,0.00935303300178628
"C32 [Human melanoma].1",0.710919961746603,0.0137264041905384,1.90376276425006,25.2478478514347,0.00948768379395131
"HCT 15",0.0558517487693689,NA,4,88.2228720407924,0.377912535048479
"HCT 15.1",0.0667714645596096,NA,4,83.8360837350336,0.57653644757008
"HCT 15.2",0.169882397715636,NA,4,69.1481707709669,0.22294959726198
"HT-29",0.498464846936227,0.0773833199606903,1.27012256878696,44.105828873248,0.014374023039518
"HT-29.1",0.507254714457297,0.107460268355418,0.673137368536894,42.5077235400012,0.0064061942298703
"HT-29.2",0.448129076455538,2.32028141021941,0.196940000040178,35.9052134133114,0.00374335734560002
"MHH-ES-1",0.00364147909321708,17.5320217715966,4,0,17.5320217715966
"MHH-ES-1.1",0.0375523800349055,NA,4,84.8483362616966,1.80568602502819
"MHH-ES-1.2",0.0160239900498978,NA,2.18893785469698,87.5999828843718,4.3921399800992
"PC-14",0.0673956609867787,NA,4,88.0903669467155,0.200656308579206
"PC-14.1",0.038946760679179,NA,4,90.0337832164753,0.67255559463236
"PC-14.2",0.0714609626052067,NA,4,87.5944467608395,0.187072777641658
"SNU-C2B",0,NA,0.771059784260366,100,0.0957277707285755
"SNU-C2B.1",0,NA,0.913005711765182,100,0.145556309865934
"SNU-C2B.2",0.00400529663790261,NA,0,99.1989406724195,1845.48689269174
"SW620",0.0242025798141723,NA,4,81.7810167236717,4.02071715667188
"SW620.1",0.0454175158406959,NA,4,83.265144928153,1.53439810545814
"SW620.2",0.0457226011537751,NA,4,79.6165075006247,2.12489129459058
"U2OS",0.00272520963099635,18.9101911976317,4,0,18.9101911976317
"U2OS.1",0,NA,1,100,1.00017563084078
"U2OS.2",0,NA,1.93460683472267,100,211.454497637328
"MFM-223",0.0153258618925669,NA,2.15975573569956,84.1367957876068,5.81405517295545
"MFM-223.1",0,NA,0.580385856654075,100,41.1906180334967
"MFM-223.2",0.0330620216218004,NA,4,91.9938722504248,0.577057130535229
"NY",0.0544227590827374,NA,4,88.7405658986817,0.354856791343457
"BICR 78",0.0244435266652588,NA,4,88.191897263097,2.39543897511413
"ES7",0.0480794891530825,NA,4,90.5422288450144,0.298563983412172
"HLE",0,NA,1.08957838979118,100,1.56578610825039
"Kelly",0,NA,0,100,1.97801341700812
"KINGS-1",0.058116853045129,NA,4,89.2948204732271,0.235216506663286
"KP-3",0.0262418944488704,NA,4,94.0536961750524,0.474414915036973
"MKN1",0.0551514576517667,NA,4,90.181308428379,0.206553235894932
"SJNB-13",0.11051656236744,NA,4,86.0570971703303,0.0418714421167898
"SJNB-7",0,NA,0.510005617043185,100,39.1856762277888
"NCI-H1993",0.0490320522506729,NA,4,89.3545755998393,0.415267022359396
"BxPC-3",0.133499866196029,NA,2.13523077690128,83.8066383918672,0.0324406687794687
"CPC-N",0,NA,0.476016298127288,100,33.5794340396092
"GaMG",0,NA,0.650041519375036,100,0.21963459718576
"L-540",0.197093241803548,NA,4,58.8088648896053,0.366991317954602
"LCLC-103H",0.056804793926519,NA,1.48000920322187,89.6312562764222,0.226346414800985
"Loucy",0.166355016213212,NA,0.291613412397464,81.6031954789211,9.07421337865986e-05
"MOLT-4",0.00230900175928088,19.7388266086522,4,0,19.7388266086522
"Mo",0.143543598264753,124.989463308831,0.45218196416375,35.5082938570719,8.08011509607478
"NALM-6",0.0991164873501934,NA,4,78.8610392772971,0.392162147999119
"Namalwa",0.263933897014546,178.507831728571,0.16593247898837,0,178.507831728571
"NOMO-1",0.00374039143082948,18.1472554948838,4,13.8074050853038,16.7387638776692
"OPM-2",0.0622634679786795,143.208085140648,0.512297601133382,0,143.208085140648
"OVCAR-5",0.00126610783179331,23.0435050637528,4,0.383761168634359,22.9991612158683
"A4/Fukuda",0.0650350278775158,NA,4,86.4373811845159,0.364384269455512
"ACHN",0.171877239839216,NA,4,69.5413224821624,0.202879937553988
"BE-13",0.228000426014019,NA,0.987143433480558,53.1239085421004,0.349735289441553
"BT-483",0.0260495537873407,NA,4,90.2456459409853,1.58110962160616
"CAL-62",0.00247442361828124,NA,4,98.9758139724841,1.88536419438705
"CAL-85-1",0.00299013459438368,18.4667504946959,4,0.162872701272883,18.4516934416376
"CHL-1",0.00462555323963569,NA,4,81.5625,10
"COLO 668",0.00178748555679989,21.0817352306967,4,0,21.0817352306967
"D-263MG",0,NA,0,100,6714.22290017274
"ES8",0,NA,0,100,574.755745792571
"EB3 [Human Burkitt lymphoma].1",0.117997089945755,4.00067653776048,4,26.2775129328213,3.32032803850183
"JHU-022.1",0.0278591934302806,33.5038769171483,1.15215877059391,0,33.5038769171483
"JVM-3",0.336636960416298,0.354444255843856,2.66624285360605,42.8723890179227,0.170701664710219
"L-1236",0.0274293810886219,NA,1.29528874579051,87.7244340472493,2.38884506501256
"LAMA-84",0.316659284865483,1.51939653795039,0.692095339449924,0,1.51939653795039
"LC4-1",0.268230557171845,NA,4,57.6009532883151,0.126543582009655
"LoVo",0.252442314395792,NA,4,56.0459189333966,0.189293124561749
"LS1034",0.0715767187708723,NA,4,90.4917726053245,0.0551687638011229
"M059J",1.73827884747979e-11,NA,2.15066690232982,99.8493321939533,13996.2595727421
"MFE-280",0,NA,1,100,0.0316366632677971
"MIA PaCa-2",0.028888110980968,NA,4,80.3746421828383,3.63342355218017
"NKM-1",0.163583863423968,10.4618390221382,0.586977934158664,0,10.4618390221382
"OCUB-M",0.00761414713047346,14.3758405324915,4,0,14.3758405324915
"COLO 320HSR",0.0161856148954562,11.5397656787314,4,0,11.5397656787314
"CaR-1.1",0.0211510737694188,NA,4,70.8738965348779,6.27826620133733
"BICR 78.1",0.00964348238666356,13.4528869771652,4,0,13.4528869771652
"IHH-4",0.324023574932404,NA,0.602388933805929,63.0270328687991,0.0054115572060263
"EFO-21",0.000608698198886142,32.9247274442412,4,33.3494569028447,25.0113301135583
"IA-LM",0.0406686026116362,NA,4,90.0100927833229,0.600902281633559
"KALS-1",0,NA,1.1160778616393,100,2.95496760914726
"KS-1 [Human glioblastoma]",0,NA,0.540780311195538,100,14.7952282676252
"NCI-H2818",0.0452016416025982,NA,4,92.116042800868,0.190598488560729
"Kuramochi",0,NA,0.036383874788468,100,1.46397204003827
"KP-4",0,NA,0,100,36.2617914397038
"HOS",0.00824308155171851,14.0617191832638,4,0,14.0617191832638
"WM1552C",0.217551172518496,NA,0.7337852343938,76.0918798246547,0.00480980937469952
"JHH-2",0.0510150206367353,NA,4,88.9966064413438,0.406646174285487
"NCI-H2461",0.0553591665699633,NA,4,90.4645084713362,0.181323650417334
"VAL",0.152921596982375,19.3830464369554,0.663678100911338,33.1027902055984,3.78013302220696
"BL-41",0.0139966547842314,12.0637939678277,4,0,12.0637939678277
"TE-5",0,NA,1,100,3.16255534471853
"GCIY",0,NA,0,100,117.94681640222
"TGW",0.0246342339517177,NA,4,73.5068502005022,5.36691514347179
"HAL-01",0.130217020932125,NA,4,73.139757689718,0.351339542980208
"L-363",0.115533990287627,NA,1.59148313309043,65.9064520920561,0.977071650816589
"HCC38",0,NA,0,100,0.261479597514839
"HDLM-2",0.261926860620924,NA,1.13779095010606,59.8774990877841,0.104274125513758
"Lu-165",0,NA,0.99018783835503,100,7.89234601741853
"ME-1 [Human leukemia]",0.0761961376357971,NA,4,74.0279249957877,1.31816082956794
"MN-60",0.0611042594433019,16.0158791754749,1.1045633145159,0,16.0158791754749
"NB69",0.00904309683499128,13.700420009746,4,0,13.700420009746
"NCI-H1792",0.0928784218839057,NA,4,82.450254559817,0.258483327226433
"NCI-H2023",0.0499891393781944,NA,4,85.4421929083981,0.933116010778081
"NCI-H28",0.154412367722158,NA,4,57.1408877712436,0.830329915604506
"NCI-H841",0,NA,1.0878213355886,100,48.9439112370285
"OV-90",0.442266765593031,0.23203234011041,1.17633246384262,45.5113571155092,0.0298962921995881
"PL18 [Human pancreatic adenocarcinoma]",0.0439132465929258,NA,4,89.5944682583462,0.542054095965276
"SKN",0.0171634086799924,NA,4,96.2287080459705,0.431304384288362
"SK-UT-1",0.0307876504003631,248.099540886496,0.610198133431907,0,248.099540886496
"SN12C",0.0219147394135805,29.8710863909547,1.3534453299874,0,29.8710863909547
"SW1710",0.0296712653300016,NA,4,93.9051192475027,0.346452146489566
"SW684",0,NA,0.898724851411933,100,0.146958703544233
"SW982",0.241272822468728,NA,1.94501169931907,65.4699690788856,0.0794408658072486
"MG-63",0.0066121521124181,156.099429119452,1.08439101257519,0,156.099429119452
"RKO",0.28123725676316,12.062126076831,0.333791303325079,22.1653075337566,2.08602829226649
"DMS 114",0.0141308263343175,NA,4,91.7093919053721,3.08809436206161
"MDA-MB-157",0,NA,0.85387700197047,100,2.61878277423886
"MDA-MB-436",0,NA,1,100,0.100035129252774
"NCI-H1666",0.0738278770161154,NA,4,89.0988194516383,0.092982354346788
"OCI-AML-3",0.0652212696305204,NA,4,55.8216367525085,3.62236427221356
"RPMI-8402",0,NA,0,100,1653.99722103611
"SR",0,NA,0.978600573313112,100,18.7673720441849
"SW13",0.0642022939328417,NA,4,87.6203242187341,0.27815518156721
"BC-1",0.104919386143579,NA,4,75.0007862583021,0.550839130071291
"CAL-54",0.114884365110415,NA,4,72.3382676804689,0.567727392754475
"CML-T1",0.0802277691762549,7.02862730796262,1.99481486502475,0,7.02862730796262
"EW-7",0,NA,2.16709649039005,100,1863.16716519488
"HMV-II",0.157835829288884,NA,1.43042390252489,65.0121357071336,0.445608635676233
"IST-Mes1",0,NA,1.20599979040537,100,14.7240177504854
"MDA-MB-453",0.0155198284997961,NA,4,91.4535885392089,2.85745200986102
"MKN28",0.0764721538824791,NA,4,79.6257173387397,0.748306078798635
"MPP 89",0.071722796124965,NA,2.05999727293242,80.1483558666981,0.826826622717336
"MRK-nu-1",0.014052444247622,NA,4,82.3194179367901,5.94819575672205
"SJNB-10",0.0129136435635626,NA,4,89.2843558460031,4.38985703725701
"NCI-H226",0.045027676348429,NA,2.20212675370457,85.2379927379538,1.22153857764469
"NCI-H520",0.0380305815392968,NA,0.0271659028737158,92.1493509834315,3.14109053850446
"OVMIU",0.0657632310389738,NA,1.79861846669966,78.8911716697822,1.17619924118122
"PEO1",0.0332845972931039,NA,0.859002795733418,90.4968724791453,1.01419247989613
"RKN",0.0321092102671283,33.8986035988392,1.07457612819084,0,33.8986035988392
"RT-112",0,NA,1,100,10
"SK-HEP-1",0.0898307079021954,NA,4,79.9184865059506,0.455105090341341
"SK-LU-1",0.0733287525944048,NA,4,84.076776463816,0.415491523510751
"Ku812",0.159174002807476,2.97939947575555,2.54091727468252,33.3724338686727,1.93175515204302
"D-392MG",0,NA,0,100,4240.90846912056
"GAK",0.00917586578494101,13.6440697475339,4,0,13.6440697475339
"NCI-H2731",0.058692167992694,NA,4,88.643996860045,0.281581033497612
"HARA [Human squamous cell lung carcinoma]",0.0033150384776508,NA,0,99.3369923044698,73.033705354159
"HCC44",0.00644741953960909,15.0486886789125,4,0,15.0486886789125
"H-EMC-SS",0,NA,1.07823629015257,100,6.66169898745548
"HSC-2",0.071771994500124,10158342.5467459,0.161574451971652,15.6210068417628,1e+06
"KYSE-220",0,NA,0.72107540382599,100,0.0820879750203291
"LK-2",0.0380404792002456,NA,4,91.8739438309615,0.394201565861406
"Lu-65",0.0922024864149938,NA,1.67018707581461,55.5443969664873,2.52771608724601
"MDA-MB-231",0.0174285178287084,NA,4,92.7487023446647,1.9017171273737
"MEG-01",0.232321008021372,1.24558337296496,2.68693610298302,43.0884229811359,0.596391723583076
"ML-2",0.0357373790909255,NA,2.6936914052273,79.5769333944076,3.02985847482711
"NCI-H1355",0.0209156115076634,NA,4,94.9705080411735,0.56561154451735
"NCI-H358",0.0672526483325666,NA,4,88.3441483256988,0.185854340247456
"SNU-423",0,NA,0.850173381788127,100,0.549802626822259
"DoTc2 4510",0.00191681457675956,20.7074361567578,4,0,20.7074361567578
"DSH1",0,NA,1.53462542664763,100,232.160390087757
"ESS-1",0.0529016162045065,NA,4,88.3819097829827,0.430615424104399
"HH [Human lymphoma]",0.15943387014141,26.4104476812221,0.429368372146376,0,26.4104476812221
"Karpas-1106P",0.0967340113060996,NA,1.68142199175464,50.0691238698598,2.80272886160138
"Karpas-620",0.0190899045023755,NA,4,95.1622914412164,0.655048222949701
"KATO III",0.0444560623967785,NA,1.29985534272639,77.235305649929,3.00253697603744
"MDA-MB-468",0.0614129447431826,NA,1.61828968068755,67.9791348418903,2.87141826694068
"MS-1 [Human lung carcinoma]",0.0369702067752068,NA,4,96.0421472134517,0.0150919629045934
"NCI-H522",0.055040651564735,NA,0.615014541477009,70.9517671540896,6.71650011251672
"NCI-H929",0.135035988826738,76.9918755078926,0.373345464458068,0,76.9918755078926
