"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.147690431578052,NA,3.31848804547525,69.2170289785935,0.00909310383568611
"MES-SA",0.227551639985639,0.0353031871594804,2.48207908020416,43.6506256331391,0.0153719833036873
"PL4",0.28304963900039,0.024694830202309,2.03942642247664,28.247615197144,0.0164198204544304
"OS-RC-2",0.158413156525411,NA,1.03182036279702,62.3714170773672,0.0141156171728198
"WM793",0.304764308264346,0.0194109044623279,1.74628122272586,35.6540038302273,0.00949587319638034
"KYSE-50",0,NA,0.0870732394409335,100,0.00865043020644932
"KE-37",0.312661677294877,0.0334494408976957,0.853996094209038,18.920339576608,0.0191686624383343
"Jurkat",0.409863727044918,0.0112046704208791,1.74142027596385,14.1192187859611,0.0092607439932184
"KM-H2",0.157084221595254,0.114027335480614,1.94382630904295,44.8765473899547,0.0353190599450092
"697",0.374921965399185,0.0142610691624774,2.42866779277311,13.4967816184044,0.0125282745908963
"8-MG-BA",0.266677793438671,0.0331539329552563,1.71260710494647,22.7407599503724,0.0232649221947698
"PaTu 8988t",0.186040508668984,NA,2.76643464503039,56.6410512406085,0.0129082282492476
"FTC-133",0.200123203853529,NA,4,54.6181584406221,0.0118880956057797
"KMRC-20",0.158322190597949,0.198493751802104,1.19337922158443,42.3942763235979,0.0409676679081484
"NCI-H1975",0.279071021743634,0.0319943487987324,1.47959870158898,42.8934348960749,0.00855876423345124
"OVCA420",0.129721558177896,NA,4,63.3980498296986,0.0216168475452886
"HCC1954",0.0452319152185573,NA,2.23544314732215,80.6030505900207,0.050558959187007
"ASH-3",0.1620637873058,NA,0.943354344571204,52.3120099934336,0.02663531379533
"NCI-H1568",0.0257521737563534,NA,1.12128503848573,81.0933948700837,0.142777026228921
"NCI-H1563",0.0818325654664834,NA,4,76.6031353153738,0.0223229142371266
"Daudi",0.115897953177382,NA,4,62.9040395926058,0.0288900693787599
"CTV-1",0.0945434754382067,NA,4,72.3705187797124,0.0235221414441839
"EM-2",0.0691780792089926,NA,4,80.6011073695608,0.021291297801642
"WM278",0.0850798828861426,NA,0.919241376827818,74.4468837786191,0.0283834099764306
"GI-ME-N",0.185407128640613,10.7957838078296,0.212779245837014,0,10.7957838078296
"EJM",0.198607824345326,0.499681306227187,0.375820787857992,0,0.499681306227187
"HT-3",0.017329037991557,NA,0,96.5341924016886,0.00135228462091868
"Hs 746.T",0.161906283031268,0.130072272405197,1.67467065394239,44.8104061073881,0.0336282340902428
"EW-18",0.165737025534866,NA,4,54.1665274097358,0.0205687001964875
"RPMI-7951",0.328937075469789,0.024386290517597,1.0510093135266,21.5638253251514,0.0142541870030195
"CA46",0.188631457239654,NA,3.34448098403837,50.6668298989256,0.0178221203154231
"RCC10RGB",0.160533253417325,NA,1.23251866560757,61.9838462955274,0.0137541424416245
"U-251MG",0.075023987268099,NA,4,79.3169451583949,0.0204095231166225
"Karpas-231",0,NA,1.32487699980714,100,0.616303148683622
