"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"OPM-2",0.414397445979727,0.00577972065851256,1.37559251740198,0,0.00577972065851256
"DU145",0.315651850045328,0.0116518703789484,1.43301815655687,0,0.0116518703789484
"RPMI-6666",0.377433778237223,0.00735035928899202,1.12491178940926,4.3580544725893,0.00677798498044455
"ES7",0.652604620046044,0.00109772595417246,1.98619010598587,0,0.00109772595417246
"SW837",0.159861963937796,0.0282433346101622,3.26048230014277,25.9510620240203,0.0225643590456011
"HH [Human lymphoma]",0.459521514553371,0.00355127499458763,4,5.77476045330962,0.0034439699293054
"NOMO-1",0.773973268679823,0.000443911527132172,1.47420897649638,0,0.000443911527132172
"HARA [Human squamous cell lung carcinoma]",0.516275379961077,0.00200756353762633,2.38302812569023,11.1555475320285,0.00180576067317673
"HDLM-2",0.456950604221537,0.00403249814699269,1.35349458410409,3.34677152666962,0.00383128174399758
"JVM-3",0.472113604341889,0.0038812342141397,1.01576089524207,0,0.0038812342141397
"Karpas-620",0.325123735713292,0.00977282682672484,1.75182714147223,7.38629383391781,0.00892057004498282
"Caov-4",0.0606801497050347,NA,4,64.4907377195821,0.0307860384514663
"C32 [Human melanoma]",0.0536788150343589,0.0831952886126694,2.58696568909186,0,0.0831952886126694
"C32 [Human melanoma].1",0.0998490949347183,0.0694546187499807,1.43220511158911,0,0.0694546187499807
"C32 [Human melanoma].2",0.0354273545679655,0.0880820034112962,4,0,0.0880820034112962
"SW620",0.450630393167425,0.00416662340296405,2.35447243963727,2.81779907631678,0.00406522598861135
"SW620.1",0.516919892588272,0.00279867966907018,1.09123723392743,0,0.00279867966907018
"SW620.2",0.449431726582027,0.00366255597888533,3.14855368740916,7.59015628095977,0.00347595682546835
"U2OS",0.407250147424909,0.005638076244168,4,2.63774565397847,0.00556219915715091
"U2OS.1",0.401634939560519,0.00590667944062175,4,2.35745633183213,0.00583578974013351
"U2OS.2",0.413799905545737,0.0053554988331148,4,2.83644131072747,0.00527787462830762
"A-549",0.39139359911523,0.00612758598945352,1.61241226289546,6.04430773569018,0.00565700842388989
"A-549.1",0.337681759275665,0.00905123621907077,2.55684001210882,4.35645040093619,0.00873421162830564
"A-549.2",0.298969625124025,0.0104647650499158,3.304610462157,11.6612549344845,0.00965670839670514
"MHH-ES-1",0.630709100680152,0.00126223189186944,2.00659431716844,0.380129786563242,0.00125744038633174
"MHH-ES-1.1",0.647868177383752,0.00112011292475341,1.50014258155148,0,0.00112011292475341
"MHH-ES-1.2",0.645324946133192,0.00111556695019298,1.73263165138387,0.891090750596583,0.00110404864536779
"SNU-C2B",0.0934685601401331,0.0502487364389492,4,34.1895226903139,0.037680693708268
