"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.109988792500798,NA,4,78.4085145635679,0.0296409395461025
"MES-SA",0,NA,1,100,0.00100052698506632
"PL4",0.150364849211679,NA,4,61.6187545884703,0.0668024504883822
"OS-RC-2",0.075338002821061,NA,1.08000892132413,81.1362844388416,0.0658180931606497
"WM793",0.160067914991767,NA,4,81.7044736405982,0.00235512610670629
"KYSE-50",0.27845241373867,0.0870186368095879,2.09504549787037,41.7228968918076,0.0368794357540117
"KE-37",0,NA,1,100,0.00100052698506632
"Jurkat",0.00846412934011382,1.39579281493876,4,0,1.39579281493876
"KM-H2",0,NA,0,100,24.7503494691246
"697",0.103341081871195,NA,1.25444166290805,63.3156196639743,0.153395085547813
"8-MG-BA",0.232227925462966,0.150051512402797,2.08050614430053,40.3297341466114,0.0681208092803255
"PaTu 8988t",0.106719170124671,NA,1.65475105800447,72.223732819923,0.0708758108411395
"FTC-133",0.0454152791623823,NA,4,84.2477929070946,0.136512347684156
"KMRC-20",0.1358421368638,NA,2.90978793380717,66.2791157766916,0.0618882894074178
"NCI-H1975",0.200488083522324,NA,2.15269597665263,56.9637190362923,0.0400551176447023
"OVCA420",0.24388104261891,0.143454568323413,1.92663202664914,42.5883389257986,0.053260049636806
"HCC1954",0,NA,1,100,0.00100052698506632
"ASH-3",0.0738279231682995,NA,4,82.4509022446302,0.0547036813079348
"NCI-H1568",0.0329909111388328,NA,4,86.104464834807,0.19406417433396
"NCI-H1563",0.20670701286241,NA,2.72521727075668,70.4323893437732,0.00798561061167312
"Daudi",0,NA,0.358070156945686,100,0.00787149144408148
"CTV-1",0.928030512615502,0.0008669524846802,2.52048735866839,4.50318714243977,0.000835089364562956
"EM-2",0.607744642733193,8.74359109506526e-05,0.269582670408389,35.0195771461741,1e-06
"WM278",0.0360868747030653,NA,4,90.9719503342579,0.0632316764804439
"GI-ME-N",0.138869398845163,NA,0.517042984770546,71.8219499369227,0.0339076834391519
"EJM",0,NA,0,100,1.5650085437083
"HT-3",0,NA,1,100,0.00316366632677971
"Hs 746.T",1.38701354469164e-14,NA,2.22581970647784,99.6218293919346,40226.475962445
"EW-18",0,NA,1,100,0.00100052698506632
"RPMI-7951",0.222800644263319,0.122347049154751,4,48.5937800590989,0.050103066961901
"CA46",0.0823712841898045,NA,4,78.1577383792418,0.0739150707591437
"RCC10RGB",0.173839965669349,NA,4,60.6510074322213,0.0472858514517107
"U-251MG",0,NA,0.173398655451455,100,0.00985739489631583
"Karpas-231",0,NA,0,100,0.600932562505588
"BALL-1",0.0758060094136312,NA,4,80.6047899339326,0.0672270814008102
"IGR-1",0,NA,1,100,0.0316311078697273
"KP-1N",0.101519074861877,NA,4,77.7974078768576,0.0424996854086345
"OVCAR-8",0.128965457290345,NA,4,62.0615006413064,0.0955626102441987
"JJN-3",0.00175302440351739,2.11871288916892,4,0,2.11871288916892
"ALL-SIL",0.814173536562287,1.70632154417676e-06,0.172693064425808,4.40736414947324,1e-06
"HEY",0.176129539394695,NA,1.95728088010707,54.7853280751092,0.0680076444648952
"HeLa",0.0497359169834879,NA,4,93.7285758073812,0.00417498963495621
"SCC-15",0.171546588497781,0.409993772273273,1.40291818579938,35.8908398188664,0.166385663538045
"CAL-33",0.21451198629685,0.413304723464741,1.19905039238829,43.5689168432595,0.0747212809374514
"JHH-6",0.135359965444298,NA,1.63630784631331,70.2751898783056,0.0431477260438993
"ES4",0,NA,0.51514906750019,100,1.34425323956082
"UACC-257",0,NA,0.880186318829325,100,0.18985387169653
"KCL-22",0.794592927383844,0.000474756729195899,0.626988518965742,13.0129660526096,0.000293536886168845
"CHP-134",0,NA,1.60122872168076,100,6.61797612701262
"KMS-12-BM",0.0305065090167826,NA,4,74.1696211431633,0.446636470651415
"OE19",0.0060256696921149,1.53283195003195,4,0,1.53283195003195
"MDST8",0,NA,1,100,0.00100052698506632
"HCC2998",0,NA,0,100,0.0163828270355614
"G-401",0.0951676956696862,NA,1.49917315722995,79.8773523684434,0.0382143942924608
"OAW28",0.0497051809597102,NA,4,85.3983176645224,0.0952500388614095
"DMS 53",0,NA,1,100,0.00316366632677971
"TOV-112D",0,NA,1,100,0.00100052698506632
"AsPC-1",0.0266793036937639,NA,0,94.6641392612472,3.0078409843798
"HSC-3",0.256164426210282,1.09364855723441,0.644297606406329,43.3551917663199,0.04769808332185
"Evsa-T",0,NA,0,100,0.444135860510968
"VA-ES-BJ",0.0602602591815075,NA,4,81.0439793567726,0.111276666462257
"GOTO",0,NA,1,100,0.00100052698506632
"SNU-175",0,NA,1,100,0.00100052698506632
"IM95",0,NA,1,100,0.00100052698506632
"OVCAR-3",0.143341575758956,NA,0.911696954169072,61.807964539167,0.0816187358770164
"LXF 289",0.286776686790203,0.0847308687536052,2.92021160931323,27.9278509373914,0.0640371787279427
"AGS",0.110607271069659,0.794796120577779,2.14835086652304,45.8459987092777,0.249637744248795
"AU565",0.0324354760226364,NA,4,83.3800623892367,0.260051862679637
"LN-405",0.0825416931654983,NA,0.965217235886356,78.8911087322766,0.0713921948512124
"TE-4",0,NA,1,100,0.00316366632677971
"42-MG-BA",0.28838606697883,0.0972727531857337,2.17415690265968,24.6784691280811,0.0711353761533923
"TUR",0,NA,1,100,0.00100052698506632
"EMC-BAC-2",0.27611613731699,NA,4,65.6162265860645,0.0038957082180831
"LC-1/sq",0,NA,0.574608983540921,100,7.73099715227676
"Hep-G2/C3A",0,NA,0,100,4.56822598757291
"Karpas-45",0.100677894828412,1.35540226833223,0.824061713555855,0,1.35540226833223
"A-375",0,NA,1.26924382344952,100,0.695720817535183
"C32 [Human melanoma]",0,NA,0.383760545059194,100,0.421268742193754
"C32 [Human melanoma].1",0.00140694384267912,2.24115950149635,4,0,2.24115950149635
"C32 [Human melanoma].2",0.003794682542939,1.73429859797289,4,0,1.73429859797289
"HT-29",0,NA,1.49901076051829,100,15.9517562906967
"HT-29.1",0.0316176498025691,NA,4,92.5598108897532,0.053115986809286
"MHH-ES-1",0,NA,0.862533281157964,100,0.00122847332121466
"MHH-ES-1.1",0,NA,0.46768920061696,100,0.00160110329771224
"MHH-ES-1.2",0,NA,0.231805320753381,100,0.00209638880553822
"SNU-C2B",0.0100576782965353,NA,4,96.2780110383652,0.154687181062202
"SNU-C2B.1",0.021084066172301,NA,4,93.0409556685799,0.123359813352625
"SNU-C2B.2",0.00503107793551471,NA,4,98.3505462141924,0.121632376497027
"U2OS",0,NA,1,100,1
"U2OS.1",0,NA,1.04493012967009,100,0.0742650827729984
"U2OS.2",0,NA,1.42567204238872,100,4.02685347536249
"PC-14",0.248253493320297,0.195865636118178,1.20160680430946,9.16137736787413,0.165503468008885
"PC-14.1",0.188994943181874,0.302832118737436,1.41602290150555,8.13421381037457,0.267144396593695
"PC-14.2",0.229055554457688,0.205174212215433,1.56553777787712,12.1150766610806,0.171850232686493
"SW620",0,NA,1,100,0.0316311078697273
"SW620.1",0.0588697206765071,NA,4,92.6553436369397,0.00393674607969379
"SW620.2",0.0361978363788549,NA,2.67883074790816,92.8532533441678,0.0302433864933528
"HCT 15",0.0557890298110052,NA,4,69.0079532397034,0.288910030249845
"HCT 15.1",0.00720289304773133,1.45982125878673,4,0,1.45982125878673
"HCT 15.2",0.0285667943928001,NA,4,82.3854683377099,0.327145824140195
