"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"PC-14",0.485156622410386,0.028717337467877,1.56181914570603,8.70872117547434,0.0254056034107172
"A-549",0.464944331638038,0.0195589623151343,4,21.124479431078,0.0170504468181449
"A-375",0.490043180256819,0.0182890325949906,4,17.6498253340885,0.0164027773668511
"DEL",0.590581960903923,0.0156834037691679,2.91426637579637,2.18389658511335,0.0154448910877944
"EW-13",0.423720580823576,0.0319014859552975,1.05394749290045,36.2668573702711,0.00936130723040009
"CL-40",0.471315911480142,0.0201972299545776,3.60111169883173,19.3875394397516,0.0176247708848601
"C32 [Human melanoma]",0.332986891910106,0.0265413230542946,4,47.654136795331,0.0123525248967584
"U2OS",0.467541879011674,0.0153812952518338,4,25.8763965096224,0.0128192008786845
"TC-71",0.551134787987722,0.0164986333750328,4,8.26117871525184,0.0157703203682045
"DiFi",0.534549569517374,0.015799349671354,2.03402447835091,14.3716812012678,0.0133746620757859
"RKO",0.508714692124312,0.019193949621353,2.29001083665647,14.2851261282437,0.0165712933887066
"CL-11",0.181145228249174,0.248122858424188,4,49.3218193726751,0.0846760556220703
"PC-14.1",0.506259378160015,0.0282404211816128,1.39647335205692,3.16985967250402,0.0269464977350528
"A-549.1",0.286446383872,0.0591646007296548,4,37.7716071016473,0.0416065574008656
"A-375.1",0.485423588743674,0.0156481823933356,4,22.0804174371725,0.0135269108766373
"SW620",0.405224557800679,0.0224254992832116,4,30.6250044867117,0.0176933481256932
"HT-29",0.428815510963014,0.0294216435171667,1.24826177781132,30.1719056012128,0.0140238811266548
"HCT 15",0.399444565146251,0.0432410589848268,2.2899228146471,16.9386082528189,0.036094779055855
"SNU-C2B",0.404917121887109,0.0421767668785243,2.26030859623532,16.2626930691802,0.0354390456031192
"MHH-ES-1",0.51035612988437,0.0193055103757573,3.26432238846878,12.6773397856297,0.0176512964491506
"MFM-223",0.495427238847677,0.0220992191123784,2.82620350495202,12.5862477893277,0.0199441635694814
"C32 [Human melanoma].1",0.340829606444018,0.0391203983458173,4,32.9231038660541,0.0299063217582025
"U2OS.1",0.482939771451173,0.0221031100755783,4,14.4005474235268,0.0203035376601146
"SR",0.675086368297441,0.00824444694032355,1.74870197759873,3.30418925995324,0.00792833564893845
"SKM-1",0.651200744963277,0.0102058555915988,0.986232593336177,0,0.0102058555915988
"COLO 320HSR",0.463292093256137,0.0343484365534002,3.25841890075474,6.20842173142376,0.0329788880811899
"DiFi.1",0.588978685771863,0.0140606481767497,1.33244005067442,6.33289707720548,0.0127017643181421
"CCK-81",0.484874422431318,0.034608623356209,2.45373116165145,0.570897650548731,0.0344470309368598
"COLO 205",0.379136443996377,0.0195102663389011,4,39.466542143924,0.0132179296929784
"RKO.1",0.508369460630807,0.0253336860360155,0.849576530565928,9.20864910493375,0.0199362875927451
"SK-CO-1",0.125746447953233,NA,0.0205267925877281,75.9856026738464,0.00031479958434823
"LS411N",0.467577217807682,0.0133430158196523,4,28.7075578403952,0.0107787368404784
"LS123",0.231625980139919,NA,0.475659801472532,64.662589324026,0.00618066730887774
"LS1034",0.191642253585343,NA,2.17167973279116,51.2852800482771,0.0661339743062982
"HCC2998",0.444763026878176,0.0267366401172003,4,17.6514919811951,0.0239788247146277
"NCI-H929",0.597865482319046,0.0144297125158429,2.18313894545479,3.23649411795033,0.0139941080429508
"CP66-MEL",0.36605729044461,0.0722938586732578,1.39776906926439,9.22573204934507,0.0624778750932932
"Ku812",0.527186228147656,0.0201833738456452,4,7.68721644957125,0.0193583867662223
"RF-48",0.536996003788581,0.0131211082651361,4,16.3146141004806,0.0118874416891686
"DB",0.508087845589354,0.0248867296341077,2.04554814959034,6.75809809069708,0.0231812770090281
"SR.1",0.625580799610964,0.0123370790797818,2.29728427495139,2.06415802636322,0.0121127351940796
"Lu-139",0.345446862866334,0.0343660315783542,4,35.0197527094893,0.0254253318140638
"MDST8",0.405355543800448,0.0269158169927559,2.76265784474891,28.6191420676128,0.0197906697167894
