"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"PC-14",0.732125799274053,0.00588726316229602,2.0605876243534,19.8741520672008,0.00460397416064038
"A-549",0.642529979864988,0.00281614266859257,1.61545362987079,34.2760049714696,0.00137611274365727
"A-375",0.721957719588198,0.0028319493516174,0.560174479673412,17.7780543639391,0.00129254226119911
"DEL",0.930634218639207,0.000121518526722233,0.44702235684519,0.44095896015045,0.000119134189822099
"EW-13",0.15038902511944,NA,0,69.9221949761121,5.98900041261563e-06
"CL-40",0.441163254809813,Inf,0,11.7673490380375,1e-06
"C32 [Human melanoma]",0.56101076470928,0.0108217603625587,1.62082114007199,37.9464435182087,0.00449882690032113
"U2OS",0.498101591713216,0.0354954949007319,0.834060416959825,42.2458301891583,0.00379925408648111
"TC-71",0.787207988885811,0.00119636009468983,1.65478073353698,20.4342984854633,0.000870902305495769
"DiFi",0.603781893122569,0.0132656398073224,1.04889578658718,28.7812657002315,0.00585909669587905
"RKO",0.757861820067109,0.00413825882028286,1.13909338278918,17.2166432114052,0.00285683818798496
"CL-11",0.333014303008008,0.735322853952816,0.544926370951947,33.9871801815374,0.0909938420966758
"PC-14.1",0.73777913989121,0.0083538170595037,1.333861835736,13.5684693414498,0.00658880081841959
"A-549.1",0.413303422099967,NA,0.325425220368118,51.4959430527088,0.000280711856320271
"A-375.1",0.693877741356367,0.000666273459671315,0.619544956693738,27.9595177790576,0.000177599815282671
"SW620",0.149708199910274,NA,1.64352216684965,83.8177770397976,0.00358545304157791
"HT-29",0.692914939410956,0.00389492256736145,1.27531804332574,26.5056106841866,0.00215428669609451
"HCT 15",0.652969425874006,0.01845003373761,1.60915387587558,14.1410015149682,0.0150064531890249
"SNU-C2B",0.641383867710346,0.00945922733125859,1.16302626719788,26.4879013448082,0.00494434922772837
"MHH-ES-1",0.811320099485091,0.00203488087728778,1.560356280204,16.4511645620958,0.00157572122028051
"MFM-223",0.506762291104997,0.0136390865642693,4,39.4327598204895,0.00924768821872313
"C32 [Human melanoma].1",0.44513523008105,0.491864565685874,0.756707024861314,48.9920656717588,0.0028259614655785
"U2OS.1",0.567514190067487,0.00663272772002623,1.82120136898547,40.4383385585573,0.00267428173644351
"SR",0.919620745118491,0.00227798447020468,1.63869730924805,4.14506138314976,0.00216080480140946
"SKM-1",0.692244302232625,0.0164033412944461,4,9.07292344935953,0.0156024392744502
"COLO 320HSR",0.390959923094719,0.309285391357653,0.445645661629099,0.784254731586852,0.298505739713705
"DiFi.1",0.686194649105897,0.00592640120930838,0.647496852592792,19.6326462274977,0.00274365251094792
"CCK-81",0.569253812362558,0.0487801771271835,0.993777828712334,6.43408282007792,0.0424664218633744
"COLO 205",0.608993322454954,0.00900249829197178,1.95279147970509,32.027054844894,0.00533109724457176
"RKO.1",0.710071761171085,0.00841962414027128,1.3316162440116,17.6337543100241,0.00607367824218557
"SK-CO-1",0.70639458876428,0.00638997178858492,1.33373859201954,21.286226634703,0.00421593622346057
"LS411N",0.38808407573604,NA,1.03715533386375,57.5089225849948,0.00260063762177695
"LS123",0.26313008976041,NA,4,72.766215408565,0.00334643929599029
"LS1034",0.105011241365023,NA,0,78.9977517269954,0.00159486213446034
"HCC2998",0.674230671279607,0.00295023026280826,1.25599733905681,29.8964448360163,0.00142826815707026
"NCI-H929",0.773273741359692,0.00556631909684276,2.0813671225052,15.2691769961443,0.00467233499913402
"CP66-MEL",0.453224318839699,NA,2.57380773469426,53.1606583641553,0.0027232682515214
"Ku812",0.849862361912305,0.00340485979124227,2.02896959486101,10.526272279707,0.00303040869488088
"RF-48",0.772458405469587,0.0024051612761722,1.84758253014074,20.7126486195069,0.00180060229571207
"DB",0.790421774851507,0.00556932618199413,1.25426013963396,10.6966558831427,0.0045967862993444
"SR.1",0.918854179472111,1.04526591259394e-06,3.99999999999899,8.11458205278888,1.00000000000269e-06
"Lu-139",0.491579559786323,0.0372970839972926,0.907086963409987,42.919200872869,0.0043235000367928
"MDST8",0.641203947652226,0.00947620635183342,0.907302119856258,25.5866379056908,0.0043001405161166
"HT-55",0.611112978405172,0.00106164060148282,0.174552168253965,23.6449255822812,2.70847334930685e-05
"Ca9-22",0.754143543584374,0.00468762419745975,2.01289499103392,19.2426594975545,0.00368229091747264
"DOK",0.670320427349134,0.00311174693080531,0.551118737893795,25.1100504640397,0.00087763007035223
"CaR-1",0.350473183908668,NA,0.967547653231292,50.0818858970751,0.0203804927188694
"HT115",0.519436321116045,0.035428118457269,2.36086398275317,23.8382490888362,0.0269274630677943
"GP5d",0.850051424815983,0.00454119057406168,1.41882722303995,5.85943922290338,0.00415926871418954
"SW620.1",0.339055321016149,NA,3.53352605454486,65.4578630261433,0.00255760929094106
"CW-2",0.21173545013418,7.98214704706882,1.1046533719538,49.2764348742506,0.172543409510822
"HuTu 80",0.881617075964275,0.00094655273824711,1.23678521856492,9.98796703602585,0.000790485765129996
"HCT 116",0.769808588830917,0.00273210013980219,0.687286595694783,13.6842449926479,0.00171567095317942
"PC-14.2",0.711985779852023,0.0061866076901454,1.26668561094476,20.5980584712958,0.00406824790204677
"PC-14.3",0.748943397533454,0.00404081041883413,0.827048426407938,15.9238334560107,0.00254171500411237
"PC-14.4",0.665525498048278,0.00690382687861959,1.23981451583673,26.1058439719495,0.00380574480240343
"A-375.2",0.648235254739104,0.00173438611535469,1.10925388680668,33.771142220342,0.000628920227171617
"A-375.3",0.698427332467029,0.00222349778689891,4,29.8667563145351,0.00177122053223105
"A-375.4",0.638006917396915,0.00338478462521117,4,35.2877086112019,0.00249292158525863
"SW620.2",0.464442171284298,NA,0.752267927630568,50.7681923413581,0.000728359496191693
"SW620.3",0.482893458049235,0.0397607030555482,1.47176382535431,49.3101053601202,0.0021653949169184
"SW620.4",0.489822077632822,0.034664849686851,0.977101229600352,45.4727405280685,0.00296693760361039
"HT-29.1",0.762071370122291,0.00270530561345303,1.27669397887045,19.9559009554384,0.00181529770351748
"HT-29.2",0.762841771068194,0.0011936345299377,1.29276241006673,22.3675776779812,0.000754477028747768
"HT-29.3",0.75985574344204,0.00240952360676195,4,23.4626626211532,0.00205661510374348
