"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"T-47D",0.0461311307326049,NA,0,90.773773853479,0.0653490474529662
"HCC1806",0,NA,0.995700462760677,100,0.17648498583506
"CAL-51",0,NA,1.02158284531286,100,2.82113916922243
"MDA-MB-231",0.0240135411062862,325.518458269203,1.23326600313393,48.6121844849621,17.7978515001413
"MDA-MB-468",0.0241346588670446,NA,4,95.8722663482235,0.173736517596013
"HCC1143",0,NA,1.01680089034295,100,6.29397227057262
"CAL-120",0,NA,0.964629412452016,100,0.0446332035894239
"MDA-MB-157",0.0444385382874619,NA,0,91.1122923425076,1.64939866123023
"HCC1395",0.00928188957607163,NA,2.92922025166248,81.4505804390243,8.24160242904376
"MDA-MB-415",0.0184025402008097,19.8658340487051,1.89181541174776,0,19.8658340487051
"COLO 824",0.0648129736305106,26.5460708796502,0.821373159306936,0,26.5460708796502
"JIMT-1",0.0651369691139513,15915513866.0189,0.14552052538749,37.7673989601895,999999.337474437
"HCC1954",0.0109733779070563,NA,3.47286141878984,92.2440291056413,3.78715962558649
"CAMA-1",0.107902316289117,164292709052688512,0.0939760606150521,45.5845966785786,1e+06
"MDA-MB-453",0.027688661634062,NA,4,71.6379907453893,5.17151273270352
"HCC1569",0.0475551293152036,NA,1.07766936049308,78.0264672125768,2.73248152922534
"HCC38",0.00902925554726117,13.6927882507976,4,0,13.6927882507976
"MRK-nu-1",0.00362406847914975,17.5379610210959,4,0,17.5379610210959
"CAL-148",0.104658616743783,131028232661125904,0.0963044020486872,45.7506859731006,1e+06
"HCC2218",0.00922617462240945,13.6094501703661,4,0,13.6094501703661
"BT-549",0.0316915596923552,NA,1.42600575101073,62.5482835484178,8.2827986712016
"MDA-MB-361",0.0774425879456249,82908.586348361,0.203945591502819,0,82908.586348361
"OCUB-M",0.0296798095561045,10.0895097809825,3.29838253523345,0,10.0895097809825
"MDA-MB-436",0.0108196543968824,NA,4,94.7636536252607,2.38972098726095
"HCC1937",0.027409345703422,9.68163271252752,4,0,9.68163271252752
"BT-474",0.0024146246737517,19.494476660134,4,0,19.494476660134
"MFM-223",0.061567652517769,7.05058845488044,3.42060735805784,0,7.05058845488044
"AU565",0.0336708124708582,NA,4,62.4143753704584,5.49265686201715
"Hs 578T",0.0253159307977753,9.95648778874575,4,0,9.95648778874575
"BT-483",0.0554054658044426,7.23642104162323,4,0,7.23642104162323
"HCC2157",0.0235028765411124,15.148689449136,2.12513796688406,0,15.148689449136
"UACC-893",0.0170893280080291,17.2726650383312,2.20871512711089,0,17.2726650383312
"HCC1419",0.0432787744822871,8.10273206669419,4,0,8.10273206669419
"EFM-19",0.0412190354222002,8.39956433874421,3.75755216232738,0,8.39956433874421
"ZR-75-30",0.0369662538518765,744.626497798756,0.609183945496679,37.4778488107357,76.7175940169488
"HCC70",0,NA,0.886713824834927,100,0.042822531117225
"EFM-192A",0.0162619091333577,NA,4,93.7592438846442,1.64311272485915
"HCC1500",0.0302357728170381,NA,4,67.2403757621851,5.38153893571785
"DU4475",0,NA,0.355133491911448,100,1.24394726884728
"HCC1187",0.0250478809764174,NA,4,79.4171794475106,4.33961330944564
"HCC1599",0.0554361286302035,37.9009726028064,0.782153158670115,0,37.9009726028064
"HDQ-P1",0.0588745248984461,788.483728664042,0.385769338897445,0,788.483728664042
"BT-20",0.00497279811018754,16.1271505117797,4,0,16.1271505117797
"HCC1428",0.0276161162226355,14.2167531902233,2.062301547373,0,14.2167531902233
"Evsa-T",0.123601789692797,4.23313706262555,4,2.82352753721998,4.17206624334585
"BT-474.1",0.0668894731434766,NA,4,91.8207769298616,0.0344736783313909
"HCC1937.1",0.0139359109519956,NA,3.97622262097025,79.5421694867484,6.50237279323782
"AU565.1",0.012378125730573,NA,4,88.770752780032,4.71417025115798
"MCF-7",0.0485978843318203,52.4208692135201,0.749079607466853,0,52.4208692135201
"MDA-MB-175-VII",0.0426950626632396,8.93805059527095,4,34.7432009955995,6.64302923697531
"BT-474.2",0,NA,0.972369939092317,100,0.798898656452487
"HCC1937.2",0.00173999117498346,21.2086194353355,4,0,21.2086194353355
"AU565.2",0.00308160071135125,18.2984056772561,4,0,18.2984056772561
