"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"PC-14",0.169286153025707,NA,4,54.4720046500736,0.766659860753146
"A-549",0.05597581979565,8.16309129391818,4,41.2951137358377,5.27294119192729
"A-375",0.0536443599015818,7.36301505153695,4,0,7.36301505153695
"DEL",0.334193464704867,0.865056642415165,4,7.15140606791162,0.832312060893489
"EW-13",0.0644321704051147,232.885333199281,1.45932764482291,49.8090210771176,5.13127497031738
"CL-40",0.13368863982392,4.81076333099889,1.50082571474568,0,4.81076333099889
"C32 [Human melanoma]",0.0379817254883202,NA,4,74.300570201054,3.61828454296579
"U2OS",0.114614694215401,9.98562149013516,1.65479195893315,44.8673703058381,2.52313471761291
"TC-71",0.173438334013726,2.69836971860527,3.0178748634982,18.1204810537865,2.32452705739658
"DiFi",0.140799813602765,3.48804845991524,4,15.1293994563583,3.1875342918112
"RKO",0.128280336241379,33.2330488655607,0.480330782545197,0,33.2330488655607
"CL-11",0.0366503646302129,8.69097321813521,4,0,8.69097321813521
"PC-14.1",0.20165870835751,2.70524044713175,1.50151634037754,35.6536698437397,1.17783594785488
"A-549.1",0.0524876092496734,NA,1.86026658185431,56.6801805879931,4.91816082362785
"A-375.1",0.092819308323948,5.76736473983709,2.49178076069805,0,5.76736473983709
"SW620",0.0910839531014884,6.66885850058992,1.77295676194377,0,6.66885850058992
"HT-29",0.179391665244594,4.11995934058034,1.14733273483885,27.1782736881971,2.07975289100805
"HCT 15",0.0507466342951098,9.18934294189618,2.26349109054807,0,9.18934294189618
"SNU-C2B",0.246077620994805,6.88500275440709,0.491575607514552,21.3447279125925,2.21863906716777
"MHH-ES-1",0.151707534310018,2.73432446118783,3.60361172601154,38.8718984414897,1.80205536362767
"MFM-223",0.0193274656670638,NA,4,74.871126301881,6.06857007193527
"C32 [Human melanoma].1",0.0380266538274498,NA,4,84.4151622472415,1.85434642942851
"U2OS.1",0.196793080628064,2.62720194395284,1.60725991245835,18.6406150869723,1.96534536880908
"SR",0.304120135808685,1.39155110582683,0.984114854525989,0,1.39155110582683
"SKM-1",0.316313545808491,1.0895795928524,4,1.86263868675487,1.07928720769992
"COLO 320HSR",0.0425955412927779,NA,0,91.4808917414444,3808.02668328235
"DiFi.1",0.167556002751599,3.24489994038399,2.29263135585726,0,3.24489994038399
"CCK-81",0.192994575551166,2.78575508506036,1.77956405212607,0,2.78575508506036
"COLO 205",0.136395876346991,5.40384524323278,1.19627672822982,0,5.40384524323278
"RKO.1",0.0225121113576304,NA,4,81.7386725623757,4.30386300960299
"SK-CO-1",0.035335055516355,8.81720751582451,4,0,8.81720751582451
"LS411N",0.0460378574408595,8.02491040745309,3.72595327559655,0,8.02491040745309
"LS123",0.0658994365713223,12.0995202658056,1.27228570400626,0,12.0995202658056
"LS1034",0.00742131923331096,NA,0,98.5157361533378,0.360522530778056
"HCC2998",0.0542240029889154,8.86039988483083,2.23623723544195,0,8.86039988483083
"NCI-H929",0.212914169069288,2.26525133843428,2.08311596033999,6.08590594682705,2.12842257026446
"CP66-MEL",0.0227170933887058,10.3447850614709,4,0,10.3447850614709
"Ku812",0.207295227259849,2.4383287592803,2.18303868111626,0,2.4383287592803
"RF-48",0.154455202407997,3.80892713392788,2.15148413117771,42.4910545210618,1.5779537242202
"DB",0.209241822509704,2.33287298095077,2.19330407956131,4.79483274852635,2.22807324428422
"SR.1",0.363316188058573,1.04020530380854,0.647619851559715,0,1.04020530380854
"Lu-139",0.281109779863274,1.14971369649143,4,13.3455197772604,1.06384650312249
"MDST8",0.200033254404577,2.41868933704888,2.67955166043191,6.60466314093241,2.29413217104688
"HT-55",0.169524377520507,3.03057686560042,2.31165766530176,12.5293123403922,2.67504532861227
"Ca9-22",0.0950671916203079,5.72477039155441,2.37940202202542,0,5.72477039155441
"DOK",0.0226195672715797,10.3597681831127,4,0,10.3597681831127
"CaR-1",0.118196591791748,5.13419425042485,1.78694596377632,2.63648192859049,4.98088813760397
"HT115",0.128244871924786,5.24236213871445,1.40894165586154,0,5.24236213871445
"GP5d",0.0174042046586232,11.2809883961039,4,0,11.2809883961039
"SW620.1",0.0905832328553535,5.89894280209272,2.46281683765671,0,5.89894280209272
"CW-2",0.0919790183354312,5.16476191235472,4,22.5079869914599,4.44743326511119
"HuTu 80",0.117407640629206,4.60892303305368,2.85596185033562,0,4.60892303305368
"HCT 116",0.178063338173326,3.23815497406241,1.5566986836455,0,3.23815497406241
"PC-14.2",0.149671473547998,NA,4,62.5091421577334,0.634496644205191
"PC-14.3",0.132976700859378,7.90602949638806,2.14994550163047,48.1155467847327,1.72074385651334
"PC-14.4",0.108943301195899,6.64271386935978,1.89711074816798,37.8566164612271,3.15038224963484
"A-375.2",0.0969704674009435,5.69728565281988,2.28136994148986,0,5.69728565281988
"A-375.3",0.05590732453065,7.21689224306762,4,0,7.21689224306762
"A-375.4",0.0829501648958291,6.32897996139512,2.44647554986302,0,6.32897996139512
"SW620.2",0.0745494750412837,7.01853477352829,2.28750215511568,0,7.01853477352829
"SW620.3",0.104115152771153,5.84921243666653,1.78049355095226,0,5.84921243666653
"SW620.4",0.0957967929983718,4.90755075736808,4,31.1857501345147,3.84365169571031
"HT-29.1",0.0972356877239084,4.82933302707034,4,35.532536772856,3.54195264715815
"HT-29.2",0.0896822975038045,6.80824686092651,1.75281430048954,0,6.80824686092651
"HT-29.3",0.143572068275309,5.6726040041679,1.03688603619226,0,5.6726040041679
"SNU-C2B.1",0.1024419323625,28.099284419622,1.66444058495065,49.0129570042596,2.65795116685291
"SNU-C2B.2",0.115271039287275,NA,4,74.5181508940641,0.439549738213455
"SNU-C2B.3",0.108577203578942,32.6744528543328,0.545808864018331,0,32.6744528543328
"MHH-ES-1.1",0.106905689044638,4.6272653356526,4,44.8030369078092,2.62735834685854
"MHH-ES-1.2",0.211789563600457,3.73916136725385,0.796875,6.25,3.16227766016838
"MHH-ES-1.3",0.269925581454957,5.37764523923725,0.401277478939825,0,5.37764523923725
"MFM-223.1",0.00804074541816925,14.1596197725303,4,0,14.1596197725303
"MFM-223.2",0.116577769068479,490.835365125169,0.29300400108669,0,490.835365125169
"MFM-223.3",0.00898050901921283,13.727318318639,4,0,13.727318318639
"C32 [Human melanoma].2",0.0343978186442601,NA,4,94.2748284990722,0.157646353881164
"C32 [Human melanoma].3",0.0327173340844308,NA,1.44025694580893,89.3721494336099,1.2321678579338
"C32 [Human melanoma].4",0.0766380003636238,NA,4,89.6749872478238,0.059335534035047
"U2OS.2",0.11681236733036,4.96875918004763,2.26520355104877,32.8114717661228,3.10119060642488
"U2OS.3",0.0955566250010145,5.82580555158914,2.59206996951648,32.6025108630544,3.8768296680819
"SNU-C5",0.0820461430158895,8.59895380302991,1.53706202162677,14.1252235730396,6.92855651670786
"SW48",0.0771400693804153,77.7431378002644,1.81040837378526,49.7906443469756,3.77658395785175
"NCI-H747",0.104211783394165,10.2530447222173,1.33066924748226,36.0940841651971,3.91913776147186
"C2BBe1",0.113470098562902,NA,4,64.4042861156098,1.10602603335939
"COLO 205.1",0.0951005223033004,4.94155889154175,4,35.2795132308996,3.64000531014553
"EM-2",0.262887697115617,1.54683895863712,2.7082967612421,4.66385309969365,1.49191199056872
"KCL-22",0.212233766775875,2.42397473353446,1.71877979520636,0,2.42397473353446
"CS-1 [Human chondrosarcoma]",0.115928398408246,8.89901053841503,1.42903088047378,39.5146375869538,2.9827977525752
"SKN",0.0967423284995839,33.180765397135,0.588064437037775,0,33.180765397135
"PEO1",0.0565120708306938,10.2557752229884,1.72066678573225,0,10.2557752229884
"TE-12",0.0214452484270332,10.5457455147579,4,0,10.5457455147579
"CW-2.1",0.0927625161433763,11.0854893765927,1.00192305571374,0,11.0854893765927
"SKM-1.1",0.323584049268881,1.06988257447248,4,0,1.06988257447248
"HSC-3",0.0213909652454887,10.5546020635371,4,0,10.5546020635371
"Ca9-22.1",0.0506259415524888,8.38993917163118,2.75726595960086,0,8.38993917163118
"PCI-04B",0.0480879385931283,12.3597034098526,1.61546666234066,0,12.3597034098526
"DiFi.2",0.140485450037557,3.53764076910396,4,13.311768109821,3.27418281521877
"LS513",0.13636587689384,3.60179022518665,2.90706344571724,29.1042731221114,2.66794206970991
"OACP4 C",0.0912150896891421,12.2581910738733,0.951957156076568,0,12.2581910738733
"SK-GT-4",0.0921559011015821,53.7282179749527,0.526012930044085,0,53.7282179749527
"NCI-H841",0.0144847640410424,NA,4,95.7044945465682,0.973788389019828
"SNU-175",0.160634890072956,4.27052975086792,1.20035042743083,2.41938331800926,4.09767060061796
"COLO 678",0.0594442722998542,NA,4,80.2331835767521,1.25288948039601
"SNU-1040",0.0617987173536568,21.2916823831965,0.936659754872593,0,21.2916823831965
"SNU-407",0.0383857555771324,NA,2.80552662460445,67.3293215226219,4.61643923221538
"T84",0.00761336387226552,14.3762505138099,4,0,14.3762505138099
"NCI-H2135",NA,NA,NA,NA,NA
"ABC-1",0.113030246039739,NA,4,76.1579203891073,0.378331260571064
"SK-MEL-5",0.175373218456111,3.67435531788742,1.2228725790214,0,3.67435531788742
"CL-34",0.254999742761565,6.29389351985437,0.411500605361244,0,6.29389351985437
"NCI-H841.1",0.0822836095691477,NA,1.30892156489209,53.9323463022459,3.4481723519985
"NCI-H1876",0.24454728117982,2.09789233619252,1.1642791588842,0,2.09789233619252
"OVK18",0.019202553402554,10.933199190233,4,0,10.933199190233
"A-427",0.0129250865544952,30.5703146076976,1.64824136664962,0,30.5703146076976
"LP-1",0.156924849297266,3.57624237268824,1.97602639635652,3.48910474097686,3.44769407958561
"EM-2.1",0.315694600957557,1.14956023638975,1.63321554598071,0,1.14956023638975
"Lu-139.1",0.257432499543383,1.41667526953,3.13307165804258,13.4714927246598,1.28160598121334
"MRK-nu-1",0.0482066862567175,8.80216490854133,2.62694677542618,0,8.80216490854133
"NCC010",0.0890365119527949,NA,4,76.7983637927786,0.70605329750433
"RKN",0.037941315722644,20.6812239070946,1.27366921959008,0,20.6812239070946
"SW1417",0.0717228248740357,8.0098971409936,1.85780969388788,0,8.0098971409936
"TE-15",0.0460340905971478,NA,4,61.6788913188865,4.40197785893242
"5637",0.229057344882529,2.28657819348945,1.29168065121377,0,2.28657819348945
"697",0.329838748522445,0.882043941204839,2.43574545343235,9.39091572076087,0.809838024899871
"OSC-20",0.00776469740749354,14.2979452956002,4,0,14.2979452956002
"CaR-1.1",0.092873160491275,12.4950119037234,0.925922666097488,0,12.4950119037234
"8505C",0.231698013830712,8.57036780976775,0.417301803590795,0,8.57036780976775
"786-O",0.0762475845863535,NA,4,75.9441355085684,1.11997454093965
"647V",0.0244144142419176,10.094341058074,4,0,10.094341058074
"42-MG-BA",0.061475591199224,6.87901207561618,4,0,6.87901207561618
"SW837",0.0112243689215867,12.8780043572119,4,0,12.8780043572119
"A101D",0.146344445242456,3.58754373481865,3.17102754909794,6.14356198166435,3.44224625749794
"VMRC-RCZ",0.0121113720408246,12.5947326923549,4,0,12.5947326923549
"639V",0.0640625,NA,0,87.1875,1e-06
"B-CPAP",0.104735019846443,NA,1.77017208449246,57.4458815698125,1.87964635223131
"A-172",0.118639078046385,5.25672561779248,1.66796276025064,0,5.25672561779248
"8-MG-BA",0.0910477306429401,14.0640510646655,0.878936762620119,0,14.0640510646655
"BHT-101",0.22786072393818,10.7349805235129,0.391603528718244,0,10.7349805235129
"H-EMC-SS",0.0233312142324304,329.282690045896,0.63403809184901,0,329.282690045896
"SW1116",0.0601074699250895,9.6169700327944,4,47.4031735613318,4.59099154237304
"LS180",0.0750899127076345,8.52206452622796,1.93688873135808,26.9334077982428,5.71580848723152
"A2058",0.153545663839842,4.79970605179295,1.11554557613673,0,4.79970605179295
"BPH-1",0.20852714546119,5.68458789954987,0.688059346777012,22.3079382266312,2.40848894024535
"Jiyoye",0.161057811457976,4.03381203176413,1.30364988360998,0,4.03381203176413
"697.1",0.400253250227369,0.682048533434908,0.861262637616542,0,0.682048533434908
"SUIT-2",0.0382565582863227,NA,1.29625745847002,77.939568263924,3.62469174022962
"C2BBe1.1",0.078988654989014,6.96982041846554,2.08875580593202,0,6.96982041846554
"UACC-257",0.0806405557155982,6.80689311248461,2.12325196167467,0,6.80689311248461
"LoVo",0.107936175348925,5.01714236668798,2.65777201519523,0,5.01714236668798
"23132/87",0.121580018900211,7.35983167554938,1.22252760651341,25.5223717022415,4.10327603167965
"WM793",0.0622743066409933,6.84646658725665,3.94553587960288,0,6.84646658725665
"647V.1",0.0505612298523317,12.3235874138592,1.55673934777059,0,12.3235874138592
"A101D.1",0.200679484663475,2.79923992481441,1.38995546820719,0,2.79923992481441
"A-172.1",0.0734494881119008,6.68754583663373,3.21136124182183,31.1671532131824,4.93422226737412
"BFTC-909",0.0995562038148049,11.4881435355231,0.916214184516923,0,11.4881435355231
"8-MG-BA.1",0.0880195991779407,7.13809933434397,1.66603131459523,0,7.13809933434397
"SW948",0.14704152950614,3.44922561872496,4,9.13365425202199,3.27959754983249
"NCI-H345",0.102506129592825,6.41265752364186,1.54549091676466,0,6.41265752364186
"RERF-LC-KJ",0.130255480013846,13.2487053655599,0.662225089147654,0,13.2487053655599
"CHP-134",NA,NA,NA,NA,NA
"HuTu 80.1",0.0973887003745542,6.42234909347482,1.6869961271082,0,6.42234909347482
"C-4-I",0.172898010855248,99.4588805552888,0.29086910814795,0,99.4588805552888
"SU.86.86",0.0053185597127893,15.8538826336762,4,0,15.8538826336762
"BT-474",0.232920915449386,2.34604381015887,1.11912289406429,0,2.34604381015887
"EW-18",0.20084013137836,2.22202712270933,2.27498417488709,20.4330947627337,1.76383002299102
"SK-N-BE(2)-M17",0.149273650799071,4.41714945319897,1.34383045752021,0,4.41714945319897
"A3/Kawakami",0.402571351129075,0.54759233073933,4,5.16400400369225,0.532870356742199
"HCC1806",0.108252874141887,6.9796738870468,1.26518846815172,0,6.9796738870468
"CAL-120",0.112211814522053,NA,4,64.1292900543261,1.15244939188677
"GOTO",0.173533447346593,1.99604607351415,4,43.1460632825718,1.21454352523671
"G-402",0.0738953218135498,12.907195034185,1.10125316024049,0,12.907195034185
"Hep-G2/C3A",0.160208389705476,8.95839117212028,0.64820595112136,0,8.95839117212028
"BT-474.1",0.130709012556639,4.43421318962541,2.00131611166179,0,4.43421318962541
"SUIT-2.1",0.0149435600908248,11.826652142378,4,0,11.826652142378
"CADO-ES1",0.204848454148255,3.47997375362787,0.897386190362858,0,3.47997375362787
"Panc 02.03",0.161355026981571,4.12883396288712,1.48098590780548,32.2169896501869,2.0543518247419
"B-CPAP.1",0.0875391307993009,NA,2.37795688901415,52.1781345323686,2.88501138880428
"FaDu",0.0476356972293517,NA,4,51.8383079004901,5.13571691788876
"CADO-ES1.1",0.252405771299407,3.82674299505281,0.545249729768781,0,3.82674299505281
"SiHa",0.031916885668175,NA,0,93.616622866365,0.162526291630452
"Hep-G2/C3A.1",0.135460984574973,5.64315055707134,1.37258473154936,27.6059465200356,3.14322423741624
"SNU-81",0.0289865833733488,NA,4,83.3668665799431,3.0068612846229
"BT-474.2",0.136534702148366,4.55059495006809,1.71077210411727,23.1586962575089,3.16335141359109
"BB49-HNC",0.0800392656838483,NA,2.9670519078197,62.1127658345897,2.33463920580383
"ZR-75-30",0.0365087989416705,NA,4,85.1550163466661,1.82968851968858
"HC-1",0.215695919227535,2.33320092739769,1.42254398382017,22.2999412193643,1.54045452858813
"TK [Human B-cell lymphoma]",0.298561689954653,1.01521145901145,4,12.6276031517115,0.943955992889478
"DAN-G",0.139748352915904,5.6075016258142,1.10194810785907,1.11146297487339,5.49426595350758
"CAL-27",0.121213522706265,4.68735237723817,2.15240552235862,19.9023820361149,3.70265240590536
"NCI-H1781",0.0179430998033022,13.6279262251925,2.81796806091264,0,13.6279262251925
"CAL-51",0.190034861472716,2.87051606892984,1.65731288861303,2.95748978054545,2.76683081053875
"EBC-1",0.268792927969456,1.95838908892302,0.890306922337315,0,1.95838908892302
"ES-2",0.198296664381688,3.5226946514731,0.953125,0,3.5226946514731
"ES4",0.168572039616436,3.59021808714581,1.44744055725505,10.3186910594716,3.06032858334234
