"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.0917657328597508,82896.0176994912,0.165877757594499,0,82896.0176994912
"MES-SA",0.1168597627257,NA,0.0370533525011368,66.733881854944,1e+06
"PL4",0.0903879744877081,NA,0,81.9224051024584,0.00115994293593458
"OS-RC-2",0.0774021137740855,NA,0.0600773063417217,71.3759193738823,999995.183053128
"WM793",0.102146140677706,NA,4,78.6450024677042,0.0734795862985469
"KYSE-50",0.10340162463889,16.4990319280976,0.440009413316547,0,16.4990319280976
"KE-37",0.114673657544269,NA,2.25472432487244,63.2504588224336,0.232526829477279
"Jurkat",0.0480931731872266,4.11045223677984,1.36788086186611,29.3038410873734,2.15692870905516
"KM-H2",0.0232652101478193,NA,4,87.0375328281248,0.579951930534782
"697",0.0723215091879512,NA,1.88299196071165,55.0704237064549,0.705504031422267
"8-MG-BA",0.07098349805725,NA,4,87.8543512444423,0.0353065870001256
"PaTu 8988t",0.109354923237012,NA,0.555417582235836,80.7024566793441,0.0339672195097494
"FTC-133",0.126463268847376,NA,0.064139232619635,50.8805968625973,1e+06
"KMRC-20",0.0635642166835564,7.18736660855957,0.740865322609051,0,7.18736660855957
"NCI-H1975",0.134087101785305,91.6707575401288,0.270588782486856,0,91.6707575401288
"OVCA420",0.310602062917482,0.218465200734571,1.10146543295174,29.5199864174811,0.097151906873065
"HCC1954",0.098913780636377,912.262254494339,0.240135723137738,0,912.262254494339
"ASH-3",0.0822035495793275,NA,0.080620932798997,83.0335611522872,0.137165449917025
"NCI-H1568",0.295699614447755,1.67266431711467,0.289167190520016,2.46143351705916,1.40472505619851
"NCI-H1563",0.14221529944924,1.24233750756052e+24,0.0619427469141767,46.2141543999036,999992.476114492
"Daudi",0.041234282410828,45.9210991065988,1.27023085123681,49.0986022620902,1.94532132446155
"CTV-1",0.0285527954314114,NA,4,79.4984767446817,0.768400051610998
"EM-2",0.0453624148928,NA,4,70.590783770625,0.69162431854885
"WM278",0.0870718513006164,NA,0.0209538661937538,78.9715159741484,1e+06
"GI-ME-N",0.108736093276118,NA,0,78.2527813447765,0.000489054380158086
"EJM",0.0217980694363712,NA,4,83.1000732239366,0.82647683546758
"HT-3",0.0872812627694755,182.721256928731,0.314281216576107,0,182.721256928731
"Hs 746.T",0.0191777016611201,NA,4,82.6356475637684,0.944031451551855
"EW-18",0.0290715233180989,NA,4,90.8580756792613,0.22238867069052
"RPMI-7951",0.0225475143541154,NA,4,89.4765379522082,0.455609325746176
"CA46",0.060209392888273,NA,2.6413481215024,73.8993825162695,0.40878950696734
"RCC10RGB",0.221884830886706,NA,0.69558771186067,52.6459598994521,0.0820922735232937
"U-251MG",0.112490998886677,NA,1.12918008979405,86.8303251275067,0.00389513998671666
"Karpas-231",0.171307917819092,1660310.88787659,0.0940712984644186,2.33454729403024,998708.987012774
"BALL-1",0.0322397955605544,3.99345411637654,1.42465725045145,0,3.99345411637654
"IGR-1",0.0285604503652354,NA,4,86.2701431342235,0.475744026857485
"KP-1N",0.109974218825988,NA,0,78.0051562348023,8.05418174239966e-05
"OVCAR-8",0.0617973859608571,NA,1.5078498987606,74.2565064443181,0.40317519527139
"JJN-3",0.0550646092339625,NA,4,74.254579142716,0.456804610408389
