"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"EB3 [Human Burkitt lymphoma]",0.241096850623801,1.33250623761177,4,49.7203666433474,0.36439632935144
"JHU-022",0.218713704375718,2.50107257879491,1.26782200352283,0,2.50107257879491
"IGR-37",0.195713403722653,2.95015475424366,1.34551495505217,0,2.95015475424366
"HD-MY-Z",0.216787955881757,6.73480669729553,0.50987333432383,0,6.73480669729553
"H4",0.409341157382721,0.502895935389145,1.52057543031047,9.92316584244924,0.434804227431004
"Calu-3",0.0581835230674756,7.14334507930472,3.777355144253,0,7.14334507930472
"Becker",0.336862889240979,1.55048579570448,0.536940662554651,0,1.55048579570448
"DU145",0.0388760820406675,8.48708999697869,4,0,8.48708999697869
"NCI-H2595",0.312227857779785,1.75329381182507,0.612396942871619,0,1.75329381182507
"CaR-1",0.264156024000109,1.62188896719437,1.56452100860311,4.70812767747231,1.522540312932
"DOK",0.321002732862856,0.999203224099502,2.99957282172817,5.28290467800871,0.962689093317043
"CW-2",0.0932859974717421,6.47193861895951,1.79913979355478,0,6.47193861895951
"22Rv1",0.174202144815682,21.6283038900023,0.687061168410968,40.602306534156,1.8985524975341
"CAL-39",0.371638390048238,0.627742097216919,3.07352743809904,9.51580686090861,0.586071855280828
"K5",0.180229868393536,3.2701259044342,1.43676470604821,0,3.2701259044342
"COLO 679",0.203640080167104,3.26185809934177,0.987052552739614,0,3.26185809934177
"769-P",0.110635342853272,5.08189112413818,2.25415913744778,0,5.08189112413818
"DOV13",0.256388897501043,1.83861524661386,1.31344358210544,0,1.83861524661386
"A-375",0.266595793401471,1.76298111763665,1.16027137691748,0,1.76298111763665
"A-375.1",0.239785044476064,2.03812482286397,1.44646731498154,0,2.03812482286397
"A-375.2",0.248776482816212,1.84508903256095,1.65603985440131,1.24161982707673,1.81728415215872
"A-549",0.261736079041523,1.56634329087024,1.78835981575598,8.35238724837824,1.41416463068208
"A-549.1",0.231756973076462,2.20883327697434,1.34731021454541,0,2.20883327697434
"A-549.2",0.235673365691108,1.85256419075127,2.08268097384593,9.490922749073,1.67447646004342
"C32 [Human melanoma]",0.239184674451452,2.00526585565423,1.60637184769474,0,2.00526585565423
"C32 [Human melanoma].1",0.230216886982281,2.12129143416613,1.71247271664474,0,2.12129143416613
"HCT 15",0.251416997854313,1.6634821263424,1.91586076366327,9.28736797806933,1.4943011241219
"HCT 15.1",0.123940272453776,4.55138865590553,2.26111354985528,0,4.55138865590553
"HCT 15.2",0.276899353063291,1.34801860313742,1.54716624198837,15.4588028438755,1.06138299255981
"HT-29",0.247374783705604,1.88474389140513,1.50940370971627,2.27734247630339,1.82742477530929
"HT-29.1",0.233718972481567,1.95705392533019,1.75655404597783,8.36124521064488,1.76343521833172
"HT-29.2",0.286563844197552,1.24007584795651,1.95844775787974,10.7392290484608,1.09604567191185
"MHH-ES-1",0.242777821543618,2.18933909378262,1.08947866144366,0,2.18933909378262
"MHH-ES-1.1",0.205584332178001,2.94395401557217,1.12908095591235,0,2.94395401557217
"MHH-ES-1.2",0.218819808432274,2.47965664852837,1.29460771699614,0,2.47965664852837
"PC-14",0.252386327941061,1.77823150768568,1.67202265353282,2.56111941080602,1.72318080167364
"PC-14.1",0.20249125086346,2.77307331475419,1.36919818000277,0,2.77307331475419
"PC-14.2",0.286407750546404,1.53606154919638,1.10182365043415,0,1.53606154919638
"SNU-C2B",0.152153977935878,4.88591699647242,1.40475328461964,33.0963220046303,2.25768771304195
"SNU-C2B.1",0.135076179582885,5.06889272323935,1.39159315932962,11.1150519821128,4.23106957106673
"SNU-C2B.2",0.123538929748588,4.99471455646279,2.14767166121941,37.508225662436,2.61846078028763
"SW620",0.282314668933498,1.5726373002808,1.13029889143613,0,1.5726373002808
"SW620.1",0.244150483629279,2.05931629153291,1.23598605114823,0,2.05931629153291
"SW620.2",0.238146153919665,2.04101021293974,1.47961537382946,1.309745620004,2.00472123357488
"U2OS",0.189227545605764,2.70949280196214,2.14086020128121,5.89834208732808,2.55519410579678
"U2OS.1",0.210236777593417,2.8413325895193,1.11928997490802,0,2.8413325895193
"U2OS.2",0.217224617049296,2.44380726846164,1.40701720029166,0,2.44380726846164
"MFM-223",0.338422141024127,0.917689002416546,1.02618881796481,19.6534406208309,0.564117229274287
"MFM-223.1",0.340475195978969,0.638773052930554,1.67136884372699,26.7458201497048,0.404041909748886
"MFM-223.2",0.345099774300061,0.706184473334794,1.33415431033383,24.8076672813984,0.42245391855282
"NY",0.190264405034813,3.07221068243215,1.36116346647698,0,3.07221068243215
"BICR 78",0.0721380110792925,8.4300158039194,1.70434435541446,0,8.4300158039194
"ES7",0.378534166844588,0.464455993521574,3.81784203820398,17.9284921428828,0.413458171148472
"HLE",0.123025996716002,4.74689315049891,1.97467380376866,0.00994413793458002,4.7464150353055
"Kelly",0.299581231425436,0.737787638334194,4,25.7751837173022,0.615536762921736
"KINGS-1",0.414505440342658,0.787740862523725,0.451454875312266,0,0.787740862523725
"KP-3",0.103293309133437,NA,0.814724529600907,61.1724355205456,2.1299210812059
"MKN1",0.207793531403552,2.76263012175741,1.23397009876758,1.22514515021177,2.70764398061435
"SJNB-13",0.25847029610597,1.58303507895893,2.24831478477871,6.67806309692714,1.48524375658956
"SJNB-7",0.239831237696919,1.64934764112155,1.63261962589717,33.9179704888402,0.823323800567925
"NCI-H1993",0.507425143520488,0.151468583391805,0.986161017754178,28.5256044958002,0.0642869228934291
"BxPC-3",0.144304305633485,3.95975754580935,2.02552660222557,0,3.95975754580935
"CPC-N",0.305054424005759,0.784324801572535,4,21.5736237642595,0.68105756632977
"GaMG",0.166274207574416,3.44568106413954,1.74438310806427,0,3.44568106413954
"L-540",0.236704525923432,2.72674484751327,0.837832828229536,0,2.72674484751327
"LCLC-103H",0.124926954013391,4.45599837237367,2.42133887539053,0,4.45599837237367
"Loucy",0.456379993684246,0.346470822098906,2.62716835720499,8.08781612123546,0.323965295167298
"MOLT-4",0.432409022299582,0.332292467835409,4,14.4015610595709,0.305235986514635
"Mo",0.139264334460907,4.03581637564072,2.24566849681441,0,4.03581637564072
"NALM-6",0.454833819128653,0.303144051628513,1.73846548983676,15.1469118962592,0.24631766309542
"Namalwa",0.263857975495755,1.58245867518562,1.33583939055118,16.6988362404524,1.16734112293235
"NOMO-1",0.312797054037137,1.14481928388355,1.04122707515743,34.2173140866869,0.378247825755529
"OPM-2",0.33665594936339,0.95909957009699,1.86900055198395,1.97318381710919,0.938658858204138
"OVCAR-5",0.172808362201631,3.49788153344517,1.41169876214027,5.6034959516313,3.21542474820215
"A4/Fukuda",0.485027003077183,0.308000888424191,0.962974355758342,8.31719198034963,0.254976961138704
"ACHN",0.312054525464807,1.19974557406526,1.22470753006313,3.25283079601562,1.13562445684109
"BE-13",0.58405711679001,0.166754160042817,1.09934182895066,1.24953879247837,0.162959103282074
"BT-483",0.00172409443796354,21.277596821252,4,0,21.277596821252
"CAL-62",0.146462693735397,3.91829880392245,1.88827428066936,8.55571257355354,3.54759168005861
"CAL-85-1",0.183411973496563,3.03304612648371,1.69065035183074,0,3.03304612648371
"CHL-1",0.19032302694229,3.00510955838077,1.44339266680354,0,3.00510955838077
"COLO 668",0.191133251903469,6.17895574030666,0.637724412621396,0,6.17895574030666
"D-263MG",0.272189374131829,1.6456843695212,1.26449128527066,0,1.6456843695212
"ES8",0.444224507293997,0.418311078344952,2.38618638198635,4.53393315472065,0.401974680265507
