"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.0374762314155942,NA,4,94.9260978272815,0.0121701690521298
"MES-SA",0.0271314053322591,NA,0.0572746174029071,94.5265600813731,0.0855533655818334
"PL4",0.124183897601713,999309.464447624,0.1191232890937,0,999309.464447624
"OS-RC-2",0.0482185338595423,NA,0,90.3562932280915,0.00603280449914477
"WM793",0.0564243501517874,NA,4,91.8067022207654,0.0171859479490495
"KYSE-50",0.0763537789184222,NA,4,86.691919338515,0.0380137330637475
"KE-37",0.0298456582787019,NA,4,92.5208088248735,0.127050164690391
"Jurkat",0,NA,1.68535255167746,100,3.33762857958033
"KM-H2",0,NA,1,100,2
"697",0.00890159052794114,NA,4,93.1700504582811,0.818596281192661
"8-MG-BA",0.0585244938350012,NA,0,88.2951012329998,0.00480314332228986
"PaTu 8988t",0.059571872557177,448537.329018181,0.178409826202892,0,448537.329018181
"FTC-133",0.128533144235858,NA,0.0587114631932112,53.2363919774141,1e+06
"KMRC-20",0.0692604953928628,NA,0,86.1479009214274,0.0222347215448975
"NCI-H1975",0.109616563794229,NA,4,86.3368139172196,0.00783288712293738
"OVCA420",0.315607832599256,0.563256080361112,0.492071198870107,24.1771464974922,0.147070820819519
"HCC1954",0.0318092539835853,NA,0,93.6381492032829,0.00268449770016492
"ASH-3",0.0185766707967903,NA,0,96.2846658406419,1.95983786327245
"NCI-H1568",0.222023939945028,18.3721664741782,0.231389181521804,0,18.3721664741782
"NCI-H1563",0.0837495275828777,NA,0,83.2500944834245,0.0376122833076293
"Daudi",0,NA,1,100,0.632511068943707
"CTV-1",0.0177542540052593,NA,4,89.4446258447664,0.627351989532045
"EM-2",0,NA,1.03468112499993,100,0.934899377345406
"WM278",0.0627267769699333,NA,0,87.4546446060133,0.00946600358888782
"GI-ME-N",0.110430648252522,NA,1.81708561906596,88.9569342921989,1e-06
"EJM",0.0127517907987217,NA,4,96.071560796408,0.212477136448022
"HT-3",0.0781894228015482,NA,0.912134698830727,89.1386847972857,0.0114088167335524
"Hs 746.T",0.0542568439180159,NA,0,89.1486312163968,21.7082212958823
"EW-18",0,NA,0.354555600554489,100,6.82916115514077
"RPMI-7951",0,NA,0,100,3.31773137998477
"CA46",0,NA,0.627199560335186,100,4.09576819499909
"RCC10RGB",0.163155367252584,45.1667882562346,0.262601979202614,0,45.1667882562346
"U-251MG",0.0593807692557843,NA,0,88.1238461488431,0.00150115114534565
"Karpas-231",0,NA,0,100,134.196465431269
"BALL-1",0.0164202382862934,NA,4,95.460144139221,0.164454397860157
"IGR-1",0.0304867987043729,NA,0,93.9026402591254,0.00332103714746621
"KP-1N",0.07774617635977,NA,0.0906923448883426,85.2580597802067,0.018701121176892
"OVCAR-8",0.0649129130082685,NA,0.316790985552764,80.4732952870029,0.7025132202294
"JJN-3",0,NA,1.39235233798916,100,25.7172353116586
"ALL-SIL",0.0911474919296463,NA,0,81.7705016140707,1e+06
"HEY",0.0921457939618278,NA,0.0629353940551743,64.7294596675476,1e+06
"HeLa",0.096544025178381,NA,0,80.6911949643238,0.857507123625194
"SCC-15",0.183364746529934,NA,0.844314147962563,53.9128812704628,0.139678281094578
"CAL-33",0.113160168705487,8.61694740381939,0.48873709758507,0,8.61694740381939
"JHH-6",0.0768603201419303,NA,0,84.6279359716139,0.0578839178735166
"ES4",0.124598001673189,NA,0.490131028741713,84.4849285046003,0.0020613903687232
"UACC-257",0.0538303929328264,NA,0,89.2339214134347,0.148398974793362
"KCL-22",0,NA,1.01621307376264,100,0.840099230640704
"CHP-134",0.0591841972147567,NA,0.415929855211013,92.6634527928299,0.00125509547448432
"KMS-12-BM",0.045875965178425,NA,4,91.9231569414882,0.0395528661214808
"OE19",0.107433908828454,0.864657156531383,4,37.4951344780767,0.611464426185079
"MDST8",0.0539029273779982,NA,0,89.2194145244003,0.0124744814518869
"HCC2998",0,NA,0,100,0.511645594397682
"G-401",0.0189931596347378,NA,0,96.2013680730524,0.127564059653773
"OAW28",0.0801721109429038,NA,0,83.9655778114192,0.74873460649186
"DMS 53",0.0955459032602434,NA,0,80.8908193479513,0.000164876026335065
"TOV-112D",0.0916125379995386,NA,4,89.7393070184183,0.00413915351484632
"AsPC-1",0.105455716275733,430.008224283577,0.25348298045443,0,430.008224283577
"HSC-3",0.102805583511237,NA,3.05167140576754,60.8658081630369,0.326250355253778
"Evsa-T",0.0454276902043438,NA,0,90.9144619591312,0.301335107536454
"VA-ES-BJ",0.0869842040994578,NA,1.62841303630189,90.4817678299868,0.00270610590798764
"GOTO",0.0696843902299111,NA,4,88.302800643752,0.0326556052880939
"SNU-175",0.142936764292503,12.7565455093321,0.373376258107775,0,12.7565455093321
"IM95",0,NA,1.20213929957791,100,25.2871994368351
"OVCAR-3",0.070008755808863,NA,0.0372418335080539,85.0159042019991,2.16013058938855
"LXF 289",0.0283744752773408,NA,0,94.3251049445318,0.51017643518455
"AGS",0.0796636893427166,NA,4,89.6789043272861,0.0096704938130042
"AU565",0.102637754311485,3.84266611062662,0.688308688172481,0,3.84266611062662
"LN-405",0.0331178432106623,NA,1.00197850383235,92.9927343131293,0.0773813829211165
"TE-4",0.0213481688418551,2.11232027505317,4,0,2.11232027505317
"42-MG-BA",0,NA,0.581704072906986,100,0.968182686457948
"TUR",0.0205975421545127,NA,4,92.4738964986932,0.30206821426615
"EMC-BAC-2",0.0644401820167763,NA,4,81.3911928500586,0.182915687883613
"LC-1/sq",0.172199100507228,NA,0.947166687405878,65.1319970049142,0.0662242786728318
"Hep-G2/C3A",0,NA,0,100,219.527804061008
"Karpas-45",0.0225715842261864,NA,4,79.2756310486766,0.954570689312841
"A-375",0.0770946365631971,NA,0,84.5810726873606,0.219978078555499
"C32 [Human melanoma]",0.101525862311706,NA,4,89.224764067633,0.00281851918188991
"C32 [Human melanoma].1",0.0282926880929986,NA,0.0368388797549603,94.4004050972841,0.0356953933465457
"C32 [Human melanoma].2",0.0297635625753924,NA,0,94.0472874849215,0.338193163379138
"HT-29",0,NA,0.759060139105624,100,0.00165593192542251
"HT-29.1",0.0258519217364819,NA,0,94.8296156527036,0.610048262479762
"MHH-ES-1",0.0624389843374278,NA,0,87.5122031325144,0.00199308285494286
"MHH-ES-1.1",0.114504357367035,NA,0,77.099128526593,0.000228497889167885
"MHH-ES-1.2",0.113558188672178,5633902.73968728,0.118568271728791,9.27039794627306,999268.699986142
"SNU-C2B",0.0799389846786729,NA,0,84.0122030642654,0.0115505169967539
"SNU-C2B.1",0.0237402200703514,NA,4,72.5045278815707,1.12851172667132
"SNU-C2B.2",0.0561958596803994,NA,0,88.7608280639201,0.0255117630583042
"U2OS",0,NA,0.618870978249599,100,0.00272944557544493
"U2OS.1",0.0122888993580643,NA,1.09188629194366,98.7710695914703,1e-06
"U2OS.2",0.0379728499570636,NA,2.09323220859909,96.2027149720049,1e-06
"PC-14",0.382618272071695,0.078307583903438,1.37626670519164,42.951863130188,0.0188599342986624
"PC-14.1",0.388521542734817,0.075816013819624,1.37235800590309,44.4261751243744,0.0153274289253882
"PC-14.2",0.381062726539769,0.142814626671438,0.988866615746683,44.3596906726594,0.0157194040511094
"SW620",0.00497188154479886,NA,0.145298471257053,99.1310350805474,0.00820909447876813
"SW620.1",0.00044565003166192,NA,4,78.2267017636515,4.07227614882458
"SW620.2",0,NA,0.512956051205154,100,0.0038002653383799
"HCT 15",0.0617712578489684,NA,0,87.6457484302063,132.0256823519
"HCT 15.1",0.0473653454316219,NA,0,90.5269309136756,0.092062566035893
"HCT 15.2",0.0603691680430811,NA,0,87.9261663913838,0.0226880786855519
"A-375.1",0.0446095861833887,NA,0,91.0780827633223,0.00534031127886648
"HGC-27",0.0139725940186252,NA,0,97.205481196275,3.87753530012164
"B-CPAP",0.035408870341658,NA,0,92.9182259316684,0.247800017435859
"SK-MG-1",0.00325603812422082,NA,0,99.3487923751558,0.102044900871944
"NCI-H1650",0.157740351369728,NA,1.33085568872074,82.9880283558784,0.00192894492912941
"786-O",0.0197356982982305,NA,0,96.0528603403539,0.00592624297454848
"TGBC24TKB",0.206940803570118,7.13572843010563,0.306970303504264,0,7.13572843010563
"KP-2",0,NA,0,100,0.0257859152248195
"HDQ-P1",0.179192902829367,NA,0.712317357555827,55.3528523874025,0.142967143214948
"NCI-H716",0,NA,1,100,0.200035126168155
"MHH-PREB-1",0,NA,1.05069743774211,100,3.50101996950718
"NCI-H513",0.0727339428304852,NA,4,76.8684576254299,0.227935334954795
"Huh-7",0.0130338060078337,NA,0,97.3932387984333,0.206323279063823
"HT-1197",0.0609375,NA,0,87.8125,1e-06
"J82",0.081909590116384,NA,0,83.6180819767232,0.000755629165147752
"NCI-H1568.1",0.244434120227834,NA,0.570421326557343,65.0724585139671,0.00939713056950786
"SK-N-DZ",0.087093955755035,NA,1.37613126252015,84.6710352173563,0.0391598391999581
"NCI-H322M",0.314847907063493,0.317083508469967,0.869273540728402,38.8282158670062,0.0565519939271314
"LB996-RCC",0.131406987808523,NA,0.85048726089611,73.5346188559591,0.0649738889528836
"NCI-H1944",0.107197099459961,NA,0.0230515479912298,79.6006031803092,0.00075406288115365
"MCF-7",0,NA,0.330951151225896,100,0.314441896635226
"KYSE-180",0.106870118320315,NA,0,78.625976335937,0.416737490325352
"NCI-H23",0.0142922366305177,NA,4,96.8224128131512,0.0894922225009986
"L-428",0.029891799153015,NA,0.959929789929158,91.6963156411264,0.181236973288404
"IGROV-1",0.228625502203528,21.5504062830685,0.217185139195422,0,21.5504062830685
"LN-229",0.0779033728870809,138705968779.099,0.118602614781931,37.7226659073372,1e+06
"HSC-4",0.200272706230394,NA,0.982129583733828,65.3829838916047,0.0353399028526711
"Mel JuSo",0,NA,1.19343487308814,100,0.741828423669991
"639V",0.121075282069021,NA,0,75.7849435861958,0.000514869818637264
"SK-GT-2",0.192371527560895,0.45751044055641,4,15.1339108092288,0.41807992780554
