"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.185301587465506,0.0719114728841418,0.610084288582168,0,0.0719114728841418
"MES-SA",0.230839990779753,0.0135385340359546,3.38448844840867,29.5878932541184,0.0103898967781399
"PL4",0.110642381371219,NA,4,69.2936334615914,0.00830072179334512
"OS-RC-2",0.139203691135699,97.3350451957841,0.254775232944243,36.1571870401572,0.629653699834994
"WM793",0.289234439845836,0.0121482460838904,1.4303425578151,18.479709237489,0.00879875881181238
"KYSE-50",0.103811678081456,9.37464130731123e+26,0.113062327245135,49.9096559443193,513.306897425831
"KE-37",0.387442543863289,0.00625550120169217,2.43904970730512,4.91771437549696,0.00599552241772063
"Jurkat",0.12925303099589,0.0371578074784677,4,20.7965286834854,0.0324837529263821
"KM-H2",0.159317745860956,0.0318962726007868,2.24818776212725,36.2504420095834,0.0179616979764766
"697",0.502499377499019,0.0027664462985575,2.99877961265412,3.99681696611377,0.00269064640825604
"8-MG-BA",0.267790460521267,0.0113316081845979,4,19.6678714822567,0.0100005703709713
"PaTu 8988t",0.216421902679877,0.28310928434457,0.567871762970795,42.5145517035436,0.00999074126156197
"FTC-133",0.317575470933118,0.0124564409561183,0.99591863762676,0,0.0124564409561183
"KMRC-20",0.191895581217157,0.016244638141936,4,40.9598258126576,0.010592823601977
"NCI-H1975",0.236131058762241,0.131994904595376,0.347634126122925,0,0.131994904595376
"OVCA420",0.115118323989795,NA,4,71.7350507765751,0.00600130481920724
"HCC1954",0.083055752999183,NA,0,83.3888494001634,3.90582475649496e-05
"ASH-3",0.0882289926518664,9.0023300778752,0.313199939900878,0,9.0023300778752
"NCI-H1568",0.103995292027803,7.13804991670728,0.296325749847999,0,7.13804991670728
"NCI-H1563",0.0787488992348415,NA,2.81651775744461,92.1251091356065,1e-06
"Daudi",0.107578355861589,0.109108233769749,1.19176938376088,34.1212120983763,0.041673824040589
"CTV-1",0.331826821067754,0.0101673804196276,1.50730349305684,1.38876465106823,0.00997913794288774
"EM-2",0.125810260536995,0.0381888224788157,4,21.3458897494855,0.0332269515559396
"WM278",0.178018907588271,0.0458030726061469,0.891706177285679,0,0.0458030726061469
"GI-ME-N",0.165509833687487,12.8684881554559,0.330909604288861,41.0041388505578,0.0721734074075217
"EJM",0.166650387674498,0.0242277301169732,4,47.8889976318302,0.0109822773232993
"HT-3",0.130994216658193,0.0534942890919219,1.3079795823702,0,0.0534942890919219
"Hs 746.T",0.101592851214588,28600332.5812092,0.103114847580813,14.6168476775766,1e+06
"EW-18",0.0998749389383188,NA,4,74.8637467912876,0.00642821006660618
"RPMI-7951",0.22732524717013,0.0298453682109558,0.857091543015629,8.12293494312596,0.0242686434468696
"CA46",0.164688451608332,NA,2.95105464525279,54.0026438911994,0.00843459817651851
"RCC10RGB",0.192756117504862,0.108419076026453,0.480457651217586,0,0.108419076026453
"U-251MG",0.0997911921029946,0.0769649759687635,1.26543794245802,0,0.0769649759687635
"Karpas-231",0.214773868984469,0.0203320034800846,3.47391110114117,10.8711315971886,0.0189465849258871
"BALL-1",0.447046698822344,0.00393002219637159,3.47287651462194,5.5893231095049,0.00379813856230181
"IGR-1",0.166349863600355,0.149270552501297,0.498196722516197,0,0.149270552501297
"KP-1N",0.0615169954886729,0.16163339259915,1.09306691633185,0,0.16163339259915
"OVCAR-8",0.324295736181553,0.00961679359879281,1.59704222469334,10.3053439763603,0.00832272493782158
"JJN-3",0.170468985908053,0.035707037050949,2.00911761165366,44.2199053170958,0.0122000743077109
"ALL-SIL",0.221962467935731,0.0224874386591926,1.74408860237987,0,0.0224874386591926
"HEY",0.267263947750507,0.015910680505572,1.24295580019162,16.6027064266834,0.0114997176200626
"HeLa",0.0541064972355672,NA,0.855649340970816,89.9921678728597,0.00231554219311143
"SCC-15",0.170198001797139,0.223065186271464,0.425351015392591,0,0.223065186271464
"CAL-33",0.269860258735606,0.0145096970664663,1.38201267518668,19.7135783259869,0.0100952834411574
"JHH-6",0.0155994704593964,NA,4,65.8786461809661,0.079239678562505
"ES4",NA,NA,NA,NA,NA
"UACC-257",0.110053595945829,0.424192597775398,0.521933571081322,8.47544848557883,0.297175268333335
"KCL-22",0.223433323035974,0.0171211424426418,2.2008259393036,27.8378776153701,0.011829746748209
"CHP-134",0.181162794545566,0.0222409988614221,4,25.6801441924059,0.018573854353029
"KMS-12-BM",0.123500943844642,NA,3.36290227345968,56.668213167638,0.0139701288228458
"OE19",0.12655669482441,NA,1.92116659880794,61.8242050514152,0.0101931454654515
"MDST8",0.232593132308877,0.0181336623827677,1.76146304552136,20.8433999994264,0.0133508544916803
