"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"PC-14",0.314690363676039,0.822538488104166,1.59415967830625,45.2554652267579,0.187749639419536
"A-549",0.138153846221802,NA,1.41937148921208,84.9685046381818,0.0114470970410561
"A-375",0.00862018297392536,NA,0,98.2759634052149,1194.37452427751
"DEL",0.0619023542160097,NA,4,65.0485739574597,2.94800684837601
"EW-13",0,NA,0.881221976916817,100,1.59282783160839
"CL-40",0,NA,1.19258663857257,100,17.3792987009075
"C32 [Human melanoma]",0,NA,0,100,87368.1694887169
"U2OS",0.00652129921403778,15.0019422984774,4,0,15.0019422984774
"TC-71",0.00230768677141045,19.7417285581444,4,0,19.7417285581444
"DiFi",0.407512701265675,0.193064649321601,2.02139767328133,41.7068370051194,0.0793793536890473
"RKO",0,NA,0.92299071473364,100,0.0128265941729932
"CL-11",0,NA,0.546604955315278,100,0.0137408894671355
"PC-14.1",0.292704488174544,0.71034052513716,2.18745124933837,41.2642017427852,0.319960693163951
"A-549.1",0.0544195014264683,NA,0,89.1160997147063,0.109886968945014
"A-375.1",NA,NA,NA,NA,NA
"SW620",0,NA,0,100,397.788223438492
"HT-29",0.0223343809300092,NA,0,95.5331238139982,25.8023541113584
"HCT 15",0.102835869361723,NA,0,79.4328261276553,0.0328535249034975
"SNU-C2B",0.0880507399108655,NA,0,82.3898520178269,0.000178932663254809
"MHH-ES-1",0.0487662312460151,NA,0,90.246753750797,0.103600925292072
"MFM-223",0.119425983852709,31.3111376669618,2.05915374425639,49.8329983364873,1.96400283764939
"C32 [Human melanoma].1",0.0476451617367389,NA,0,90.4709676526522,1.05147541512098
"U2OS.1",0.0225878387108964,17.6819050092808,1.88400749806237,0,17.6819050092808
"SR",NA,NA,NA,NA,NA
"SKM-1",0,NA,0,100,1e+06
"COLO 320HSR",0,NA,0.393955048138137,100,1e+06
"DiFi.1",0.43413630349739,0.208507692404632,3.71386661625885,26.3594920008192,0.170422870207923
"CCK-81",0.314359125931594,NA,4,59.7481426336496,0.0453922224624324
"COLO 205",0,NA,1,100,10
"RKO.1",0,NA,0,100,170.958583776685
"SK-CO-1",0.151735223260137,NA,2.15753191979357,84.61368171714,0.00505143134846938
"LS411N",0,NA,0.434467712455049,100,0.0417313345684775
"LS123",0.0636065444328086,NA,0,87.2786911134383,0.000202820982136214
"LS1034",0,NA,0,100,0.155073718664491
"HCC2998",0,NA,0.425121768312357,100,0.0868541087142502
"NCI-H929",0,NA,1.28433457084924,100,10.622614695008
"CP66-MEL",0,NA,1.00957720754258,100,2.18697425204451
"Ku812",0.164023672737928,3.05321275848428,4,8.04426315226946,2.92221661433397
"RF-48",0,NA,1.89048600275055,100,608.508609035561
"DB",0,NA,0.219750624497871,100,0.0762190786223635
"SR.1",0.0159132321560947,NA,4,66.600314431592,7.77972375368601
"Lu-139",0,NA,0,100,0.796053690182704
"MDST8",0,NA,0,100,0.0421839579758974
"HT-55",0.319181725113958,NA,1.58159359680869,62.9697488199999,0.0221657273202676
"Ca9-22",0.207191630669349,NA,1.44745492611376,56.8354224242703,0.363846777258437
"DOK",0.271119420338567,NA,2.73778446598029,57.7937754640398,0.118265856106331
"CaR-1",0.047242293680811,NA,3.59784214467868,78.7043487601957,2.16281016130978
"HT115",0.00285868408191011,18.6767621441404,4,0,18.6767621441404
"GP5d",0.0255304213825426,NA,0,94.8939157234915,0.0574980566825104
"SW620.1",0,NA,1,100,0.0100052698506632
"CW-2",0.170357540790194,NA,1.23933866502488,69.2898183967918,0.21436865743303
"HuTu 80",0.153298326474502,3.65022299005667,2.1412649448996,0,3.65022299005667
"HCT 116",0.0054584852092262,NA,0,98.9083029581548,115.002203499003
"PC-14.2",0.34924403799558,1.46344830512482,1.05243562479889,47.1382802185094,0.0965899374086077
"PC-14.3",0.276604124526526,0.648070282692786,3.16112735371572,46.1813174366053,0.28724289843183
"PC-14.4",0.341698491804227,0.50836822130467,1.69140265578323,39.2591351771695,0.204776846729811
"A-375.2",1.25749229184603e-13,NA,2.53193161081296,99.8529593155299,30587.9837247334
"A-375.3",0.042309853721,NA,4,79.0241242845968,2.48506530125188
"A-375.4",0,NA,0,100,2.02608424625432
"SW620.2",0.0308606800036518,NA,0,93.8278639992696,83.523133756043
"SW620.3",0,NA,0.822337334538137,100,2.94227335965303
"SW620.4",0,NA,0.428447548024263,100,0.215939929498531
"HT-29.1",0.0307928289761911,NA,0.0799830197343226,86.7958843706916,1e+06
"HT-29.2",0.0131531096746524,NA,0,97.3693780650695,0.0335151273333884
"HT-29.3",0.0666206813064673,NA,0,86.6758637387065,2.29231745473642
"SNU-C2B.1",0.0501847812750228,NA,0,89.9630437449954,0.094675073022369
"SNU-C2B.2",0,NA,0,100,10783.8849259989
"SNU-C2B.3",0.0155378002433997,NA,0,96.8924399513201,298353.464923964
"MHH-ES-1.1",0.00200061055619616,NA,0,99.5998778887608,2282.07187173336
"MHH-ES-1.2",0,NA,0.845603401725859,100,0.0787501412941033
"MHH-ES-1.3",0,NA,1,100,10
"MFM-223.1",0.0710571141421125,NA,4,67.1175312345771,2.24928423507185
"MFM-223.2",0.00834298489287346,14.0144124472242,4,0,14.0144124472242
"MFM-223.3",0.0980936663298675,48.4876686136313,0.520262817753985,0,48.4876686136313
"C32 [Human melanoma].2",NA,NA,NA,NA,NA
"C32 [Human melanoma].3",0.0175657145695565,NA,0,96.4868570860887,0.0250215220938762
"C32 [Human melanoma].4",0.0241096024405436,NA,0,95.1780795118913,203.27101233194
"U2OS.2",0,NA,0.918412309101614,100,1396.13776852841
