"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"T-47D",0.122116066199481,NA,1.31310075882007,77.141833371061,0.245222071297259
"HCC1806",0.242588521653465,3.5497818910264,1.12707055519212,44.6590386456935,0.487938566842806
"Evsa-T",0.482388845109892,0.303337634482179,1.56412683934703,6.81000506562875,0.276231395942571
"CAL-51",0.104487594984718,NA,0.496256542006656,72.3225105077284,1.07913492241215
"MDA-MB-231",0.340342818777039,0.512938556864058,2.02726265078852,47.8850235105498,0.107762992505212
"MDA-MB-468",0.0671340060450578,NA,4,81.4357969563383,0.815427788231455
"HCC1143",0.155017241995235,NA,0.61585666495322,64.7416328034847,0.532134149393079
"CAL-120",0.0102435729085086,NA,4,88.6722276609753,5.4577247880102
"MDA-MB-157",0.116848810456549,NA,3.04795956202964,84.9459522823948,0.0459360793638033
"HCC1395",0.027886135179557,NA,2.20566268217316,83.4129916100275,3.23280497464392
"MDA-MB-415",0.129700521323166,NA,0.947594806629917,77.3757385384484,0.180434925477296
"COLO 824",0.275147962647863,NA,0.934482315835624,62.8099110065806,0.0480189744699433
"JIMT-1",0.100190833535828,NA,1.36225135535489,78.5107084791376,0.396595528618788
"HCC1954",0.0136042601322505,NA,0,97.2791479735499,0.033340670879578
"CAMA-1",0.130593994364685,NA,1.3294274775652,69.1823852344767,0.536255248986212
"HCC1569",0.208248735328002,NA,1.68966643641718,58.7004534951515,0.303398721863537
"HCC38",0.190580070550952,NA,2.82403621427,62.987722494798,0.28181239839752
"HCC70",0.103320236320136,NA,4,75.4269383552607,0.54235797037658
"HCC2218",0.162504475213916,NA,0.692007701687186,71.4904404364965,0.174159027800694
"BT-549",0.20795333256838,NA,4,74.1633621493898,0.0377216012409815
"MDA-MB-436",0.137663909579213,27109158.4018024,0.110569327028947,15.2854668786855,1e+06
"OCUB-M",0.220266638636966,4.77325699739724,0.837909577207332,35.4964690192061,1.0897878272146
"MRK-nu-1",0.162030650372668,NA,4,73.2963877128885,0.14908207428267
"MDA-MB-361",0.319334653516048,0.725391333371733,1.51930513473217,41.2494649055105,0.23033545579295
"CAL-85-1",0.159141953328172,30.4694962475113,0.411660693509324,0,30.4694962475113
"HCC1937",0.0945683657704178,NA,2.02283146036741,75.1224388285092,0.718928229486867
"BT-474",0.159353133470807,NA,0.89960501114028,72.8563349629646,0.161088395320691
"MFM-223",0.0322448637209642,NA,1.53763819335976,88.7708522659375,1.40928035327449
"AU565",0.0298542884412082,17.9258918106556,1.60103321689443,0,17.9258918106556
"Hs 578T",0.45990542123298,0.241455379360638,0.926692891834945,32.4113378726329,0.078199915535439
"BT-483",0.22768087297314,506.557178611654,0.205491849169408,23.0247088981242,25.1432658621774
"UACC-893",0.0883238155243495,232.841300823295,0.388899446071412,0,232.841300823295
"HCC1419",0.0103099837086702,NA,0,97.938003258266,1.14704810627917
"EFM-19",0.144959052205463,NA,0.912817495599745,73.5386608904176,0.217763741125616
"HCC2157",0.134636222991533,NA,1.26531626136266,81.6193150485492,0.057678168777475
"EFM-192A",0.135403788931279,NA,1.07518990520645,77.1054320904594,0.160284638347398
"ZR-75-30",0.089323520095182,NA,4,81.301512294469,0.364725605619576
"HCC1500",0.16489573343447,NA,0.936582074518755,68.4495169053784,0.26372411742277
"DU4475",0.325742616276573,1.1277661928824,0.963794342477475,7.49113758606519,0.952972834566725
"HCC1187",0.217869308287172,NA,0.529286910186339,51.780074132066,0.495995102345201
"HCC1599",0.265134702501877,NA,1.33141628196217,56.6027549319003,0.142200368425692
"HDQ-P1",0.135940722750154,NA,4,68.5263634800857,0.500949446672621
"BT-20",0.0539747764567456,NA,1.13533846999236,81.8212988607418,1.39179460704351
"HCC1428",0.273083873399284,3.15568788141077,1.35524525232414,48.3448433738916,0.255237325899381
"MFM-223.1",0.0205043336526399,73.8872014445006,0.960463526769107,0,73.8872014445006
"HCC1937.1",0.169837888504564,8922.42822884667,0.157852323447915,0,8922.42822884667
"AU565.1",0.0313827922766231,8408.9490449697,0.358866705490144,0,8408.9490449697
"MDA-MB-175-VII",0.113081009755918,NA,1.94576987226522,75.5953696460075,0.403108522666418
"MCF-7",0.35418877363132,0.608080699225063,1.7596592178937,48.4530361719517,0.0843588081985858
"CAL-148",0.494676056551361,0.201382772588906,2.02559297905875,16.3540929911731,0.165611414253839
"MDA-MB-453",0.548702292302281,0.133139121395984,2.45437314731842,14.7269970819615,0.115496253914407
"BT-474.1",0.121712965571561,1097.51943703612,0.253793187684452,0,1097.51943703612
"HCC1937.2",0.116280474399013,NA,0.957629892810517,75.7287203078798,0.36521656615258
