"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"MDA-MB-231",0.0246860908455156,NA,2.79096410800891,82.6259496912655,3.82447632703932
"T-47D",0.0695403769057443,2992.69930070735,0.299287567253708,0,2992.69930070735
"AU565",0.0532657377914982,30.9894466825104,0.863246302853584,0,30.9894466825104
"MDA-MB-361",0.0311727936028428,NA,4,93.6669466699444,0.329806236414382
"CAL-120",0.00363395092959437,NA,4,96.5507930840339,4.88494068702551
"MDA-MB-157",0,NA,0.986084904931769,100,0.227265605554117
"MDA-MB-415",0.0364762391096047,NA,3.98405845018924,73.9037677173993,3.81552115519578
"MDA-MB-468",0.0745296856775602,1363.07763130448,0.38056167128842,27.6422481559506,164.448970887633
"HCC1806",0.0110812552509375,23.685149233307,2.05085335174157,0,23.685149233307
"HCC1143",0.0591801893755708,530.330959101433,0.409650935755705,0,530.330959101433
"HCC70",0.0550982789227405,NA,2.11813766004685,68.863013893165,3.04207287664242
"HCC1954",0.0593056485696677,NA,4,88.4094936382669,0.288208407460056
"MDA-MB-453",0.0107560275977682,NA,4,83.44691815064,6.6677081336145
"HCC38",0.0329244177551482,NA,1.37494636126115,86.189588909684,2.0724397080931
"HCC1569",0.0106558693321427,61.1923035401975,1.2770632221693,0,61.1923035401975
"COLO 824",0.0347620668497889,27.6472281020369,1.13595921691835,0,27.6472281020369
"HCC1395",0.0500234175550616,NA,1.65658572097641,68.4889906547864,3.70082798790202
"CAMA-1",0.0563004907794651,NA,0.686916610814168,78.7405373224527,2.47796764221592
"JIMT-1",0,NA,0.983567541110408,100,3.14577310058371
"EFM-19",0.0834181773076798,NA,4,89.3668788807631,0.0434615568977386
"Hs 578T",0.078730540799355,12.6269407448214,1.54731491721129,37.9976507428417,5.02106079537669
"MRK-nu-1",0.140755813971922,983.75615143444,0.23423697352702,0,983.75615143444
"HDQ-P1",0.0787306353693749,6680601584327.53,0.123900035883227,42.8653099648553,1e+06
"OCUB-M",0.0868195649609181,235.550844966911,0.391682122598364,0,235.550844966911
"EFM-192A",0.0406924686618711,NA,0.0300672057417372,91.5535756921845,3.54361325200839
"BT-549",0.0969272446835724,182.594593486402,0.386471859152598,0,182.594593486402
"HCC1419",0.0744210819003125,NA,0.140184314142152,79.6373639325216,17.2412626662827
"MDA-MB-436",0.0378139412618853,NA,4,88.0376768679352,1.11798255311081
"AU565.1",0.0185160205736419,27.5565638669178,1.51679075725627,0,27.5565638669178
"HCC1937",0.0193413560208516,155.22166559794,0.795117403788941,0,155.22166559794
"BT-474",0.0366544564652971,NA,0.0970140177907161,90.1178343577574,76.1279712088089
"MFM-223",0.0782803589051013,NA,0.0704835751640603,69.7810486544564,999729.781517078
"ZR-75-30",0,NA,0.615789785593733,100,0.0657677125715243
"UACC-893",0,NA,0.772010760886745,100,1.34277171612485
"DU4475",0.0104347806481075,13.1393384251078,4,0,13.1393384251078
"HCC1500",0,NA,0.9602722714255,100,0.0604097564713363
"HCC2218",0.00909538711466401,NA,4,94.6523618308842,3.08302975014027
"BT-20",0.069797916768247,NA,0.104293571922484,60.1980822937815,1e+06
"HCC2157",0.0252703269234768,NA,1.4048720991062,56.5000056190523,12.1487474359506
"HCC1187",0.00780200573544396,NA,4,95.3376877888929,3.14271077018561
"BT-483",0.00349003547228421,17.7123340511239,4,0,17.7123340511239
"AU565.2",0.0275814761410007,NA,4,77.8404235895219,4.25416755618514
"MFM-223.1",0.0282855005502857,NA,2.10864185397899,53.7714253541669,8.39646615076178
"CAL-85-1",0.072275521748719,1641.08418361696,0.317424478927303,0,1641.08418361696
"BT-474.1",0.0284456055293256,NA,4,93.1925154088525,0.55223467657724
"MCF-7",0.0113744807762995,NA,2.9914567206742,85.7669709227501,6.16801549769946
"HCC1599",0.0174203306673371,NA,2.82337304898399,84.8921174800271,4.67635497745429
"MDA-MB-330",0.00334776210523312,NA,0.0872703629589105,99.3979382661738,0.0232242274640783
"CAL-51",0.051191936318154,NA,0,89.7616127363692,0.00665936432604019
"HCC1428",0.0170466564388529,NA,3.40614161801668,88.3645332309944,3.6563613145161
"Evsa-T",0.0315314465682173,16.3607768333542,1.66807413702426,0,16.3607768333542
"CAL-148",0,NA,0.726450121507518,100,5.20447218802035
"HCC1937.1",0.0378528336758865,NA,1.94738576671785,73.5604250525765,4.01699322748319
"AU565.3",0.0504348965421195,NA,1.09485591193998,53.7654065192593,7.92561884147061
"BT-474.2",0.0151938000618102,NA,4,84.3438286290401,5.19381943927554
"MDA-MB-330.1",0.0246183771477827,NA,4,76.9690643922062,4.83032517756786
"MDA-MB-175-VII",0.0144069218936366,NA,1.14917831666876,93.0749764502796,2.83789850659078
