"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.00959177291305739,13.473494006242,4,0,13.473494006242
"MES-SA",0.053311156155366,12.6204132809956,1.4599310795265,0,12.6204132809956
"PL4",0.0104270945910432,NA,4,58.4375,10
"OS-RC-2",0.0404482653337594,16.3608893453694,2.15322325570223,39.9468168533645,7.76713896431109
"WM793",0.061316792289528,6.88825773638374,4,0,6.88825773638374
"KYSE-50",0.0848535550533536,5.70696313634656,4,0,5.70696313634656
"KE-37",0.162277036811841,3.34053688562573,2.51577129256856,0,3.34053688562573
"Jurkat",0.12257126081414,4.2159676152474,4,6.45500933582835,4.07276465961665
"KM-H2",0.0808189239281433,NA,4,53.0746553040319,3.04992138733501
"697",0.137428182295224,3.75353289001661,2.81148120985709,16.6028063428113,3.25164382099788
"8-MG-BA",0.075192762372186,6.15130328204129,4,0,6.15130328204129
"PaTu 8988t",0.023350050394951,NA,4,94.8972583338248,0.42394608715912
"FTC-133",0.0918645463632991,5.30271642646047,4,10.2311166320663,5.00773975498573
"KMRC-20",0.0616841058212661,6.86690443273046,4,0,6.86690443273046
"NCI-H1975",0.0675697597934293,25.5959900392983,0.814638418491651,0,25.5959900392983
"OVCA420",0.371905712224277,0.383948744710167,1.59082558439683,44.420448233376,0.096740609928806
"HCC1954",0.0663985283674697,8.7291087910872,1.79320502664672,0,8.7291087910872
"ASH-3",0.0132602385745917,12.2609983394463,4,0,12.2609983394463
"NCI-H1568",0.177024473266488,13.419958356242,0.486182413549028,0,13.419958356242
"NCI-H1563",0.0420535995117181,NA,4,91.4131971256298,0.339524773108109
"Daudi",0.115632979412188,4.59914890581119,3.32165962316827,0,4.59914890581119
"CTV-1",0.0505803834011761,NA,3.63438320679221,74.2124078428175,2.58517487412509
"EM-2",0.0380855783413928,NA,4,94.3289833678216,0.096692434896286
"WM278",0.0130551663783196,12.3181147497545,4,0,12.3181147497545
"GI-ME-N",0.0358311460280233,NA,4,71.870708246244,4.17977470405436
"EJM",0.0095172221294995,13.5034311883928,4,0,13.5034311883928
"HT-3",0.095028707660969,NA,4,88.1659864383275,0.0389648247995942
"Hs 746.T",0.056618398470657,7.1720891868554,4,0,7.1720891868554
"EW-18",0.0541927909875577,1037.65550393381,0.383935826037681,0,1037.65550393381
"RPMI-7951",0.0695184522310132,6.43664955460314,4,0,6.43664955460314
"CA46",0.153541787409306,3.69332853436667,1.99393235540858,0,3.69332853436667
"RCC10RGB",0.276541280858869,2.25411292690706,0.67873755662606,0,2.25411292690706
"U-251MG",0.0142932412402062,NA,1.11973288051987,87.2747109769265,7.47461267048762
"Karpas-231",0,NA,0.0853415463582915,100,43.1289494536425
"BALL-1",0.145042549430511,6.34824460389847,0.919340213376799,0,6.34824460389847
"IGR-1",0.0741233641796922,6.20357797840079,4,0,6.20357797840079
"KP-1N",0.12897921097195,13.0881531407967,0.672118346377697,0,13.0881531407967
"OVCAR-8",0.0840851543961016,7.44609958957337,1.66862919796736,0,7.44609958957337
"JJN-3",0.0918838841372345,5.41129556923064,4,0,5.41129556923064
"ALL-SIL",0.125295510595648,4.84965575382359,1.75059655249428,0,4.84965575382359
