"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"EW-13",0.1002912804014,NA,4,89.0812297449634,0.00483180449636526
"CL-40",0.0713498048641247,NA,4,84.864347093479,0.200488179935289
"MHH-ES-1",0.223459052282708,501.880367942973,0.159446350004869,0,501.880367942973
"C32 [Human melanoma]",0.055807872356695,NA,0,88.838425528661,9.85267748936644
"U2OS",0.198993160599557,263.264878322329,0.528287306662406,48.1014552704127,0.5387931545966
"TC-71",0.256968480603365,11.5170769763569,0.408992408735307,35.7849992096666,0.531873851717702
"RKO",0.102043398580351,NA,0,79.5913202839297,1e+06
"NCI-H747",0.235988908883666,NA,1.23064586433043,69.5396087047205,0.0148705592446712
"CL-11",0.133073590697396,NA,1.07704618844424,77.6442516117522,0.0703038891665201
"COLO 320HSR",0.119492154542033,11453964898.2642,0.101469815200522,30.6309417809881,1e+06
"PC-14",0.125,NA,0,75,1e-06
"A-549",0.0750238810943087,9324.659051749,0.241233478156218,0,9324.659051749
"A-375",0.114653165433064,3.7438887870731e+19,0.0838988017760266,46.3676768920219,1e+06
"SW620",0.022577317873719,NA,4,91.3111880116687,1.15906282672644
"HT-29",0.208961662335761,44.0112798491093,0.255369464374411,0,44.0112798491093
"HCT 15",0.0978165243635829,15.7264751290829,0.67668981305157,0,15.7264751290829
"SNU-C2B",0.211904154582115,50.8177487372029,0.296870993085461,24.0488833486871,5.57993516051641
"MHH-ES-1.1",0.157477540908268,NA,1.94436122128634,64.1167530814147,0.262699681610002
"MFM-223",0.0744389289931032,NA,2.8822193479995,81.7174124641559,0.341582961872566
"C32 [Human melanoma].1",0.104216819199228,NA,0.631940229104397,85.9026382815121,0.0141064040132074
"U2OS.1",0.116058229063989,399.82889616083,0.280478093376785,0,399.82889616083
"DEL",NA,NA,NA,NA,NA
"COLO 320HSR.1",0.0493434911187892,NA,0,90.1313017762422,1e+06
"DiFi",0.105447799516395,26.5623747166852,0.886539264625096,42.6853830645723,3.03845062776795
"CCK-81",0.131018958702111,NA,2.71414701820385,74.2989365044679,0.145833230746833
"RKO.1",0.108805856845929,NA,0.0554841015061949,64.822027985135,326449.407397555
"SK-CO-1",0.042672040423756,NA,4,71.1334339517975,2.94013397944272
"LS411N",0.102633459096172,10.8696008272046,0.775191989011413,0,10.8696008272046
"LS123",0.0177106953186809,NA,0,96.4578609362638,20.1667664737639
"LS1034",0.011621712853257,NA,0,97.6756574293486,27.193698769952
"HCC2998",0.0263638884338772,NA,4,70.6461062733698,4.81025421422886
"NCI-H929",0.415867542153785,0.304510126897552,1.04877423837392,3.65121765700514,0.283270652979039
"CP66-MEL",0.150599909720897,NA,1.3409003942041,76.6111820232187,0.0472944541514659
"Ku812",0.0847530671435732,29.4877458803583,0.595303444069463,0,29.4877458803583
"VAL",0.141284692205607,NA,0.0307208064002513,63.028805041027,1e+06
"RF-48",0.0788023100932304,NA,0,84.2395379813539,1e+06
"L-540",0.0831729367315349,8.20161471461071,2.63887803420322,47.2329143007037,2.73892725084545
"SR",0.0354453116608048,10.9069036072453,2.06645647248828,0,10.9069036072453
"MDST8",0.0652698523072126,3838.16368251585,0.282588766538415,0,3838.16368251585
"DOK",0.161462405943799,6.94906053147349,0.756544219037583,29.8003956627093,2.09715155273116
"KM12",0.015625,NA,0,96.875,1e-06
"HT115",0.012193481214607,11.9006219645348,4,0,11.9006219645348
"GP5d",0.0548347571227099,NA,4,90.4821534823466,0.0841186912437902
"Ca9-22",0.110628844452268,NA,0,77.8742311095463,1e+06
"TC-71.1",0.1222996845817,44.5833964151452,0.409396188253229,0,44.5833964151452
"SW620.1",0.0911714682415073,NA,1.51570941196175,80.9537011763676,0.188865836275357
"HCT 116",0.0853236765714596,NA,4,86.3866955283162,0.0552702258544175
"PC-14.1",0.0220116419130534,14.4591248522041,2.08581888020803,0,14.4591248522041
"PC-14.2",0.0740165617459408,1624.20277147765,0.29571962623328,0,1624.20277147765
"PC-14.3",0.112690282014252,537.450561934611,0.273560802593787,0,537.450561934611
"A-375.1",0.165613053490331,NA,0,66.8773893019338,9.99870248934006e-06
"A-375.2",0.1379341073039,NA,0,72.4131785392199,1e+06
"A-375.3",0.116063012214897,NA,0.066440616356352,55.739272279214,1e+06
"SW620.2",0.0956770803368276,26027.0440003635,0.194159523170503,0,26027.0440003635
"SW620.3",0.0753920501361847,NA,0.508074588919111,82.0971030183058,0.366461716845292
"SW620.4",0.087544952906908,NA,0,82.4910094186184,0.299329595192659
"HT-29.1",0.150014195508889,142.569792034031,0.370352957097179,32.7595941831661,8.04318407772432
"HT-29.2",0.16022109768252,31.2930306094742,0.358255119999309,0,31.2930306094742
"HT-29.3",0.18030622719523,34.648813690861,0.313063098055286,0,34.648813690861
"MHH-ES-1.2",0.203523658468879,22.788041862541,0.305292168576473,0,22.788041862541
"MHH-ES-1.3",0.112768199540645,155.234887104097,0.503850514542313,39.7733934454286,6.65345127631246
"MHH-ES-1.4",0.144388557971609,61.5127810844318,0.335028382419816,0,61.5127810844318
"C32 [Human melanoma].2",0,NA,0,100,1e+06
"C32 [Human melanoma].3",0.154501186211738,NA,0,69.0997627576524,0.0515679015241368
"C32 [Human melanoma].4",0.113735080213319,NA,0.48053617343787,82.7385408722209,0.026694385821128
"U2OS.2",0.00540197344904575,15.0240972963016,4,0,15.0240972963016
"U2OS.3",0,NA,0,100,1e+06
"U2OS.4",0.0602666006081036,NA,0,87.9466798783793,1e+06
"SNU-C5",0.138914481482398,NA,0.671122705752444,76.4594281779589,0.0675341457362943
"COLO 205",0.202409283212024,15.5455033698962,0.929391351417861,48.3102777778136,0.406145893344184
"KCL-22",0.115449891145622,571.714137581411,0.267151949002347,0,571.714137581411
"BICR 10",0.0930349199588228,NA,0.185191550870285,86.5575031191939,0.00162976087917503
"SKN",0.0729955725225176,NA,0.666542433266962,89.3680520907135,0.0260093961991972
"PEO1",0.0953292690211039,NA,4,89.077382017243,0.00715855563333523
"TE-12",0.045449665918307,NA,1.38654263683977,70.5852934145424,3.17323769890275
"LP-1",0.107202781732424,198.008729606125,0.329962251957437,0,198.008729606125
"LP-1.1",0.0728274461698028,21.7140243688217,0.738492947705217,0,21.7140243688217
"LP-1.2",0.0434522238953672,16.9247228235669,1.18893974875416,0,16.9247228235669
"SKM-1",0.153304425180283,7.97832942087424,0.593061985137027,0,7.97832942087424
"HSC-3",0,NA,0,100,730878.001880026
"PCI-04B",0.0172487383090846,NA,4,82.0530820015973,4.55408770175645
"LS513",0.222963096437689,0.945391079239308,2.22251210581377,40.2385006272042,0.453313943066948
"SNU-407",0.132011080842123,NA,0.949226208393856,66.0799164545514,0.413396996545338
"SNU-1040",0.00611820857600199,14.6779010739407,4,4.51878021233463,14.334398743437
"A-427",0.111743886885534,15.0984746832003,0.614801658226929,0,15.0984746832003
"SK-GT-4",0.0928130942560985,NA,0.0106351590673524,81.5009277868361,0.0828869398341605
"RCM-1 [Human rectum adenocarcinoma]",0.12366518932947,NA,2.41484496257064,75.2938345503918,0.157443744906755
