"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.0455267575134573,NA,4,84.9113075833295,1.24426274593538
"MES-SA",0.137663033344841,NA,4,73.1424656797362,0.290010847514865
"PL4",0.0831009782716646,NA,0.047513418205995,84.3299809968357,0.0244215860253903
"OS-RC-2",0.109540311336397,NA,1.20863100460447,61.4966643827602,1.51614578504269
"WM793",0.0883942741300021,18.2187425840794,0.788803608435137,0,18.2187425840794
"KYSE-50",0.00323060614550888,18.0907455180638,4,0,18.0907455180638
"KE-37",0.544378589941205,0.208364089639181,0.735801768500727,3.26653224442643,0.190083880648826
"Jurkat",0.623181371624529,0.113458888932212,1.28672086115989,4.83704473400357,0.104832812698934
"KM-H2",0.0807180647476437,NA,1.84793317231292,61.863307712243,2.40656747107671
"697",0.387991741661554,0.702628538901622,0.819304593774384,11.6435261012863,0.50839650326106
"8-MG-BA",0.127346837110932,6.07477344431251,1.81590002165564,41.2889344280606,2.32065887393375
"PaTu 8988t",0.018339479534538,NA,0,96.3321040930924,2.22652451225747
"FTC-133",0.0946934366798068,NA,0.707570155908268,76.9662418753662,0.660108633482475
"KMRC-20",0.0140034874787696,12.0620191913003,4,0,12.0620191913003
"NCI-H1975",0.223523619348532,21.2246460005982,0.322537103028945,0,21.2246460005982
"OVCA420",0.00878271603685388,13.813779531146,4,0,13.813779531146
"HCC1954",0.0888996344408304,10.7784131684555,1.38544773265143,31.8777921431562,5.181078838674
"ASH-3",0.0680213221186306,NA,4,83.609193768197,0.568991354523217
"NCI-H1568",0.00195321049323283,NA,4,50.5032097760726,17.1649887102873
"NCI-H1563",0.138840874686887,NA,1.77445227734381,74.7485309863871,0.223837194637814
"Daudi",0.0870021861562534,10.716499729657,1.62190550859439,38.4645772622243,4.33854597949815
"CTV-1",0.0934412074059644,7.67265915492855,1.38363400573684,0,7.67265915492854
"EM-2",0.0905249763552054,NA,4,74.7303535067986,0.842130427154281
"WM278",0.0510779781348332,NA,2.38378520476008,72.8038853902763,2.78654198282979
"GI-ME-N",0.0652378936486624,161.490194668729,0.48827535341755,0,161.490194668729
"EJM",0.0689024584241648,NA,1.38620165576522,66.6134940597705,2.67611794239227
"HT-3",0,NA,0.0566601971017887,100,0.125620424314375
"Hs 746.T",0.166342061882497,5.33794665993147,0.868918545064069,0,5.33794665993147
"EW-18",0.104757542934687,41.6319752342036,1.1180517140705,47.2096385704549,3.15101632673989
"RPMI-7951",0.055265134490138,NA,0.730840596285101,64.4459725205107,7.71548753196541
"CA46",0.168467617263901,NA,3.17142438418797,51.4698449205519,0.909342241394453
"RCC10RGB",0.0475915074335702,12.0964476419161,1.66467115217026,0,12.0964476419161
"U-251MG",0.0549864952377952,NA,0,89.002700952441,0.549236349190043
"Karpas-231",0,NA,0,100,0.0669358259788574
"BALL-1",0.124951814783354,8.74247694447085,1.40586904321826,41.2270615508447,2.53520657568049
"IGR-1",0.0698991395537765,6.4168675289471,4,0,6.4168675289471
"KP-1N",0.0997725132124823,NA,3.04060359369457,67.7789725254791,1.17851202696879
"OVCAR-8",0.105672084610403,334.937415796279,0.330399218362533,0,334.937415796279
"JJN-3",0.102167660009503,8.68304784837886,1.11827814912938,4.42608101460613,7.99237983580497
"ALL-SIL",0.139565317492773,4.35335863895442,1.67515516945282,0,4.35335863895442
"HEY",0.100363931919184,21274.7054485897,0.203114089055295,0,21274.7054485897
"HeLa",0.054298021673967,NA,0.0370858779202686,89.7905694760732,0.01010459310572
"SCC-15",0.00771112347151875,20.9266553036512,2.58873359792675,0,20.9266553036512
"CAL-33",0.0353474751337941,NA,4,79.4267957957086,3.05876462628437
"JHH-6",0.0975237322021934,NA,0.918092198770489,74.8003416273614,0.744357157317631
"ES4",0.0652347727134909,NA,0,86.9530454573018,1.25686313316841
"UACC-257",0.0720623239696657,NA,0.94967472265167,64.7032333000116,3.34234232666226
"KCL-22",0.10557377811645,8.01686245229292,1.81608431898766,41.2350181581816,3.07329055419692
"CHP-134",0.0788330517988095,6.38945821016742,4,43.5193198336517,3.83377552154972
"KMS-12-BM",0.263986562246463,2.36248378097979,0.737787287269349,1.76891151559643,2.24991612010946
"OE19",0.111037952327563,11.1823899972437,0.840392254764892,0,11.1823899972437
"MDST8",0.119270079238128,NA,0.744345662139634,59.5797243524628,1.75207363654678
