"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"PC-14",0.0219179809023649,NA,4,81.1713132225857,4.52114844526099
"A-549",0.066214355532145,NA,4,71.9474257952672,1.95931361100515
"A-375",0.133287125507452,111.528378858536,0.348309469880468,0,111.528378858536
"DEL",0.380364624687463,1.01097916625326,0.527941067280075,0,1.01097916625326
"EW-13",0.0486820201338053,NA,0,90.2635959732389,0.441195875820046
"CL-40",0.102188918194506,1367583.10059974,0.145735434826986,2.22983635575417,1e+06
"C32 [Human melanoma]",0.0283606903016223,NA,4,82.1757082974948,3.34229805658709
"U2OS",0.163685542617789,524.736555072059,0.229345457278597,0,524.736555072059
"TC-71",0.187454308728774,11.1258967619236,0.503410526158137,4.65858926821168,9.1613736502391
"DiFi",0.0668908561334602,NA,4,58.2605801974278,3.31563163664097
"RKO",0.25901327345707,4.84928572492308,0.711783504709629,38.7297779801847,0.597916841894172
"CL-11",0.124863689588179,NA,4,62.5854444534468,0.997461994146315
"PC-14.1",0.0668652902149969,NA,4,79.5020480716899,1.05068771967738
"A-549.1",0.046716719209215,253.973254120714,0.51702260199229,0,253.973254120714
"A-375.1",0.129202973939276,NA,1.0183016369915,79.9377001178991,0.108733924075227
"SW620",0.076992927294088,NA,0.383650118742992,86.6893357414737,0.123469464457475
"HT-29",0.207332911150962,12.4277889649276,0.418418254560473,0,12.4277889649276
"HCT 15",0.182396678092518,49.8809196065133,0.321530218771188,0,49.8809196065133
"SNU-C2B",0.179594935313413,NA,4,55.5947845220473,0.612008266096543
"MHH-ES-1",0.119095078320044,15.5688366115409,2.54149760938514,49.7426397948569,1.9580821793028
"MFM-223",0.0246518627418034,15.4821504869868,2.02723091735851,0,15.4821504869868
"C32 [Human melanoma].1",0.107109307413082,NA,4,71.5169489490885,0.744649803803285
"U2OS.1",0.148647313876149,NA,0.484920812117022,61.3595728177464,1.03008724992524
"SR",NA,NA,NA,NA,NA
"SKM-1",NA,NA,NA,NA,NA
"COLO 320HSR",NA,NA,NA,NA,NA
"DiFi.1",0.181735678500522,4.16689476596199,1.70638546340841,45.5606749553104,1.00811022832525
"CCK-81",0.185796422743591,NA,2.67898696404704,55.4966033426122,0.559370011407875
"COLO 205",0.193378585196757,NA,0,61.3242829606487,18.3989348288976
"RKO.1",0.138734717437627,NA,4,56.7800634290213,1.08917484253938
"SK-CO-1",0,NA,0,100,2117.40801779621
"LS411N",0.126026938081916,NA,4,64.4850783848126,0.862021852551514
"LS123",0.113316853714056,NA,0.0427515969065847,67.2054480837546,1e+06
"LS1034",0,NA,0,100,0.787651845079085
"HCC2998",0.0807223352846031,NA,2.53402514957658,80.0251633498856,0.613581578164548
"NCI-H929",0.37516209030465,0.932737070292989,0.650829019984305,0,0.932737070292989
"CP66-MEL",0.0476840203887115,NA,0,90.4631959222577,5.99068424502168
"Ku812",0.233944931924906,1.81880564098897,2.13344898813204,12.6869367349418,1.5856492698827
"RF-48",0.0896357953763984,NA,0,82.0728409247203,557071.320335712
"DB",NA,NA,NA,NA,NA
"SR.1",0.38004605104155,1.03737954365138,0.512536134526594,2.45846292219294,0.940189197578987
"Lu-139",0.159644922223481,4.1654343394335,1.69307862977851,39.4015460877337,1.66621052661673
"MDST8",0.000580071830883933,NA,0,99.8839856338232,0.283815123597968
"HT-55",0.19715929030204,6.46216207694917,0.595115243979661,0,6.46216207694917
"Ca9-22",0.115103561995674,NA,4,51.1315700050476,1.9660881674551
"DOK",0.155928733096378,NA,4,51.4220070405244,1.08925518367832
"CaR-1",0.0657221649604127,NA,0.911962115389442,58.7517084680256,5.45836071980902
"HT115",0.119252735357243,NA,0,76.1494529285514,0.153873767883266
"GP5d",0.00578041222377521,15.5018676540672,4,0,15.5018676540672
"SW620.1",0.092122403965714,NA,1.6274518718496,53.8816862848107,2.69538469614437
"CW-2",0.0403988784237866,NA,4,83.844186007916,1.77824758012772
"HuTu 80",0.0886244055948374,NA,4,61.2136315284074,2.06427795156592
"HCT 116",0.0640159565103826,NA,4,82.5406505904511,0.794541720801724
"PC-14.2",0.044264988954096,NA,2.5882465505951,64.0034931404591,4.47564741431273
"PC-14.3",0.135338626333287,NA,1.79876069622962,85.5318265992719,0.0112294344180642
"PC-14.4",0.0440842538752868,NA,4,79.7211715414728,2.2291839565744
"A-375.2",0.0889515084856786,NA,0.0719886413223937,65.1103601878174,1e+06
"A-375.3",0.0843731088400463,NA,4,75.9471002984916,0.886630439679754
"A-375.4",0.0769125065268977,NA,4,71.7300176790101,1.52731514216735
"SW620.2",0.16283207686287,2893603.98830369,0.105982266858574,5.32488870471954,1e+06
"SW620.3",0.106526825598919,4070.6746359028,0.233619673884866,0,4070.6746359028
"SW620.4",0.184119724789877,NA,0.265625,59.3749999999999,0.673170382414498
"HT-29.1",0.325153857105568,2.93890539917139,0.368754820566045,0,2.93890539917139
"HT-29.2",0.231160639647305,3.09153831187542,0.932866683024638,30.2024067013348,1.14514781521706
"HT-29.3",0.262399971118171,3.36631444170836,0.549919358108674,0,3.36631444170836
"SNU-C2B.1",0.199847470845326,NA,0.513788724006843,53.7451259819746,0.614544073599676
"SNU-C2B.2",0.191991383940626,NA,4,64.8113185630554,0.230838350947888
"SNU-C2B.3",0.216123746880706,NA,0.476041459089873,62.2079623481539,0.151167329603125
"MHH-ES-1.1",0.0833831998159701,NA,4,72.8145247632582,1.20208129198594
"MHH-ES-1.2",0.190513126829227,11.2982086182783,0.479093111505549,0,11.2982086182783
"MHH-ES-1.3",0.153521933999583,16.4687253752988,0.519449595884071,0,16.4687253752988
"MFM-223.1",0.125961046152683,NA,1.64346832969453,87.020763543913,0.00571242142654223
"MFM-223.2",0.139453596993801,NA,1.10993038924136,73.499926789235,0.261756809048276
"MFM-223.3",0.0641587341522038,NA,4,91.5665493711628,0.0522075054575133
"C32 [Human melanoma].2",0.0550239796456313,NA,4,80.4074652591388,1.43742743226566
"C32 [Human melanoma].3",0.0506434385937091,NA,0,89.8713122812582,0.330605649899558
"C32 [Human melanoma].4",0.045487928468832,NA,4,83.6525000684833,1.4633388658858
"U2OS.2",0.194456863914083,NA,4,67.4388203150931,0.161629730210515
"U2OS.3",0.127997819147354,40.1865751374384,0.455869414018613,0,40.1865751374384
"SNU-C5",0.135903991113553,NA,0.562190943829466,69.0955835134325,0.5523897686853
"SW48",0.136100332083546,NA,4,54.4324437592806,1.27075612020665
"NCI-H747",0.20605689996438,NA,1.39658773133676,55.6654026278684,0.405063376852638
"C2BBe1",0.174564217108073,595.433914479468,0.213784927006103,0,595.433914479468
"COLO 205.1",0.0582528226391137,NA,1.47934274358291,70.1885851661425,2.86150874737099
"EM-2",0.159145027753777,2.38162390726542,4,41.1386287065342,1.54527548079266
"KCL-22",0.142123003444531,NA,4,56.2288466891897,1.06169879180051
"CS-1 [Human chondrosarcoma]",NA,NA,NA,NA,NA
"SKN",0.126297785752702,NA,1.47125588199558,62.9396448409689,0.969932678531885
"PEO1",0.103307512225592,NA,4,67.516836818494,1.11169913110031
"TE-12",0.0374782044814235,NA,2.36791543608557,80.03750478459,2.7894932642056
"CW-2.1",NA,NA,NA,NA,NA
"SKM-1.1",0.2700307624638,2.91423948759911,0.607362892023213,11.4526022517076,1.89896202365322
"HSC-3",0.00758131088897803,15.342101928075,3.64372875237767,0,15.342101928075
"Ca9-22.1",0.161108187563031,130.427392259863,0.292719076257165,0,130.427392259863
"PCI-04B",0.00503159803237875,16.0915665984413,4,0,16.0915665984413
"DiFi.2",0.0539551531097975,NA,4,66.5179343425159,3.29511125829358
"LS513",0.0627848755296661,NA,4,71.4174785774949,2.19440299943478
"OACP4 C",0.0629713241206514,NA,1.78137932775723,65.4369195121622,3.02583337290931
"SK-GT-4",0.146981075604845,NA,0.651008283258295,74.2461611451051,0.172474524747408
"NCI-H841",0.117306337514284,NA,4,87.9043441455758,0.0106876603264609
"SNU-175",0.18667720183764,NA,1.62328553082401,57.9155611181877,0.46849275109046
"COLO 678",0,NA,0.54148601680615,100,17.6270159495102
"SNU-1040",0.0991405889512046,903.883565077381,0.294183973622473,0,903.883565077381
