"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0,NA,1,100,0.316311078697273
"MES-SA",0,NA,1,100,0.0100052698506632
"PL4",0,NA,1,100,1.00017563084078
"OS-RC-2",0,NA,1,100,0.100035129252774
"WM793",0,NA,0.318591490953735,100,36.1348758594026
"KYSE-50",0,NA,1,100,10
"KE-37",0.000953431884175871,24.7402139852756,4,0,24.7402139852756
"Jurkat",0.0174189371922585,11.2779826617344,4,0,11.2779826617344
"KM-H2",0,NA,1,100,0.316311078697273
"697",0.0710435677123846,6.35797186744485,4,0,6.35797186744485
"8-MG-BA",0,NA,0,100,268.261273975413
"PaTu 8988t",0,NA,1,100,3.16255534471853
"FTC-133",0,NA,1,100,1.00017563084078
"KMRC-20",0,NA,1,100,0.0316366632677971
"NCI-H1975",0,NA,1,100,0.0100052698506632
"OVCA420",0,NA,1.02045648394913,100,1.42648525404219
"HCC1954",0,NA,1,100,0.100035129252774
"ASH-3",0,NA,1,100,3.16255534471853
"NCI-H1568",0,NA,1,100,0.100035129252774
"NCI-H1563",0,NA,1,100,3.16255534471853
"Daudi",0,NA,1,100,0.0100052698506632
"CTV-1",0.0312766418204448,9.23815498688159,4,0,9.23815498688159
"EM-2",0.00136274923864297,22.5946011485538,4,0,22.5946011485538
"WM278",0,NA,1,100,3.16255534471853
"GI-ME-N",0.0156320252388661,11.6645081889355,4,0,11.6645081889355
"EJM",0.0135020418416321,NA,4,94.1700323880728,2.02042232294053
"HT-3",0,NA,1,100,0.0100052698506632
"Hs 746.T",0,NA,1,100,3.16255534471853
"EW-18",0,NA,1,100,3.16255534471853
"RPMI-7951",3.35350730654853e-13,NA,3.21844194005011,99.7574492652952,4414.36176821642
"CA46",0.0610942833858491,6.90124908083426,4,0,6.90124908083426
"RCC10RGB",0.00417662769719889,16.9093887326631,4,0,16.9093887326631
"U-251MG",0,NA,1,100,0.316311078697273
"Karpas-231",6.65834522315099e-15,NA,3.66343545900448,99.5487213151577,7022.26206440811
"BALL-1",0.0412052273158539,8.28545865699241,4,0,8.28545865699241
"IGR-1",0,NA,1,100,0.0100052698506632
"KP-1N",0,NA,0.96006341719523,100,19.8380021513214
"OVCAR-8",0,NA,0.994055047780182,100,0.413817342827627
"JJN-3",0.0218989307499572,NA,4,67.9224497891972,6.50227770812766
"ALL-SIL",0,NA,1,100,10
"HEY",0,NA,1,100,0.316311078697273
"HeLa",0,NA,1.34118155005159,100,32.2580490927929
"SCC-15",0,NA,1,100,3.16255534471853
"CAL-33",0,NA,1,100,1.00017563084078
"JHH-6",0,NA,0.999386323594299,100,1.20845429905634
"ES4",0,NA,1,100,0.0316366632677971
"UACC-257",0,NA,1,100,3.16255534471853
"KCL-22",0,NA,1,100,3.16255534471853
"CHP-134",0.0693277014176045,6.44659810049838,4,0,6.44659810049838
"KMS-12-BM",0.00879135726991694,13.8099550028774,4,0,13.8099550028774
"OE19",0,NA,0,100,9579.73904387586
"MDST8",0,NA,1,100,0.0100052698506632
"HCC2998",0,NA,1,100,3.16255534471853
"G-401",0.0260650312818887,9.86765186539351,4,0,9.86765186539351
"OAW28",0,NA,1,100,1.00017563084078
"DMS 53",0,NA,1,100,0.0100052698506632
"TOV-112D",0,NA,1,100,0.0316366632677971
"AsPC-1",0.00636897982981106,NA,4,99.2907680747737,0.0199289990994919
"HSC-3",0,NA,0.20457400937077,100,1.08545268834146
"Evsa-T",0,NA,1.19605177943578,100,19.4383477116341
"VA-ES-BJ",0,NA,0.998602583897611,100,5.48357097431005
"GOTO",0,NA,1,100,10
"SNU-175",0,NA,1,100,3.16255534471853
"IM95",0,NA,1,100,10
"OVCAR-3",0,NA,1,100,1.00017563084078
"LXF 289",0,NA,1,100,0.0100052698506632
"AGS",0.00569473120720656,15.5645771186281,4,0,15.5645771186281
"AU565",0,NA,0.87736359038816,100,3.01949796160907
"LN-405",0,NA,1,100,1.00017563084078
"TE-4",0,NA,1,100,3.16255534471853
"42-MG-BA",0,NA,1,100,0.316311078697273
"TUR",0,NA,1,100,10
"EMC-BAC-2",0,NA,1,100,10
"LC-1/sq",0,NA,1,100,3.16255534471853
"Hep-G2/C3A",0.062916268854342,NA,4,83.9865706896986,0.662828630242046
"Karpas-45",0,NA,1,100,3.16255534471853
"A-375",0.000419224118505791,30.4381383863438,4,0,30.4381383863438
"C32 [Human melanoma]",0,NA,1,100,10
"C32 [Human melanoma].1",0.00119730620447424,23.3510797107768,4,0,23.3510797107768
"C32 [Human melanoma].2",0,NA,0.680433024392299,100,0.0174653437509039
"HT-29",0,NA,1,100,3.16255534471853
"HT-29.1",0,NA,1,100,10
"MHH-ES-1",0,NA,1,100,0.100035129252774
"MHH-ES-1.1",0,NA,1,100,0.100035129252774
"MHH-ES-1.2",0,NA,1.10477152583911,100,5.99063629462765
"SNU-C2B",0,NA,1,100,10
"SNU-C2B.1",0,NA,1,100,3.16255534471853
"SNU-C2B.2",0,NA,0.637254116747058,100,0.396443574025607
"U2OS",0,NA,1,100,0.0100052698506632
"U2OS.1",0,NA,1,100,0.0316366632677971
"U2OS.2",0,NA,1,100,0.0316366632677971
"PC-14",0,NA,1,100,0.316311078697273
"PC-14.1",0,NA,1,100,0.0316366632677971
"PC-14.2",0,NA,1,100,1.00017563084078
"SW620",0,NA,1,100,3.16255534471853
"SW620.1",0,NA,0,100,0.267280501894189
"SW620.2",0.00424263142701931,NA,4,95.7848967837805,5.07003326138023
"HCT 15",0,NA,1,100,3.16255534471853
"HCT 15.1",0,NA,1,100,10
"HCT 15.2",0,NA,1,100,0.0100052698506632
"A-375.1",0,NA,1,100,1.00017563084078
"HGC-27",0,NA,1.21736626012956,100,8.34304727460759
"B-CPAP",0,NA,1,100,0.0100052698506632
"SK-MG-1",0,NA,1,100,0.316311078697273
"NCI-H1650",0,NA,1,100,3.16255534471853
"786-O",7.22521901161538e-13,NA,3.27969411172873,99.7294763393543,3204.70217550269
"TGBC24TKB",0,NA,1,100,3.16255534471853
"KP-2",0,NA,1,100,3.16255534471853
"HDQ-P1",0,NA,1,100,1.00017563084078
"NCI-H716",0,NA,1,100,10
"MHH-PREB-1",0.0680678018534352,6.51292819080824,4,0,6.51292819080824
