"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.0482108552033313,7.73839575221025,4,0,7.73839575221025
"MES-SA",0.0074211472798999,14.4783906880273,4,0,14.4783906880273
"PL4",0.0439916301753932,11.3835333851145,1.90073666651914,0,11.3835333851145
"OS-RC-2",0.0153514460355867,11.7296131263536,4,0,11.7296131263536
"WM793",0.113674761581665,4.61107665434517,4,0,4.61107665434517
"KYSE-50",0.127760219763333,4.08610581966667,4,4.68078135362045,3.98692174875964
"KE-37",0.100663046533131,5.06966137953828,4,0,5.06966137953828
"Jurkat",0.270140982967039,2.2663909623321,0.72087914332957,0,2.2663909623321
"KM-H2",0.190769471961805,10.1732836739302,0.499227358949959,0,10.1732836739302
"697",0.188497389434644,3.28181001179869,1.2166534990488,0,3.28181001179869
"8-MG-BA",0.123691836021451,4.31401813794363,3.56596593648274,0,4.31401813794363
"PaTu 8988t",0.1095186655901,5177.52034160633,0.223872993987571,0,5177.52034160633
"FTC-133",0.0287496624099565,NA,4,78.4429662808776,4.00584519005818
"KMRC-20",0.0731355940838002,6.43782601077964,3.27547191926789,0,6.43782601077964
"NCI-H1975",0.138151180527079,23.5374906386103,0.856533075838176,42.4252875311002,2.59941084587085
"OVCA420",0.0569715010403589,9.59496196042873,1.86106949490371,0,9.59496196042873
"HCC1954",0.0251405021830685,NA,2.57897769516517,80.453972427252,4.28666675106573
"ASH-3",0.0292544583737079,NA,1.59479852809384,62.063718960142,8.32942157818687
"NCI-H1568",0.0176636980542645,11.2284491502565,4,0,11.2284491502565
"NCI-H1563",0.00265503238204042,19.0385997934128,4,0,19.0385997934128
"Daudi",0.0584154290328497,7.06109935315315,4,0,7.06109935315315
"CTV-1",0.103812580321651,4.99013426664155,3.59650277225606,0,4.99013426664155
"EM-2",0.0828078460484999,5.79713621302058,4,0,5.79713621302058
"WM278",0.132086972743703,4.652103804095,1.67028088784503,0,4.652103804095
"GI-ME-N",0.108776016238288,4.79967536792372,3.70036167423802,0,4.79967536792372
"EJM",0.109206242662886,4.9841785849108,2.60459737375489,0,4.9841785849108
"HT-3",0.0189479296266433,NA,4,95.1855000524699,0.6598012298776
"Hs 746.T",0.0602879347716341,7.6079633179344,2.71944945124496,0,7.6079633179344
"EW-18",0.267394717863279,1.79951295138793,1.07891474441295,0,1.79951295138793
"RPMI-7951",0.0870722393415473,5.61134378738864,4,0,5.61134378738864
"CA46",0.0609667583393387,6.90871394473688,4,0,6.90871394473688
"RCC10RGB",0.0879252215559563,7.84986681294718,1.45711868423507,0,7.84986681294718
"U-251MG",0.0179220872747771,11.1769641271958,4,0,11.1769641271958
"Karpas-231",0,NA,0.959470706527412,100,0.0108256874699713
"BALL-1",0.153484122790645,3.85223517153967,1.69878355829058,0,3.85223517153966
"IGR-1",0.0927217296518468,5.37743401874141,4,0,5.37743401874141
"KP-1N",0.0597583385241729,6.98015774646493,4,0,6.98015774646493
"OVCAR-8",0.0832882569475537,8.54330177564565,1.40805880243245,0,8.54330177564565
"JJN-3",0.319089251606669,1.67253157186775,0.599038625809788,0,1.67253157186775
"ALL-SIL",0.22726174870199,2.43485395977808,1.14316844363306,0,2.43485395977808
"HEY",0.0344782003549062,8.90194669699007,4,0,8.90194669699007
"HeLa",0.100088712827968,NA,1.76757967893934,82.012912303876,0.213778928783708
"SCC-15",0.0658737401310621,11.6960785808892,1.30930054954975,0,11.6960785808892
"CAL-33",0.0172152714053131,11.6779680737369,3.73911812253813,0,11.6779680737369
"JHH-6",0.16247493095631,15.1146903175765,0.507682059594054,0,15.1146903175765
"ES4",0.0125607055878129,12.4601027306649,4,0,12.4601027306649
"UACC-257",0.0893861375227488,5.52166041221801,3.93157197839073,0,5.52166041221801
"KCL-22",0.0611515029175017,8.25564625537371,2.18962555972955,0,8.25564625537371
"CHP-134",0.117991258460754,4.48133979118434,3.78798893023086,0,4.48133979118434
"KMS-12-BM",0.304510289942956,1.72180616502054,0.680701048252362,0,1.72180616502054
"OE19",0.10776128137572,4.87079570108702,3.37704400819932,0,4.87079570108702
"MDST8",0.131403676736623,4.20368580613601,2.54622153824781,0,4.20368580613601
"HCC2998",0.139745842298511,6.00505384653097,1.02104008588658,0,6.00505384653097
"G-401",0.383712777188188,0.765798113473388,0.90699489977269,0,0.765798113473388
