"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"MDA-MB-436",0.0458475036243101,7.90184232971125,4,0,7.90184232971125
"HDQ-P1",0.415516778485511,0.621912667366646,0.737255802913415,0,0.621912667366646
"CAL-51",0.136154077482477,3.89562062888429,4,1.01758131698249,3.87564698601113
"MDA-MB-361",0.093613719407975,5.32859913901394,4,0,5.32859913901394
"BT-474",0.0868374898768308,7.80495998235029,1.87541509362285,30.4261309776598,4.73364464373815
"MDA-MB-157",0.132830048529137,3.96605170459261,4,2.30812604507404,3.91946659613292
"CAL-85-1",0.0823012152845667,6.01444047709651,3.0706707979297,0,6.01444047709651
"Evsa-T",0.121087383331096,4.57140396282235,2.4407510387849,0,4.57140396282235
"AU565",0.116337540722225,4.90301174188404,2.12389195207336,0,4.90301174188404
"HCC1806",0.0952328749557756,5.3209966725621,3.52341761541998,0,5.3209966725621
"MDA-MB-175-VII",0.0736604844087261,6.21364311176126,4,0,6.21364311176126
"HCC1187",0.0887505201949529,NA,0.525747574000414,74.7975352855832,1.33701025243638
"MFM-223",0.184655918941042,3.05542329523713,1.55566544437221,0,3.05542329523713
"DU4475",0.344018585289137,1.05802649281509,0.856143655166077,0,1.05802649281509
"HCC1569",0.535475161632363,0.203041839544651,1.24116645627336,7.46296396662467,0.178247563536833
"UACC-893",0.115088339527404,8.88770269245924,0.938043132461673,0,8.88770269245924
"HCC1937",0.151284136698002,3.86418390492044,1.75918590719165,0,3.86418390492044
"JIMT-1",0.159724392292527,3.38704647817533,2.49264034648441,0.457202335063452,3.37458719153583
"CAMA-1",0.152040560156964,3.5497959891242,2.83777973411657,0,3.5497959891242
"HCC1419",0.0794623249866524,5.93611580732212,4,0,5.93611580732212
"CAL-120",0.340972094687562,0.962188214185807,1.44321632877199,0,0.962188214185807
"HCC1500",0.665377363138498,0.0899786137262637,1.44601123347138,2.14933716317431,0.0872856729371434
"COLO 824",0.546712475249963,0.216207860890553,0.794951906684077,0,0.216207860890553
"EFM-192A",0.0227603196555079,25.3835375538306,1.45457892669082,0,25.3835375538306
"HCC1428",0.196773828125508,2.97288630450684,1.27503165055073,0,2.97288630450684
"HCC1954",0.0654098356942776,372.127753743417,0.415624409496135,0,372.127753743417
"BT-483",0.056009830270197,9.1573526124096,2.02521846351895,0,9.1573526124096
"BT-20",0.0802975888841683,7.09356909504397,1.94288885922675,0,7.09356909504397
"CAL-148",0.320109025054891,1.6945026050219,0.578559514077762,0,1.6945026050219
"HCC2157",0.453213622634224,0.463202079711655,0.67753047883701,0,0.463202079711655
"T-47D",0.0785626518421081,6.08165225414987,3.46935445968432,0,6.08165225414987
"AU565.1",0.0731482276476616,6.47683658819143,3.13676822357247,0,6.47683658819143
"BT-474.1",0.0767437192554833,8.61573257299036,1.52933247525936,0,8.61573257299036
"CAL-85-1.1",0.0872162117327917,23.3957133143142,0.713497241099058,0,23.3957133143142
"HCC1937.1",0.117687291200294,5.83677102730999,1.39389493988587,0,5.83677102730999
"HCC38",0.335538981647683,0.907297832001363,1.62420898804867,7.1621968658936,0.824918599542338
"MDA-MB-231",0.212354700092027,2.41021512562415,1.71090424607741,0,2.41021512562415
"MDA-MB-330",0.735652408344534,0.0358661457409413,1.0989501646676,8.45903651674453,0.0302997433337548
"MDA-MB-453",0.072563653475485,6.5635498591189,3.01865840103539,0,6.5635498591189
"MRK-nu-1",0.0911725173568839,5.42720863606045,4,0,5.42720863606045
"OCUB-M",0.209540674341429,2.58310489560526,1.40462860863832,0,2.58310489560526
"EFM-19",0.198865421259363,4.10710249555808,0.80064888228819,0,4.10710249555808
"HCC70",0.0418658166103362,16.0813921262351,1.41907397567382,0,16.0813921262351
"ZR-75-30",0.039199469364749,NA,0.166404453180994,50.8197783464493,999994.101817885
"MDA-MB-175-VII.1",0.0601746712840433,9.34960104772342,1.81237917581675,0,9.34960104772342
"BT-474.2",0.0728015950499451,7.21270570989457,2.21980298109236,0,7.21270570989457
"CAL-85-1.2",0.119609915898387,6.28579340636495,1.22773897654267,0,6.28579340636495
"HCC1937.2",0.124113412651464,4.82999274652576,1.80100389599448,0,4.82999274652576
"MFM-223.1",0.123277736287774,4.67262086410951,2.0448005283868,0,4.67262086410951
"MDA-MB-415",0.257994354175308,1.96484132725511,1.03345120079547,0,1.96484132725511
"AU565.2",0.0844195344385049,6.50715506877345,2.15024660861284,0,6.50715506877345
"HCC1395",0.0614491800865625,10.8058723013479,1.49519771138097,0,10.8058723013479
"HCC2218",0.00660719452973766,14.9340558456788,4,0,14.9340558456788
"MDA-MB-415.1",0.481891638473218,0.35074808416674,0.922181465483437,1.40624302119391,0.340063708794704
"MDA-MB-468",0.14942623631528,4.41081692427671,1.33234834963327,0,4.41081692427671
"HCC202",0.0870571473049477,6.09028261542433,2.43357533412029,0,6.09028261542433
"AU565.3",0.114183383830322,5.00508061655119,2.10640248357626,0,5.00508061655119
"BT-474.3",0.0641185831700166,10.3760743022166,1.49818082721048,0,10.3760743022166
"CAL-85-1.3",0.140616429437839,5.23973592138814,1.1701191247819,0,5.23973592138814
"MFM-223.2",0.162295572819759,4.03131971824007,1.27505439256674,3.28583935361408,3.82203050176042
"HCC1937.3",0.203134934642115,3.0987039626176,1.06185755938871,0,3.0987039626176
"UACC-812",0.0884355519896229,5.64994473873347,3.3231536178511,0,5.64994473873347
"MCF-7",0.191629815678787,3.23404036872096,1.19879997390847,14.2555764055052,2.4443070243883
"CW-2",0.0518352271376435,10.7400506458504,1.75982064772485,0,10.7400506458504
"SK-CO-1",0.508316063498115,0.292341713660783,0.756479256040235,0,0.292341713660783
"LS411N",0.0879012865935653,5.9444588134683,2.59090298514996,0,5.9444588134683
"SW948",0.468880691264826,0.382507733448951,1.22410334959467,1.14930644454666,0.375309777559211
"HT-55",0.125681055246544,5.08969650908782,1.54286507898965,0,5.08969650908782
