"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"PC-14",0.0179269979153873,NA,0,96.4146004169225,2.01191355611118
"A-549",0.120807471988636,NA,0,75.8385056022728,0.0840724601557531
"A-375",0,NA,4,100,1e+06
"DEL",0,NA,0,100,58504.4997913107
"EW-13",0,NA,0,100,464.593059309023
"CL-40",0,NA,0.898144774620219,100,9.96489878790027
"C32 [Human melanoma]",0.0243429142572757,28.4141867365577,2.23510589852846,0,28.4141867365577
"U2OS",0.047017223619182,NA,0,90.5965552761636,0.0115358574090524
"TC-71",0,NA,0.821343857810844,100,2.80411257780089
"DiFi",0,NA,0,100,69.0836420208086
"RKO",0.00288740098608293,60.4275079471354,4,46.25,31.6227766016838
"CL-11",0,NA,0.844083915671293,100,0.0298166960014223
"PC-14.1",0,NA,0.347161920813318,100,0.587479056350932
"A-549.1",0,NA,0,100,875.51734036432
"A-375.1",0,NA,0,100,484.901141066759
"SW620",0,NA,0.759004133156242,100,0.0297151000143091
"HT-29",0,NA,0,100,172893.312636317
"HCT 15",0,NA,0.332538734810316,100,1e+06
"SNU-C2B",0.053698863218535,160610.946399893,0.238507237640431,0,160610.946399893
"MHH-ES-1",0,NA,0.0632637806473703,100,0.0634030095001282
"MFM-223",0,NA,0.990099965623141,100,11.5664408672422
"C32 [Human melanoma].1",0.00432074883768894,33.5161554603772,4,0,33.5161554603772
"U2OS.1",0.0334866693478927,NA,0,93.3026661304215,0.104742706902204
"SR",0,NA,0,100,205.356461029307
"SKM-1",0,NA,1,100,0.632622157394545
"COLO 320HSR",0,NA,1.13936279475856,100,0.588560118195976
"DiFi.1",0,NA,0.610895305240657,100,10.3280046224456
"CCK-81",0.0838515469776627,NA,4,88.329031427612,0.139881749442352
"COLO 205",0,NA,0.253372484678245,100,1.04465628943858
"RKO.1",0.00457945236665068,33.0023290433447,4,0,33.0023290433447
"SK-CO-1",0.045491569398806,NA,4,89.0436212500581,1.13633757337256
"LS411N",0,NA,0,100,0.136997094604385
"LS123",0.0458019752490277,NA,4,87.4234188332498,1.61645668592965
"LS1034",0.0796875,NA,0,84.0625,1e-06
"HCC2998",0.00791619748087813,NA,0,98.4167605038244,0.161473028778249
"NCI-H929",0.0829129248088958,NA,0.0877948260367224,83.2753647154434,0.768809165147867
"CP66-MEL",0.0283612163013676,NA,0,94.3277567397265,0.00697468693979505
"Ku812",0.0944504346921046,NA,4,89.5351349947367,0.0385460504965089
"RF-48",0,NA,0.620082426319475,100,2.04536452669216
