"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.085957563349277,NA,1.70316921643034,57.2069506150688,0.529248854210182
"MES-SA",0.0338370408663463,NA,1.24253598328909,96.6162647422617,1e-06
"PL4",0.00904808037218994,3.22358669635973,3.17608444375641,0,3.22358669635973
"OS-RC-2",0,NA,0,100,0.150919147429223
"WM793",0.0475472072672363,NA,4,79.233972092049,0.411507615192805
"KYSE-50",0.0359961405968216,NA,0,92.8007718806357,0.00266266028911259
"KE-37",0.086301479011827,3411.63040193655,0.224026139215663,0,3411.63040193655
"Jurkat",0.00895785163385299,2.74742191355543,4,0,2.74742191355543
"KM-H2",0.00742963922435025,2.8947625562044,4,0,2.8947625562044
"697",0.0229411181742771,2.61682934305781,2.56592244384125,0,2.61682934305781
"8-MG-BA",0.0509369097741448,NA,0,89.812618045171,18.4353037251666
"PaTu 8988t",0.031943573084489,NA,0,93.6112853831022,0.00435381008825447
"FTC-133",0.149287916899437,136942.710255778,0.120677414893905,0,136942.710255778
"KMRC-20",0.0475441161645196,NA,4,90.9298416589186,0.053530891697862
"NCI-H1975",0.0774739954040035,NA,0,84.5052009191993,0.00538016824655529
"OVCA420",0,NA,0.883998715996784,100,0.0306131635999226
"HCC1954",0.0389846652793491,NA,0,92.2030669441302,0.110346287837501
"ASH-3",0,NA,0,100,0.0244143979586109
"NCI-H1568",0.0206489183509272,NA,4,97.9351079723535,8.01703149697156e-05
"NCI-H1563",0.0187777952834365,NA,0,96.2444409433127,0.188634348010821
"Daudi",0,NA,1,100,0.0200070258505549
"CTV-1",0.0906900579470549,1.03675502451488,4,35.2032491975216,0.764672087575698
"EM-2",0.534370293744852,0.0110324297367118,1.73047042946751,37.253119187795,0.00500798088655791
"WM278",0.0677918741637264,NA,4,73.1264232489396,0.350270233198754
"GI-ME-N",0.0701332501045778,NA,1.95856421739041,81.350697141024,0.149365524899668
"EJM",0.0346557971692148,NA,1.21867247354408,87.3433750168972,0.328331354324665
"HT-3",0,NA,0,100,0.22170235523698
"Hs 746.T",0.0620366529965016,2.19209986806213,1.46591873735267,0,2.19209986806213
"EW-18",0.00478584697724485,NA,0.0330501203435079,98.9618380523464,7.20879983142479
"RPMI-7951",0.0574394563701638,NA,0.812706600072732,93.4386205046135,0.0020502471457619
"CA46",0.0364880167353971,NA,4,81.6704109952118,0.506199333030103
"RCC10RGB",0,NA,0,100,1292.88055793286
"U-251MG",0.0190170001124234,NA,0,96.1965999775153,6.78874087883468
"Karpas-231",0,NA,0.236614312359047,100,0.00968348361580917
"BALL-1",0.0294358255816402,NA,1.73946293797829,80.66108686517,0.772923177650366
"IGR-1",0.0128279682496498,NA,0,97.43440635007,50.2305008032705
"KP-1N",0.0769033266367787,9.83285219852152,0.600672112306027,0,9.83285219852152
"OVCAR-8",0.0813262512073735,3.11755558043508,1.43010894894057,40.8202263170071,0.952953222426856
"JJN-3",0.0255910651863484,NA,2.02789688882982,62.8417231570295,1.5746805824623
"ALL-SIL",0.797158291607061,0.0010914666541705,0.69704221012536,13.2758889369452,0.000701039934480833
"HEY",0.14456576109966,11274.6854007135,0.1496437580713,0,11274.6854007135
"HeLa",0.0855025014242918,297.044681308766,0.297023567079547,0,297.044681308766
"SCC-15",0.0380472400161412,NA,1.45529705770187,96.1952700591029,1e-06
"CAL-33",0,NA,0.698635793391568,100,0.112676160334301
"JHH-6",0.0625321686744627,11.0925114679872,0.64944614622552,0,11.0925114679872
"ES4",0,NA,0,100,0.0240441288731753
"UACC-257",0.0809380070450372,NA,0.356643631241353,88.3151364639698,0.00496818889507112
"KCL-22",0.613624223314906,0.0163339434577628,4,13.224524128057,0.0151264885192302
"CHP-134",0.00957849467878602,3.75645781139531,2.63254095258099,0,3.75645781139531
"KMS-12-BM",0.00874215084625986,2.76635841885036,4,0,2.76635841885036
"OE19",0,NA,0.796587323064326,100,0.00331489120671027
"MDST8",0.0134562699557057,NA,4,94.6648703250184,0.350372159413892
"HCC2998",0.00462861307624805,3.29086418195011,4,0,3.29086418195011
"G-401",0.00374680495610479,3.48021053288134,4,0,3.48021053288134
"OAW28",0,NA,0.407091757257967,100,6.56540101866283
"DMS 53",0.0721968145966169,NA,0,85.5606370806766,0.00066131002279515
"TOV-112D",0.0214294322692483,NA,0,95.7141135461503,0.312899244973328
"AsPC-1",0.0849898646350672,34.5258880122742,0.420992261753301,0,34.5258880122742
"HSC-3",0.0752495993676792,104283.242119688,0.178985130579672,0,104283.242119688
"Evsa-T",0.0648660085774045,NA,0,87.0267982845191,0.0185081211731728
"VA-ES-BJ",0,NA,0.814042767316545,100,4.20733674676269
"GOTO",0,NA,0.870412552583178,100,0.25582177250765
"SNU-175",0.0301817046540692,NA,0,93.9636590691862,0.0113009548760973
"IM95",0.00157787326481423,NA,0,99.6844253470371,8.96184744799908
"OVCAR-3",0.0276684981480444,NA,0,94.4663003703911,0.991025930489514
"LXF 289",0.0405884614036466,NA,0,91.8823077192707,0.00743198635453255
"AGS",0.0178451679489827,3.3869697213927,2.20709362371945,0,3.3869697213927
"AU565",0.0156929879088763,3.48586249282923,2.28474931327549,0,3.48586249282923
"LN-405",0.0128319144369556,NA,0,97.4336171126089,5.14163006177143
"TE-4",0,NA,0.4637482772459,100,0.0154440164330399
"42-MG-BA",0.0776349985500264,NA,4,79.131588885598,0.153127792209844
"TUR",0,NA,0.186795269147443,100,0.0298455209897825
"EMC-BAC-2",0,NA,1,100,0.0632622157394545
"LC-1/sq",0.0175112197074182,NA,4,95.355620846199,0.147909515695103
"Hep-G2/C3A",0,NA,0.0806968124959906,100,0.0253348764140051
"Karpas-45",0.00747811814290044,2.88955915902114,4,0,2.88955915902114
"A-375",0.0326646240245876,NA,4,95.5159247609094,0.0130545366831966
"C32 [Human melanoma]",0.0327205198704802,NA,4,91.9043934650516,0.12262957269745
"C32 [Human melanoma].1",0.0598784965925933,18.5757757218862,0.899815150836587,42.6628686145757,2.20144660232812
"C32 [Human melanoma].2",0.0537972719765783,NA,0.949877278206732,62.9895968861458,1.21845875732417
"HT-29",0,NA,0.821896718028578,100,0.939626887972417
"HT-29.1",0.00155375594524647,4.44760408037248,4,6.47069419357734,4.29614621988102
"MHH-ES-1",0.0830548634070249,NA,0,83.389027318595,0.00665958446781352
"MHH-ES-1.1",0.0943042202004618,NA,0,81.1391559599077,0.000938534246571775
"MHH-ES-1.2",0.0798982926644146,NA,0.0510605310373767,84.7934767294993,0.00857591690765756
"SNU-C2B",0.0989978998610896,NA,0,80.2004200277821,7.6020553704915e-06
"SNU-C2B.1",0.00214198511008412,NA,0,99.5716029779832,0.0985429563040054
"SNU-C2B.2",0.0300929806197602,NA,2.93529186762334,88.1112990434991,0.348816100540032
"U2OS",0,NA,1,100,0.0200070258505549
"U2OS.1",0,NA,0,100,0.007842921456577
"U2OS.2",0,NA,1.00445754725309,100,18.8802100623755
"PC-14",0.00303461028035568,3.67773086094663,4,0,3.67773086094663
"PC-14.1",0,NA,1.01079426702155,100,3.5503536292918
"PC-14.2",0,NA,1.14238438933425,100,3.03577056921384
"SW620",0,NA,0,100,1.23038557482497
"SW620.1",0.0291928928276658,NA,4,91.8842610697333,0.166723225495047
"SW620.2",0.00599667177394931,3.07089128793558,4,0.172140314841436,3.06824474769285
"HCT 15",0.0695935310716639,NA,0.621646312105331,88.2435216988965,0.0281526758400513
"HCT 15.1",0.00798242536705068,NA,0,98.4035149265899,0.33523098565475
"HCT 15.2",0,NA,0,100,0.232557585943728
"A-375.1",0.0322125213006811,NA,4,95.7364027567033,0.0108268664216033
"HGC-27",0.0317015098958612,NA,4,75.1005569131802,0.836324218328106
"B-CPAP",0.0415230795405429,NA,0,91.6953840918914,0.15179701862892
"SK-MG-1",0.0327736955327879,NA,4,90.1410575588301,0.201297771944194
"NCI-H1650",0,NA,0.414761668230946,100,4.30555821106594
"786-O",0.049583871467309,NA,0,90.0832257065382,0.025372562842833
"TGBC24TKB",0.0148107376540915,2.37177776311361,4,0,2.37177776311361
"KP-2",0.0102028047858381,NA,4,96.3657599499087,0.287685160223304
"HDQ-P1",0.0224020310353972,NA,4,76.3251017070566,1.06031840525301
"NCI-H716",0.0298160318626,NA,4,92.3599952252498,0.135000593893836
"MHH-PREB-1",0.0140002686122394,2.41257103269794,4,0,2.41257103269794
"NCI-H513",0.0140469057955426,NA,-5.55111512312578e-17,95.1487406448619,0.0179021519510044
"Huh-7",0,NA,0.0239753743954775,100,0.0165148735226207
"HT-1197",0,NA,0,100,1.07798787861508
"J82",0.0302986489270612,NA,0,93.9402702145878,0.00277121168208996
"NCI-H1568.1",0,NA,0.87711819223626,100,0.00799606318767403
"SK-N-DZ",0.0675410928863396,NA,4,84.656068246738,0.0956286125486459
"NCI-H322M",0.0453023976403702,NA,4,88.3196964297307,0.137265818535419
"LB996-RCC",0,NA,0.434748566330639,100,279.395050371596
"NCI-H1944",0.00172427798894793,5.49109151963456,4,39.2049309190015,3.74302335979941
"MCF-7",0,NA,0.655704718812423,100,0.00204408577373254
"KYSE-180",0.0413711330663222,NA,4,83.4971804078327,0.35409523425362
"NCI-H23",0.0151695498326435,NA,4,97.0365109934142,0.0582777481205812
"L-428",0.0102704811803239,2.64254732372938,4,0,2.64254732372938
"IGROV-1",0.0282325183870194,NA,0,94.3534963225961,28.8592292287317
"LN-229",0.0215575083329727,NA,0,95.6884983334055,1.62012178666853
"HSC-4",0.0116382511359217,NA,4,94.4140860572451,0.474647911623424
"Mel JuSo",0.0142225965326603,NA,4,94.015139864203,0.387532871595635
"639V",0,NA,0,100,0.316103905069337
"SK-GT-2",0.00440990682399047,3.3334978857688,4,0,3.3334978857688
"NCI-H2373",0.044110352446839,NA,0.086226958136693,77.3347410652931,1e+06
"U-118MG",0.0696985630060656,NA,0,86.0602873987869,0.00095031238096279
"TE-1",0.00604516058362017,3.06297790133204,4,0,3.06297790133204
"SKN-3",0.0856130881378895,693554.322425005,0.148327672406726,0,693554.322425005
"SiSo",0,NA,1,100,0.00200105397013264
"SNU-C5",0.0302688612973114,NA,4,76.516066306495,0.827014213233433
"MFE-296",0,NA,0.110212826170358,100,5.22008469116927
"NCI-H2170",0.0343963709755819,NA,4,91.5393025778614,0.12064116448994
"NCI-H1694",0,NA,0,100,1e+06
"8505C",0.00614146674458688,NA,0,98.7717066510826,0.18139371351341
"JHH-4",0.103165066557181,NA,0,79.3669866885638,4.27608159297183
"TT2609-C02",0,NA,0.492913236285974,100,1.19509625982536
"SW1573",0,NA,0.244487309941313,100,0.317498118670731
"LOU-NH91",0,NA,0,100,2.79164545071679
"NCI-H1048",0,NA,0.958910397858045,100,0.098970794226485
"C-4-I",0.0869617127566703,NA,1.00453121735547,87.9321706601694,0.0118882723776869
"Jiyoye",0.109963462419336,NA,4,84.2945390993077,0.0158737936958716
"SUP-M2",0.0327194634720182,NA,4,93.0465193922425,0.077534301174786
