"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"EW-13",0.403385233080798,0.51435809453783,4,7.34472532852555,0.494329198235799
"CL-40",0.411951261923932,0.31825220654551,2.16097039805211,24.1819048751727,0.234390238869903
"MHH-ES-1",0.419985740861525,0.523725892207381,0.852749038354893,11.2736283196747,0.388132448947796
"C32 [Human melanoma]",0.293170479403004,0.944012598679504,1.91566509427809,26.6113210995043,0.634939708600592
"U2OS",0.365721720295065,0.893952586019705,0.802171152061867,5.43461670352494,0.774494086146634
"TC-71",0.398086328924601,0.791014551264704,0.599129684954945,0,0.791014551264704
"RKO",0.448614522276939,0.472843988201565,0.808537996957804,0,0.472843988201565
"NCI-H747",0.439320762780633,0.572630706230076,0.483400791579656,6.39819287415262,0.431379697765402
"CL-11",0.403841402002777,0.472246012747001,1.85055585692875,13.4524996348868,0.398672399128707
"COLO 320HSR",0.390995794477781,0.462515324784146,1.07739418537233,34.6534938188938,0.154530409349693
"PC-14",0.326288908475741,0.590521681135815,2.05088612891075,32.6164064139253,0.3527872041598
"A-549",0.256134920851767,1.57709840102224,1.431225811164,24.0920918921276,0.996215115659479
"A-375",0.422134784002333,0.520571550732634,0.784934835980836,13.2198866814832,0.352034212841566
"SW620",0.309890193448821,0.610617356090814,2.86108913448593,32.1940722873647,0.425641263494699
"HT-29",0.471785676559142,0.176015718591682,3.43428211385673,22.7056901764624,0.147570791698185
"HCT 15",0.455093964101718,0.337216068803222,1.81491055604021,10.7764147158665,0.294999484869737
"SNU-C2B",0.535178633046735,0.209540577181525,0.671278572200994,6.90421467567999,0.167930814866482
"MHH-ES-1.1",0.37678369598064,0.802330965548821,0.829534462614491,5.44839203303725,0.698152425971789
"MFM-223",0.37846368263234,0.61508022676824,1.4606294971742,12.772871530387,0.502600235710349
"C32 [Human melanoma].1",0.262160398377493,0.919632719626975,4,31.1573114531707,0.720539229791982
"U2OS.1",0.32691303654786,1.30784982191565,0.757210379596559,0,1.30784982191565
"DEL",0.608234575968167,0.136849661106093,0.851481907653686,0,0.136849661106093
"COLO 320HSR.1",0.283368015065363,0.821589573414451,2.76178517791563,31.5847823148401,0.572249052466334
"DiFi",0.268946917533862,1.56066464732437,1.54986901644042,5.22338785537648,1.45342170812002
"CCK-81",0.21334212341064,2.62529889012067,1.25289889327881,0,2.62529889012067
"RKO.1",0.340798411260505,0.806365922920742,1.34891047789207,17.2384699756339,0.589410675269732
"SK-CO-1",0.238049910101391,4.54884340353149,0.544526121813744,0,4.54884340353149
"LS411N",0.272324222332866,0.958836178794297,2.03402757577268,40.9019942162808,0.414880003774566
"LS123",0.177526016461056,3.73976588404415,1.37942558893709,33.3532463466282,1.68493836393413
"LS1034",0.120746668381385,NA,4,71.996121644335,0.508820071734249
"HCC2998",0.276781481868948,0.84011256904582,2.24069284675288,41.4315322808522,0.382339445423426
"NCI-H929",0.291552567100873,1.44034987839892,1.19728561755997,0,1.44034987839892
"CP66-MEL",0.258003578595064,1.90894762881804,1.1242379887095,0,1.90894762881804
"Ku812",0.319862157356926,0.91302945374352,2.69332935019543,11.2090334495139,0.830910516618231
"VAL",0.352904642115072,0.995120234710258,0.853606737367374,0,0.995120234710258
"RF-48",0.548419871489636,0.196958005046347,0.511096066081978,0,0.196958005046347
"L-540",0.445056766518721,0.504111938072643,0.6636684163783,0,0.504111938072643
"SR",0.537336181420637,0.23287278674371,1.48014466277485,1.83895615137625,0.227051195376643
"MDST8",0.334846862315367,1.20535695139055,0.776201103352856,0,1.20535695139055
"DOK",0.400163500166634,0.662625081492146,0.850075866704846,4.06121484014635,0.599775600917986
