"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.122760402700924,NA,0,75.4479194598152,0.00069138478202998
"MES-SA",0.17077970356179,9543.63909385391,0.156268404299721,0,9543.63909385391
"PL4",0.101064080765051,57546.2728250195,0.184873877979409,0,57546.2728250195
"OS-RC-2",0.0378147324979262,NA,0,92.4370535004148,0.0748652899598658
"WM793",0.0345587888232632,NA,4,76.1959280408042,3.68533764132911
"KYSE-50",0.0872587222993362,169237.906774331,0.182059100610601,0,169237.906774331
"KE-37",0.0400279004700532,18.4875360301347,1.32570109052005,0,18.4875360301347
"Jurkat",0.154960220515967,7.09531860627445,0.77411212660725,0,7.09531860627445
"KM-H2",0.0706802727276293,NA,4,73.441065262953,1.59129981918301
"697",0.2847899609185,1.34641825359777,1.74873281490008,6.03619526259334,1.25091682838249
"8-MG-BA",0.201481213778522,9.37076818127458,0.483659556620863,0,9.37076818127458
"PaTu 8988t",0.0816455782727411,NA,0.0904392484844678,85.0985697568332,0.0371242669989543
"FTC-133",0.0747943331373029,NA,0.860758765542311,83.694007810111,0.434059319146303
"KMRC-20",0.0239009505603315,NA,2.82580822503974,78.5641381584412,4.83097148587219
"NCI-H1975",0.0595429552702332,NA,4,82.6596938814662,0.933146966044405
"OVCA420",0,NA,0.140427285677029,100,0.034303953208123
"HCC1954",0.116421389189122,711503.998941139,0.15615736893372,18.2518523229544,38816.6610308617
"ASH-3",0.0640968786576073,NA,1.74368866336097,92.9370151825565,0.0150872271737329
"NCI-H1568",0.0888826286351931,44490.0578991255,0.264028464044119,34.6764875330247,504.631001287214
"NCI-H1563",0.0238813500835613,NA,0,95.2237299832877,0.974863507131987
"Daudi",0.125083894383927,33.6115931071744,0.488008826418659,0,33.6115931071744
"CTV-1",0.0463930028333856,82.9749632577226,1.08338288718693,44.1449372472983,11.460328243715
"EM-2",0.0446993481740172,NA,4,73.0631770260317,3.18659950279387
"WM278",0.00963468664273736,NA,4,98.9079573871517,0.0223425359686809
