"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"EW-13",0.05,NA,0,90,1e-06
"CL-40",0.0457472496852102,NA,0,90.850550062958,0.0837266790762786
"MHH-ES-1",0.0900394438787951,NA,0,81.992111224241,0.0072155784086551
"C32 [Human melanoma]",0.00897810673267557,NA,4,93.4910595669123,3.87842918706742
"U2OS",0.197692416116921,NA,0.327250085757248,79.8491252024389,1e-06
"TC-71",0.10717544619462,NA,1.63016458766763,89.282455093775,1e-06
"RKO",0.0599749956174029,NA,0,88.0050008765194,23.1152812250989
"NCI-H747",0.125961962954126,5.32636512223032e+33,0.073877454719876,49.552686651395,1e+06
"CL-11",0.0306057163063296,NA,0,93.8788567387341,0.144536758385671
"COLO 320HSR",0.114083320159923,NA,1.50965464955812,88.591666983861,1e-06
"PC-14",0.018174160660544,NA,0,96.3651678678912,0.484273986825863
"A-549",0,NA,0.402605462077007,100,0.0532249117209151
"A-375",0.0282617614377658,NA,4,85.4941072081401,2.60648956114412
"SW620",0.13139110207894,NA,0,73.721779584212,0.0255447073797643
"HT-29",0.0439022511182301,NA,2.79315229327459,85.4756301217081,1.24087292279813
"HCT 15",0.110300800166548,NA,4,84.2362193252054,0.0796163133868271
"SNU-C2B",0.07577912472926,NA,0,84.844175054148,12.0476409441949
"MHH-ES-1.1",0.0955573908705163,NA,0,80.8885218258967,1.40627567428307
"MFM-223",0.175407207949877,NA,1.64072527305722,82.4592785734053,1.2766251724278e-06
"C32 [Human melanoma].1",0,NA,0.874493060804903,100,0.00728241139601321
"U2OS.1",0.0752289853640433,NA,0,84.9542029271913,0.0431361761211587
"DEL",NA,NA,NA,NA,NA
"COLO 320HSR.1",0.110219889557433,NA,4,87.851644926342,0.0186054524799284
"DiFi",0.00618085027424759,15.2227994987863,4,0,15.2227994987863
"CCK-81",0.066727756630041,NA,4,92.6463082041836,0.0185884067803838
"RKO.1",0.181321099635847,NA,0.888230233360565,77.9834734775767,0.0213977963231659
"SK-CO-1",0,NA,0,100,8.60605064490162
"LS411N",0,NA,0,100,14.9803173479537
"LS123",0.046023061120895,NA,0,90.795387775821,0.0195434985711676
"LS1034",0,NA,0,100,293.101027528348
"HCC2998",0,NA,0,100,4.05377273076476
"NCI-H929",0.0158263199595406,NA,0,96.8347360080919,0.000945035455825945
"CP66-MEL",0.106553741358672,NA,4,86.7456310933101,0.0387220857437712
"Ku812",0.0195096911635025,NA,0,96.0980617672995,0.0587044427808013
"VAL",0.0935308261873381,NA,0,81.2938347625324,1481.52060869263
"RF-48",0.0373938512897281,NA,0,92.5212297420544,243091.30175491
"L-540",0.0348263032014046,NA,4,81.1619893394649,2.79308111805225
"SR",0,NA,0,100,32.5787655085866
"MDST8",0.0637640154519432,NA,0,87.2471969096114,1.87309500535585
"DOK",0.0341098687471374,NA,4,69.0679973080898,4.72595267162804
"KM12",0.111622735980715,NA,0,77.6754528038571,2.29668401026007e-05
"HT115",0.008168247563419,NA,0,98.3663504873162,168.645961391605
"GP5d",0.102320930247256,NA,0.0461783172022988,69.3736598425683,1e+06
"Ca9-22",NA,NA,NA,NA,NA
"TC-71.1",NA,NA,NA,NA,NA
"SW620.1",0.17070608329994,NA,0.895945718828331,71.8454119379807,0.140708737000407
"HCT 116",0.13660451180156,NA,4,86.0756311243864,0.00911295204101751
"PC-14.1",0.0833402299421752,NA,0.0395942652806931,83.444192838686,0.224470153941763
"PC-14.2",0.0932063267220868,NA,4,89.7948506350172,0.017776518611322
"PC-14.3",0.174844139922181,NA,4,78.4940218186413,0.0363544364717829
"A-375.1",0.0500689412176022,NA,0,89.9862117564795,0.395577923276738
"A-375.2",0,NA,0,100,0.464589496125232
"A-375.3",0.11757864613795,NA,0,76.4842707724099,0.000166226552798424
"SW620.2",0.0880454374577182,NA,4,88.6539737156384,0.0469837061853688
"SW620.3",0.0618324367546384,NA,0,87.6335126490723,2.35932500549553
"SW620.4",0.0696308373052311,NA,0,86.0738325389538,0.0361619208395848
"HT-29.1",0.0190289269860917,NA,0,96.1942146027817,203281.172558118
"HT-29.2",0.0795720508510189,NA,1.09020307032095,90.2489348613186,0.0274287894203608
"HT-29.3",0.116241164581967,NA,4,87.4761364876438,0.0158377634231672
"MHH-ES-1.2",NA,NA,NA,NA,NA
"MHH-ES-1.3",0.0359102604258622,NA,4,94.0518216061621,0.154518462004774
"MHH-ES-1.4",0.1326762450278,NA,1.6368898552245,85.180114958569,0.0165019066718776
"C32 [Human melanoma].2",0,NA,0,100,0.00122641821757146
"C32 [Human melanoma].3",0.129343647619458,NA,0.024702984362901,74.6960621804477,0.0518438287567362
"C32 [Human melanoma].4",0.222308056860935,NA,4,77.58247008266,0.00713601241397346
"U2OS.2",0.0517477038652279,NA,0,89.6504592269544,6.4818926542285
"U2OS.3",0,NA,0,100,7.53615546865841
"U2OS.4",0.0257912221470387,NA,0,94.8417555705923,0.0165992587170235
"SNU-C5",0.162263993240804,NA,3.20589245059315,78.8379018728994,0.0500147289494472
"COLO 205",0.0143608277019115,NA,4,98.4469779836288,0.0162787864271059
"KCL-22",0.0297367934903566,NA,4,83.4831111634222,2.88853943052589
"BICR 10",0.130969217403273,NA,4,85.8456523601642,0.0162029291505922
"SKN",0.0666541184787731,NA,4,92.7856096682241,0.0163813600396597
"PEO1",0.0959576678701753,NA,0,80.8084664259649,7.80617420685974e-05
"TE-12",0.062431199381048,NA,0,87.5137601237904,60.9761896738207
"LP-1",0,NA,0,100,110.843249427064
"LP-1.1",0,NA,0,100,704.068014578767
"LP-1.2",0,NA,0.229341994009017,100,0.303803663833973
"SKM-1",0,NA,1.21303789157824,100,25.3467475965815
"HSC-3",0.071323857706676,NA,4,82.4516453638365,0.603627297723793
"PCI-04B",0.157900930869688,NA,4,80.5869649680722,0.0362602764388255
"LS513",0.090343962973142,NA,0,81.9312074053716,5316.90238153737
"SNU-407",0.179283044507565,NA,4,81.1586379295419,0.0129596457298146
"SNU-1040",0.0685395518723267,NA,0,86.2920896255347,9.13008833775081
"A-427",0.0277632531828854,NA,0.425292895859929,92.6734110754408,1.23120440515052
"SK-GT-4",0.075837957017036,NA,0,84.8324085965928,30.3288848575357
"RCM-1 [Human rectum adenocarcinoma]",0.0925175806943956,NA,0,81.4964838611209,8.98845135394099
"COLO 678",0.0251708729751193,NA,0,94.9658254049761,9.97831439094062
"LoVo",0.0692173032631107,NA,4,83.005117239078,0.600129496189167
"SNU-175",0.0271366426494327,NA,0,94.5726714701135,4.69187831712997
"LS180",0.0526029388489197,31.1742402326977,0.868735121861195,0,31.1742402326977
"OACP4 C",0.0230426141508513,NA,0,95.3914771698297,0.256333768752853
"NCI-H2135",0,NA,0,100,0.139642042992808
"CL-34",0,NA,0,100,6.42784367921081
"ABC-1",0.0424807102863321,NA,0,91.5038579427336,48.2134679921418
"SK-MEL-5",0,NA,0.735213900319062,100,4.71445501803092
"T84",0.0407229085958577,NA,0,91.8554182808285,120.21135528574
"EM-2",0.085080454364252,NA,0.00475522546822406,82.9177608032568,1.61233749566156
"LP-1.3",0,NA,0,100,5.57233118816132
"OVK18",0.0409144750755517,NA,4,95.4881504328363,0.0186695517894791
"A-427.1",0,NA,0.217728724144387,100,116402.909124634
"NCI-H841",0,NA,0.44827158124328,100,0.031487084004895
"Lu-139",0.00185298771681673,20.8881407715751,4,0,20.8881407715751
"MRK-nu-1",0,NA,0.76989886586629,100,1.04470682515218
"NCC010",0.0624893331590621,NA,4,87.7439816444535,0.295472500963499
"RKN",0.0545017140739851,NA,0,89.099657185203,0.494405015164754
"TE-15",0.0502475108635146,149.393570651297,0.559853499728538,0,149.393570651297
"HuTu 80",0.117076007820221,27731.452024141,0.181900555862065,0,27731.452024141
"OSC-20",0.0280133667611197,NA,0,94.397326647776,0.221292050623552
"5637",0.0783922504071767,NA,0,84.3215499185647,0.0122229757943313
"CaR-1",0.00469823827070944,16.3889923043064,4,0,16.3889923043064
"H-EMC-SS",0.0256131767423024,NA,0,94.8773646515395,0.131944549747974
"A2058",0.048877766725746,NA,0,90.2244466548508,0.00754768099376038
"SW1116",0.102123468462926,NA,4,89.6011832333261,0.00895323220534018
"LS180.1",0.078047767635621,NA,0,84.3904464728758,0.000283598318277543
"786-O",0.0124171096825145,NA,0,97.5165780634971,235.785446756611
"8505C",0.013279321358337,NA,0,97.3441357283326,0.258172536131344
"42-MG-BA",0.026709093408504,NA,0,94.6581813182992,96.7448385403686
"VMRC-RCZ",0.104023968704381,NA,1.13375747477255,89.5975135278951,2.09642420799837e-06
"639V",0.101225905735737,NA,0,79.7548188528525,0.00392534202842767
"BHT-101",0.129259045306477,NA,4,86.9401390823829,0.00756961065637029
"BPH-1",0.0396199692108359,NA,0,92.0760061578328,379.749123003254
"UACC-257",0.042054267098154,NA,3.54266120739694,95.7945732883299,5.64133781208028e-05
"LoVo.1",0.074729850638501,NA,4,85.3764895396633,0.293116795088928
"23132/87",0.0681936994970819,NA,0,86.3612601005836,0.596614260329009
"WM793",0.0724388814720103,NA,0,85.512223705598,5.1627209001838
"Panc 02.03",0.0146713053026454,NA,0,97.0657389394709,3.15025522758623
"C2BBe1",0.0429127920971256,NA,4,94.7952898093648,0.0335611558068095
