"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"PC-14",0.00415591139413544,44.0343103268756,3.2946262506002,20.6806365481398,37.4480760312157
"A-549",0.141161570759851,11.0712701722885,1.31401400851485,27.8252007356863,5.96308511723495
"A-375",0.0703267396285639,98.6645845719053,0.631210936981772,0,98.6645845719053
"DEL",0.205050004899687,5.11371368065281,1.72617016101353,0,5.11371368065281
"EW-13",0.030913396632675,12.5860559906949,2.20685073969592,0,12.5860559906949
"EW-13.1",0.0206428817418265,21.3583106085939,4,0,21.3583106085939
"CL-40",0.106840359371635,NA,1.84767654450068,56.2413761833934,1.89768394521731
"CL-40.1",0.1131752983784,NA,4,66.600979405831,1.92549523778187
"MHH-ES-1",0.0883441996914993,NA,0,82.3311600617001,0.147152875279565
"C32 [Human melanoma]",0.049423967139811,NA,0,90.1152065720378,0.0147967903431912
"C32 [Human melanoma].1",0.00435643914125795,33.4430931256345,4,0,33.4430931256345
"U2OS",0.00760472312279088,NA,4,69.6875,10
"U2OS.1",0.00351239695587655,40.6056944936088,4,30.3027907603807,32.16959669734
"TC-71",0.0466686554434272,NA,0,90.6662689113145,0.0186052560959798
"TC-71.1",0,NA,1.34534448804723,100,53.8298874683579
"DiFi",0,NA,0,100,1e+06
"RKO",0.0225753233538679,10.3665879676428,4,0,10.3665879676428
"RKO.1",0.0294533038811267,36.810391035099,1.58447389237738,0,36.810391035099
"NCI-H747",0.0617411073631079,36.9688953335751,0.745508407152075,0,36.9688953335751
"CL-11",0.0103936596905944,13.1675452832333,4,0,13.1675452832333
"CL-11.1",0,NA,4,100,29789.9642329706
"COLO 320HSR",0.00790216956975809,NA,0,98.4195660860484,0.0551488946233827
"PC-14.1",0.00515553752873592,15.9869666771805,4,0,15.9869666771805
"PC-14.2",0.0221184960683218,NA,4,92.0334658170452,2.93911255479678
"A-549.1",0.013334687667438,12.2405087531396,4,0,12.2405087531396
"A-549.2",0.0919036298280773,1682566.32231156,0.160196191711982,4.00469722870162,999186.246988276
"A-375.1",0.0783262319502061,NA,2.04835917443642,64.7496117028919,2.20187944576276
"A-375.2",0.0310115519852209,39.0600543883431,1.47682848502741,0,39.0600543883431
"SW620",0.104449114409144,21.4455332977734,0.649861640330858,0,21.4455332977734
"SW620.1",0.0336043823721416,NA,4,74.2648813815918,8.17166517229343
"HT-29",0.0808973066169772,85.7806665919193,0.503576000371348,0,85.7806665919193
"HT-29.1",0.0468274444705565,NA,4,70.6055776086404,6.67550234764214
"HCT 15",0.0530860629729494,8.82812416463903,4,43.3006102154256,5.3411496129971
"HCT 15.1",0.075146213877239,18.870072115149,2.52028809735142,43.7216841481284,8.28370108476702
"SNU-C2B",0.171913468475558,NA,0.765269736059862,60.5790597998582,0.527082902580872
"SNU-C2B.1",0.0948011331989657,NA,4,64.7946764860106,3.11396241851496
"MHH-ES-1.1",0,NA,0,100,15.8104729750982
"MHH-ES-1.2",0,NA,1.12123897101014,100,4.06372293201799
"MFM-223",0.00738440147985016,14.498271258067,4,0,14.498271258067
"MFM-223.1",0,NA,1,100,2.00035126168155
"C32 [Human melanoma].2",0.0247021308872816,NA,4,83.3703181325951,3.59926442933843
"C32 [Human melanoma].3",0.0544765962232438,NA,4,83.7198272885656,1.98271007208041
"U2OS.2",0.00812560183627623,14.1182145243393,4,0,14.1182145243393
"U2OS.3",0.0790946274906917,NA,0.703142406063885,76.4290881914863,2.5360048866942
"DEL.1",0.246119853631174,2.4856038295087,0.843619925201412,0,2.4856038295087
"SR",0.280716220287846,3.17611588965888,1.1397694384031,0,3.17611588965888
"SKM-1",0.0452046966635501,15.9266341808307,4,0,15.9266341808307
"COLO 320HSR.1",0.0346123730704949,NA,0,93.077525385901,0.138026589390545
"COLO 320HSR.2",0.0171211700208698,NA,0,96.575765995826,373.431823493048
"DiFi.1",0.018506016300368,11.0635319088269,4,0,11.0635319088269
