"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"PC-14",0.0372076183542109,12.4072617780941,1.96063491834429,0,12.4072617780941
"A-549",0.0404775812211456,NA,4,53.9730125709317,5.5744077058855
"A-375",0.363468380716389,1.24802678195949,0.536015376159733,18.0335579432537,0.541725940210121
"DEL",0.297449780707117,7.5194730811122,0.292594136673817,0,7.5194730811122
"EW-13",0.0109485922387221,NA,0,97.8102815522556,0.210650743271744
"CL-40",0.0227829758009508,28.8250524829011,1.35620986459471,0,28.8250524829011
"C32 [Human melanoma]",0.388831158271366,0.941513033656217,0.51753592067672,0,0.941513033656217
"U2OS",0.0884886899317408,NA,0,82.3022620136518,289.586914128477
"TC-71",0.0118382803251693,NA,4,52.8125,10
"DiFi",0.124905992186431,NA,4,84.6656057331087,0.0359661770859454
"RKO",0.111211577236708,NA,4,79.3780955097793,0.241133387938602
"CL-11",0.00890794129431297,13.7587800467612,4,0,13.7587800467612
"PC-14.1",0.0826682449792234,2716205525987.17,0.121630372633373,41.7509348744198,1e+06
"A-549.1",0.0243427673818826,NA,1.50206173591469,81.9088247569428,4.77059088186658
"A-375.1",0.308422854882924,0.9234317748378,1.36905293440162,32.2451527682082,0.433474796217887
"SW620",0,NA,0.511895890342163,100,0.0215085987041815
"HT-29",0.149935327084601,1.21069523438853e+20,0.0669986496699076,44.3058943221378,999994.355259013
"HCT 15",0.0505332294008581,73.9087749016658,0.664781575124138,0,73.9087749016658
"SNU-C2B",0.119562007453547,1598.0903080748,0.244547221402834,0,1598.0903080748
"MHH-ES-1",0.0018845432734528,20.7978602283596,4,0,20.7978602283596
"MFM-223",0.00754321710226164,14.413169960127,4,0,14.413169960127
"C32 [Human melanoma].1",0.249580625058132,1.22784993132439,2.27713209970819,32.9456636186262,0.765602603570652
"U2OS.1",0.0312114035161283,NA,0,93.7577192967743,0.0611191098702475
"SR",0.0331740867210219,9.46023748270439,3.46459503918938,0,9.46023748270439
"SKM-1",0.133228129983027,NA,0,73.3543740033946,1e+06
"COLO 320HSR",0.0537358320090523,NA,0,89.2528335981895,2698.19041350616
"DiFi.1",0.0719647635087297,24.737687733189,0.794218145884951,0,24.737687733189
"CCK-81",0.135151199760198,NA,0,72.9697600479604,1e-06
"COLO 205",0.317531126238421,5.74637813645958,0.28365436163811,0,5.74637813645958
"RKO.1",0.0305166114520562,12.1944347321653,2.32083078881037,0,12.1944347321653
"SK-CO-1",0,NA,0,100,4.65969527525764
"LS411N",0.141832177992706,NA,0.841337245730454,50.1983478896224,1.76603232425737
"LS123",0.029139833483544,NA,0,94.1720333032912,7.31597732887747
"LS1034",0.0392901375280734,NA,0,92.1419724943853,0.000629301802966028
"HCC2998",0,NA,1,100,0.0316366632677971
"NCI-H929",0,NA,0,100,1e+06
"CP66-MEL",0.036348631805452,NA,4,67.3565040970826,4.68922681067296
"Ku812",0.0554763902842499,10.7948051781107,4,47.9557301177426,4.85407927963184
"RF-48",NA,NA,NA,NA,NA
"DB",NA,NA,NA,NA,NA
"SR.1",0.0907791606823895,7.52229368538291,4,48.8302962969592,2.9418921692662
"Lu-139",0,NA,0,100,13.9820389743209
"MDST8",0.107518893554092,NA,1.64031909532631,54.3506304503178,2.05324536732698
"HT-55",0.154979042642632,998352.514707265,0.114534578738446,0,998352.514707265
"Ca9-22",0.0256803265546208,NA,4,96.7185340193602,0.0448900837903131
"DOK",0.0443849179560822,NA,4,84.4213366380531,1.39759537243621
"CaR-1",0.0691425320244138,NA,4,82.7340970452133,0.629103439636137
"HT115",0.00973188513218942,NA,0,98.0536229735621,117705.257678816
"GP5d",0.0752259854820856,NA,0,84.9548029035829,0.222438970016541
"SW620.1",0.0480472046930537,34.4455892751563,0.875969704993147,0,34.4455892751563
"CW-2",0.0483664774746428,NA,0.0092841303970369,90.3213556947606,0.356304935242612
"HuTu 80",0.093028208487195,NA,2.41855305127174,62.6810216435582,1.79900835279714
"HCT 116",0.0238357933245954,NA,4,92.1154958278753,1.23925053268574
"PC-14.2",0.117131455764566,1321.64846144403,0.253788633098421,0,1321.64846144403
"PC-14.3",0.135927802614712,NA,4,85.8322157966435,0.0119995542471928
"PC-14.4",0.0518971877889892,NA,4,74.6707357543111,2.43083018219855
"A-375.2",0.238002912515638,1.58006768507588,1.95843498508999,26.5403218811846,1.07365356204313
"A-375.3",0.284692167455316,1.92333100771201,0.905114176533335,35.265965979729,0.498627522870392
"A-375.4",0.318063688281082,0.639139475769912,1.88235257180434,35.6152118076617,0.329726604411523
"SW620.2",0.0446404624555559,NA,4,68.8666479247015,3.73220211496896
"SW620.3",0.105330509296359,27952664.9652497,0.129995877793765,17.5704480619776,1e+06
"SW620.4",0.0895546566674982,NA,0,82.0890686665004,0.0220767062895805
"HT-29.1",0.168171388573594,NA,4,52.784621832261,0.85418013734969
"HT-29.2",0.200241699556899,13.8461067782874,0.419504227046981,0,13.8461067782874
"HT-29.3",0.260914445310282,3.094991640024,0.728969947078028,28.9467246338334,0.944806460772529
"SNU-C2B.1",0.0332901541527905,NA,0,93.3419691694419,0.0745647819614772
