"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"EW-13",0.0527949959570735,NA,0,89.4410008085853,0.902717044589221
"CL-40",0.0618956902812928,33.6686731155865,1.43551416923464,0,33.6686731155865
"MHH-ES-1",0.112884877450434,NA,0,77.4230245099132,0.182034789637727
"C32 [Human melanoma]",0.0379310537818388,NA,2.63744294142816,94.2203051329936,0.322191612086067
"U2OS",0.00570497401900926,46.6710642195644,4,0,46.6710642195644
"TC-71",0.0080491101908568,NA,0,98.3901779618286,0.587820575129528
"RKO",0.0853219257375548,17.0597766025038,4,0,17.0597766025038
"NCI-H747",0.176595842666668,NA,4,81.954454729071,0.0284373639493946
"CL-11",0.0997666617244367,15.3914431390028,3.71175819267881,0,15.3914431390028
"COLO 320HSR",0.0859375,NA,0,82.8125,1e-06
"PC-14",0.00893836349465343,NA,0,98.2123273010693,15.8643123594428
"A-549",0,NA,0,100,0.15246469548326
"A-375",0.0545911285830926,21.9036272633184,4,0,21.9036272633184
"SW620",0.0209565029712885,NA,4,80.5787697281676,14.4239018519139
"HT-29",0.0668529990365243,NA,0.0319154848939533,85.8472965502461,30.4969855839412
"HCT 15",0.0953435175718094,15.8197291753412,4,0,15.8197291753412
"SNU-C2B",0.294058145506158,4.95809288355293,0.822784613480193,0,4.95809288355293
"MHH-ES-1.1",0.00832150531809423,NA,4,61.25,31.6227766016838
"MFM-223",0.0909172606099627,16.3793419995521,3.91672082877111,0,16.3793419995521
"C32 [Human melanoma].1",0.0876653182482636,NA,0,82.4669363503473,0.0313433114895385
"U2OS.1",0.0157592896400338,NA,0,96.8481420719932,47.0877392844849
"DEL",0.534823473366989,0.705258756160097,0.89273325675081,1.77691721446184,0.677244062614306
"COLO 320HSR.1",0.0494715561681495,NA,0.102319678477127,74.8627879159786,1e+06
"DiFi",0.0105112294252676,39.3749488602601,4,0,39.3749488602601
"CCK-81",0.0553667497444447,NA,4,87.5855580107222,1.37804661854086
"RKO.1",0.117239502799932,16.4960464409415,1.56364388785215,0,16.4960464409415
"SK-CO-1",0,NA,1.21190880147557,100,60.5017815528542
"LS411N",0.0224807897323317,31.143620630386,4,0,31.143620630386
"LS123",0.0644662395435124,20.1263418752997,4,0,20.1263418752997
"LS1034",0.0563298761098626,NA,0,88.7340247780275,0.020784920987503
"HCC2998",0,NA,0.52766900174962,100,216.043092315466
"NCI-H929",0.24741487419194,5.15570258575429,4,4.15096032759376,5.0451945313306
"CP66-MEL",0.0894119048042137,NA,0.0671595342989831,75.7061510168191,3079.64656199614
"Ku812",0.0221642015325604,31.2919276972546,4,0,31.2919276972546
"VAL",0.111424341986597,13.8787352401498,4,4.09646179407515,13.5852905246195
"RF-48",0.0985786008648421,14.6519791076197,4,20.616862964816,12.8285724072492
"L-540",0.0903066722885942,15.6159671277629,4,35.1875633491206,11.5208099253216
"SR",0.172776644900371,9.41040770718281,2.16945621197904,0.52837699318894,9.36443782447856
"MDST8",0.0147177997810622,35.6449121581579,4,0,35.6449121581579
"DOK",0.115409873987481,NA,2.3772902724057,88.4590125998607,6.55040102940932e-06
"KM12",0,NA,1.20972943042618,100,8012.51609234854
"HT115",0.0630359734435311,NA,0,87.3928053112938,0.00042603571431214
"GP5d",0.0674337629388472,19.640172792722,4,0,19.640172792722
"Ca9-22",0.0545726244762155,NA,0,89.0854751047569,24.0307410479632
"TC-71.1",0,NA,0,100,1e+06
"SW620.1",0.105429854117393,14.7622486352393,3.69011762704077,0,14.7622486352393
"HCT 116",0.0716516494243693,18.9810646309335,4,0,18.9810646309335
