"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",1.24532770750375e-18,NA,4,99.9803105990275,15.4651692684117
"MES-SA",0.0134748105987411,0.0122022916691028,4,0,0.0122022916691028
"PL4",0.0013965988170682,0.022453789963164,4,0,0.022453789963164
"OS-RC-2",0,NA,1,100,3.16366632677971e-05
"WM793",0.0572019296139246,NA,4,58.7807701370591,0.00385549481873126
"KYSE-50",0.0122244707413702,0.0125603185051817,4,0,0.0125603185051817
"KE-37",0.0460262357278525,0.00790049123081481,4,0,0.00790049123081481
"Jurkat",0.100912201622359,0.0046930426747759,4,40.0783870770914,0.00313225832500501
"KM-H2",0.0153527135142638,0.0117293160648801,4,0,0.0117293160648801
"697",0.193929615961928,0.00257014714508362,4,2.34344136620427,0.00253948795052269
"8-MG-BA",0.125753200904104,0.00352414882539151,4,37.8292999041016,0.00247537288605139
"PaTu 8988t",0.0320637123532093,0.00915242762778807,4,0,0.00915242762778807
"FTC-133",0.0461652063436199,NA,4,58.9348048463047,0.00465309382495893
"KMRC-20",0.0104267311856309,0.0131555170425835,4,0,0.0131555170425835
"NCI-H1975",0.0208629281517902,0.0106420245098593,4,0,0.0106420245098593
"OVCA420",0,NA,1,100,0.000100035129252774
"HCC1954",0,NA,1,100,0.01
"ASH-3",0.00113556396777677,0.0236672870070709,4,0,0.0236672870070709
"NCI-H1568",0,NA,1,100,0.000100035129252774
"NCI-H1563",0,NA,0.528577742790361,100,0.000150645340077713
"Daudi",0,NA,1,100,0.00100017563084078
"CTV-1",0.0282933831046955,0.00958408090392511,4,0,0.00958408090392511
"EM-2",0.0140702980956615,0.0120447162418091,4,0,0.0120447162418091
"WM278",0,NA,0.826745897546748,100,0.000110620409447256
"GI-ME-N",0.0973441280175774,NA,4,88.5252789089897,2.841392303855e-05
"EJM",0.0260054489160502,0.00987557251394113,4,0,0.00987557251394113
"HT-3",0,NA,1,100,0.01
"Hs 746.T",0,NA,1,100,3.16366632677971e-05
"EW-18",0.0330889218261841,0.00904385920544512,4,0,0.00904385920544512
"RPMI-7951",0.0775064132911272,0.00659680336602805,4,44.1776341848597,0.00385359358252514
"CA46",0.017353135135241,0.0112914291950054,4,0,0.0112914291950054
"RCC10RGB",0,NA,1,100,3.16366632677971e-05
"U-251MG",0.00435649917971931,0.0167214854143947,4,0,0.0167214854143947
"Karpas-231",0,NA,1,100,0.01
"BALL-1",0.0686257967940639,0.00648341728882965,4,0,0.00648341728882965
"IGR-1",0.0277727114113652,0.010238435763459,3.40817430415369,0,0.010238435763459
"KP-1N",0.0159568179139358,0.0115907409947113,4,0,0.0115907409947113
"OVCAR-8",0.1048708176484,0.00450938273857853,4,28.040087433064,0.00367098194609147
"JJN-3",0.058183901823265,0.00707522405993662,4,0,0.00707522405993662
"ALL-SIL",0.0892559569940486,NA,4,55.0396531654562,0.00254057662340303
"HEY",0.0123572696244041,0.0125203682725349,4,0,0.0125203682725349
"HeLa",0.0759989736999507,1.04851178180895,0.330021554135206,0,1.04851178180895
"SCC-15",0.0343938895107692,NA,4,78.1531427522266,0.0033818294846782
"CAL-33",0.0406149966125847,0.00833549953886606,4,0,0.00833549953886606
"JHH-6",0.0460896347706076,NA,4,62.3059663422048,0.00433487502115987
"ES4",0,NA,0.969527583590308,100,3.45748753029449e-05
"UACC-257",0.00462047428392086,0.0164620346090122,4,0,0.0164620346090122
"KCL-22",0.0256277103870363,0.00992622860636371,4,0,0.00992622860636371
"CHP-134",0.082700853622231,0.00689020649403299,2.85437665247393,39.5269890899838,0.00398462546482101
"KMS-12-BM",0.142547277675224,0.0036817436122845,4,3.73767237369415,0.00361092036724758
"OE19",0.122286252910317,0.00445932829919308,4,48.1195597122081,0.00196377547677196
"MDST8",0.0901602412070929,NA,4,50.7160137001369,0.00283084551155551
"HCC2998",0.102283050168171,0.0045732503709554,4,34.347870824651,0.00342078542440128
"G-401",0.097967705959585,NA,4,50.1150385361983,0.00257846974077654
"OAW28",1.77442613255037e-16,NA,4,98.8752365112959,12.306679619929
"DMS 53",0,NA,1,100,3.16366632677971e-05
"TOV-112D",0.031366409538958,0.00922826906486707,4,0,0.00922826906486707
"AsPC-1",0.0493915653975151,NA,0,90.121686920497,0.000519300944797013
"HSC-3",0.116944467008773,0.00392093264983465,4,41.5933257629104,0.00251074690507601
"Evsa-T",0.0722630028061026,NA,4,61.1437018038279,0.00277176554683171
"VA-ES-BJ",0.0769121083098073,NA,4,56.5602031042218,0.00294913921964911
"GOTO",0.0105422162072911,0.0131138563124214,4,0,0.0131138563124214
"SNU-175",0.0334370624613826,0.00900775093108677,4,0,0.00900775093108677
"IM95",0,NA,4,100,331835.792259937
"OVCAR-3",0.0184193924775731,0.0110801113929472,4,0,0.0110801113929472
"LXF 289",0.146172564121267,0.00301178148211964,4,28.4797473594465,0.00243945493147059
"AGS",0.0399068145575974,NA,4,51.3150550402708,0.00583466624923781
"AU565",0.0390405570929581,NA,4,61.2164803888833,0.00506967247759835
"LN-405",0,NA,0.965471743645198,100,5.5375923341286e-05
"TE-4",0,NA,1.30690229497264,100,0.0212402879922944
"42-MG-BA",0.0651211678244153,NA,2.91555488252054,73.0435039626428,0.00189004501758377
"TUR",0.141841789921255,0.00375639574172488,4,0.875051027282018,0.00373985157515571
"EMC-BAC-2",0.0346616328215545,NA,4,65.7572560745377,0.00504880082483341
"LC-1/sq",0.0571462016683301,NA,4,57.8576652116534,0.00394289706813325
"Hep-G2/C3A",0,NA,0.556835852225149,100,0.00956478971070406
"Karpas-45",0.0176623931371122,0.0112287112408085,4,0,0.0112287112408085
"A-375",0.0690495251131608,NA,4,59.9168247881364,0.00304913783995903
"C32 [Human melanoma]",0.00206019205483625,0.0203289495984041,4,0.035567889108915,0.0203253333444671
"C32 [Human melanoma].1",0,NA,0,100,0.0362358104063691
"C32 [Human melanoma].2",0.00326375374920123,0.018042539357658,4,0,0.018042539357658
"HT-29",0.031406704495873,0.00922384068836246,4,0,0.00922384068836246
"HT-29.1",0.0987772038774958,0.00476272195840503,4,30.7907892062725,0.00374964461687941
"MHH-ES-1",0.0568134436018177,NA,4,61.5785851453187,0.00361632470705619
"MHH-ES-1.1",0.083557334318956,NA,4,53.3467326315839,0.00290740442113858
"MHH-ES-1.2",0.0941912770295856,NA,4,51.7196728493891,0.00260173830670159
"SNU-C2B",0,NA,1,100,0.000100035129252774
"SNU-C2B.1",0,NA,1.18949839020272,100,0.017808836714882
"SNU-C2B.2",0,NA,0.863171720838993,100,1.40299812438673e-05
"U2OS",0,NA,1,100,0.01
"U2OS.1",0.00336116116358996,0.0179042587204321,4,0,0.0179042587204321
"U2OS.2",0,NA,1,100,0.01
"PC-14",0.0274472574337191,0.0105558590479422,3.21710006238732,0,0.0105558590479422
"PC-14.1",0.0219193469342298,0.0104693925621625,4,0,0.0104693925621625
"PC-14.2",0.0174462590338351,0.0112724158054246,4,0,0.0112724158054246
"SW620",0.0230422594079775,0.0102953150337772,4,0,0.0102953150337772
"SW620.1",0.0697820759449539,0.00846895668612987,4,47.4575248270526,0.00402162517444871
"SW620.2",0.0767913787627042,0.00895222065983084,2.83832665202698,45.3483989701401,0.00387756503437109
"HCT 15",0,NA,1,100,0.01
"HCT 15.1",0,NA,0.908805722545472,100,4.60095475111889e-05
"HCT 15.2",0,NA,1,100,0.01
"A-375.1",0.0974823155483596,0.0051484088796663,4,44.3034255269696,0.00299112094851085
"HGC-27",0.130049182123835,0.00354049930770442,4,27.6155451265507,0.00289606725593166
"B-CPAP",0.0761437193650456,0.00815997318634241,4,47.9899979212743,0.00365380492814419
"SK-MG-1",0.0129121322536984,0.0123585548847972,4,0,0.0123585548847972
"NCI-H1650",0,NA,1,100,0.00316255534471853
"786-O",0,NA,1.38561104761169,100,0.0293425049382098
"TGBC24TKB",0.0141037668845638,0.0120360828878556,4,0,0.0120360828878556
"KP-2",0.0241812691779259,NA,4,82.1647598565355,0.0039434949214117
"HDQ-P1",5.63956001960628e-15,NA,3.9590712694122,99.6649406900266,4.08282608313211
"NCI-H716",0,NA,1,100,0.000100035129252774
"MHH-PREB-1",0.0410443160009252,0.0082990327159983,4,0,0.0082990327159983
"NCI-H513",0,NA,1,100,0.01
"Huh-7",0,NA,1,100,0.00316255534471853
"HT-1197",1.19650824371591e-13,NA,3.61468334036751,99.510163340778,3.54207954573836
"J82",0,NA,1,100,1.00052698506632e-05
"NCI-H1568.1",0,NA,1,100,3.16366632677971e-05
"SK-N-DZ",7.56459602056895e-16,NA,4,98.5253651940282,9.16500494097289
"NCI-H322M",0.00574157023307559,0.015530157511111,4,0,0.015530157511111
