"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.325765169027212,3.27676058217344,0.345629036539844,0,3.27676058217344
"MES-SA",0.487919471471578,0.295886106768018,0.573622958256646,15.7782612891119,0.152777034693966
"PL4",0.379696302352007,1.0826926473888,0.544647210601209,26.5088961956762,0.27049438109462
"OS-RC-2",0.375323653656811,0.428914241199649,1.43495384414992,44.7794208059952,0.0888279511574906
"WM793",0.441788606963048,0.328343593660152,1.04350871626314,23.7094337196128,0.177336599997074
"KYSE-50",0.285150930704343,480.878517025472,0.33851851425129,46.3635469425638,0.208672833263924
"KE-37",0.487310966372512,0.335405780856638,2.05792435138485,1.20122755505187,0.331465720838311
"Jurkat",0.490805669504204,0.268712481581411,2.40868530496571,8.1344889193035,0.249616349605756
"KM-H2",0.207328123805077,1.65201205323462,4,29.0335967641349,1.32938781598479
"697",0.532834073703942,0.25119700503588,1.39998601741879,0,0.25119700503588
"8-MG-BA",0.502587644358649,0.272143630608764,0.958923866373297,7.37163944426945,0.230440875008218
"PaTu 8988t",0.40178955116441,0.605496137559486,0.900531906523187,10.3777842453699,0.467649789082842
"FTC-133",0.333475818661433,1.31160265513698,0.73610691555513,28.8569530718893,0.407373071281511
"KMRC-20",0.48416929423944,0.276830478677835,0.752033513647732,17.8093034699309,0.154140661148913
"NCI-H1975",0.198556311288948,5.41806489974037,0.654422437139616,0,5.41806489974037
"OVCA420",0.152156154884894,25.5420310246326,0.518203073042987,20.4366878773858,9.26520180590715
"HCC1954",0.600994207023432,0.098155697598935,1.33261768296247,13.8994228393986,0.0768717283311831
"ASH-3",0.428180446176665,0.559256015102556,0.777715642915029,0.117302845760764,0.557569529410939
"NCI-H1568",0.172450629168557,13.2595167568744,0.62224399774871,27.1292598048029,3.77239179518612
"NCI-H1563",0.0237989462332705,NA,4,93.4172023309707,0.823171851606716
"Daudi",0.440410268534143,0.427324396629881,1.44808770765677,6.40855086594258,0.388706297220114
"CTV-1",0.388339866797771,0.582669835366398,1.42857726135486,11.5771983160147,0.484569616730325
"EM-2",0.629014973000584,0.0954760333148379,2.05213867660612,8.20701655611025,0.0874883510433462
"WM278",0.137457440119295,NA,4,65.45889506275,0.640078446399955
