"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.213094484575342,NA,0.735732328759632,52.2070274335411,0.490589435743375
"MES-SA",0.307201050042421,1.61921905340943,0.734623497887179,17.3493404055893,0.906503922607889
"PL4",0.224194660374008,3.90243496592943,0.671843857843543,0,3.90243496592943
"OS-RC-2",0.175597363045353,NA,1.97610055537682,54.1571644425178,0.711368583106509
"WM793",0.238874023750233,2.91694337744606,0.759806909427763,0,2.91694337744606
"KYSE-50",0.0968560350779811,NA,2.29550484677384,57.8868302204277,2.06576759451043
"KE-37",0.300456588935008,1.74680155760041,0.702723678844219,2.62132992415325,1.61794169429181
"Jurkat",0.460348568585849,0.42525454064064,0.944722133997282,0,0.42525454064064
"KM-H2",0.255284469503624,9.33577783438625,0.651636319464177,42.4570741252348,0.512371729448745
"697",0.509472898453793,0.275068012391649,0.425778015387486,3.6595558584116,0.230097482688771
"8-MG-BA",0.35109237833895,1.17248590015261,0.638992294275686,0,1.17248590015261
"PaTu 8988t",0.210295158780764,7.08457929481632,0.54503326204627,8.68111178873682,4.99295336933566
"FTC-133",0.0898077546142187,10.8465379868339,1.25737489639214,25.7035553637427,6.10970158524789
"KMRC-20",0.15238284702389,NA,4,55.8660214491339,0.921015400200746
"NCI-H1975",0.359858635683617,0.843416998531865,0.838668840488807,28.3744851081106,0.310468102157723
"OVCA420",0.332100892901582,0.847229811421739,1.13294131567832,32.0142948976049,0.3436081219028
"HCC1954",0.212352353947316,1.46979499484285,4,32.8887234666052,1.12417743975101
"ASH-3",0.237936867607703,7.4077325046991,0.426700399726512,0,7.4077325046991
"NCI-H1568",0.173759984074632,NA,0.846021726268982,55.3930752155487,0.74539579971465
"NCI-H1563",0.265264344350113,NA,0.875425404658171,50.4436481490105,0.241753152516241
"Daudi",0.179872698291818,NA,1.41988388129301,53.5294595336879,0.699971600803819
"CTV-1",0.229577740288839,19.7201385630666,0.318726530306322,0,19.7201385630666
"EM-2",0.194770502430548,NA,0.248620875743267,66.6832008230611,0.0736841590998347
"WM278",0.144181546687234,80.5203709049006,0.654647118860907,44.495383330875,2.76790304700412
"GI-ME-N",0.217541869693848,10.2246148144322,0.477143125694868,17.3028157232935,4.19812237490002
"EJM",0.170912925477727,NA,4,60.714526233372,0.495380536526322
"HT-3",0.0601009028803394,NA,1.02648660255194,88.0911901070512,0.305670480012434
"Hs 746.T",0.29053980686546,2.97351011374838,0.559670802010492,22.3531550411716,1.03155225286572
"EW-18",0.331699131604509,1.6498532359182,0.532378985065253,0,1.6498532359182
"RPMI-7951",0.241513271667566,1.84854254254676,1.56934528623891,12.0905181325328,1.54961168439835
"CA46",0.336105675965369,1.71991074559114,0.541613082755843,19.319880248148,0.69802989421844
"RCC10RGB",0.286726807927762,111.505798308568,0.176922217077945,13.5633814454319,18.6425132372333
"U-251MG",0.0381446227126896,NA,4,81.5144049323622,2.40639666526491
"Karpas-231",0,NA,1,100,0.100035129252774
"BALL-1",0.378485612357329,0.771134593214441,0.754730149710627,30.7165300985906,0.218210108730413
"IGR-1",0.0258937450603026,11.4095101397485,2.90619362317327,0,11.4095101397485
"KP-1N",0.197208746287645,5.86556970802319,0.937223706357702,38.1700452663922,1.26006797434419
"OVCAR-8",0.233539369914935,3.95778092869637,0.616402185178221,0,3.95778092869637
"JJN-3",0.127267784122228,NA,2.3955014182243,56.4405998023574,1.33352396812567
"ALL-SIL",0.195186415427077,NA,4,53.9072497710041,0.536666395265809
"HEY",0.210196322069755,4.52177996617345,0.675522360935965,0,4.52177996617345
"HeLa",0.166881750985424,126.968328855285,0.285852491028409,0,126.968328855285
"SCC-15",0.21747738709545,4.19722857120562,0.672257638372982,0,4.19722857120562
"CAL-33",0.228080980771463,1.8811281369149,1.68989595279159,24.5059498508783,1.26273540022737
"JHH-6",0.2200916435177,4.26535182372835,0.846058486528265,32.2132687637601,1.25720985579854
"ES4",0.184765274250397,3.20980621534319,1.46487096580615,31.7920613436152,1.61061676424946
"UACC-257",0.157552325289826,NA,4,77.1515050875382,0.0854044272601887
"KCL-22",0.191313295262269,6.06049059218596,0.644339975113584,0,6.06049059218596
"CHP-134",0.23827374461635,9.80679573560744,0.455563850920442,22.6806341148068,2.60207283853678
"KMS-12-BM",0.327042634373605,1.02594209750384,1.03031523177993,37.5801793588162,0.265500269458687
"OE19",0.244790629819225,3.1521265704581,0.795432821917034,27.1013975310908,1.1809136463325
"MDST8",0.229934998986852,3.27659191648373,0.745076946430136,1.93900939724665,3.10719118683215
"HCC2998",0.22505419790853,4.02667122225623,0.651603315339979,0,4.02667122225623
"G-401",0.474970953693977,0.301040261714088,0.73147687577458,18.8934886886724,0.157340412670003
"OAW28",0.078604304220816,NA,1.70687731069428,70.7522966661558,1.60209684355439
"DMS 53",0,NA,0.613713367140845,100,0.0719424175824991
"TOV-112D",0.0871307126230751,NA,2.17675505692397,56.1753547827884,2.59355820228659
"AsPC-1",0.201412311526023,77.5284842716675,0.678381051087869,47.6812235382451,0.838379582500839
"HSC-3",0.310553084288397,1.65297026556915,0.667627212931877,0,1.65297026556915
"Evsa-T",0.442613359852788,0.435872520724686,1.23632421739198,5.40373571676592,0.397358686961539
"VA-ES-BJ",0.242161878398217,3.63060440208464,0.717710407479537,24.2116811745719,1.44322514512557
"GOTO",0.0406131207352612,NA,4,70.5753319695145,3.87599015268243
"SNU-175",0.24214091629108,NA,0.809505533775198,56.865352868752,0.195672757210372
"IM95",0.216561714686834,1.90150033699169,2.72365491847143,48.2473366408666,0.555633064701528
"OVCAR-3",0.298275264195447,3.3764570016823,0.704095027310677,40.7436013257286,0.307665639217451
"LXF 289",0.202901116588845,3.69180579302346,1.32388644232677,42.1194362928869,0.914397350200743
"AGS",0.351089018012583,0.817764783749268,1.3112430374339,9.91603064992266,0.690901250641155
"AU565",0.345997088325398,1.20009599006837,0.695936717204284,27.2234608822581,0.387735820205749
"LN-405",0.132628704735912,8.01034911846589,1.29861937982057,38.9156576617667,2.51095776841873
"TE-4",0.165275568552074,3.23528961659947,2.03167965342263,12.9862131132483,2.79015406621044
"42-MG-BA",0.295397995988808,1.65815564128037,0.825412287642857,22.7679819040484,0.79417860379315
"TUR",0.218923942772225,1.69903421246084,2.50057071031946,28.2442290849098,1.21808306716655
"EMC-BAC-2",0.280156912225235,3.64476443212196,0.457477989981573,0,3.64476443212196
"LC-1/sq",0.138594417120659,6.31209815195458,1.42330473184532,37.9627416726784,2.32093051431582
"Hep-G2/C3A",0,NA,0.209088099852827,100,0.127467699183221
"Karpas-45",0.344323893116008,1.05502404696181,0.784884334648007,17.325866807651,0.613560033308964
"A-375",0.215466032269726,1.49692246120434,3.22862725423085,33.8210997087415,1.05542046631376
"C32 [Human melanoma]",0.123951315071896,30.782184928342,1.5201093725069,49.2454115350924,1.95069059040051
"C32 [Human melanoma].1",0.135388158170173,NA,4,57.8949422809883,1.08503384593746
"C32 [Human melanoma].2",0.138032043688827,NA,4,59.8909115625876,0.928243919337455
"HT-29",0.291415731205682,2.87032178414959,0.487791030879538,0,2.87032178414959
"HT-29.1",0.314755601337219,2.50326260078921,0.443089520479408,0,2.50326260078921
"MHH-ES-1",0.14938668985945,NA,1.9667430403436,50.0935082923166,1.27605758191731
"MHH-ES-1.1",0.209431366158624,8.53570296341097,0.479159661105946,0,8.53570296341097
"MHH-ES-1.2",0.168247984601097,7.17111307128477,1.08996933066977,40.2401530546727,1.6018655259346
"SNU-C2B",0.171975303279788,10.8588944009981,0.546516793743723,0,10.8588944009981
"SNU-C2B.1",0.141682051474661,15.8788026044148,0.567502652226401,0,15.8788026044148
"SNU-C2B.2",0.129798225872824,10.150418019097,1.49108817112236,45.3683275805231,2.05847493704999
"U2OS",0.10226230899439,15.4079213430166,0.761987367014798,0,15.4079213430166
"U2OS.1",0.146638524621297,18.0249473775008,0.524375619064042,0,18.0249473775008
"U2OS.2",0.163374017130657,171.441988582977,0.479279116413468,42.5819811188272,3.19962813652044
"PC-14",0.217326435650748,6.01564908552944,0.538090362659242,0,6.01564908552944
"PC-14.1",0.214871012825888,5.04163293600401,0.605849433119259,0,5.04163293600401
"PC-14.2",0.180679113354501,3.14466084670695,1.61615621079253,33.9227453701039,1.55839917819411
"SW620",0.157474076782694,43.6934652546688,0.57862803548851,38.731993504689,3.32691617277898
"SW620.1",0.103454885278798,NA,1.59394264452158,61.7787895680796,1.59277195194805
"SW620.2",0.121985594168584,NA,1.44824032806013,60.6128088726394,1.21476794486211
"HCT 15",0.292850673489155,2.07158623995961,0.628212338209196,0,2.07158623995961
"HCT 15.1",0.263142080410046,1.92284089951443,0.980022443007527,17.3225012472103,1.24582387586562
"HCT 15.2",0.295536352753471,3.14980788209358,0.539062556349021,24.9886846369291,0.871397347090149
"A-375.1",0.212731727624646,1.35500988567683,4,37.180528049662,0.96420082047847
"HGC-27",0.53780593655585,0.185039867108998,1.24893145270593,10.7300794389888,0.152498480502035
"B-CPAP",0.178495524779938,8.51861023377222,0.585745863936156,0,8.51861023377222
"SK-MG-1",0.373242840041091,0.964981253720904,0.683844693313648,33.8911908289662,0.184159403949632
"NCI-H1650",0.188356781665453,NA,0.685493396778923,61.4358127611108,0.348358440665859
"786-O",0.241673245383748,2.35156249110529,0.996673701306418,20.2554862781,1.39649890291554
"TGBC24TKB",0.455140441545294,0.428356813735885,0.996051436094812,1.9935129210071,0.411211786552346
"KP-2",0.117854605973648,NA,4,65.5541300193409,0.941138806368048
"HDQ-P1",0.432572572003976,0.385611627491117,1.32375882314435,15.4109421254852,0.291916443499313
"NCI-H716",0.104643746880789,NA,4,66.5651404757142,1.15121581920819
"MHH-PREB-1",0.24527622065056,1.28243754754886,2.20728318177166,34.4386457467657,0.755748248691552
"NCI-H513",0.136998577010349,NA,2.89236539541733,55.0039283338852,1.22182490075315
"Huh-7",0.0934827088871832,NA,2.44216728041617,60.6862371912623,1.94960171520182
"HT-1197",0.288198735064623,2.4256426554778,0.87127953192929,40.6980099933254,0.35198669096154
"J82",0.0767803350073267,2666.5882422028,0.290381515916891,0,2666.5882422028
"NCI-H1568.1",0.167524058561701,NA,0.810310808055825,62.9854076117207,0.458188645157966
"SK-N-DZ",0.197815268668486,1.61549819581731,4,47.9991776663235,0.72254700943705
"NCI-H322M",0.416201771095981,0.530525283444204,0.79205346140359,16.5762986384576,0.319056896805203
"LB996-RCC",0.336349368826325,0.963360704424118,0.945477837742534,27.4804840803684,0.414382830672757
"NCI-H1944",0.262660174723598,2.99296846602597,0.721510215887855,27.470944564212,0.99137463985551
"MCF-7",0.221133739052399,NA,2.16885913954727,62.0263819456312,0.178968259633604
"KYSE-180",0.167455915159472,2.70124180689419,2.82189918636312,27.5622125994574,2.03350766079277
"NCI-H23",0.119596680248894,16.6897108960965,0.724346005971331,18.7468122383031,8.72390581298794
"L-428",0.084727469821033,8.82323968870821,2.92074510121528,47.0202194163197,3.35960266547504
"IGROV-1",0.56665409340944,0.107275289427096,0.766385513550673,20.7342983068941,0.0533313594883243
"LN-229",0.039593966446593,44.9256507409962,0.871521989690508,0,44.9256507409962
"HSC-4",0.200217562551111,3.52826869889584,1.42199600383504,42.6367625724709,0.917356340456721
"Mel JuSo",0.116062116966345,NA,1.4582436692434,69.8331768766272,0.710433141326995
"639V",0.212982701028621,9.71305874741489,0.444311747000122,0,9.71305874741489
"SK-GT-2",0.210829310304035,2.8181434681854,1.14232015564369,16.987576769357,1.95944426587829
"NCI-H2373",0.302297922165158,2.44053657929304,0.607085518773251,26.9652275847195,0.680856974507426
"U-118MG",0.183167452401089,1.78346687358043,4,42.1404825444316,1.12297869435218
"TE-1",0.255877485771532,NA,0.84814892257595,51.6066355396451,0.2535684567465
"SKN-3",0.166486041108081,NA,1.28031674425531,54.2706291134329,0.832700411608717
"SiSo",0.126769036722065,14.4731489617288,0.65230765173811,0,14.4731489617288
"SNU-C5",0.188391456785265,2.68324303263854,1.80310134198649,35.6080550243433,1.34494435460445
"MFE-296",0.0625787904776038,NA,0.793586565359816,76.896187781871,2.07938429709449
"NCI-H2170",0.590226349241027,0.0611153552973757,0.233756017109402,0,0.0611153552973757
"NCI-H1694",0.160152508659404,NA,4,76.6596792166634,0.0874281189479469
"8505C",0.0664419176178981,NA,1.05038162976241,75.6543110619001,1.74036733504721
"JHH-4",0.0936827634497114,NA,4,76.023232564964,0.672856402912818
"TT2609-C02",0.0683261221329722,306.357738175524,0.421965552286978,0,306.357738175524
"SW1573",0.185921168228505,NA,0.925825506960232,68.5767869804077,0.158539817586201
"LOU-NH91",0.212270035673521,NA,0.630697842207866,51.6703267017426,0.536804062912535
"NCI-H1048",0.237585053128914,NA,4,52.6821958215808,0.311745303882922
"C-4-I",0.176819942537907,NA,0.950178891618187,57.2353657354201,0.604216244215357
"Jiyoye",0.357343297879009,0.74682410946437,1.11040692059961,18.6539460789273,0.490449360390018
"SUP-M2",0.106415205710463,5.17168833671038,2.42832470936208,0,5.17168833671038
"CAL-120",0.221607706534874,1.9501636111015,1.73332513206019,27.2564808703456,1.23793434141366
"SW756",0.0787121069464613,55.5519609146566,0.572294743335884,0,55.5519609146566
"G-402",0.371872456470165,1.23847318037045,0.464578119527566,3.83185432463791,1.04316038055038
"WM35",0.229313156838613,4.42083550586264,0.591113053321079,0,4.42083550586264
"UMC-11",0.0944956151676954,NA,4,64.2535636343116,1.61095843230008
"HCC827",0.229479744802833,2.36501731449057,1.18772529477944,29.3149722189221,1.12487665637874
"HOP-92",0.155409021198214,NA,1.66439275737883,60.1753038948075,0.679376910160168
"SW780",0.192583560428277,15.9066187701313,0.578636347631898,33.5096525527413,2.33901986021946
"OVCAR-4",0.0169037144732226,23.4922472069755,1.74292481915443,0,23.4922472069755
"RERF-LC-KJ",0.216770776890511,NA,1.0841123975911,58.9510152908983,0.258090406167433
"RL95-2",0.113335194732717,10.1480866280831,1.60253219734359,44.2483096766842,2.63225284911392
"DEL",0.196358430657609,2.95391204253468,1.31918263729268,22.0331654922332,1.90161473713391
"KOPN-8",0.122142778671501,NA,1.45558386742614,50.6685598348536,1.91846684253475
"ETK-1",0.29914445952694,0.787280949933775,3.14615051336442,25.2952031249009,0.629228003803633
"GB-1",0.216773947727978,3.45402881906865,0.798632690166709,0,3.45402881906865
"Calu-6",0.125970034581102,9.95048724978571,2.22957465535979,48.8329549608074,1.84467099004807
"BHT-101",0.210849792982006,3.60628792168913,0.901425875029172,20.7206806274523,1.99175821119131
"Daoy",0.169076163209645,4.26441488118197,1.11997527399296,12.622984725069,3.28874894318325
"CADO-ES1",0.0653485605950519,27.6462193665457,1.38652028748304,44.0823119689853,5.93180500699215
"ESO-26",0.0801058177017416,NA,1.74245009059956,59.8533239926986,2.66131959558517
"NCI-H1623",0.284344194048014,1.541157702481,1.00978668374737,26.1950512347906,0.739040148777416
"HTC-C3",0.186728848571836,NA,1.48245593798385,65.7897846711156,0.229575685737221
"KM12",0.215932139628137,4.16813800080557,0.684446368312716,0,4.16813800080557
"LOU-NH91.1",0.234275942111242,8.52735876296065,0.411670029370003,0,8.52735876296065
"PWR-1E",0.171328203606997,21.2688485246591,0.428960336664804,0,21.2688485246591
"SNU-182",0.147672437973987,65.9117647765402,0.361321388138202,0,65.9117647765402
"SNU-398",0.0421043345703026,NA,2.67031466277497,77.4284045526347,2.79080492657071
"CHP-212",0.24115780676804,3.14032075678867,0.713869343098347,7.23555719220231,2.52276335829862
