"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"EW-13",0.114955829967318,NA,0.028881440226612,75.2844022792728,40.1404297851967
"CL-40",0.0711896811303009,NA,0,85.7620637739398,10.0908167422278
"MHH-ES-1",0.166185813221327,NA,1.37214529635483,83.3814073201636,1.65529818371891e-06
"C32 [Human melanoma]",0.00295100448234126,NA,0,99.4097991035318,5.63610060692305
"U2OS",0.214758220814978,NA,0.878644483808323,77.0066639917717,0.00448739643173919
"TC-71",0.0730646572910912,NA,0,85.3870685417818,3.98759431483448
"RKO",0.0864490563274543,NA,0,82.7101887345091,0.0323546482911895
"NCI-H747",0.0605374647124827,NA,0,87.8925070575035,0.0382791935841976
"CL-11",0.0701158200432058,NA,0,85.9768359913588,6.89913652546221
"COLO 320HSR",0.101481617766604,NA,0,79.7036764466792,0.00823774063682819
"PC-14",0.071211769706198,NA,4,92.1888798280392,0.0180009929083374
"A-549",0.0194958626075059,NA,0,96.1008274784988,0.0245075482047194
"A-375",0.0248278947738235,NA,0,95.0344210452353,11.2364480536906
"SW620",0.0833208174173548,NA,0,83.335836516529,0.000832844572765752
"HT-29",0.0668499844222634,NA,0,86.6300031155473,0.00282319253802103
"HCT 15",0,NA,0,100,2.41351081144972
"SNU-C2B",0.076882295219647,18.8515254052731,0.85868669353174,0,18.8515254052731
"MHH-ES-1.1",0.0610975439797331,NA,0.685492802220475,89.26814648931,0.17707442855342
"MFM-223",0.103648935403945,42.1782918981994,0.521995844047854,0,42.1782918981994
"C32 [Human melanoma].1",0.0286161233863519,NA,0,94.2767753227296,0.000495305155332948
"U2OS.1",0.0875846673381384,NA,4,89.2308340652462,0.0362816235366919
"DEL",0.108171419099186,6.69533224494894,1.71194590779819,32.3119244610223,3.64888495479144
"COLO 320HSR.1",0.138430945446859,NA,0.0470058899573709,58.2235647076438,999993.134251534
"DiFi",0.00384993441374195,17.2770692002666,4,0,17.2770692002666
"CCK-81",0,NA,0,100,0.11515718130839
"RKO.1",0.0875935748113332,NA,0.0906940242846467,57.5266720264609,1e+06
"SK-CO-1",0.0893033872331808,NA,0.0897263814254989,57.1823944214964,1e+06
"LS411N",0,NA,0,100,0.128109612560725
"LS123",0.01700706177666,NA,0,96.598587644668,0.00793260317957535
"LS1034",0.0246065248268688,NA,0,95.0786950346262,0.000431634440254697
"HCC2998",0,NA,0,100,0.270700970255611
"NCI-H929",0.0389508651842927,NA,0,92.2098269631415,46.7885955406604
"CP66-MEL",0.00327791862871002,NA,0,99.344416274258,0.0521915965402315
"Ku812",0.0863848176988697,NA,0,82.723036460226,629.89742197263
"VAL",0.115918764532833,NA,0,76.8162470934334,0.756541867660572
"RF-48",0.0511824688888036,NA,4,76.5185187157657,2.2202653177288
"L-540",0.135608465996445,NA,0,72.878306800711,111.719520578247
"SR",0.0853107554940651,7.16015793985258,4,47.9176083196561,3.23460092242291
"MDST8",0.0442947193360139,NA,0,91.1410561327972,0.0065965749124584
"DOK",0.0682576587065188,NA,4,63.7613167689298,2.72630154450509
"KM12",0.0523613740211253,NA,0,89.527725195775,45.2442140943414
"HT115",0.084982215959281,NA,0,83.0035568081438,0.0129713188118805
"GP5d",0.0448556816225276,NA,4,92.097907727498,0.198243925897772
"Ca9-22",0.0504980716293128,NA,4,91.1835154545233,0.191347985208971
"TC-71.1",0.150005692297956,NA,2.0766300290588,84.999429302711,1.51978980090639e-05
"SW620.1",0.0937698475015834,NA,1.55550818115345,90.6229962980043,1.00542937910546e-05
"HCT 116",0.129402723836504,330925224056948,0.0857975730169531,40.7103819372626,1e+06
"PC-14.1",0.082117702266517,NA,2.08800321408409,90.0213476131507,0.0326997018023653
"PC-14.2",0.0737716346078171,1353.2534870537,0.323042345430358,0,1353.2534870537
"PC-14.3",0.13737911517712,NA,4,84.1554733618685,0.0249041824412678
"A-375.1",0.0878271782933154,NA,0,82.4345643413369,0.00055248174721618
"A-375.2",0.024404380726519,NA,0,95.1191238546962,0.00531301197411546
"A-375.3",0.120032720998136,NA,0,75.9934558003728,9.22587731882872e-05
"SW620.2",0.043676627655429,NA,1.63644958478156,95.6323371245908,1e-06
"SW620.3",0.0640977459209557,NA,0,87.1804508158089,0.034650682020622
"SW620.4",0.015880993485929,NA,0,96.8238013028142,0.0350278248198961
"HT-29.1",0,NA,0,100,0.0147141147632978
"HT-29.2",0.0622479134849883,NA,0.0071493115090313,87.666489015189,0.0227323726734768
"HT-29.3",0.0614522847088263,NA,4,93.2940104868471,0.0173670641506642
"MHH-ES-1.2",0.0718951888846653,432794.299128642,0.185121576328372,0,432794.299128642
"MHH-ES-1.3",0.104634648380415,NA,0,79.0730703239169,2.73607401543556
"MHH-ES-1.4",0.082166611176338,NA,0,83.5666777647324,0.463362682161007
"C32 [Human melanoma].2",0,NA,0,100,0.613880877995371
"C32 [Human melanoma].3",NA,NA,NA,NA,NA
"C32 [Human melanoma].4",0.0760517792004073,NA,0,84.7896441599185,1.44376476525015
"U2OS.2",NA,NA,NA,NA,NA
"U2OS.3",0.0363109399591478,NA,0,92.7378120081704,1050.20693678995
"U2OS.4",0.0397999728079032,NA,0,92.0400054384194,629.91729698877
"SNU-C5",0.0921683518471178,NA,1.58646574143358,83.9703421428426,0.187527247448413
"COLO 205",0.0186885443582598,NA,0,96.262291128348,13.2767242652441
"KCL-22",0.164193358212781,NA,4,80.026996775023,0.0341318618402711
"BICR 10",0.0274852039558758,NA,0,94.5029592088248,1e+06
"SKN",0.056404316317297,NA,4,93.5875276513807,0.022772966245589
"PEO1",0.039381528449437,NA,0,92.1236943101126,0.00734560733502308
"TE-12",0.152106970888107,NA,0,69.5786058223786,4.02038274120764e-05
"LP-1",0.135524914475873,NA,4,84.9240843564316,0.0197918999282164
"LP-1.1",0.119592582020074,NA,4,86.5783163863105,0.0209699754343834
"LP-1.2",0.0585592277565346,NA,0,88.2881544486931,0.0354879414510889
"SKM-1",0,NA,0.534030953818279,100,0.080812074496215
"HSC-3",0.0650439884655563,NA,4,88.75,0.184342299240911
"PCI-04B",0.104526103220044,NA,0,79.0947793559912,0.504294831559133
"LS513",0.101192527073365,NA,0,79.761494585327,4.07198677683954
"SNU-407",0.0814925552722948,NA,4,90.928133564544,0.0198867395532413
"SNU-1040",0,NA,0,100,0.608852908858548
"A-427",0.0108424102751509,13.007970633781,4,0,13.007970633781
"SK-GT-4",0.111565050041506,NA,0,77.6869899916989,0.0179466928394428
"RCM-1 [Human rectum adenocarcinoma]",0.0748148588729652,NA,0.675634636391458,90.0412394017957,0.0334584941222944
"COLO 678",0.0429508053807575,NA,0,91.4098389238485,0.127814315022397
"LoVo",0.0727461330336337,NA,4,89.8990173942964,0.069111619730539
"SNU-175",0.0244588333820338,NA,0,95.1082333235932,0.0552293133021103
"LS180",0.101359015757082,NA,4,82.8784713714918,0.167548938371984
"OACP4 C",0.0382949231719381,NA,0,92.3410153656124,1.41985187024151
"NCI-H2135",0.0426577791368436,NA,0,91.4684441726313,0.152382494765352
"CL-34",0.0628147245077015,NA,0,87.4370550984597,0.0110359389841238
"ABC-1",0.0530436636947378,NA,0,89.3912672610524,7.07185801671162
"SK-MEL-5",0.0466266312637092,NA,0.0388121756645046,90.4978641554894,0.826428212205568
"T84",0,NA,0.0121833734684335,100,102.765907790203
"EM-2",0.023434122044149,11.339671174759,3.17230808613961,0,11.339671174759
"LP-1.3",0.00358856612556918,NA,0,99.2822867748862,0.0769846590256018
"OVK18",0.0991236467509922,NA,4,82.5738631070163,0.196636602614833
"A-427.1",0.0883676291489797,79.7193928532218,0.487528691428072,0,79.7193928532218
"NCI-H841",0.0392858383713132,NA,1.31782526912956,96.0714138538764,1e-06
"Lu-139",0,NA,0,100,2.83011629181843
"MRK-nu-1",0.0457852895559347,NA,0,90.8429420888131,0.177645926511612
"NCC010",0.0155763714310453,NA,3.42018690436198,98.442362841265,0.000115653605066313
"RKN",0.0679155184416683,NA,0,86.4168963116663,0.0411356456291153
"TE-15",0.058178086585205,NA,0,88.364382682959,0.0793559199429654
"HuTu 80",0.0106269081560943,13.0836361457327,4,0,13.0836361457327
"OSC-20",0.00584637273341451,15.4543421120341,4,0,15.4543421120341
"5637",0.0490735904078586,NA,0,90.1852819184283,4.28421746771117
"CaR-1",0.0402493114232027,NA,4,92.0719096373413,0.299969282858649
"H-EMC-SS",0.00407544501455853,NA,0,99.1849109970883,14.3809053701714
"A2058",0.0192550344794153,NA,0,96.1489931041169,0.233805807696368
"SW1116",0.0299979002493608,NA,0,94.0004199501278,0.064045228029014
"LS180.1",0.0307679224680807,NA,0,93.8464155063839,71.1283128288771
"786-O",0.036359957185991,NA,0,92.7280085628018,0.0339979731125577
"8505C",0.0449124345835741,NA,0,91.0175130832852,0.125205395253112
"42-MG-BA",0.099134969193879,NA,0,80.1730061612242,45777.3005678291
"VMRC-RCZ",0.103086541690243,NA,0,79.3826916619515,0.0271073383278071
"639V",0.0882687880975702,NA,0,82.346242380486,206846.279835674
"BHT-101",0.0566533335049946,NA,4,91.1263103651135,0.121567097988916
"BPH-1",0.112558830869289,62.4893725420897,0.44509805534859,0,62.4893725420897
"UACC-257",0.0246394391591598,NA,0,95.072112168168,897.889884921417
"LoVo.1",0.0027616484440719,NA,0,99.4476703111856,53.210948810502
"23132/87",0.0582830951919596,NA,0,88.3433809616081,0.0107187188049006
"WM793",0.0428360105635537,NA,0,91.4327978872893,0.00927670872715335
"Panc 02.03",0.0652070169270584,NA,0,86.9585966145883,5.93547166936959
"C2BBe1",0.021592767394132,NA,4,94.6187906161446,0.625613927491796
"SW837",0.122822973696427,NA,0,75.4354052607146,1e-06
"AGS",0.12820340810445,NA,4,86.5062862482646,0.0131345958148602
"647V",0.0898996338771781,NA,0,82.0200732245644,0.000104195222741681
"BFTC-909",0.0219488805044788,NA,4,89.7806422489157,2.26988842340221
"QGP-1",0,NA,0,100,8360.96566987172
"A-172",0.0167872569736049,NA,4,92.4531666269884,2.1525861731737
"A101D",0,NA,1.16917949994522,100,617.875473518578
"8-MG-BA",0,NA,0,100,6.36293255178113
"SW948",0.0485394049034272,NA,0.039781061089197,89.4890253049734,14.9363868635219
"HuTu 80.1",0.0206345290554087,NA,4,92.0061897416074,1.68171294712636
"RERF-LC-KJ",0.094535985282357,NA,0,81.0928029435286,0.00189405819652754
"SU.86.86",0.0251229969446289,NA,0,94.9754006110742,19.2205622770485
"NCI-H345",0.0745068391998448,NA,0,85.098632160031,6629.7198229762
"C-4-I",0.0960641890105982,542174.776693591,0.158975822087589,0,542174.776693591
"CHP-134",0.0206686398449886,NA,4,95.5702429850915,0.398426352135137
"CAL-120",0,NA,0.478976775892527,100,0.0368881349821956
"HCC1806",0.0646952821908666,NA,0,87.0609435618267,0.00285459466778859
"EW-18",0.0419387091135256,NA,4,75.2510565663412,3.10941944208446
"FaDu",0.100758425099,NA,1.98499970425687,89.924157475679,1.31068156643069e-06
