"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"EW-13",0,NA,1,100,0.0316366632677971
"CL-40",0.281717468604319,17.5685464553888,0.480638698512614,42.329630920282,0.35549716427516
"MHH-ES-1",0,NA,0.289802504605555,100,5.2607692823044
"C32 [Human melanoma]",0.541759786201708,0.221587451129263,0.789352971210015,1.49601816921243,0.213221976507716
"U2OS",0.0251816691453537,12.4892601637472,2.57294558559864,0,12.4892601637472
"TC-71",0,NA,0.238117309691939,100,0.0504345530502363
"RKO",0.0364820559912613,NA,4,72.8575730343986,3.97633115076021
"NCI-H747",0.328220038826931,1.15098900349786,0.856730263803824,26.5131565612593,0.476486456178768
"CL-11",0.352545645553686,0.904859499998738,1.02515483681796,43.121259479498,0.130694784971501
"COLO 320HSR",0,NA,1,100,0.0100052698506632
"PC-14",0.09938187692487,NA,0.519618062766128,80.0401113804299,0.322769034860856
"A-549",0.224222495854477,15.5707316915778,0.352444242802465,0,15.5707316915778
"A-375",0.358317453947295,1.06620824252076,0.812504803331396,39.9384714326079,0.148202337325869
"SW620",0.2348978725061,NA,0.715284612150213,53.4915843622629,0.303467525696568
"HT-29",0.394030161614154,0.304455210488401,1.62047800864925,36.7398244395384,0.134218723408156
"HCT 15",0.0394290195042887,NA,4,87.45482045758,1.14077966835233
"SNU-C2B",0.240069159369858,NA,0.578407570253752,74.0128512180145,0.00175151897669252
"MHH-ES-1.1",0.00361244062734784,17.5689399612847,4,0,17.5689399612847
"MFM-223",0,NA,1,100,10
"C32 [Human melanoma].1",0.450761202427313,0.39027599180529,1.00373153044336,10.3715035669587,0.309588464568806
"U2OS.1",0.0561466770237138,10.9060207057346,1.61318908753282,0,10.9060207057346
"DEL",0.0112888560525001,NA,4,77.8362384824002,7.54565556006909
"COLO 320HSR.1",0,NA,1,100,0.0316366632677971
"DiFi",0.195551609460717,5.18725660543767,1.06612970833809,40.0493956349753,1.14105392845511
"CCK-81",0.178549459171656,NA,4,75.0034128450874,0.0719841494564106
"RKO.1",0.0242399955528865,NA,4,90.1732028209663,1.82036478042103
"SK-CO-1",0.252726524264954,3.17835143787707,0.620373994377356,0,3.17835143787707
"LS411N",0.415946979673714,0.444003065508407,0.868677787588391,29.135048758299,0.162350838519064
