"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.879520753889817,0.0107541381726632,1.71838885129857,6.67302829036023,0.00989400498723344
"MES-SA",0.916136510793668,0.00648079339697214,1.31178494254006,3.94003154901077,0.00608771390685398
"PL4",0.917493786619022,1.04611636717885e-06,4,8.25062133809775,1e-06
"OS-RC-2",0.860960948360358,0.0136290073748733,1.9565813536282,7.47630133235472,0.0125462602395645
"WM793",0.92381683086545,0.00740652303176334,3.24741300423936,6.4346944772572,0.00709889439377127
"KYSE-50",0.740937424400011,0.0430653434999789,1.41233247164984,5.96085559588205,0.0393633812279777
"KE-37",0.921380377510721,0.0106703015018594,2.43411759802396,3.65386014888445,0.0103427806393048
"Jurkat",0.908501504655293,0.0109083037867375,2.8837403677824,5.54005044146834,0.0104730095440353
"KM-H2",0.624783712068463,0.0704220466343868,1.04915609156766,16.6268272335826,0.0479029468201878
"697",0.942154536336804,1.03121442585626e-06,4,5.78454636631961,1e-06
"8-MG-BA",0.928400846080506,3.45799491225003e-06,0.232196250467259,0,3.45799491225003e-06
"PaTu 8988t",0.904963805870718,0.00301271179810041,0.857860848877929,5.05660664370972,0.00266061049508072
"FTC-133",0.928874809403943,0.00601255738767576,1.93930692991943,5.06629740713209,0.00569028864179081
"KMRC-20",0.93578474370687,1.03496221729316e-06,4,6.42152562931303,1e-06
"NCI-H1975",0.945603304151461,1.02921332541479e-06,4,5.4396695848539,1e-06
"OVCA420",0.469443879653544,0.216504411812387,1.29520349754479,25.6726790748391,0.124137169255003
"HCC1954",0.851669198671093,0.0181320798051596,2.49103574181544,6.22776275834883,0.0171892116657949
"ASH-3",0.914319873594857,0.00950328156859278,2.44268449177853,5.30578810241507,0.00907671818067154
"NCI-H1568",0.847667773045771,0.0182739839096769,1.81772945135977,5.45783390055872,0.017148143062005
"NCI-H1563",0.764946512786047,0.0404691806974133,2.29121978525559,4.48447385233768,0.0388429985101157
"Daudi",0.621991071613645,0.11761532296392,0.753556960216973,0,0.11761532296392
"CTV-1",0.788406530739239,0.0320203389567716,3.37123540916936,5.67149955701562,0.0308969913281863
"EM-2",0.924289502472901,1.04190213839497e-06,4,7.57104975270989,1e-06
"WM278",0.75413903063026,0.0410790293941472,2.16087997511473,5.76030909083004,0.0388168283687455
"GI-ME-N",0.628548305499533,0.111785396801861,1.44493922801883,4.22585375821466,0.105158488733576
"EJM",0.896625422628551,1.05961321045839e-06,4,10.3374577371449,1e-06
