"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A101D",0.294465100340771,NA,1.52431285663835,63.0725087227355,7.46626035827925e-05
"A3/Kawakami",0.440736236518502,0.000385114381221474,1.52814622271309,36.059498963936,0.000166957677890115
"ARH-77",0.404101529380527,0.000368251513680215,2.11215231001447,45.044577896506,0.000123268587615764
"AsPC-1",0.0719950916023684,NA,0,85.6009816795263,0.00173605001862937
"BALL-1",0.340109723520682,0.000832617836048765,3.04658221790456,49.4265079590064,0.000192097313341618
"BB49-HNC",0.332736391253956,0.00725708292619936,0.459612577006164,34.0728134471792,0.000602260534540812
"SK-N-BE(2)-M17",0.0574211614443821,NA,4,86.9470379755068,0.00095808501159965
"BT-474",0.117845538894291,NA,4,84.9032151138022,9.10237210809591e-05
"CA46",0.352687707028894,0.000422348852103525,4,48.4447401367383,0.000177369751734024
"CAL-51",0.226319876330156,NA,1.44630944123825,69.9911301940352,0.000102777398748074
"DBTRG-05MG",0.014488682382822,NA,0,97.1022635234356,0.0257311143588271
"DG-75",0.341858302569453,NA,4,52.2554051980369,0.000142268034288385
"DMS 53",0.113076588424586,NA,4,77.4551847161053,0.000625826473101537
"EC-GI-10",0.144577754489681,NA,0.517195760860747,68.5489443863376,0.00093548567389926
"ESO-51",0.0659565499950215,NA,4,80.2327688500507,0.00199580816207578
"NCI-H2591",0.134150849372485,12.6703284407845,0.193713780216596,0,12.6703284407845
"HSC-3",0.131253781824399,NA,0.690694982302189,71.5507753916595,0.00087242969225442
"HuO-3N1",0.117468772241192,NA,4,82.0656380042909,0.000216867124074978
"IGR-1",0.0564013512677959,NA,4,91.6694117675044,0.000186231317326844
"IM95",0,NA,1,100,6.32733265355942e-05
"SiMa",0.0643982100625853,NA,1.2625599584177,84.7791428034344,0.00109219117048407
"HEY",0.0971145349106874,NA,4,86.6682036565075,0.000130559303091997
"697",0.256477260755283,NA,3.10030008743795,61.7551869695036,0.000194627051343504
"A-375",0.0630438340970629,NA,4,93.0209486806545,3.83233302580158e-05
"A-375.1",0.0460715328468445,NA,0,90.7856934306311,8.53059431968812e-05
"A-375.2",0.0680604704555357,NA,4,90.5572031085563,0.000137672891035631
"A-549",0.312146182281902,NA,0.598086591635274,52.0093365810265,0.000160569201336055
"A-549.1",0.289911939802926,NA,0.635167979781742,59.2891353773881,9.29561644431373e-05
"A-549.2",0.304052544569755,NA,3.5150875736226,60.5319527866186,9.76354704235393e-05
"C32 [Human melanoma]",0,NA,0.353423428951894,100,7.25657113958882e-05
"C32 [Human melanoma].1",0.041831599638377,NA,4,95.8167824190602,2.7949925410482e-06
"C32 [Human melanoma].2",0.0213413730011284,NA,0,95.7317253997743,2.42701371432195e-05
"MFM-223",0.153508655939318,NA,4,80.7590327397338,8.07865062095624e-05
"MHH-ES-1",0.069638694901446,0.493599766444287,0.435035563545068,0,0.493599766444287
"MHH-ES-1.1",0.100136692406582,NA,2.41068128130932,76.7106455354344,0.00102648337269429
"MHH-ES-1.2",0.121442435022482,NA,0.526061284685426,72.8810824930755,0.00104487593172925
"PC-14",0.176110874957453,NA,1.33086389999407,72.0465506526263,0.00025180469174929
