"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.220088496153564,3.49556362004724,0.764582651742911,0,3.49556362004724
"MES-SA",0.0983974393104788,4.97092847909802,4,14.6154237099918,4.55930361026497
"PL4",0.0810051881825782,5.79183027988781,4,36.544524104781,4.17155613069991
"OS-RC-2",0.0240125685012911,NA,4,71.7006035528563,5.7070363882764
"WM793",0.0754276014972508,6.10277277788993,4,33.9427906354088,4.59411875004528
"KYSE-50",0.12009558827355,4.73040762170485,2.27604265123933,30.7928788430645,3.10700157488615
"KE-37",0.148546939698525,3.56799367383111,4,1.57689557734246,3.5395229433927
"Jurkat",0.121209156352879,4.38060635912567,3.74872455752359,0,4.38060635912567
"KM-H2",0.187295369057928,3.19552930850946,1.31460476398636,0,3.19552930850946
"697",0.149535331389073,3.6730390139084,2.50299785911363,0,3.6730390139084
"8-MG-BA",0.116577289984511,5.46500663028392,1.6018006754077,0,5.46500663028392
"PaTu 8988t",0.129238691107734,4.7612760854655,1.9146033877438,31.0693429063903,2.8669121626166
"FTC-133",0.0925556653034808,5.11228677124118,4,37.8277290379803,3.59100168698531
"KMRC-20",0.0588707367747422,7.18601920737166,3.54427438604326,0,7.18601920737166
"NCI-H1975",0.0470561467872065,8.86725607049888,2.66467822315336,0,8.86725607049888
"OVCA420",0.0297893364658778,9.40623532417329,4,0,9.40623532417329
"HCC1954",0.0552694001560621,NA,3.40214346064162,56.7635026793054,4.1978878542239
"ASH-3",0.0605997321489884,7.41226164465651,2.92373187530871,0,7.41226164465652
"NCI-H1568",0.0213146149393856,NA,4,84.6447250406126,3.85454601932038
"NCI-H1563",0.0730056897184516,7.26131148837464,2.18797343944401,0,7.26131148837464
"Daudi",0.109220305027578,4.789990852326,3.63328036924092,0,4.789990852326
"CTV-1",0.104621752933641,5.29293254497246,2.34600850222403,0,5.29293254497246
"EM-2",0.22365182260547,2.44771378236579,1.2094338322329,0,2.44771378236579
"WM278",0.0654490699757004,11.4516754712021,1.34115113988682,0,11.4516754712021
"GI-ME-N",0.0668635857425994,6.70699788763799,4,33.9464026931948,5.04869063637929
"EJM",0.0618039517158945,7.73320213374519,2.49226530227147,0,7.73320213374519
"HT-3",0.113689104224324,NA,4,59.293808606946,1.45290262336782
"Hs 746.T",0.0770822521265302,6.06053918127945,4,0,6.06053918127945
"EW-18",0.0645533952290773,7.34045577955245,2.66249337171089,0,7.34045577955245
"RPMI-7951",0.0443330507745415,8.03115946228527,4,0,8.03115946228527
"CA46",0.148371612163237,3.08799233332985,3.00009681659185,37.8257158237381,1.9282971382005
"RCC10RGB",0.0193797894990853,10.9008510281373,4,0,10.9008510281373
"U-251MG",0.0474786337089879,7.79194783487854,4,0,7.79194783487854
"Karpas-231",0.226032142753452,2.30626228300406,1.35498331278268,0,2.30626228300406
"BALL-1",0.213488591963172,2.30305059470278,1.5095881960867,22.4360268601093,1.55231484708884
"IGR-1",0.0828548644400703,5.61119457438965,4,31.5940495634137,4.37071400454089
"KP-1N",0.0925752822061253,5.12888757172669,4,23.2563297984384,4.38617474627815
"OVCAR-8",0.0778586528547126,5.90347748634768,4,20.1605687567738,5.18875357369946
"JJN-3",0.275535272094553,1.8212436275162,0.913682610642039,0,1.8212436275162
"ALL-SIL",0.274507388608204,1.65008102844918,1.17631499187899,0,1.65008102844918
"HEY",0.106476282714196,7.30091450954614,1.23055903892996,0,7.30091450954614
"HeLa",0.0840343149624429,7.94989306831524,1.52072291344588,0,7.94989306831524
"SCC-15",0.0726895297208792,10.2860109453182,1.34300485888684,0,10.2860109453182
"CAL-33",0.017011940941184,11.3620586890598,4,0,11.3620586890598
"JHH-6",0.0781195889271728,NA,4,70.2562386319186,1.630087573325
"ES4",0.0107881714355626,13.0268509711978,4,0,13.0268509711978
"UACC-257",0.078742558971064,9.20268035112585,1.38294076684945,0,9.20268035112585
"KCL-22",0.113778106224796,6.15745310497976,1.37576772199128,0,6.15745310497976
"CHP-134",0.122701808400728,4.32902585228616,3.83690615429648,0,4.32902585228616
"KMS-12-BM",0.206469363718198,2.47039892981884,2.03162222501675,0,2.47039892981884
"OE19",0.0844831052459784,6.60871277947183,2.08062281258237,0,6.60871277947183
"MDST8",0.0787480421279369,6.16741616002185,3.19364546008535,0,6.16741616002185
"HCC2998",0.0896648652402168,5.3117432475748,4,18.7758811368325,4.72190365203491
"G-401",0.0987552887043918,5.34449633692809,2.82642850913201,0,5.34449633692809
"OAW28",0.109711225026567,4.3380976675735,4,43.125,2.64164832038609
"DMS 53",0.185401124553053,1.93198742858801,3.9313090469638,33.5331451400015,1.45648970119863
"TOV-112D",0.112329483120754,4.91733916957859,2.4499179053007,0,4.91733916957859
"AsPC-1",0.0912048260629138,11.8807549539738,1.02193744983188,9.85174766275174,9.58487628155902
"HSC-3",0.0874335513924988,7.11896864753062,1.69083896865866,0,7.11896864753062
"Evsa-T",0.106615403172771,5.49502951477931,1.95864848845943,0,5.49502951477931
"VA-ES-BJ",0.0728518206996043,6.28498940462085,4,34.2836294929398,4.70598039343604
"GOTO",0.087989143569811,5.98195286947125,2.54660481699455,0,5.98195286947125
"SNU-175",0.0758148276253864,6.22328092370118,3.5093802594183,0.0368682468664461,6.22197298923564
"IM95",0.047948270236589,7.75751264471099,4,0,7.75751264471099
"OVCAR-3",0.0928582402020806,5.06247699818577,4,35.1308802362249,3.73845258437682
"LXF 289",0.054464737154583,7.74847364904862,3.09265091283082,0,7.74847364904862
"AGS",0.073143341296074,7.88213637748333,1.85739263578187,0,7.88213637748333
"AU565",0.0493683403272507,NA,4,55.0364330091843,4.74234768928521
"LN-405",0.0313628809276511,14.7034573636196,1.84437312440537,0,14.7034573636196
"TE-4",0.0904646141048911,5.1985909175225,4,27.529610087373,4.25643293267213
"42-MG-BA",0.169420624339933,6.11166141786797,0.760820307994906,0,6.11166141786797
"TUR",0.127735329003869,6.47980705137081,1.08139654274189,0,6.47980705137081
"EMC-BAC-2",0.0310272251648584,9.26577282197547,4,0,9.26577282197547
"LC-1/sq",0.0706618894511468,6.65038192254301,4,39.3514447532218,4.51779747127642
"Hep-G2/C3A",0.0963724486818311,5.02978304492959,4,16.7588125118148,4.54177780818878
"Karpas-45",0.165550319389494,3.56852950176134,1.58180103502512,0,3.56852950176134
"A-375",0.0576060646021171,7.11069929182789,4,0,7.11069929182789
"C32 [Human melanoma]",0.0463340597075451,26.8048383900978,1.3479247142787,36.348366351319,10.2317853686239
"C32 [Human melanoma].1",0.0661199135224801,12.4741977629715,4,49.4271798500886,4.08107612238878
"C32 [Human melanoma].2",0.0625186571235944,NA,4,50.2231465828029,4.23318160017795
"HT-29",0.0689294363848176,6.55488107064932,4,33.9469355955028,4.93414379996849
"HT-29.1",0.0561745508989301,7.4973898093168,4,32.055688614968,5.80295616159518
"MHH-ES-1",0.0605131393413089,12.8066873426608,1.30337353969528,0,12.8066873426608
"MHH-ES-1.1",0.125590288951829,14.1448326233817,0.948248236073601,36.5049608724718,3.55434232377248
"MHH-ES-1.2",0.103628411693388,12.162449364392,0.881012255302358,6.49386570719803,10.3858345431999
"SNU-C2B",0.0685141343645326,7.25896331977303,4,43.4244156111585,4.37135109989884
