"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.15599711800484,NA,0.00434583873907655,69.2658317772426,0.000298011170782308
"MES-SA",0.170588088451108,5605.2971854757,0.165292458720653,0,5605.2971854757
"PL4",0.0787190728039417,96.0709393838951,0.497610459249649,0,96.0709393838951
"OS-RC-2",0.0936085884027062,NA,4,90.4416235260727,0.009372166678288
"WM793",0.044511560281618,NA,4,68.332429299038,3.80726733915615
"KYSE-50",0.0368093975316115,NA,4,68.1267293837253,4.55121597315533
"KE-37",0.252329262956805,3.87911148876131,0.540836252300953,0,3.87911148876131
"Jurkat",0.0939896440004348,9.80638077327898,1.08319275904412,0,9.80638077327898
"KM-H2",0.0534905690024802,NA,0,89.301886199504,0.193305438666587
"697",0.0290245536690966,11.5597504373113,2.60432517041074,0,11.5597504373113
"8-MG-BA",0.0367887915800603,10.1074368784992,2.67197659572677,0,10.1074368784992
"PaTu 8988t",0.129010293268973,610747739.102103,0.106285372346594,24.7143781687385,1e+06
"FTC-133",0.153924907820072,17667.1705103361,0.159069031121518,0,17667.1705103361
"KMRC-20",0.104766718354265,NA,0.382065822485325,51.1986850348014,14.3151100019121
"NCI-H1975",0.176499787036318,NA,0.380840260124777,69.4273014348329,0.124511555602119
"OVCA420",0.102649558263586,NA,0,79.4700883472829,0.00548329723234916
"HCC1954",0.0453524682017598,NA,4,76.2420865303404,2.67866721506473
"ASH-3",0.0966684335174557,NA,0,80.6663132965088,0.00324693826885563
"NCI-H1568",0.0943334364599097,NA,0,81.133312708018,0.163211642848817
"NCI-H1563",0.166585989827308,1983.28521233794,0.189528940217196,0,1983.28521233794
"Daudi",2.12342644110992e-12,NA,3.30391772388249,99.817839625065,1962.26633975925
"CTV-1",0.0189016401226557,10.9972291658296,3.99268886190086,0,10.9972291658296
"EM-2",0.00540276349834622,15.7870413648231,4,0,15.7870413648231
"WM278",0.0755873297428904,622.145409311168,0.357416528918677,0,622.145409311168
"GI-ME-N",0.138621542280063,NA,4,84.8438660558693,0.0176018365554507
"EJM",0,NA,1,100,10
"HT-3",0.129779223511336,NA,0.060982575711749,54.7951442902193,1e+06
"Hs 746.T",0.0984306371449656,NA,0.0222945415374775,79.076843187157,64.1708073570134
"EW-18",0.105345493552495,458.162013311087,0.31461092320671,0,458.162013311087
"RPMI-7951",0.0693329749792463,NA,0.0318415713822716,85.7729728043165,1.55610917360729
