"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.350232521913632,0.75799647927183,4,7.72349629511543,0.726857796656761
"MES-SA",0.268418321330165,1.44642074766464,4,5.55219140559795,1.40447731898537
"PL4",0.354692263242249,0.646918435504984,2.38260219205285,15.2700474969057,0.555167345038248
"OS-RC-2",0.126253521728066,3.4981033321867,4,39.1601529247059,2.38696429056854
"WM793",0.45671851033991,0.311565904635196,2.08757860061526,12.5344900284972,0.27133752564192
"KYSE-50",0.263501808146632,0.926834582611334,4,30.3055059288945,0.734253349214091
"KE-37",0.487594748123544,0.282996399040844,4,6.42852679350436,0.273425471313303
"Jurkat",0.434046041094671,0.396172911649017,4,8.44992782020365,0.378255474120951
"KM-H2",0.289687071738576,1.15077275934272,1.59627100164641,19.2807856554155,0.848116961642509
"697",0.311956843289118,1.02381292522962,2.89885678771864,7.85257395073106,0.96521635920719
"8-MG-BA",0.397075124690761,0.444468131589774,4,14.2123739613479,0.408819261166391
"PaTu 8988t",0.320054401032298,0.711086168114206,3.73862814372362,20.6519608805958,0.616638022083364
"FTC-133",0.329346895596772,0.487388253095288,2.47922553586612,35.2626555833346,0.297766932415992
"KMRC-20",0.243507525293427,1.41603765351616,4,18.874491737777,1.25779948806327
"NCI-H1975",0.202896054345931,1.4268669546585,4,41.0388969047957,0.928391910193849
"OVCA420",0.030790143377056,NA,4,66.8689565483737,5.36888231196404
"HCC1954",0.0940235360626062,NA,4,73.3802625775563,0.871881620081888
"ASH-3",0.411052041630119,0.332706414530772,4,19.4904421999119,0.294054379041307
"NCI-H1568",0.248936594458049,2.42016378893333,0.945212548680049,27.8830206638086,1.02109811451159
"NCI-H1563",0.103431856245053,6.275366345091,3.97999353318672,48.7512396011778,2.48314756459589
"Daudi",0.30186937115884,0.439518065524444,4,41.6084628401525,0.281316114283301
"CTV-1",0.375545337918742,0.667829647947696,2.02629080029131,6.63012627866162,0.6225519200274
"EM-2",0.175873360302778,2.78554359162909,2.5929610835382,14.3740454737342,2.44421574374289
"WM278",0.190390188850213,NA,2.513208373345,62.61162635416,0.296782396354129
"GI-ME-N",0.312090227844712,1.86062684862981,0.845839220339242,40.4514903592939,0.262769680605943
"EJM",0.276157891218325,0.995247133905116,2.6361593317152,26.4448889151637,0.748049818516264
"HT-3",0.237255636571677,1.78718145156693,1.59818907394002,39.6874985771374,0.665547975516414
"Hs 746.T",0.194885558053516,NA,1.19801911033175,50.0804895429296,0.693696827706819
"EW-18",0.144616480556427,3.22478467128091,2.99934326979946,38.4762232361807,1.97695057616199
"RPMI-7951",0.34171836960468,0.512368192644484,3.63166283739652,25.4840326311814,0.421069435551609
"CA46",0.30278428660857,0.530670170994342,3.0702967644268,48.3664958488427,0.174133090129111
"RCC10RGB",0.190991446941339,NA,4,60.287263270331,0.360838393517127
"U-251MG",0.237583326718573,1.08790506241084,3.75,48.75,0.406794432108305
"Karpas-231",0.308236440111676,0.937900521577958,1.51107521946283,24.5317338724924,0.600170372802126
"BALL-1",0.48504136006972,0.267395881543508,1.52512597906004,11.6425861032446,0.224735652600614
"IGR-1",0.379735563984726,0.448431657896156,3.03069794180195,19.8160394761817,0.379639806007614
"KP-1N",0.154352320288167,4.50025325969149,1.66872089372863,39.3508325709369,1.78131381955538
"OVCAR-8",0.443167038396674,0.332689784871251,4,11.7951752335639,0.31104735892221
"JJN-3",0.355614792659015,0.758415053181197,4,5.90843040468554,0.734942450586436
"ALL-SIL",0.253759470162312,1.30497868982501,2.40503991284814,24.250617508048,0.990308265723515
"HEY",0.403752188475853,0.495448046337643,1.72121000237967,11.845836218764,0.423422551236579
"HeLa",0.393577707265356,0.509481926464379,4,10.4424798302257,0.480500170124658
"SCC-15",0.229247221991731,1.16499984782582,3.87345363797345,36.215730545566,0.835331507278232
"CAL-33",0.292372063468396,1.03521715274468,4,14.0925967149208,0.952982571280774
"JHH-6",0.158506257954158,2.46119392892377,4,37.1327160983522,1.75297230534627
"ES4",0.0335290317058998,8.99827436109139,4,0,8.99827436109139
"UACC-257",0.223483898923948,1.42952851917912,4,28.3555427667511,1.1595433720837
"KCL-22",0.358939476105985,0.594010666709888,2.47816934043483,17.1785401722956,0.501216349330751
"CHP-134",0.526257700771185,0.197978067772366,2.6225209671243,9.09226641220215,0.183391894191476
"KMS-12-BM",0.365443905196456,0.623266973830262,2.48533051425232,12.7956594995212,0.553376184011411
"OE19",0.303723573516522,0.883361255284763,2.98279563878958,18.8596444437403,0.753692431621302
"MDST8",0.472395161135323,0.308106704723389,4,7.28307637233345,0.296216086641648
"HCC2998",0.282046846165588,0.998326391320137,3.62293651881343,20.4728444408649,0.863244075315742
"G-401",0.387793427295624,0.650266343311882,1.19897993089641,6.89687887095649,0.574550009737598
"OAW28",0.31591999578123,0.985472012151154,1.32104923281857,19.4074529246667,0.679423513969846
"DMS 53",0.235947603814622,1.2078777321027,4,30.6998707395719,0.952073611873249
"TOV-112D",0.279284602861357,0.921108126415473,4,24.4180609636747,0.779025148290693
"AsPC-1",0.0577557216636773,26.210087929869,0.886537211614399,0,26.210087929869
"HSC-3",0.386580113509785,0.521850109836981,1.44456565702506,18.4439935197521,0.379466475213911
"Evsa-T",0.304252253577203,0.885027301816295,3.00961075450972,18.4908231162489,0.759146878295946
"VA-ES-BJ",0.26383988425699,1.15998747476869,4,20.1935384104757,1.01926803460598
"GOTO",0.285855432098336,0.809929130684366,2.30962666648313,46.9181538108429,0.242372847035992
"SNU-175",0.230024119848636,1.52954420882145,4,21.1600874399384,1.33296276431993
"IM95",0.293220878321922,0.96893631508819,4,16.9019254386723,0.87398386436076
"OVCAR-3",0.294775397423493,1.04239656531839,4,12.8028854858336,0.968094568595948
"LXF 289",0.314747273459251,0.788862804073865,4,18.0027817492053,0.705565007466936
"AGS",0.283705669749154,1.07286859875297,4,15.7941750971972,0.975728634480724
"AU565",0.178139738212136,2.17936370402413,3.08949556178397,38.3225922832405,1.36109180623884
"LN-405",0.119264562802332,NA,1.78308693951768,53.6166960141961,1.73433784668031
"TE-4",0.147762431221397,3.02977551836816,4,25.9237107417117,2.52386045541289
"42-MG-BA",0.342142758332674,0.439704845154996,2.43226149268395,34.4180733303589,0.272258209266664
"TUR",0.115264841061747,4.11610060488363,4,25.6954093361426,3.43688940949199
"EMC-BAC-2",0.324857820798357,0.740626230184461,2.59502215757398,19.7798885495846,0.610003593304013
"LC-1/sq",0.117499623608663,4.41991895054874,4,47.1919257047645,2.15166151991136
"Hep-G2/C3A",0.0589364843276253,NA,4,60.90051471342,3.54429953823966
"Karpas-45",0.2810749269227,1.23580634769242,1.64063831963655,18.7220185012078,0.928479587501538
"A-375",0.393927156684971,0.594447258141089,4,4.38202146173648,0.580971510728532
"C32 [Human melanoma]",0.304195027028707,0.405876613649796,4,43.33742222299,0.24522350760357
"C32 [Human melanoma].1",0.307824163295874,0.429140622589335,4,40.2125949081508,0.285446036306324
"C32 [Human melanoma].2",0.304854925510896,0.496832268035122,3.25894052689701,39.5165709868559,0.307626350075108
"HT-29",0.240204532416549,1.71348734125603,3.83484924390739,8.47166290910715,1.63251238608406
"HT-29.1",0.241343815545063,1.70895237603833,4,7.89055193304112,1.63712690715789
"MHH-ES-1",0.154797161368427,3.04131583024729,3.1332506991003,23.3876268820911,2.48684469308991
"MHH-ES-1.1",0.154525216468235,3.02589996666975,3.09156322287051,25.0730946951822,2.41586014104673
"MHH-ES-1.2",0.145907454485551,3.51827593746919,2.49117786576138,22.5810569412339,2.76434712559024
"SNU-C2B",0.285217224229673,0.821971128548186,2.48737330453208,32.6158156575221,0.537524979777294
"SNU-C2B.1",0.344835825989792,0.533656626226076,2.09685793143384,28.5810662937933,0.356187865662327
"SNU-C2B.2",0.179525796812234,2.25400312683289,4,25.8338593228419,1.87937669840018
"U2OS",0.226478430809857,1.23209993151203,3.16890081529595,39.5598754665863,0.751583216748518
"U2OS.1",0.248174336614294,0.825605720983078,4,41.8419234747508,0.52471941816837
"U2OS.2",0.271694832139394,0.8965430377676,2.4042131446773,36.5849325465213,0.518697951925907
"PC-14",0.17502308141052,2.83906536957486,2.19112255582943,19.5555192237861,2.26381837479996
"PC-14.1",0.180374949487051,2.31163480353031,4,23.0867434802749,1.98001411444127
"PC-14.2",0.188302730113707,2.08296692863831,4,25.6147703366334,1.74069060835785
"SW620",0.28918219677061,1.09437478591421,2.24046423593128,16.5699888008339,0.914390255594663
"SW620.1",0.298868270684712,0.918884696297197,3.08448238894855,18.6994646694204,0.789427248182893
"SW620.2",0.294819858667566,1.05770158981374,2.40856895967763,15.0067575166931,0.91204334734212
"HCT 15",0.304544372086729,0.780910095247724,3.22376530768065,23.3807387680451,0.64221043728372
"HCT 15.1",0.292625173262508,0.785405043332352,4,25.8581409834701,0.654702292959837
"HCT 15.2",0.328803530893626,0.763557387265367,4,14.5706490733755,0.700551361015419
"A-375.1",0.393085034905032,0.533577221664816,4,8.87595487460016,0.508134563760557
"HGC-27",0.434516120195927,0.4343768413048,4,5.12631077485571,0.422787468038835
"B-CPAP",0.347513934346595,0.773407058665805,1.05140193528715,35.3605001162899,0.240460570120848
"SK-MG-1",0.384430729681989,0.339882142548326,1.8991057402186,32.4692182034127,0.195728044304008
"NCI-H1650",0.183232044628589,4.00887590644667,1.56638798580099,43.5777054216415,1.08148228298854
"786-O",0.396285736795445,0.283792873672974,4,27.1623964905621,0.233303694841903
