"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"BT-474",0.0296131610516807,NA,0.0387789424957566,93.73940673253,15.2787415609519
"AU565",0,NA,0.793777622764811,100,0.0425370270337952
"CAL-51",0.0507426974018387,NA,1.91497144436094,94.9257302384274,4.78316104816311e-06
"HCC1806",0,NA,0.906864184908862,100,0.0353436386855378
"MDA-MB-361",0.0470159641957619,NA,0.0206153013970578,90.7559457768588,0.176302157405804
"CAL-85-1",0.0113285542109681,NA,0,97.7342891578064,2.50183110119535
"Evsa-T",0.0366741631904132,NA,0,92.6651673619174,0.514769181132095
"HDQ-P1",0.00769270625291926,NA,4,85.0441144277661,22.496487751569
"MDA-MB-157",0,NA,0.697429615714004,100,0.0904471549187533
"MDA-MB-436",0.0335397107841533,NA,4,94.5423887556137,0.42378062625937
"CAL-120",0,NA,0.73417359775846,100,0.131315506783536
"HCC1937",0,NA,0.673869173842814,100,0.0519486663948957
"JIMT-1",0,NA,0.939206230638145,100,0.0328547739668523
"MDA-MB-175-VII",0,NA,0.733146653087771,100,1.13725241486965
"HCC1419",0,NA,0,100,58.1960661954744
"MFM-223",0,NA,0.995356062547634,100,0.708816997536109
"HCC1187",0,NA,0.793313163118007,100,0.365948686284417
"HCC2157",0,NA,0.050167861313684,100,5.29918143490792
"CAL-148",0,NA,0,100,1801.25399379157
"T-47D",0,NA,1.08474912284662,100,21.4129278747277
"EB3 [Human Burkitt lymphoma]",0,NA,0.504707295795658,100,20.8981661417894
"JHU-022",0.0959330346268502,377173.090212053,0.177894708966851,0,377173.090212053
"IGR-37",0.0227819166416768,NA,4,92.1605839897424,4.03089210385409
"HD-MY-Z",0.070167341748598,NA,4,91.5940911682869,0.093748058693325
"H4",0,NA,0.33408146910991,100,10.8630882845366
"Calu-3",0.0887222127301334,NA,0.038219697482699,82.4838792120324,0.479240876359722
"Becker",0.0355880009296739,NA,4,94.8652862646453,0.250033492557434
"DU145",0.115194538066575,NA,4,87.5503281029754,0.0486132062216852
"NCI-H2595",0.0744971461309914,NA,4,85.6698194103147,0.827283645675621
"CaR-1",0.053167343861063,NA,0,89.3665312277874,0.28915072702389
"DOK",0.0444361833542676,NA,4,93.8624173125371,0.201943459878523
"CW-2",0,NA,0.946630874166606,100,0.117585246289645
"22Rv1",0.0209252321512438,NA,0,95.8149535697513,1670.0002803763
"CAL-39",0.0156889515273296,34.9543714929848,4,0,34.9543714929848
"K5",0.0860477366123235,NA,0.0571382261593755,84.1176558019985,0.0500996813191623
"COLO 679",0.00691438545033431,59.3996955857865,3.25689170669486,27.369439048554,46.5669399645414
"769-P",0,NA,0,100,16.7996981367715
"DOV13",0,NA,0,100,446.626154145528
"COLO 824",0,NA,0.797711391340994,100,0.275507602582369
"EFM-192A",0.0142127248339912,NA,2.96010552476972,98.5787273183826,0.000392751287258141
"DU4475",0,NA,0.99495214406009,100,4.17956307899621
"A-375",0.110202897174397,NA,0,77.9594205651206,0.000840650172580882
"A-375.1",0.127590841634514,NA,0,74.4818316730973,3.23623520665474e-05
"A-375.2",0.142726338983116,NA,1.71370833202198,85.7273660760796,1e-06
"A-549",0.187535829808535,16293.8690407522,0.153330643572516,0,16293.8690407522
"A-549.1",0.0157063393841095,NA,0,96.8587321231781,2.05627038598583
