"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"PC-14",0.152083728544716,1.12750336996841,1.83819861568846,26.0595992942703,0.755304695121136
"A-549",0.320282529067774,0.742735290434846,0.426437231147577,0,0.742735290434846
"A-375",0.292482321492691,0.340718327642988,1.6048557775861,18.1121964460855,0.257438815840194
"DEL",0.603878811504183,0.0362314656401161,4,6.26448717763696,0.0350390205074105
"EW-13",0.379228678579609,0.0948611085006497,2.29989333335352,33.3969713842332,0.058737053233879
"CL-40",0.328415339608076,0.375441841849404,0.770058701848306,15.5856975040521,0.231136791319625
"C32 [Human melanoma]",0.412106247747877,0.127496966106422,0.959649723665715,29.7657757644108,0.0496703112901279
"U2OS",0.172037294224015,1.36003300015115,0.95955968324306,0,1.36003300015115
"TC-71",0.398191640766037,0.171708709292322,1.28017247584793,9.2789447840991,0.146269071196029
"DiFi",0.00968734075305729,4.03065261913214,4,0,4.03065261913214
"RKO",0.202942033847419,1.05267511413866,1.19759302566654,36.8352415970175,0.345429492472775
"CL-11",0.0922517131040817,NA,0.83943188286487,65.9317066303899,0.599653097848387
"PC-14.1",0.214776211166605,1.25906666271565,0.793259555358168,22.8509249995878,0.58305973679186
"A-549.1",0.0965088628125739,NA,1.45945168141705,64.6271115321998,0.476585879620031
"A-375.1",0.442420561176678,0.152966796291437,0.698071506179319,0,0.152966796291437
"SW620",0.212751065029321,1.07686896832306,0.800113783144808,0,1.07686896832306
"HT-29",0.044104731700957,2.4221479205512,4,4.0625,2.37137370566166
"HCT 15",0.28528940719591,0.503239985768432,0.908574223323058,1.77164827831878,0.48364978303386
"SNU-C2B",0.292819569579064,1.2572709019059,0.387523294138781,0,1.2572709019059
"MHH-ES-1",0.419349267021638,0.156159829278392,1.01053854035913,7.93402529647752,0.1316172561002
"MFM-223",0.0398397578708272,3.54591439574515,1.96959255187543,0,3.54591439574515
"C32 [Human melanoma].1",0.352588438123247,0.135366546864005,1.9434545226813,33.7520475187825,0.0759143558958949
"U2OS.1",0.172268701623117,0.661944479431905,4,33.4341426042461,0.502206747044242
"SR",0.761532065031184,0.0103983135055459,2.2536702588254,7.87761645444255,0.00963662081241687
"SKM-1",0.561727428829619,0.0589648237179369,1.00603937870494,0.970945763965394,0.0578265977995674
"COLO 320HSR",0.00939061891820781,4.06646964900139,4,0,4.06646964900139
"DiFi.1",0.184650609642291,4.05861562638174,0.575320378000933,26.9802563317171,1.05400854992592
"CCK-81",0.11928288690005,364.723792055037,0.253791758148605,0,364.723792055037
"COLO 205",0.182155166139327,NA,0.318671177287081,70.1184951894477,0.020459665899072
"RKO.1",0.150771069595894,1.65372636688115,1.07546548632017,16.4320135204989,1.14172496465826
"SK-CO-1",0.254759117557743,0.449291020727811,3.77840069362199,10.1794684734943,0.423021507574969
"LS411N",0.100737406749576,2.89608126349385,1.02097169758507,0,2.89608126349385
"LS123",0.100846358454191,1.3984816196081,4,38.2572167311751,0.97354722461411
"LS1034",0.0570081600674594,NA,4,88.9225867578452,0.085770162616957
