"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"PC-14",0.262576366257821,0.584443971567397,1.01553871430029,28.9996406998968,0.248750600012878
"A-549",0.317840128743399,0.215028154490058,2.14608934460908,26.5547669807408,0.151088923168959
"A-375",0.498428577969063,0.060855696331205,4,13.4097325648012,0.0562859669033136
"DEL",0.692057007356885,0.020645921568169,3.23635419184872,4.54138318708172,0.0200473226561522
"EW-13",0.394802418471709,0.0393744069101605,4,43.8600040908063,0.0233084580712952
"CL-40",0.361652316937329,0.0880863853264375,4,34.6679555170755,0.0655490354421398
"C32 [Human melanoma]",0.474596545270508,0.0659328606912877,1.49486704221195,21.7501117321056,0.0450020334007117
"U2OS",0.0247887936791743,NA,4,80.919666562368,1.23150738502297
"TC-71",0.559243181222531,0.0388440706664776,2.89224351837349,13.2538181092546,0.034920275961215
"DiFi",0.161183526846709,3.80234857098311,0.548428973388636,0,3.80234857098311
"RKO",0.34564866450718,0.21789579740201,1.50432842670007,18.9248750080652,0.158832849438702
"CL-11",0.183671617356531,2.3074057947176,0.595425285411867,0,2.3074057947176
"PC-14.1",0.227031485939963,0.880264461757427,0.870067470726078,6.20907950274378,0.755836007272865
"A-549.1",0.148804393706543,1.67816094443542,0.993157995926943,0,1.67816094443542
"A-375.1",0.43767525253784,0.0838178580122192,4,18.0687899570058,0.0749286488377483
"SW620",0.242085859217139,0.73354041213558,0.941991024565904,17.9179559162029,0.457982492023956
"HT-29",0.157276845321199,0.908565505508781,4,15.8850892796943,0.825752321059457
"HCT 15",0.291300506877055,0.442191851194837,1.02865849799965,7.38929061641792,0.378524863515588
"SNU-C2B",0.234654187416985,1.52290316056608,0.523651289278395,0,1.52290316056608
"MHH-ES-1",0.55058954894569,0.0469142413640623,2.22403379127247,10.8748593707524,0.0420157768872879
"MFM-223",0.0275752095224564,NA,4,62.3918372108975,1.87295183177707
"C32 [Human melanoma].1",0.393625812646449,0.0947559541248008,4,25.0833435325378,0.0796134508869038
"U2OS.1",0.132040887056003,NA,4,85.1789747492749,0.00629728303311707
"SR",0.611336667995235,0.0299614038421666,3.99431301835697,9.35163225537476,0.028447782983236
"SKM-1",0.432336371167706,0.120982451344351,4,8.28523281700984,0.115625156842913
"COLO 320HSR",0,NA,0,100,475213.596486994
"DiFi.1",0.30075845813662,0.311320344099418,1.35784239364324,27.5484643461041,0.172632218286289
"CCK-81",0.225370969825415,5.286278886268,0.409302505981639,23.8324501074311,1.08670254149901
"COLO 205",0.0581748048684988,NA,4,67.7351918054101,0.864963167975991
"RKO.1",0.265148014173612,0.418194551142654,1.71470084300033,19.0182708383962,0.316339570473845
"SK-CO-1",0.441399868950431,0.0949253996351602,4,13.7140126449113,0.0876142342016694
"LS411N",0.15809945646456,2.31337775464905,0.716099435126206,0,2.31337775464905
"LS123",0.0631812650402896,11.1482374173751,0.734632026147763,0,11.1482374173751
"LS1034",0.0273173452925536,7.54378831720182,1.34575826738484,0,7.54378831720182
"HCC2998",0.0425948773810421,3.04870884923578,2.29373733191592,0,3.04870884923578
"NCI-H929",0.349714556990232,0.162562143719795,2.69135478194614,23.267300937412,0.128819653672537
"CP66-MEL",0.105946879883331,15.3673903922725,0.487532586003475,0,15.3673903922725
"Ku812",0.344862218211008,0.234227637423736,1.619256042573,13.3085440124966,0.193479044531642
"RF-48",0.436506599522416,0.0882755640978091,1.4636726470297,23.9349577470071,0.0565655055695784
"DB",0.494308007679255,0.0761171202922967,1.46658714761501,11.0795698063411,0.0641655187967604
"SR.1",0.600963044928414,0.0316592663430781,2.99866666202036,10.3061905564654,0.0293136735549128
"Lu-139",0.213167618876715,1.29871693551292,0.718528854319448,10.7724756407055,0.926520375549723
"MDST8",0.24183143274601,0.316557050628681,3.06782859658285,39.274986565789,0.191655771382546
"HT-55",0.0774927573526073,NA,4,51.6853691547773,0.9937604303974
"Ca9-22",0.331198623143235,0.340634319141551,0.934185713455343,1.62567091141166,0.328792592521234
"DOK",0.144729933038915,1.63223190591596,4,49.8018778091573,0.409517666907721
"CaR-1",0.288334475298755,0.403055943618814,1.36627929673095,9.07639784047224,0.348090012269389
"HT115",0.08703520291569,NA,4,66.2272995710855,0.50598985364105
"GP5d",0.249356409472789,NA,4,55.4648597236149,0.0627365743493615
"SW620.1",0.315507727849126,0.286504744531442,1.20401711845505,32.1400291648208,0.121842977684136
"CW-2",0.172606503486176,1.5915013544131,1.14104912815289,36.1581381138571,0.516392737710643
"HuTu 80",0.487592427953145,0.0732530728829468,4,10.7331011260882,0.0689588479609306
"HCT 116",0.205026646024742,0.870985230706737,1.17174491472094,11.5246951767036,0.696467688791094
"PC-14.2",0.209095320222645,0.641803750311484,2.16534792083214,45.3951765237148,0.213338585727633
"PC-14.3",0.196454734353026,0.684662397050744,1.99776765866653,34.410782816024,0.382050559231543
"PC-14.4",0.125083884362647,1.61110373494668,2.40127519334228,44.6212899283341,0.636623715718138
"A-375.2",0.423903218178404,0.088330666429845,4,19.8122626253416,0.0778621957330946
"A-375.3",0.396937722157247,0.115421651441601,4,18.7746871792522,0.102605698742096
"A-375.4",0.351914800664035,0.187555547861627,1.77807851152981,21.1765762372884,0.137590651870763
"SW620.2",0.343451764611099,0.107196687143801,2.99361132404955,37.4729723720964,0.0675118105895721
"SW620.3",0.385503606266442,0.162002397549715,1.07336487375784,25.749539024285,0.0825563600763602
"SW620.4",0.379019100168783,0.29220078468215,0.568806648581768,0,0.29220078468215
"HT-29.1",0.21686434020795,0.70485207367436,1.52855589754906,5.51358026308466,0.652982563134425
"HT-29.2",0.20894832419315,0.747243705666432,1.62223843877813,2.44158054239055,0.724535104239892
"HT-29.3",0.29294494657363,0.333481861737381,1.9842632698166,15.0324289892011,0.278486473620856
"SNU-C2B.1",0.0984362180850853,NA,4,78.9449518089237,0.118760861286765
"SNU-C2B.2",0.103926432861357,7.90439535290694,0.604642425663818,0,7.90439535290694
"SNU-C2B.3",0.0934416677324063,13.0466994720589,0.553518974530269,0,13.0466994720589
"MHH-ES-1.1",0.548112259092451,0.0514045087294177,1.20101570699123,10.6365598250563,0.0421221266342065
"MHH-ES-1.2",0.499430422403532,0.0595619985447267,2.2690175415078,15.4926731505275,0.0505810193462236
"MHH-ES-1.3",0.476820900792638,0.0693282190244979,2.43257400719252,16.1428056408811,0.0590615930962859
"MFM-223.1",0.0324368123147673,NA,4,91.8771908993316,0.19020609019296
"MFM-223.2",0.0833128121447397,NA,4,85.9749978080767,0.0495637046760996
"MFM-223.3",0.0482374390740526,NA,4,82.3842552653363,0.452632756783853
"C32 [Human melanoma].2",0.287629886382271,0.511528360270721,0.847610466964485,11.1733668777787,0.379560986755316
"C32 [Human melanoma].3",0.303979050164659,0.422906494107472,0.92251429088359,30.8297407214569,0.14960016944526
"C32 [Human melanoma].4",0.247393844225463,0.23887943092643,4,46.3887501558597,0.123837061651256
"U2OS.2",0,NA,1,100,3
"U2OS.3",0,NA,1,100,0.0948933236091818
"SNU-C5",0.210862477020307,1.03610281500659,0.918789951763068,18.0411919815045,0.636564776936405
"SW48",0.242699647123778,1.59169332040442,0.483985236236572,0,1.59169332040442
"NCI-H747",0.0250901956093637,NA,4,79.3352266445928,1.30846708675979
"C2BBe1",0.119505689611516,NA,1.64647664579577,67.7840984433183,0.233374488019458
"COLO 205.1",0.105074049557876,3.78158253342762,1.37199664320665,42.0483326407499,0.990071305862865
"EM-2",0.411405201937987,0.127976512973068,4,11.7990153838457,0.119648266477483
"KCL-22",0.204938366358442,0.66530186408952,1.9028841082668,24.516065557926,0.466871911526147
"CS-1 [Human chondrosarcoma]",0.171527688142272,1.7124820495391,0.785425647403307,0,1.7124820495391
"SKN",0.0732267400226266,NA,4,56.6596805157024,0.936077046803111
"PEO1",0.347839282900094,0.221474036310984,1.21817131959312,23.1741796913605,0.132842429195017
"TE-12",0.222036658502194,1.43252067836396,0.594306786563505,0,1.43252067836396
"CW-2.1",0.1523781758924,0.780559005730797,4,44.3229877156241,0.453099096518145
"SKM-1.1",0.482715172834768,0.0869977132462451,4,6.78581230892488,0.0838826079887931
"HSC-3",0.375348053500719,0.172303454258736,2.13804878616067,13.85145524938,0.148047988159533
"Ca9-22.1",0.201332624735824,0.849808649636394,1.29250581042475,15.4116423842674,0.638998154977832
"PCI-04B",0.270329318998129,0.327850289887606,3.08588150915363,22.417656696375,0.270370427004169
"DiFi.2",0.102312408571186,2.73151181849553,1.05117956056945,0,2.73151181849553
"LS513",0.229448216115941,1.42978910433454,1.1420843955974,45.7463234411091,0.165275521546357
"OACP4 C",0.104897090141196,NA,3.10875455242631,55.3392332878079,0.593544671321843
"SK-GT-4",0.115605233833616,438.797050368418,0.25242318996224,0,438.797050368418
"NCI-H841",0.180457721312708,NA,2.03316808885693,66.7782996150157,0.0703756960020532
"SNU-175",0.314632264628541,0.794505174771017,0.638788504057313,37.2107434547545,0.0940041869956038
"COLO 678",0.0952537537104158,NA,4,86.4374092139986,0.0234569464481326
"SNU-1040",0.0975458182465851,NA,0.0756952503838824,57.2757472802619,1e+06
"SNU-407",0.130326974542846,NA,0.860232320080108,64.2736093349004,0.2706918745368
"T84",0.113814221740536,6.08197316434148,0.62160243707916,0,6.08197316434148
"NCI-H2135",0.117007176404473,NA,2.44145224245584,55.3411936667625,0.493549144145247
"ABC-1",0.343951990934203,0.190408190040998,1.32083861844614,36.7337556467641,0.069731813115607
"SK-MEL-5",0.153912634067574,0.893488905920478,3.29059142154892,26.0506984570953,0.714398148920081
"CL-34",0.16892719406992,1.20704758880754,1.61089800067802,40.2668237170304,0.437051211079839
"NCI-H841.1",0.13754177749738,NA,2.77065544694134,75.465229524887,0.0624338054706467
"NCI-H1876",0.652296895928611,0.0152135953790138,2.26128119960992,17.4320728102911,0.0125862993389839
"OVK18",0.311549047791844,NA,4,52.1309063520553,0.0334777838450741
"A-427",0.131948716630926,5.64289590307733,0.624498604531856,16.3270303138347,2.99626175667135
"LP-1",0.078187969845083,3.34106822401981,1.16998765494029,0,3.34106822401981
"EM-2.1",0.413220105515852,0.138107901044371,4,8.69785873474779,0.131664642963555
"Lu-139.1",0.243719354710683,NA,0.888203209929728,57.1935878718852,0.0559976877652706
"MRK-nu-1",0.118534646854521,NA,1.99370555100261,64.7598216570009,0.295269865038024
"NCC010",0.0686519239256367,NA,4,75.8414995888248,0.421414702531851
"RKN",0.0999822681526708,1.90270118222522,1.89806488744219,24.9131032658812,1.32301921075304
"SW1417",0.183618020358722,1.25909071022569,0.919323794311268,0,1.25909071022569
"TE-15",0.531836382907219,0.0471636422509651,3.02120549550605,13.7482116203989,0.0424020825744044
"5637",0.283953118804869,0.516432537933996,0.88962468597357,0,0.516432537933996
"697",0.438051005646648,0.119592813789751,2.93584792361113,7.74068522623046,0.112933773182484
"OSC-20",0.23786332672723,0.625876496847649,1.23837961848747,29.4309876758995,0.3054833759125
"CaR-1.1",0.242955587347344,0.833207653414289,0.806607884479348,13.6380912351851,0.561391134183024
"8505C",0.258171907810939,0.364107680953367,2.84323142459621,23.59439477791,0.29087684758344
"786-O",0.321922321944974,0.262537777305599,2.03698660410101,14.8454320504877,0.220844519924657
"647V",0.561044138812643,0.0525433906872846,0.989014741293596,6.08655782420782,0.0460807380417756
"42-MG-BA",0.288368024472063,0.525926957409787,0.810499269203403,0,0.525926957409787
"SW837",0.0645463334018284,NA,4,55.2366003733342,1.11329630683266
"A101D",0.219063140661855,1.16093472556273,0.706454699154749,0,1.16093472556273
"VMRC-RCZ",0.0496543874808994,NA,4,76.3497371033725,0.704108962963375
"639V",0.49127132090556,0.0733304708932713,2.8343222860862,10.5923755892865,0.0674227879049863
"B-CPAP",0.234451707155091,0.87501339855075,0.794992406812754,0,0.87501339855075
"A-172",0.159944443481682,0.70627616453205,4,41.9124054925402,0.447906011160263
"8-MG-BA",0.400631388215795,0.193831116866815,0.995810499894483,2.14825310282702,0.185468880963606
"BHT-101",0.240076824022559,1.02444782986397,0.652372754269001,0,1.02444782986397
"H-EMC-SS",0.222243253825917,NA,1.4638350279037,53.5136222524884,0.110619991306998
"SW1116",0.0546768344106194,NA,4,72.9507019130802,0.74329760511295
"LS180",0.250279248762329,NA,1.85559178739654,53.4746085010887,0.0729507977492016
"A2058",0.315956563587262,0.111848697905749,3.81276907925374,42.2237177267219,0.0686530025223494
"BPH-1",0.412801772155087,0.165105404377305,1.31181279376742,4.29576962054894,0.154177523999043
"Jiyoye",0.264688713608106,0.426108482934217,2.25343148130941,12.0005880083523,0.377247287261887
"697.1",0.412278554911365,0.137728950306275,3.59011102924832,9.2536067040519,0.130097248472479
"SUIT-2",0.217879033495292,1.71225503710694,0.67678922767086,26.5792881086338,0.558345517723443
"C2BBe1.1",0.0468338110770955,7.31959479194178,1.03393531264003,0,7.31959479194178
"UACC-257",0.0528508945310806,NA,0.763720505197986,51.5297506757049,4.12151091983221
"LoVo",0.145742060243186,1.57955683261643,1.09752200828112,0,1.57955683261643
"23132/87",0.228484536044959,0.423089013917521,4,26.5206219802897,0.350236088812649
"WM793",0.222055447081266,0.485697191258907,2.20531633110161,40.9749825217117,0.223468233169979
"647V.1",0.525836499595327,0.041769423890732,1.62870208781662,20.9219355671985,0.029944940355403
"A101D.1",0.221528676951768,0.974297626890471,0.981014700788919,30.6460230114812,0.370266716882893
"A-172.1",0.180518463802317,0.554350204303762,4,41.5267211448593,0.355676020004894
"BFTC-909",0.31622392477893,0.570333706479408,0.542825975372333,0,0.570333706479408
"8-MG-BA.1",0.383378679088706,0.20226210396901,0.971001661152952,12.3633205977918,0.150963441426235
"SW948",0.028329387765907,2.87390677546959,4,0,2.87390677546959
"NCI-H345",0.00871513370956219,NA,4,96.2727454388911,0.596869437572203
"RERF-LC-KJ",0.0516932268564938,2.24808085688756,4,0,2.24808085688756
"CHP-134",0.312834375250745,0.456007043365469,0.731177332464913,13.1013514824262,0.300951227473834
"HuTu 80.1",0.151278838268693,1.69567584984344,1.19273940992819,30.0326585449256,0.785438967183652
"C-4-I",0.0582635595274271,NA,3.24574896788122,52.9894275850458,1.29993185106039
"SU.86.86",0.120462307994063,6.66621241750488,0.574471170690142,0,6.66621241750488
"BT-474",0,NA,1.06440781709994,100,1.55508714094959
"EW-18",0.0607867925725692,2.59489770697393,2.02660183674894,0,2.59489770697393
"SK-N-BE(2)-M17",0.18735382130483,5.99504454229403,0.99022437631903,47.6440833878099,0.27408412559087
"A3/Kawakami",0.587425025344998,0.0382528286505887,2.87024980107547,8.3095573987433,0.0359056660699591
"HCC1806",0.283086132464175,0.456765800269945,1.09617817581698,9.11664671660277,0.38013738461473
"CAL-120",0.172882479517469,1.67962816341206,0.787724512111009,0,1.67962816341206
"GOTO",0.271347749471859,NA,2.12584889728263,53.7896325686008,0.0519054015843113
"G-402",0.295019525447199,0.450818848329113,0.942921974742488,29.7839139430462,0.17255323051482
"Hep-G2/C3A",0.182180114093451,5.95067365355174,0.412534766972585,0,5.95067365355174
"BT-474.1",0,NA,0,100,0.11698225063336
"SUIT-2.1",0.164523972406302,NA,2.55624654241729,50.3552444944451,0.304423046259483
"CADO-ES1",0.46088133935772,0.0768810468766971,3.72427131844942,15.4017369629044,0.0696434853150948
"Panc 02.03",0.28981743737059,0.489216382052776,0.879160506191492,18.9153183384129,0.284908071233666
"B-CPAP.1",0.222854978233217,0.843185319014159,0.951175237541883,0,0.843185319014159
"FaDu",0.509236852701646,0.0603633827325392,1.89670519452707,13.6021560540191,0.0510589082955802
