"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"Evsa-T",0.0903720782415113,NA,0.733670228957957,79.3311628958435,0.260442713285382
"HCC1143",0.0616998791668713,26.056535102746,0.665205684527067,0,26.056535102746
"T-47D",0.0513729529515837,324.856004218812,0.420958772936982,0,324.856004218812
"AU565",0.00760825819949031,NA,4,96.0498469061408,1.31731010144443
"MDA-MB-361",0.0400183617764337,NA,0.67480015653397,82.7022795028591,1.78217286088995
"CAL-120",0.131644657094805,92.9800370063221,0.31793248486571,0,92.9800370063221
"MDA-MB-157",0.0134604562815365,NA,4,86.5818742133068,2.53474634802994
"MDA-MB-415",0,NA,0.932556599885827,100,0.00601313645152297
"MDA-MB-468",0.292347225394413,NA,0.71766506356966,59.1551027253202,0.0247283489487248
"HCC1806",0.0253740054876338,NA,1.30261550079487,82.9749079722283,2.24242206303887
"HCC70",0.178342431297367,NA,1.76215970229554,72.6007986407207,0.0544690828866071
"HCC1954",0.0146556748671699,NA,4,93.8769472824677,0.951897000686759
"MDA-MB-453",0.0576401861013992,NA,4,91.0170533185615,0.0585286659597716
"HCC38",0.0266150473069985,NA,1.36951651813058,87.2983686956825,1.30218339378716
"HCC1569",0.169300389022636,NA,4,72.5738501518001,0.0692983211396201
"COLO 824",0.179647516568048,NA,4,76.3048635602069,0.0260940794362412
"CAMA-1",0.0987649670312001,NA,4,89.9948907609521,0.00394983592135957
"JIMT-1",0,NA,0.95994749347434,100,0.0316601858434054
"MDA-MB-231",0.0887485598076899,NA,3.28815903267947,82.6864984666383,0.143184889885468
"CAL-51",0.240114035831856,NA,0.520318298528165,56.1032423054029,0.0991018748227558
"Hs 578T",0.130494824977049,53.6399712643973,0.459546316787218,31.3300021569613,6.28802699665206
"HDQ-P1",0.0140400980571242,NA,4,77.3954576114038,3.41482043297923
"MRK-nu-1",0.198017325981431,NA,4,74.1913747412113,0.0244984492780092
"EFM-19",0.0249551622776757,2180.27495082549,0.416630618164461,0,2180.27495082549
"EFM-192A",0.00711551665948723,NA,0,98.5768966681025,0.0056997117627091
"BT-549",0.126124241467737,NA,0.654650279461544,71.083216417462,0.269891007731256
"HCC1419",0,NA,0.898838464537127,100,0.00566642271362607
"MDA-MB-436",0.0746243160873053,NA,4,87.8475334013071,0.0708664992380579
"AU565.1",0.0328614353628781,NA,0,93.4277129274244,0.180052109766044
"BT-474",0.0498803064901752,NA,4,92.4543205324337,0.0511703608830794
"ZR-75-30",0.00626005808415043,NA,4,97.5593729832304,0.845152708532732
"UACC-893",0.0147732184455643,NA,0,97.0453563108871,0.145937072101346
"HCC1395",0.165862329960025,17.1052172635072,0.384413174672823,0,17.1052172635072
"OCUB-M",0.269582766248839,NA,4,65.4506680507367,0.0223787883107848
"DU4475",0.291720053073296,0.795676420462206,0.898116332825311,0,0.795676420462206
"HCC1500",0.0171898689618912,NA,4,88.9068914097567,1.71388986517531
"HCC2218",0.0283247446985332,NA,0,94.3350510602934,0.199377781318255
"HCC1187",0.140792916126529,NA,4,81.5567414718544,0.0251652292672293
"BT-20",0.0732396341139518,NA,4,88.099016596668,0.0702108175317149
"BT-483",0.0530388050865621,NA,0,89.3922389826876,0.0317601324764939
"AU565.2",0.111021339172868,NA,4,87.5295899770022,0.0103194212338633
"MFM-223",0.189448793495521,NA,1.06777450590209,53.3023717253879,0.311456661817329
"CAL-85-1",0.0213546544330198,NA,0,95.729069113396,0.00693083854432348
"BT-474.1",0.0790337212658611,NA,4,87.5769963168856,0.0607921163225945
"HCC2157",0.0475172536268103,NA,4,94.4535464800219,0.0131201953102928
"MCF-7",0.0783569427356522,Inf,0.453125,50,11.5478198468946
"HCC1599",0.123731070134317,3511.05084180261,0.366570710929926,44.9446106440592,6.76866193223953
"HCC1428",0.0687290010646714,NA,0.0826419030261262,68.2240477600982,1e+06
"CAL-148",0.308122017456292,NA,4,59.0865604937801,0.0270256474296661
"BT-474.2",0.0454308037346435,NA,4,94.4882255847064,0.0164776822480503
"AU565.3",0.0386763281842807,NA,0,92.2647343631439,48.796787066182
"MDA-MB-330",0.0161775083673052,20.5834286218747,1.3054576157284,0,20.5834286218747
"HCC1937",0.0427494808073276,696689.716514672,0.208146033714205,0,696689.716514672
"MDA-MB-175-VII",0.0222559012166574,NA,0,95.5488197566685,0.222438387399593
