"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.132617206331864,NA,1.13043123808871,69.5723680554133,0.0502160359697135
"MES-SA",0.129236915530163,99893.1677921452,0.129108481418485,0,99893.1677921452
"PL4",0.367376734113703,0.926457361584936,0.68899963683807,48.6578092147254,0.00485827472886424
"OS-RC-2",0.0984592150130776,NA,0.0632423312473164,60.9222937883963,1e+06
"WM793",0.417322101294377,0.348068377358819,0.184198086247189,22.9347210745359,0.0124319835954859
"KYSE-50",0.162200634119256,NA,1.19597253215883,69.8982736377426,0.0239729767094758
"KE-37",0.212161036121894,380098996709598016,0.0431232820342066,34.165408935095,1e+06
"Jurkat",0,NA,1.32278327934756,100,0.176574840399481
"KM-H2",0.0427254508056194,NA,4,93.9139199634486,0.00783563408708919
"697",0.220880936444446,NA,0.557451800690094,63.2717934531412,0.0122415666818148
"8-MG-BA",0.230869244142999,NA,0.381984802048163,61.08223173192,0.0102664257451185
"PaTu 8988t",0.28225511347804,NA,1.21387679598779,69.0711351224613,0.00106725518541025
"FTC-133",0.158918817016121,NA,0.800610871538369,83.5947839528936,0.000125547553100344
"KMRC-20",0.0697048311886555,NA,0.924445860618834,90.1841261030179,0.0062313113118049
"NCI-H1975",0.369649746975346,0.331412428700282,0.431866970967222,39.1543617562481,0.00962760973769277
"OVCA420",0.371343521998965,0.241503442200286,0.491961446174782,39.6601746973814,0.00980938857167004
"HCC1954",0.0443817836844636,27115.2738136015,0.231667576659901,0,27115.2738136015
"ASH-3",0.234454265224397,NA,1.03090884003954,67.1399106927734,0.00636268317065243
"NCI-H1568",0.20704435580179,NA,2.66635764788334,79.2955644085709,1e-06
"NCI-H1563",0.0892764454514076,NA,0,82.1447109097185,1.37980814201126
"Daudi",0.0526690194935555,NA,0.897673912515023,81.8083010593492,0.163468022918547
"CTV-1",0.0882566346599247,5.12086717520458,0.547287553156386,0,5.12086717520458
"EM-2",0.25528073317787,NA,4,64.1844793697319,0.00727490385692392
"WM278",0.478751539745963,Inf,0,4.2496920508074,1e-06
"GI-ME-N",0.256000903032838,NA,0.565111413427183,65.5213361394159,0.00292461422756248
"EJM",0,NA,1.17905870657663,100,0.221295898096523
"HT-3",0.19935609818817,35981.4712068885,0.100569615738306,0,35981.4712068885
"Hs 746.T",0.330902494727628,NA,0.85472199413188,52.8307237364759,0.00642740904952199
"EW-18",0.0213814671185482,NA,0,95.7237065762904,0.00144010604040634
"RPMI-7951",0.201018582970075,NA,4,72.9061444685977,0.00594675661911409
"CA46",0.0982010206430075,182584872.066257,0.113088253034517,22.2524334450559,1e+06
"RCC10RGB",0.321403553731164,NA,0.314893526793041,58.1998877422992,0.000500600633136346
"U-251MG",0.17233500850828,NA,0.754726334744409,69.1382161337013,0.019789610660896
"Karpas-231",0.0343472211533317,NA,4,94.243029364268,0.0162284050158491
"BALL-1",0,NA,1.14484444300812,100,0.130378799380645
"IGR-1",0.381997794166828,NA,0.968926370874045,52.6663911317783,0.00273558991675771
"KP-1N",0.135532525669975,NA,4,80.2553819990858,0.00872680406868794
"OVCAR-8",0.211682572077634,26.6747642137059,0.202023772751254,0,26.6747642137059
"JJN-3",0.0597963442865328,NA,4,85.9704555100805,0.0526558311806702
"ALL-SIL",0.0331902592973077,NA,4,88.0080699374835,0.147842848238112
"HEY",0.508529220064723,0.01051453555422,0.998378579660046,37.5632160036181,0.00260943706748872
"HeLa",0.0643353210903345,NA,4,81.6923906599079,0.0882770814185784
"SCC-15",0.244186326367853,NA,0.468868331424093,69.398440030876,0.000998983968077469
"CAL-33",0.205692006034628,NA,1.91616769245873,73.5926897066929,0.00447647320167719
"JHH-6",0.104987921231347,NA,0.623996537551251,82.6547141477521,0.0125115752528578
"ES4",0.0919725366637852,NA,0.159759215799417,67.9504655293148,10.7820166955751
"UACC-257",0.494880521182132,0.00852858872317341,1.360974952884,42.1030642436182,0.00219762071954422
"KCL-22",0.315286912246893,NA,1.00089368778896,52.0861864964217,0.00972366230473488
