"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.109744178214891,NA,1.94679849526653,51.6311759222686,2.13888004539933
"MES-SA",0.0755163617355398,7.34538987743245,2.01648953756768,0,7.34538987743245
"PL4",0.250582708118818,1.61093456627673,1.51736526158144,23.9776631262451,1.04751283653369
"OS-RC-2",0.0643667900493784,NA,4,64.4270654342082,2.87042708159787
"WM793",0.106431848308728,17.1385705699729,0.702428152315469,0,17.1385705699729
"KYSE-50",0.19406115389588,2.3856302377348,2.04090353782606,24.6807557005446,1.70924720588132
"KE-37",0.101347706720097,4.61842033160428,4,35.6720377939938,3.37906901582103
"Jurkat",0.0940145697878832,6.57756067257046,1.77000223184391,7.0730197039482,6.03450109266924
"KM-H2",0.0682145597738382,NA,2.12802457723351,69.0625650018733,2.22186595061141
"697",0.2188978894473,2.02479480622498,1.6769859841566,29.739284888359,1.18151800007803
"8-MG-BA",0.181979400864503,4.39040884312011,0.892892587429343,0,4.39040884312011
"PaTu 8988t",0.156555852454561,4.8028090560775,1.07381093981355,0,4.8028090560775
"FTC-133",0.157356906699277,33.0296825868572,0.407477785194592,0,33.0296825868572
"KMRC-20",0.167268818056456,4.41209713980891,1.04558076466278,0,4.41209713980891
"NCI-H1975",0.34763851383772,0.988019903935252,0.99024645312701,0,0.988019903935252
"OVCA420",0.192622421298889,3.89587571094394,1.05380879240337,26.7606303383191,1.88299792690303
"HCC1954",0.0424977977602537,32.3410789440422,0.957370282283902,0,32.3410789440422
"ASH-3",0.148116089998492,4.66219752324585,1.25095719005341,0,4.66219752324585
"NCI-H1568",0.162700320671864,33.8616368685317,0.393060194815243,0,33.8616368685317
"NCI-H1563",0.246997354421323,10.4082301725438,0.354091880720531,0,10.4082301725438
"Daudi",0.0946314582445322,NA,4,60.6320921598166,1.90136428772303
"CTV-1",0.225159320493296,2.02826027168077,2.75176753107656,5.06987285602245,1.95096750546402
"EM-2",0.0777366923011255,5.92627138427614,4,32.0941767030359,4.58445387883419
"WM278",0.215464020813599,4.10653323345234,0.695016685279182,0,4.10653323345234
"GI-ME-N",0.181811629068612,8.5681037494914,0.571226640977031,0,8.5681037494914
"EJM",0.0690577364419104,NA,4,71.9474536507265,1.82666440216046
"HT-3",0.111743903506206,18.0133124784862,0.661235828979618,0,18.0133124784862
"Hs 746.T",0.0264268263814698,NA,4,67.2121410043766,5.89674734321956
"EW-18",0.236223384690919,NA,4,56.1511773352712,0.242078429081007
"RPMI-7951",0.149394051424921,3.84027616482766,1.93950485674354,0,3.84027616482766
"CA46",0.110981638356658,6.41053403544062,2.16075049076508,42.0446068169435,2.73801218769055
"RCC10RGB",0.187857429413102,6.3539439144384,0.642527161591444,0,6.3539439144384
"U-251MG",0.0526767193945847,20.1321421807486,1.06603136149608,0,20.1321421807486
"Karpas-231",0.0112455060376008,NA,4,96.5949230872346,1.02168328823939
"BALL-1",0.17095836065476,4.55715387498536,1.1042125448205,23.8526791992186,2.53350706906877
