"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.127500024221482,2822413996.56931,0.0916457222016862,25.8601050038951,1e+06
"MES-SA",0.126939850236357,NA,1.42378238206048,87.3059459293176,1e-06
"PL4",0.143302226631225,NA,1.57460091523625,83.5294241867929,0.00205668666776666
"OS-RC-2",0.146563698863767,NA,1.81400464846585,83.9369083883689,0.00146454933174107
"WM793",0.0365489365299475,NA,0,92.6902126940105,1.17091936757417
"KYSE-50",0.0803647894408338,NA,0.0372025613134364,83.8904106222482,0.0357501087865922
"KE-37",0.206238474987398,8.26108902973904,0.255660699650745,0,8.26108902973904
"Jurkat",0.055522309303245,NA,1.16928324265579,78.104673804314,0.194855418563815
"KM-H2",0,NA,1.33663045236931,100,9.65501278906454
"697",0.548022999810446,0.021190070014068,1.7181262953228,2.47148822764406,0.0205739914801755
"8-MG-BA",0.102270547683671,NA,0.297272093244905,87.4732511645312,0.000145021982892273
"PaTu 8988t",0.131405514321291,2.4316282571927e+30,0.06227603754135,48.4853476744934,1e+06
"FTC-133",0.126809502023687,NA,0.0585197272841775,52.5920486575995,999920.050692928
"KMRC-20",0.0896012054670178,NA,0.0027472758225026,82.1327139950618,0.00365643713815698
"NCI-H1975",0.154953685273565,NA,0.214235574204976,63.8423264272877,0.128725312968803
"OVCA420",0.0613999851491582,16.5481709994318,0.5,1.70870262383715e-14,16.5481709994318
"HCC1954",0.126614003903334,3520682.49049968,0.108424057827729,6.37830850088699,1e+06
"ASH-3",0.0946063337157635,NA,0,81.0787332568473,0.00434297278189539
"NCI-H1568",0.0744554487935729,NA,4,88.3489452376371,0.0121061773814062
"NCI-H1563",0.121868249060552,NA,0.0545495371572943,56.6328751598048,999948.374849749
"Daudi",0.064599378674868,NA,0,87.0801242650264,0.00901670195871119
"CTV-1",0,NA,0.368096253522254,100,0.00478616223293172
"EM-2",0.0310461384424281,NA,4,86.1172175276894,0.213493638700771
"WM278",0.0941026862042977,NA,0,81.1794627591404,0.00754348503960932
"GI-ME-N",0.0705623511727371,NA,0,85.8875297654526,0.000681840416185897
"EJM",0,NA,1,100,1
"HT-3",0.150108497890704,NA,1.61133238351044,84.1198806244444,0.000897292688294692
"Hs 746.T",0.0674062539535405,NA,4,84.1619032134772,0.0528824061880238
"EW-18",0.117963761793577,NA,0.447731118647341,78.7740716543269,0.0174354201692493
"RPMI-7951",0.057182335533421,NA,0,88.5635328933158,0.00146242146327227
"CA46",0.0770434016785811,NA,0,84.5913196642838,0.00639844032996388
"RCC10RGB",0.113501920545018,NA,4,87.6656553840716,0.00168612432533915
"U-251MG",0.0985403986111509,NA,0,80.2919202777698,0.000840437964424017
"Karpas-231",0.572438327796921,0.0120088658347772,1.57113010984705,14.4509560424593,0.0096652224123457
"BALL-1",0.749181258834911,0.00502959364908842,1.17884567570293,0.0394924778090515,0.00502622352144115
"IGR-1",0.143103111296763,31488.5443446935,0.131352504545487,0,31488.5443446935
"KP-1N",0.0178320873927953,NA,4,92.232979369493,0.20487168995632
"OVCAR-8",0.0281428935427049,NA,3.98587998017108,97.185710491448,3.4655068018678e-05
"JJN-3",0.0771442140136356,NA,1.82566175294439,77.411684704374,0.0952092794651831
"ALL-SIL",0.447840917712699,0.047504349625087,0.548122528310397,13.744295755186,0.0264275781581972
"HEY",0.115358368997434,NA,0,76.9283262005133,3.65169153778875e-05
"HeLa",0.00483492892577248,1.62640600151817,4,0,1.62640600151817
"SCC-15",0.1226235230406,NA,0.0555319223596714,78.1053689501783,0.000403971089184494
"CAL-33",0.0943918846882898,33047238917.5612,0.105316035163505,33.2878392335606,1e+06
"JHH-6",0.0299733874265809,NA,4,89.3994802674942,0.141855711351142
"ES4",0.100977508751126,NA,0,79.8044982497748,5.87590473639971e-05
"UACC-257",0.0667577342792097,NA,4,91.6886057887146,0.00389124005315297
"KCL-22",0.0471075546090093,NA,4,90.1479680707592,0.0367838850108974
"CHP-134",0.029561853983232,NA,0,94.0876292033536,0.287067621788597
