"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"PC-14",0.586558737633286,0.0188911782811045,2.63979305019456,23.6192097448876,0.0148275073468608
"A-549",0.458738448836093,0.064904491720124,1.00135013649612,36.4738304772476,0.0175891617368012
"A-375",0.63487055729326,0.0137292080860439,2.59167693836337,21.5784220774345,0.0110404792568096
"DEL",0.93710616969861,1.03417912427947e-06,3.99999999999963,6.28938303013897,1.00000000000097e-06
"EW-13",0.260017705325982,NA,2.43442574154908,72.4324354583962,0.00363973908581586
"CL-40",0.592254985994858,0.00434815263452251,4,39.3181247827032,0.00295613426102655
"C32 [Human melanoma]",0.49015578263758,0.0390542672157666,0.919568594269882,41.7260042303046,0.00552179403361355
"U2OS",0.555221445926345,0.0138180800146895,1.55769959252696,36.3669443690296,0.00599975379178411
"TC-71",0.801552363068902,0.00684299252425113,4,9.61275798921162,0.00648730943556588
"DiFi",0.560180849571925,0.0279779266974144,1.72826012974736,22.6477060715632,0.0197347541840277
"RKO",0.741687741448948,0.00486374919897087,3.36886843906071,21.1976228629173,0.00412920726211211
"CL-11",0.112855913103477,11.2013975205618,0.647928382942188,30.5611171117383,2.60630487078146
"PC-14.1",0.56017471474471,0.0255191786328171,4,21.0981591565797,0.0222513091234555
"A-549.1",0.214318304063325,NA,2.48930048457843,54.5578455253523,0.115445060705869
"A-375.1",0.527474158746881,0.0314880288674222,1.01525486775389,31.561641475366,0.011787115969685
"SW620",0.3135119246837,NA,4,64.7160449833306,0.00640611783102333
"HT-29",0.633469439980284,0.00893096132930144,1.68880685168057,28.6691753988051,0.00539300604899934
"HCT 15",0.543418289062437,0.0524692444448372,1.35200777108098,10.8393243614452,0.0437939647364077
"SNU-C2B",0.538792594118754,0.0153949548011713,1.89039033358675,36.8716312875855,0.00758860321914409
"MHH-ES-1",0.866411826669838,0.00410151241332146,4,8.90038294844508,0.00390535909427939
"MFM-223",0.529969361582964,0.0293184955482453,4,23.5318655384753,0.0250080606016407
"C32 [Human melanoma].1",0.442870750359086,0.0199169633956227,4,45.5524352609235,0.0108770517232267
"U2OS.1",0.590839241658601,0.0180991246643578,1.79819127782164,25.2357602337093,0.0122450919682603
"SR",0.938397879656645,1.03341649626302e-06,3.99999999999935,6.1602120343355,1.00000000000173e-06
"SKM-1",0.888847911845083,0.00367249691277767,2.82356059694594,6.66992360990729,0.0034909160470878
"COLO 320HSR",0.447760890257,0.154847096007113,0.548987769056542,0,0.154847096007113
"DiFi.1",0.583867240705886,0.0202910018905364,3.16415731539045,22.1398931228692,0.0168668270077823
"CCK-81",0.473152192810915,0.0761613860144192,3.40738848006463,13.1517597105654,0.0696358891133105
"COLO 205",0.574277208130453,0.00924674456892187,3.41241320521491,35.1592288096117,0.00647742224175057
"RKO.1",0.72424976730734,0.00784519371439905,1.14363421782943,15.6285683982036,0.00565294307093622
"SK-CO-1",0.560823772228915,0.0177375568983811,3.77137643092686,27.4774046936255,0.0143567748003431
"LS411N",0.490512363280317,0.0349954406180712,1.16415303257188,38.9909721683395,0.00953812052361974
"LS123",0.13550970091454,NA,1.38004666160631,80.8874866037715,0.021396038010053
"LS1034",0.0545611685540457,NA,0,89.0877662891909,0.0660896556749223
"HCC2998",0.49328979321474,0.0146181675621743,4,40.6489977615663,0.0096131335301981
"NCI-H929",0.760049249860749,0.00691152515838603,4,14.5985196921945,0.00633996335587666
"CP66-MEL",0.25756175879484,NA,4,70.7210667441673,0.00682799473924985
"Ku812",0.820697420222631,0.0051841791249689,3.74079345263524,11.2541869361722,0.00484256274791116
"RF-48",0.869430199381539,0.00318403304298886,3.78749512378184,10.7218579434606,0.00298746295750974
"DB",0.790766708428975,0.00676708914543763,1.38819799309874,8.91769228866734,0.00587414146459603
"SR.1",0.938352803776824,0.00292395625731938,2.42022600688632,2.44131496521347,0.00286409995467335
"Lu-139",0.550514615070177,0.0158206379406553,1.43796171938177,35.8573199639228,0.00657391687542068
"MDST8",0.689626838829615,0.0104960670960278,1.60704518113506,18.1092552650912,0.0079340674374691
"HT-55",0.5242476053725,0.0296064573550529,1.73288590627348,28.8564550849849,0.0180169559392934
"Ca9-22",0.630739428674786,0.0181503703676193,4,16.3171469476182,0.0164435357945927
"DOK",0.620809893059263,0.0123059482928495,1.64813669127547,26.5976960026243,0.0077636167659492
"CaR-1",0.30864434928212,NA,1.43578550549282,52.1325838792611,0.0342248069641715
"HT115",0.359327718265932,0.33681743624809,0.60830942893385,0,0.33681743624809
"GP5d",0.656867484337182,0.0153148799006946,3.45919181486464,15.7516683079228,0.013728026563191
"SW620.1",0.439306402978168,0.022124775039603,4,49.3575678016516,0.00744891789518077
"CW-2",0.220378368330589,NA,2.7442562581043,58.4417886705611,0.0769773117738529
"HuTu 80",0.792108023272302,0.0088121972899815,3.21251679308208,6.69545724716707,0.00842653079509814
"HCT 116",0.555759440019353,0.0273075047791288,3.77580251959524,20.6968510041715,0.0237040946265196
"PC-14.2",0.543259232936562,0.0230399904264036,1.88953092536716,29.3367100177431,0.0144337338863421
