"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.134675807684318,8.97678682120234,1.21925868758522,39.7903626799731,2.43913777633019
"MES-SA",0.124571701094102,5.5923905824654,1.34717004305873,0,5.5923905824654
"PL4",0.135665222817473,4.39653742853203,1.84808223420549,23.5962352142851,3.11215410640004
"OS-RC-2",0.106835349109017,NA,1.47587888550918,52.091508014869,2.30634685408067
"WM793",0.171699882394004,3.28978332590654,1.64101227027112,24.9741596926943,2.15773969618395
"KYSE-50",0.190019760138875,2.52942290108282,2.01780147260143,21.1690000414123,1.92540031153493
"KE-37",0.34450950270728,0.895208740710833,2.23358624097051,2.3426421512114,0.876181356368337
"Jurkat",0.326048753940397,0.93829563050587,4,6.12136516254304,0.90815602725347
"KM-H2",0.173689927470746,2.43291178776147,3.39760452926416,26.970388579041,1.93656473021156
"697",0.353180011262084,0.862977095880096,1.96615066771628,1.00185252997498,0.854138759514648
"8-MG-BA",0.183605661913167,3.11786166890323,1.46351570129572,20.449467733752,2.17666241622767
"PaTu 8988t",0.0192335570310403,NA,4,73.0977967875011,6.33500497398127
"FTC-133",0.140823702693531,5.37133881193419,1.13861155675824,0,5.37133881193419
"KMRC-20",0.168722734106613,3.52708841333295,1.49727651918224,9.04220224416155,3.08713546206241
"NCI-H1975",0.160855407868159,3.47064111052203,1.89950994080405,7.18802608879851,3.19833807947481
"OVCA420",0.161009980152281,3.43872906957502,1.89279642904089,11.6526296929174,2.98894172199792
"HCC1954",0.0216805217689281,NA,2.09160282357253,61.7324934413399,8.92983508698189
"ASH-3",0.141649450806437,4.75497819669947,1.33798273590887,0,4.75497819669947
"NCI-H1568",0.0972295133287423,NA,1.37260138010512,74.3804548792887,0.74036696703157
"NCI-H1563",0.133546216244871,243.107368432542,0.300738763165944,0,243.107368432542
"Daudi",0.168653393342636,2.78459920340866,3.25930230470006,17.7176119879157,2.43481895974761
"CTV-1",0.267751146389513,1.53158911565363,4,1.96121379518618,1.5163441379076
"EM-2",0.255383668899177,1.5736669969548,4,6.32658739818406,1.52133416323322
"WM278",0.0867137621147359,5.39716432401474,4,26.9160616365966,4.44887922893626
"GI-ME-N",0.174596976778336,7.43441466554679,0.646569057606525,0,7.43441466554679
"EJM",0.196938816827752,2.76508835997777,1.6024390453766,0,2.76508835997777
"HT-3",0.0745487857588334,10.4983255813374,1.28607800147866,0,10.4983255813374
"Hs 746.T",0.263117548637562,1.57921645056893,1.60792380192548,8.64548602231282,1.40335054573936
"EW-18",0.252281565528273,1.58550796076031,2.95215980621529,8.62396248754927,1.48702152814325
"RPMI-7951",0.16990800713804,2.76048519643109,4,14.6332143186817,2.53158095063931
"CA46",0.311220474317879,0.909681682656335,2.07676194564881,17.5653290563912,0.738555138883441
