"","aac_recomputed","ic50_recomputed","HS","E_inf","EC50"
"A-204",0.132332355885859,NA,2.73333892858723,70.5426678084676,0.898377434383395
"MES-SA",0.270930852274965,3.2966936443916,1.42677211186832,44.8012569020295,0.67462216257391
"PL4",0.25323702267842,9.02382726159262,0.766482360162223,39.0470553360776,1.24464636745283
"OS-RC-2",0.0912881554455974,NA,1.20498827067611,84.7135358389954,0.315712047760911
"WM793",0.192465288328408,3.20802537529661,4,41.5653832905127,2.05594565991375
"KYSE-50",0.118338080950846,NA,4,61.6079105591024,2.37911540290983
"KE-37",0.429291627969937,0.925458614599037,1.75978353395217,5.65274936781861,0.864468575718242
"Jurkat",0.474567536723177,0.757625064456917,0.558023900704913,6.41677310236408,0.592322399150578
"KM-H2",0.370976732244705,0.909142220583926,2.17865230563973,24.7284139701392,0.664680753327259
"697",0.516785540938433,0.562527725967426,1.46450254594249,0,0.562527725967426
"8-MG-BA",0.339364913457365,0.719458856936724,2.80534008342867,39.7247971335679,0.409309521708155
"PaTu 8988t",0.184285902624546,3.50123667372839,4,44.2031024782513,2.04304472246226
"FTC-133",0.205999410276305,4.38942009815792,1.83730203376289,37.0522133081288,2.10397074234729
"KMRC-20",0.123257108794206,NA,4,61.3717941816912,2.20730219211669
"NCI-H1975",0.197893934713264,3.18496764735367,4,37.2916927884891,2.26143677512288
"OVCA420",0.108482018785896,NA,0.695679657794184,55.20202722225,6.19165551743186
"HCC1954",0.148267672097379,18.7285519898352,0.78125,19.375,10
"ASH-3",0.195453182559578,3153.6890137795,0.786002342961483,49.8764988506547,1.51933816270121
"NCI-H1568",0.0523212133631624,NA,4,89.8847005207815,0.561569321654097
"NCI-H1563",0.0416487273134343,NA,4,84.645738084295,3.07182705893214
"Daudi",0.168559730672964,NA,3.0413380987786,56.5505314869197,1.371913657417
"CTV-1",0.49041833435018,0.554760679168126,1.52866492395845,8.58433578163469,0.490446241120298
"EM-2",0.18778364958996,12.0096018103772,1.23169204588362,44.4106068019247,2.02734916867405
"WM278",0.129032195518196,2832.7792796746,0.236814111673884,0,2832.7792796746
"GI-ME-N",0.148067025953355,NA,1.92413009187121,65.3301557755736,1.04847814575558
"EJM",0.129105668282514,NA,4,58.947753687548,2.27848874132093
"HT-3",0.206541853518499,NA,1.75015525693209,50.9341686814804,1.0954419395219
"Hs 746.T",0.147065528685703,NA,4,64.904656654585,1.10659771516443
"EW-18",0.438178570598789,0.866312549301919,0.959120935455925,11.1129216615261,0.666587500543527
"RPMI-7951",0.30660491548,1.92769454229243,1.41744056333961,26.5357951012658,1.13041315354915
"CA46",0.268728707596703,5.27014786865857,0.71008927046103,21.9904667354075,2.33029464763637
"RCC10RGB",0.16902953248875,NA,1.95515656019353,62.5999786519297,0.88235571772039
"U-251MG",0.208304816366856,NA,4,50.5331053571152,1.09101061183175
"Karpas-231",0.2514400082611,3.48273946904786,1.41061066763016,14.5504504780045,2.72921830409865
"BALL-1",0.3624437766015,1.65145692075607,1.6495751674778,0,1.65145692075607
"IGR-1",0.261172706861519,2.11816791731606,2.59813112669058,31.2013459609316,1.45358890452024
"KP-1N",0.182456817979632,12.7552191464901,1.02366105241131,39.3585462035928,2.81352562786638
"OVCAR-8",0.239114237647902,2.66326844206308,4,24.3423698357241,2.2541176372435
"JJN-3",0.297548406197092,2.18730720658896,2.08263797418919,12.9151964541164,1.89494869158201
"ALL-SIL",0.524708424340866,0.368876929592191,2.07546963708093,12.1563198122138,0.322546765665049
"HEY",0.186292555646143,NA,3.41304123932382,56.5926237412006,1.03184725632866
"HeLa",0.299679013641674,2.06589832446016,2.33601979414963,14.3329663690988,1.78775716867375
"SCC-15",0.13600555013297,NA,2.282114757652,63.77586864515,1.49710197585815
"CAL-33",0.282901454522509,1.78240874385143,3.22186672735726,26.2196510298364,1.41524590280492
"JHH-6",0.055712013993298,NA,4,84.8297464431716,1.58264297899446
"ES4",0.123589230588252,729.485154585068,0.347039483168626,23.8913628229764,112.174311643946
"UACC-257",0.0735546280998508,NA,4,76.4275857440376,2.31744958413625
"KCL-22",0.369278375950809,1.72316081895337,0.889653011799131,0,1.72316081895337
"CHP-134",0.40270949582755,1.3158834313366,0.93144225482925,0,1.3158834313366
