source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,n_sources,n_primary_sources,n_references,references_stripped
P0DP23,P48995,CALM1,TRPC1,True,False,True,True,False,True,3,TRIP:11290752;TRIP:11983166;TRIP:12601176,TRIP,post_translational,1,1,3,11290752;11983166;12601176
P0DP25,P48995,CALM3,TRPC1,True,False,True,True,False,True,3,TRIP:11290752;TRIP:11983166;TRIP:12601176,TRIP,post_translational,1,1,3,11290752;11983166;12601176
P0DP24,P48995,CALM2,TRPC1,True,False,True,True,False,True,3,TRIP:11290752;TRIP:11983166;TRIP:12601176,TRIP,post_translational,1,1,3,11290752;11983166;12601176
Q03135,P48995,CAV1,TRPC1,True,True,False,True,True,False,13,DIP:19897728;HPRD:12732636;IntAct:19897728;Lit-BM-17:10980191;Lit-BM-17:19052258;Lit-BM-17:19897728;TRIP:12732636;TRIP:14551243;TRIP:16822931;TRIP:18430726;TRIP:19052258;TRIP:19351713;TRIP:19897728,DIP;HPRD;IntAct;Lit-BM-17;TRIP,post_translational,5,5,8,10980191;12732636;14551243;16822931;18430726;19052258;19351713;19897728
P14416,P48995,DRD2,TRPC1,True,True,False,True,True,False,1,TRIP:18261457,TRIP,post_translational,1,1,1,18261457
Q99750,P48995,MDFI,TRPC1,True,False,True,True,False,True,3,HPRD:14530267;TRIP:14530267;TRIP:23770672,HPRD;TRIP,post_translational,2,2,2,14530267;23770672
Q14571,P48995,ITPR2,TRPC1,True,True,False,True,True,False,13,HPRD:10970773;HPRD:11336651;TRIP:10970773;TRIP:11336651;TRIP:12196544;TRIP:15121806;TRIP:16870612;TRIP:16905188;TRIP:17681754;TRIP:18068335;TRIP:18191041;TRIP:18249094;TRIP:23228564,HPRD;TRIP,post_translational,2,2,11,10970773;11336651;12196544;15121806;16870612;16905188;17681754;18068335;18191041;18249094;23228564
P29966,P48995,MARCKS,TRPC1,True,False,True,True,False,True,1,TRIP:24022404,TRIP,post_translational,1,1,1,24022404
Q13255,P48995,GRM1,TRPC1,True,True,False,True,True,False,1,TRIP:14614461,TRIP,post_translational,1,1,1,14614461
Q13586,P48995,STIM1,TRPC1,True,True,False,True,True,False,22,IntAct:19897728;IntAct:21408196;TRIP:16870612;TRIP:16906149;TRIP:17224452;TRIP:17892531;TRIP:18249094;TRIP:18326500;TRIP:18430726;TRIP:18644792;TRIP:18802022;TRIP:19332490;TRIP:19897728;TRIP:20194530;TRIP:20488539;TRIP:22446186;TRIP:22592407;TRIP:23034388;TRIP:23395841;TRIP:23686296;TRIP:24464579;TRIP:25013939,IntAct;TRIP,post_translational,2,2,21,16870612;16906149;17224452;17892531;18249094;18326500;18430726;18644792;18802022;19332490;19897728;20194530;20488539;21408196;22446186;22592407;23034388;23395841;23686296;24464579;25013939
P48995,Q13507,TRPC1,TRPC3,True,True,False,True,True,False,15,BioGRID:10199829;BioGRID:9215637;HPRD:12032305;HPRD:9215637;TRIP:10882720;TRIP:12857742;TRIP:15834157;TRIP:15972814;TRIP:17486119;TRIP:18215135;TRIP:19260825;TRIP:19502552;TRIP:21996795;TRIP:24613381;TRIP:9215637,BioGRID;HPRD;TRIP,post_translational,3,3,13,10199829;10882720;12032305;12857742;15834157;15972814;17486119;18215135;19260825;19502552;21996795;24613381;9215637
Q13507,P48995,TRPC3,TRPC1,True,True,False,True,True,False,15,BioGRID:10199829;BioGRID:9215637;HPRD:12032305;HPRD:9215637;TRIP:10882720;TRIP:12857742;TRIP:15834157;TRIP:15972814;TRIP:17486119;TRIP:18215135;TRIP:19260825;TRIP:19502552;TRIP:21996795;TRIP:24613381;TRIP:9215637,BioGRID;HPRD;TRIP,post_translational,3,3,13,10199829;10882720;12032305;12857742;15834157;15972814;17486119;18215135;19260825;19502552;21996795;24613381;9215637
P48995,Q9UBN4,TRPC1,TRPC4,True,True,False,True,True,False,15,HPRD:12032305;Lit-BM-17:12032305;Lit-BM-17:12857742;TRIP:11301024;TRIP:12377790;TRIP:12857742;TRIP:16270640;TRIP:16418302;TRIP:16818374;TRIP:17416589;TRIP:17892531;TRIP:19307462;TRIP:19812031;TRIP:22144671;TRIP:22534489,HPRD;Lit-BM-17;TRIP,post_translational,3,3,13,11301024;12032305;12377790;12857742;16270640;16418302;16818374;17416589;17892531;19307462;19812031;22144671;22534489
